,MPC
2011-06-23,9729445432
2011-06-24,13264560000
2011-06-27,13406959999
2011-06-28,13777200000
2011-06-29,14268480000
2011-06-30,14738400000
2011-07-01,15023200000
2011-07-05,15030320000
2011-07-06,14916400000
2011-07-07,14873680000
2011-07-08,14745520000
2011-07-11,14275600000
2011-07-12,14410879999
2011-07-13,14225760000
2011-07-14,13755840000
2011-07-15,13940959999
2011-07-18,13926720000
2011-07-19,14147440000
2011-07-20,14069120000
2011-07-21,14275600000
2011-07-22,14446480000
2011-07-25,14724160000
2011-07-26,15329360000
2011-07-27,14973360000
2011-07-28,15229680000
2011-07-29,15592799999
2011-08-01,16012879999
2011-08-02,15073040000
2011-08-03,14752640000
2011-08-04,13677520000
2011-08-05,13285920000
2011-08-08,11513040000
2011-08-09,12851600000
2011-08-10,12502720000
2011-08-11,13293040000
2011-08-12,13314400000
2011-08-15,13919600000
2011-08-16,13834160000
2011-08-17,13919600000
2011-08-18,13036720000
2011-08-19,12460000000
2011-08-22,11598480000
2011-08-23,12196560000
2011-08-24,12759040000
2011-08-25,12239280000
2011-08-26,12410160000
2011-08-29,12816000000
2011-08-30,12823120000
2011-08-31,13193360000
2011-09-01,13172000000
2011-09-02,12609520000
2011-09-06,12460000000
2011-09-07,12922799999
2011-09-08,13428320000
2011-09-09,12937040000
2011-09-12,13050959999
2011-09-13,12581040000
2011-09-14,12467120000
2011-09-15,12609520000
2011-09-16,12495600000
2011-09-19,11940240000
2011-09-20,11990080000
2011-09-21,11534400000
2011-09-22,10494880000
2011-09-23,10516240000
2011-09-26,10715600000
2011-09-27,10623040000
2011-09-28,10316880000
2011-09-29,9911040000
2011-09-30,9416880000
2011-10-03,9451680000
2011-10-04,10008480000
2011-10-05,10955040000
2011-10-06,11588399999
2011-10-07,10996800000
2011-10-10,11477039999
2011-10-11,11539679999
2011-10-12,11685840000
2011-10-13,11755440000
2011-10-14,12576720000
2011-10-17,12159120000
2011-10-18,12590640000
2011-10-19,12388800000
2011-10-20,12702000000
2011-10-21,12994320000
2011-10-24,12472320000
2011-10-25,11477039999
2011-10-26,12082560000
2011-10-27,12994320000
2011-10-28,12987360000
2011-10-31,12493200000
2011-11-01,12528000000
2011-11-02,13342320000
2011-11-03,13453679999
2011-11-04,13439760000
2011-11-07,13544160000
2011-11-08,13265760000
2011-11-09,12882960000
2011-11-10,13119600000
2011-11-11,13147440000
2011-11-14,12778560000
2011-11-15,12869039999
2011-11-16,11358720000
2011-11-17,11003760000
2011-11-18,11421360000
2011-11-21,11428320000
2011-11-22,11664960000
2011-11-23,11428320000
2011-11-25,11233440000
2011-11-28,11581440000
2011-11-29,11539679999
2011-11-30,11623200000
2011-12-01,11818080000
2011-12-02,11595360000
2011-12-05,11971200000
2011-12-06,12054720000
2011-12-07,12006000000
2011-12-08,11838960000
2011-12-09,12138240000
2011-12-12,12040800000
2011-12-13,11818080000
2011-12-14,11372640000
2011-12-15,11316960000
2011-12-16,11122080000
