,PVH
2000-01-03,210362256
2000-01-04,202012410
2000-01-05,198780211
2000-01-06,203628509
2000-01-07,198780211
2000-01-10,190161015
2000-01-11,185312717
2000-01-12,192046464
2000-01-13,192046464
2000-01-14,186928816
2000-01-18,195278663
2000-01-19,198780211
2000-01-20,205513958
2000-01-21,208746157
2000-01-24,200396310
2000-01-25,193662563
2000-01-26,192046464
2000-01-27,190161015
2000-01-28,188544916
2000-01-31,184275000
2000-02-01,180999000
2000-02-02,185913000
2000-02-03,191100000
2000-02-04,182637000
2000-02-07,175812000
2000-02-08,163800000
2000-02-09,160524000
2000-02-10,175812000
2000-02-11,174174000
2000-02-14,175812000
2000-02-15,174174000
2000-02-16,182637000
2000-02-17,189462000
2000-02-18,191100000
2000-02-22,191100000
2000-02-23,191100000
2000-02-24,189462000
2000-02-25,189462000
2000-02-28,191100000
2000-02-29,189462000
2000-03-01,189462000
2000-03-02,187824000
2000-03-03,185913000
2000-03-06,192738000
2000-03-07,194649000
2000-03-08,187824000
2000-03-09,194649000
2000-03-10,187824000
2000-03-13,189462000
2000-03-14,184275000
2000-03-15,180999000
2000-03-16,180999000
2000-03-17,182637000
2000-03-20,191100000
2000-03-21,199563000
2000-03-22,203112000
2000-03-23,201474000
2000-03-24,189462000
2000-03-27,191100000
2000-03-28,192738000
2000-03-29,203112000
2000-03-30,201474000
2000-03-31,209937000
2000-04-03,213213000
2000-04-04,208299000
2000-04-05,203112000
2000-04-06,208299000
2000-04-07,211575000
2000-04-10,221949000
2000-04-11,221949000
2000-04-12,213213000
2000-04-13,218400000
2000-04-14,197925000
2000-04-17,199563000
2000-04-18,201474000
2000-04-19,208299000
2000-04-20,211575000
2000-04-24,206388000
2000-04-25,208299000
2000-04-26,225225000
2000-04-27,218400000
2000-04-28,230412000
2000-05-01,225337497
2000-05-02,226976315
2000-05-03,222059860
2000-05-04,222059860
2000-05-05,226976315
2000-05-08,226976315
2000-05-09,223698678
2000-05-10,215231451
2000-05-11,215231451
2000-05-12,210041860
2000-05-15,215231451
2000-05-16,213319497
