,VLO
2000-01-03,976677520
2000-01-04,967737680
2000-01-05,1001262080
2000-01-06,1034786480
2000-01-07,1021376720
2000-01-10,1019141759
2000-01-11,1001262080
2000-01-12,1007966960
2000-01-13,1019141759
2000-01-14,1028081599
2000-01-18,1090660480
2000-01-19,1090660480
2000-01-20,1133124720
2000-01-21,1162179200
2000-01-24,1088425520
2000-01-25,1075015760
2000-01-26,1148769440
2000-01-27,1130889760
2000-01-28,1130889760
2000-01-31,1162179200
2000-02-01,1164414160
2000-02-02,1193468640
2000-02-03,1186763760
2000-02-04,1175588960
2000-02-07,1186763760
2000-02-08,1175588960
2000-02-09,1148769440
2000-02-10,1180058880
2000-02-11,1186763760
2000-02-14,1155474320
2000-02-15,1200173520
2000-02-16,1242637760
2000-02-17,1229228000
2000-02-18,1220288160
2000-02-22,1238167840
2000-02-23,1224758080
2000-02-24,1235932880
2000-02-25,1224758080
2000-02-28,1258282480
2000-02-29,1302981680
2000-03-01,1347680880
2000-03-02,1378970320
2000-03-03,1349915840
2000-03-06,1378970320
2000-03-07,1477308560
2000-03-08,1454958960
2000-03-09,1403554880
2000-03-10,1468368720
2000-03-13,1488483360
2000-03-14,1437079280
2000-03-15,1461663840
2000-03-16,1533182560
2000-03-17,1499658160
2000-03-20,1548827280
2000-03-21,1537652480
2000-03-22,1602466320
2000-03-23,1631520800
2000-03-24,1582351680
2000-03-27,1557767120
2000-03-28,1544357360
2000-03-29,1515302880
2000-03-30,1582351680
2000-03-31,1575118960
2000-04-03,1635786880
2000-04-04,1550402400
2000-04-05,1485240560
2000-04-06,1476252720
2000-04-07,1521191920
2000-04-10,1491981440
2000-04-11,1514451040
2000-04-12,1604329440
2000-04-13,1581859840
2000-04-14,1485240560
2000-04-17,1456030080
2000-04-18,1534673680
2000-04-19,1604329440
2000-04-20,1545908480
2000-04-24,1550402400
2000-04-25,1579612880
2000-04-26,1462770960
2000-04-27,1512204080
2000-04-28,1489734480
2000-05-01,1482993600
2000-05-02,1469511840
2000-05-03,1433560480
2000-05-04,1440301360
2000-05-05,1474005760
2000-05-08,1552649360
2000-05-09,1563884160
2000-05-10,1534673680
2000-05-11,1649268640
2000-05-12,1597588560
2000-05-15,1635786880
2000-05-16,1617811200
2000-05-17,1559390240
2000-05-18,1559390240
2000-05-19,1518944960
2000-05-22,1518944960
2000-05-23,1566131120
2000-05-24,1514451040
2000-05-25,1476252720
2000-05-26,1491981440
2000-05-30,1500969280
2000-05-31,1500969280
2000-06-01,1527932800
2000-06-02,1384127360
2000-06-05,1469511840
2000-06-06,1482993600
2000-06-07,1462770960
2000-06-08,1545908480
2000-06-09,1534673680
2000-06-12,1579612880
2000-06-13,1602082480
2000-06-14,1617811200
2000-06-15,1617811200
2000-06-16,1579612880
2000-06-19,1559390240
2000-06-20,1541414560
2000-06-21,1541414560
2000-06-22,1496475360
2000-06-23,1559390240
2000-06-26,1541414560
2000-06-27,1595341600
2000-06-28,1575118960
2000-06-29,1572872000
2000-06-30,1776841440
2000-07-03,1745024720
2000-07-05,1688733600
2000-07-06,1698523360
2000-07-07,1681391280
2000-07-10,1705865680
2000-07-11,1754814480
2000-07-12,1698523360
2000-07-13,1678943840
2000-07-14,1691181040
2000-07-17,1696075920
2000-07-18,1703418240
2000-07-19,1696075920
2000-07-20,1683838720
2000-07-21,1605520640
2000-07-24,1559019280
2000-07-25,1510070480
2000-07-26,1436647280
2000-07-27,1483148640
2000-07-28,1451331920
2000-07-31,1451331920
2000-08-01,1463569120
2000-08-02,1495385840
2000-08-03,1524755120
2000-08-04,1492938400
2000-08-07,1475806320
2000-08-08,1461121680
2000-08-09,1492938400
2000-08-10,1549229520
2000-08-11,1617757840
2000-08-14,1617757840
2000-08-15,1556571840
2000-08-16,1576151360
2000-08-17,1642232240
2000-08-18,1632442480
2000-08-21,1625100160
2000-08-22,1622652720
2000-08-23,1698523360
2000-08-24,1634889920
2000-08-25,1617757840
2000-08-28,1683838720
2000-08-29,1722997760
2000-08-30,1745024720
2000-08-31,1683838720
2000-09-01,1683838720
2000-09-05,1676496400
2000-09-06,1666706640
2000-09-07,1703418240
2000-09-08,1678943840
2000-09-11,1732787520
2000-09-12,1720550320
2000-09-13,1715655440
2000-09-14,1732787520
2000-09-15,1842922320
