,CME
2002-12-06,1395729320
2002-12-09,1366448286
2002-12-10,1390849148
2002-12-11,1465678459
2002-12-12,1428263803
2002-12-13,1420130182
2002-12-16,1402236217
2002-12-17,1407116389
2002-12-18,1387595699
2002-12-19,1376208630
2002-12-20,1446157769
2002-12-23,1411996562
2002-12-24,1400609493
2002-12-26,1385968975
2002-12-27,1366448286
2002-12-30,1376208630
2002-12-31,1420130182
2003-01-02,1421756907
2003-01-03,1490079321
2003-01-06,1564908632
2003-01-07,1561655184
2003-01-08,1561655184
2003-01-09,1595816391
2003-01-10,1594189667
2003-01-13,1613710356
2003-01-14,1597443115
2003-01-15,1530747425
2003-01-16,1477065528
2003-01-17,1464051735
2003-01-21,1446157769
2003-01-22,1436397424
2003-01-23,1478692252
2003-01-24,1529120701
2003-01-27,1504719838
2003-01-28,1496586218
2003-01-29,1512853459
2003-01-30,1438024148
2003-01-31,1382715527
2003-02-03,1377835355
2003-02-04,1366448286
2003-02-05,1358314665
2003-02-06,1350181044
2003-02-07,1369701734
2003-02-10,1398982769
2003-02-11,1395729320
2003-02-12,1395729320
2003-02-13,1415250010
2003-02-14,1447784493
2003-02-18,1447784493
2003-02-19,1455918114
2003-02-20,1465678459
2003-02-21,1475438804
2003-02-24,1481945700
2003-02-25,1486825873
2003-02-26,1475438804
2003-02-27,1408743113
2003-02-28,1400609493
2003-03-03,1403862941
2003-03-04,1392475872
2003-03-05,1374581906
2003-03-06,1377835355
2003-03-07,1377835355
2003-03-10,1377835355
2003-03-11,1374581906
2003-03-12,1379462079
2003-03-13,1382715527
2003-03-14,1405489665
2003-03-17,1494959493
2003-03-18,1498212942
2003-03-19,1527493976
2003-03-20,1481945700
2003-03-21,1532374149
2003-03-24,1561655184
2003-03-25,1576295701
2003-03-26,1577922425
2003-03-27,1590936218
2003-03-28,1582802597
2003-03-31,1570846322
2003-04-01,1564321519
2003-04-02,1570846322
2003-04-03,1575739924
2003-04-04,1579002326
2003-04-07,1523541500
2003-04-08,1515385496
2003-04-09,1525172701
2003-04-10,1536591106
2003-04-11,1525172701
2003-04-14,1549640712
2003-04-15,1549640712
2003-04-16,1552903114
2003-04-17,1600207935
2003-04-21,1588789530
2003-04-22,1624675947
2003-04-23,1647512757
2003-04-24,1683399174
2003-04-25,1711129586
2003-04-28,1807370431
2003-04-29,1815526434
2003-04-30,1844888048
2003-05-01,1820420037
2003-05-02,1859568855
2003-05-05,1853044052
2003-05-06,1843256847
2003-05-07,1813895233
2003-05-08,1807370431
2003-05-09,1817157635
2003-05-12,1849781650
2003-05-13,1911767279
2003-05-14,1908504877
2003-05-15,1911767279
2003-05-16,1957440900
2003-05-19,1910136078
2003-05-20,1910136078
2003-05-21,1929710487
2003-05-22,1947653695
2003-05-23,1963965702
2003-05-27,1942760093
2003-05-28,1972121706
2003-05-29,1965596903
2003-05-30,2006376922
2003-06-02,2024320130
2003-06-03,2032476134
2003-06-04,2061837748
2003-06-05,2055312945
2003-06-06,1990064915
2003-06-09,2022688930
2003-06-10,2029213733
2003-06-11,2034107335
2003-06-12,2092830562
2003-06-13,2104248967
2003-06-16,2140135383
2003-06-17,2264106641
2003-06-18,2270631444
2003-06-19,2218433020
2003-06-20,2161340993
2003-06-23,2153184990
2003-06-24,2233113826
2003-06-25,2185809005
2003-06-26,2255950637
2003-06-27,2270631444
2003-06-30,2280248644
2003-07-01,2440668146
2003-07-02,2443942014
2003-07-03,2417751074
2003-07-07,2430846544
2003-07-08,2435757345
2003-07-09,2504508561
2003-07-10,2537247235
2003-07-11,2478317621
2003-07-14,2532336433
2003-07-15,2548705770
2003-07-16,2504508561
2003-07-17,2437394279
2003-07-18,2448852815
2003-07-21,2409566406
2003-07-22,2543794969
2003-07-23,2586355246
2003-07-24,2484865356
2003-07-25,2569985909
2003-07-28,2550342704
2003-07-29,2499597759
2003-07-30,2468496019
2003-07-31,2411203340
2003-08-01,2352273726
2003-08-04,2394834003
2003-08-05,2445578947
2003-08-06,2455400550
2003-08-07,2457037483
2003-08-08,2457037483
2003-08-11,2460311351
2003-08-12,2471769887
2003-08-13,2520877898
2003-08-14,2560164306
2003-08-15,2569985909
2003-08-18,2550342704
2003-08-19,2344089058
2003-08-20,2403018671
2003-08-21,2353910660
2003-08-22,2234414500
2003-08-25,2173847953
2003-08-26,2301528782
2003-08-27,2385012400
2003-08-28,2339178257
2003-08-29,2304802649
2003-09-02,2278611710
2003-09-03,2324445854
2003-09-04,2322808920
2003-09-05,2303165715
2003-09-08,2362095329
2003-09-09,2360458395
2003-09-10,2344089058
2003-09-11,2339178257
2003-09-12,2344089058
2003-09-15,2334267456
2003-09-16,2340815191
2003-09-17,2368643063
2003-09-18,2414477207
2003-09-19,2401381737
2003-09-22,2373553865
2003-09-23,2299891848
2003-09-24,2281885577
2003-09-25,2242599169
2003-09-26,2177121821
2003-09-29,2175484887
2003-09-30,2261355208
2003-10-01,2269572341
2003-10-02,2333665985
2003-10-03,2358317386
2003-10-06,2396116201
2003-10-07,2396116201
2003-10-08,2410907042
2003-10-09,2384612214
2003-10-10,2386255641
2003-10-13,2455279564
2003-10-14,2450349284
2003-10-15,2443775577
2003-10-16,2414193895
2003-10-17,2320518571
2003-10-20,2264642061
2003-10-21,2300797450
2003-10-22,2208765552
2003-10-23,2147958762
2003-10-24,2226843246
2003-10-27,2235060380
2003-10-28,2235060380
2003-10-29,2267928915
2003-10-30,2213695832
2003-10-31,2233416953
2003-11-03,2235060380
2003-11-04,2169323310
2003-11-05,2179183870
2003-11-06,2180827297
2003-11-07,2215339259
2003-11-10,2220269539
2003-11-11,2243277513
2003-11-12,2277789475
2003-11-13,2210408978
2003-11-14,2223556392
2003-11-17,2164393029
2003-11-18,2180827297
2003-11-19,2241634087
2003-11-20,2231773526
2003-11-21,2231773526
2003-11-24,2256424927
2003-11-25,2249851220
2003-11-26,2251494647
2003-11-28,2249851220
2003-12-01,2267928915
2003-12-02,2277789475
2003-12-03,2246564367
2003-12-04,2267928915
2003-12-05,2322161997
2003-12-08,2300797450
2003-12-09,2279432902
2003-12-10,2230130099
2003-12-11,2254781501
2003-12-12,2243277513
2003-12-15,2233416953
2003-12-16,2256424927
2003-12-17,2259711781
2003-12-18,2312301437
2003-12-19,2364891093
2003-12-22,2373108227
2003-12-23,2379681934
2003-12-24,2364891093
2003-12-26,2350100252
2003-12-29,2379681934
2003-12-30,2389542494
2003-12-31,2382655811
2004-01-02,2400768606
2004-01-05,2572016847
2004-01-06,2497919050
2004-01-07,2469926550
2004-01-08,2451813755
2004-01-09,2479806256
2004-01-12,2469926550
2004-01-13,2436994196
2004-01-14,2418881401
2004-01-15,2466633314
2004-01-16,2624708613
2004-01-20,2700453028
2004-01-21,2707039498
2004-01-22,2858528327
2004-01-23,2819009502
2004-01-26,2814069649
2004-01-27,2823949355
2004-01-28,2799250090
2004-01-29,2799250090
2004-01-30,2878287739
2004-02-02,2874994504
2004-02-03,2832182444
2004-02-04,2777844059
2004-02-05,2804189943
2004-02-06,2819009502
2004-02-09,2848648621
2004-02-10,2815716267
2004-02-11,2799250090
2004-02-12,2781137295
2004-02-13,2736678617
2004-02-17,2810776413
2004-02-18,2809129796
2004-02-19,2819009502
2004-02-20,2799250090
2004-02-23,2860174944
2004-02-24,2848648621
2004-02-25,2884874210
2004-02-26,3011663773
2004-02-27,3070942010
2004-03-01,3123633776
2004-03-02,3108814217
2004-03-03,3070942010
2004-03-04,3128573630
2004-03-05,3201024808
2004-03-08,3143393189
2004-03-09,3192791720
2004-03-10,3161505984
2004-03-11,3103874364
2004-03-12,3131866865
2004-03-15,3079175099
2004-03-16,3011663773
2004-03-17,3098934511
2004-03-18,3077528481
2004-03-19,3087408187
2004-03-22,3033069803
2004-03-23,3059415686
2004-03-24,3038009656
2004-03-25,3064355539
2004-03-26,3118693923
2004-03-29,3182912014
2004-03-30,3270182752
2004-03-31,3217300893
2004-04-01,3342002478
2004-04-02,3425136868
2004-04-05,3571453394
2004-04-06,3591405648
2004-04-07,3654587784
2004-04-08,3642948969
2004-04-12,3657913160
2004-04-13,3503283194
2004-04-14,3526560823
2004-04-15,3618008652
2004-04-16,3657913160
2004-04-19,3815868501
2004-04-20,3860761071
2004-04-21,3807555062
2004-04-22,3897340203
2004-04-23,3952208900
2004-04-26,3900665578
2004-04-27,4023704476
2004-04-28,3940570086
2004-04-29,3890689452
2004-04-30,3900665578
2004-05-03,3933919334
2004-05-04,4033680602
2004-05-05,4068597046
2004-05-06,3922280520
2004-05-07,3874062574
2004-05-10,3884038700
2004-05-11,3917292456
2004-05-12,3885701388
2004-05-13,3920617832
2004-05-14,3945558149
2004-05-17,3889026764
2004-05-18,4083561236
2004-05-19,4125128431
2004-05-20,4113489617
2004-05-21,4141755309
2004-05-24,4198286695
2004-05-25,4244841953
2004-05-26,4322988280
2004-05-27,4332964406
2004-05-28,4296385275
2004-06-01,4056958232
2004-06-02,4096862739
2004-06-03,3938907398
2004-06-04,4010402973
2004-06-07,4135104558
2004-06-08,4146743373
2004-06-09,4060283607
2004-06-10,4223227012
2004-06-14,4216576260
2004-06-15,4186647880
2004-06-16,4233203138
2004-06-17,4229877763
2004-06-18,4291397211
2004-06-21,4322988280
2004-06-22,4289734524
2004-06-23,4441039113
2004-06-24,4489257060
2004-06-25,4602319830
2004-06-28,4687116908
2004-06-29,4678803469
2004-06-30,4898557668
2004-07-01,5000363508
2004-07-02,4861228860
2004-07-06,4806932412
2004-07-07,4891770612
2004-07-08,4808629176
2004-07-09,4708520100
2004-07-12,4574475744
2004-07-13,4540540464
2004-07-14,4442128152
2004-07-15,4162162092
2004-07-16,3977214816
2004-07-19,4046782140
2004-07-20,4269058224
2004-07-21,4099381824
2004-07-22,4247000292
2004-07-23,4216458540
2004-07-26,4165555620
2004-07-27,4245303528
2004-07-28,4233426180
2004-07-29,4291116156
2004-07-30,4258877640
2004-08-02,4255484111
2004-08-03,4287722628
2004-08-04,4248697056
2004-08-05,4114652700
2004-08-06,4408192872
2004-08-09,4594836912
2004-08-10,4666101000
2004-08-11,4659313944
2004-08-12,4520179296
2004-08-13,4513392240
2004-08-16,4581262800
2004-08-17,4579566036
2004-08-18,4577869272
2004-08-19,4538843700
2004-08-20,4579566036
2004-08-23,4662707472
2004-08-24,4628772192
2004-08-25,4627075428
2004-08-26,4691552460
2004-08-27,4632165720
2004-08-30,4518482532
2004-08-31,4518482532
2004-09-01,4489637544
2004-09-02,4672888056
2004-09-03,4649133360
2004-09-07,4903647960
2004-09-08,4871409444
2004-09-09,4907041488
2004-09-10,4891770612
2004-09-13,4801842120
2004-09-14,4883286792
2004-09-15,4796751828
2004-09-16,4778087424
2004-09-17,4862925624
2004-09-20,4957944408
2004-09-21,5129317572
2004-09-22,5159859324
2004-09-23,5193794604
2004-09-24,5348200128
2004-09-27,5332929252
2004-09-28,5405890104
2004-09-29,5377045116
2004-09-30,5477425141
2004-10-01,5626840334
2004-10-04,5720224830
2004-10-05,5728714330
2004-10-06,5725318530
2004-10-07,5676079432
2004-10-08,5633631934
2004-10-11,5645517234
2004-10-12,5608163435
2004-10-13,5679475232
2004-10-14,5830588325
2004-10-15,5811911426
2004-10-18,5796630326
2004-10-19,5764370228
2004-10-20,5670985732
2004-10-21,5720224830
2004-10-22,5708339531
2004-10-25,5750787029
2004-10-26,5626840334
2004-10-27,5781349227
2004-10-28,5900202222
2004-10-29,5968118218
2004-11-01,5969816118
2004-11-02,6105648112
2004-11-03,6350145700
2004-11-04,6348447800
2004-11-05,6124325011
2004-11-08,6363728900
2004-11-09,6489373494
2004-11-10,6742360582
2004-11-11,6771224880
2004-11-12,6949504372
2004-11-15,7144762863
2004-11-16,6825557678
2004-11-17,6878192575
2004-11-18,6912150574
2004-11-19,6825557678
2004-11-22,6881588375
2004-11-23,6964785471
2004-11-24,6747454282
2004-11-26,6718589983
2004-11-29,6733871082
2004-11-30,6645580286
2004-12-01,7049680467
