,CNX
2000-01-03,672525573
2000-01-04,660147802
2000-01-05,668399596
2000-01-06,697281113
2000-01-07,717910678
2000-01-10,722036654
2000-01-11,713784701
2000-01-12,726162472
2000-01-13,763295783
2000-01-14,759169965
2000-01-18,771547735
2000-01-19,759169965
2000-01-20,779799529
2000-01-21,783925505
2000-01-24,783925505
2000-01-25,775673553
2000-01-26,713784701
2000-01-27,759169965
2000-01-28,800429094
2000-01-31,800429094
2000-02-01,788051323
2000-02-02,800429094
2000-02-03,808681046
2000-02-04,796303276
2000-02-07,783925505
2000-02-08,796303276
2000-02-09,829310610
2000-02-10,821058816
2000-02-11,796303276
2000-02-14,804555070
2000-02-15,796303276
2000-02-16,808681046
2000-02-17,804555070
2000-02-18,808681046
2000-02-22,804555070
2000-02-23,767421759
2000-02-24,767421759
2000-02-25,763295783
2000-02-28,750918012
2000-02-29,767421759
2000-03-01,750918012
2000-03-02,755043989
2000-03-03,759169965
2000-03-06,767421759
2000-03-07,767421759
2000-03-08,755043989
2000-03-09,763295783
2000-03-10,750918012
2000-03-13,746792194
2000-03-14,750918012
2000-03-15,755043989
2000-03-16,750918012
2000-03-17,750918012
2000-03-20,742666218
2000-03-21,746792194
2000-03-22,726162472
2000-03-23,734414424
2000-03-24,726162472
2000-03-27,755043989
2000-03-28,730288448
2000-03-29,705532907
2000-03-30,697281113
2000-03-31,695738671
2000-04-03,712109046
2000-04-04,708016413
2000-04-05,716201679
2000-04-06,720294155
2000-04-07,720294155
2000-04-10,679368453
2000-04-11,687553562
2000-04-12,691646195
2000-04-13,667090711
2000-04-14,679368453
2000-04-17,687553562
2000-04-18,683460929
2000-04-19,687553562
2000-04-20,687553562
2000-04-24,683460929
2000-04-25,687553562
2000-04-26,671183187
2000-04-27,662998078
2000-04-28,679368453
2000-05-01,744849640
2000-05-02,753034906
2000-05-03,765312648
2000-05-04,740757164
2000-05-05,765312648
2000-05-08,757127382
2000-05-09,769405124
2000-05-10,744849640
2000-05-11,724386789
2000-05-12,703923937
2000-05-15,695738671
2000-05-16,728479422
2000-05-17,765312648
2000-05-18,736664531
2000-05-19,761220015
2000-05-22,785775500
2000-05-23,826701359
2000-05-24,830793835
2000-05-25,843071577
2000-05-26,810330984
2000-05-30,818516093
2000-05-31,818516093
2000-06-01,859441953
2000-06-02,875812328
2000-06-05,900367812
2000-06-06,904460288
2000-06-07,912645554
2000-06-08,900367812
2000-06-09,912645554
2000-06-12,937201039
2000-06-13,941293515
2000-06-14,1023145234
2000-06-15,1023145234
2000-06-16,1055885828
2000-06-19,1035422976
2000-06-20,1113181905
2000-06-21,1064070937
2000-06-22,1043608085
2000-06-23,1068163570
2000-06-26,1068163570
2000-06-27,1055885828
2000-06-28,1076348679
2000-06-29,978126741
2000-06-30,991427720
2000-07-03,1006774859
2000-07-05,1019052601
2000-07-06,1039515452
2000-07-07,1031330343
2000-07-10,1002682226
2000-07-11,1047700719
2000-07-12,1051793195
2000-07-13,1051793195
2000-07-14,1059978461
2000-07-17,1068163570
2000-07-18,1092719054
2000-07-19,1080441312
2000-07-20,1088626421
2000-07-21,1080441312
2000-07-24,1047700719
2000-07-25,1055885828
2000-07-26,1051793195
2000-07-27,1039515452
2000-07-28,1080441312
2000-07-31,1125459648
2000-08-01,1162292874
2000-08-02,1211403843
2000-08-03,1240051960
2000-08-04,1166385507
2000-08-07,1183778962
2000-08-08,1211403843
2000-08-09,1203218734
2000-08-10,1199126101
2000-08-11,1207311367
2000-08-14,1244144594
2000-08-15,1252329703
2000-08-16,1256422336
2000-08-17,1256422336
2000-08-18,1256422336
2000-08-21,1252329703
2000-08-22,1244144594
2000-08-23,1223681585
2000-08-24,1199126101
2000-08-25,1227774218
2000-08-28,1260514812
2000-08-29,1285070296
2000-08-30,1301440671
2000-08-31,1362829382
2000-09-01,1334181265
2000-09-05,1297348038
2000-09-06,1235959327
2000-09-07,1272792554
2000-09-08,1264607445
2000-09-11,1252329703
2000-09-12,1256422336
2000-09-13,1252329703
2000-09-14,1260514812
2000-09-15,1264607445
2000-09-18,1256422336
2000-09-19,1211403843
2000-09-20,1109089429
2000-09-21,1072256203
2000-09-22,1162292874
2000-09-25,1104996796
2000-09-26,1092719054
2000-09-27,1113181905
2000-09-28,1080441312
2000-09-29,1051793195
2000-10-02,1113370379
2000-10-03,1109277210
2000-10-04,1092904063
2000-10-05,1109277210
2000-10-06,1133836852
2000-10-09,1236168588
2000-10-10,1305754345
2000-10-11,1277101377
2000-10-12,1256635061
2000-10-13,1309847514
2000-10-16,1256635061
2000-10-17,1281194703
2000-10-18,1264821556
2000-10-19,1285287872
2000-10-20,1244355240
2000-10-23,1248448409
2000-10-24,1236168588
2000-10-25,1232075419
2000-10-26,1215702272
2000-10-27,1211608946
2000-10-30,1117463705
2000-10-31,1109277210
2000-11-01,1146116673
2000-11-02,1146116673
2000-11-03,1137930021
2000-11-06,1162489663
2000-11-07,1178862810
2000-11-08,1182956136
2000-11-09,1195235956
2000-11-10,1211608946
2000-11-13,1219795598
2000-11-14,1223888767
2000-11-15,1236168588
2000-11-16,1223888767
2000-11-17,1232075419
2000-11-20,1215702272
2000-11-21,1219795598
2000-11-22,1227982093
2000-11-24,1277101377
2000-11-27,1273008051
2000-11-28,1248448409
2000-11-29,1248448409
2000-11-30,1248448409
2000-12-01,1268914882
2000-12-04,1268914882
2000-12-05,1297567693
2000-12-06,1277101377
2000-12-07,1289381198
2000-12-08,1326220661
2000-12-11,1305754345
2000-12-12,1309847514
2000-12-13,1273008051
2000-12-14,1277101377
2000-12-15,1264821556
2000-12-18,1264821556
2000-12-19,1252541735
2000-12-20,1248448409
2000-12-21,1248448409
2000-12-22,1350780303
2000-12-26,1432645723
2000-12-27,1653682500
2000-12-28,1694615289
2000-12-29,1829693319
2001-01-02,1801629791
2001-01-03,1723832243
2001-01-04,1752494431
2001-01-05,1744305257
2001-01-08,1678791392
2001-01-09,1740210592
2001-01-10,1863048990
2001-01-11,1928562855
2001-01-12,1785251443
2001-01-16,1822102962
2001-01-17,1879427496
2001-01-18,1805724457
2001-01-19,1781156777
2001-01-22,1764778271
2001-01-23,1756589097
2001-01-24,1854859816
2001-01-25,1818008296
2001-01-26,1801629791
2001-01-29,1755770227
2001-01-30,1704669453
2001-01-31,1756425260
2001-02-01,2017170339
2001-02-02,2004722662
2001-02-05,1969345203
2001-02-06,1968690013
2001-02-07,1988344156
2001-02-08,1991619952
2001-02-09,1899900510
2001-02-12,1870419294
2001-02-13,1850765150
2001-02-14,1831111006
2001-02-15,1872384708
2001-02-16,1876970728
2001-02-20,1877625918
2001-02-21,1860592222
2001-02-22,1882866971
2001-02-23,1899900510
2001-02-26,1965414375
2001-02-27,1965414375
2001-02-28,1965414375
2001-03-01,1977206861
2001-03-02,2106269019
2001-03-05,2089890671
2001-03-06,2080063599
2001-03-07,2028962825
2001-03-08,2027652444
2001-03-09,2024376806
2001-03-12,2021101168
2001-03-13,1939208797
2001-03-14,1919554653
2001-03-15,1894659457
2001-03-16,1834386802
2001-03-19,1846834321
2001-03-20,1857316584
2001-03-21,1927416311
2001-03-22,1961483546
2001-03-23,1966069565
2001-03-26,2037479516
2001-03-27,2096441947
2001-03-28,2346704763
2001-03-29,2351945816
2001-03-30,2260226531
2001-04-02,2226814486
2001-04-03,2096441947
2001-04-04,2110199848
2001-04-05,2204539738
2001-04-06,2205850119
2001-04-09,2287742332
2001-04-10,2561590278
2001-04-11,2581899455
2001-04-12,2548487096
2001-04-16,2532109062
2001-04-17,2664446701
2001-04-18,2594346975
2001-04-19,2610725637
2001-04-20,2539315372
2001-04-23,2474456698
2001-04-24,2619897361
2001-04-25,2690652122
2001-04-26,2695893174
2001-04-27,2603518699
2001-04-30,2505903328
2001-05-01,2512454761
2001-05-02,2417459681
2001-05-03,2355221611
2001-05-04,2429907358
2001-05-07,2469870678
2001-05-08,2489524822
2001-05-09,2489524822
2001-05-10,2482973546
2001-05-11,2482318355
2001-05-14,2565521107
2001-05-15,2607449527
2001-05-16,2619897361
2001-05-17,2617931947
2001-05-18,2627103671
2001-05-21,2653964754
2001-05-22,2596967422
2001-05-23,2490835203
2001-05-24,2279880675
2001-05-25,2292328351
2001-05-29,2181609956
2001-05-30,2002757248
2001-05-31,1991619952
2001-06-01,2017825372
2001-06-04,1981137690
2001-06-05,2011274096
2001-06-06,2007998300
2001-06-07,1902521115
2001-06-08,1922175258
2001-06-11,1892038852
2001-06-12,1844868907
2001-06-13,1903176305
2001-06-14,1808181225
2001-06-15,1840938078
2001-06-18,1854040946
2001-06-19,1772148575
2001-06-20,1719737578
2001-06-21,1690256362
2001-06-22,1688946138
2001-06-25,1680429290
2001-06-26,1667981613
2001-06-27,1676498461
2001-06-28,1696807796
2001-06-29,1657499508
2001-07-02,1683049895
2001-07-03,1700738624
2001-07-05,1656189127
2001-07-06,1660119956
2001-07-09,1550056751
2001-07-10,1513369068
2001-07-11,1415098350
2001-07-12,1478646800
2001-07-13,1527782159
2001-07-16,1453751446
2001-07-17,1467509347
2001-07-18,1432131888
2001-07-19,1466199123
2001-07-20,1261140838
2001-07-23,1319448236
2001-07-24,1297173487
2001-07-25,1375790062
2001-07-26,1637845364
2001-07-27,1538264265
2001-07-30,1540229679
2001-07-31,1590020229
2001-08-01,1598537077
2001-08-02,1582813762
2001-08-03,1559228789
2001-08-06,1532368021
2001-08-07,1555297961
2001-08-08,1551367132
2001-08-09,1510093430
2001-08-10,1526471778
2001-08-13,1605088353
2001-08-14,1736116083
2001-08-15,1734805702
2001-08-16,1725633821
2001-08-17,1746598188
2001-08-20,1772803766
2001-08-21,1806215810
2001-08-22,1835697026
2001-08-23,1791802719
2001-08-24,1808181225
2001-08-27,1804905586
2001-08-28,1810801829
2001-08-29,1707289901
2001-08-30,1705979677
2001-08-31,1703359072
2001-09-04,1752494431
2001-09-05,1757735641
2001-09-06,1704669453
2001-09-07,1676498461
2001-09-10,1663395751
2001-09-17,1637845364
2001-09-18,1602467906
2001-09-19,1516644706
2001-09-20,1520575535
2001-09-21,1470129952
2001-09-24,1466199123
2001-09-25,1403961054
2001-09-26,1316827631
2001-09-27,1372514424
2001-09-28,1403961054
