,ALB
2000-01-03,828812907
2000-01-04,828812907
2000-01-05,843547358
2000-01-06,872095358
2000-01-07,857360907
2000-01-10,854598197
2000-01-11,851835487
2000-01-12,857360907
2000-01-13,869332649
2000-01-14,851835487
2000-01-18,834338326
2000-01-19,837101036
2000-01-20,826050197
2000-01-21,837101036
2000-01-24,823287487
2000-01-25,788293164
2000-01-26,817762068
2000-01-27,831575616
2000-01-28,811315745
2000-01-31,831575616
2000-02-01,808553035
2000-02-02,811315745
2000-02-03,811315745
2000-02-04,800264906
2000-02-07,800264906
2000-02-08,788293164
2000-02-09,777242326
2000-02-10,777242326
2000-02-11,736722584
2000-02-14,756982455
2000-02-15,777242326
2000-02-16,748694325
2000-02-17,759745164
2000-02-18,733959874
2000-02-22,733959874
2000-02-23,725671745
2000-02-24,708174583
2000-02-25,705411874
2000-02-28,705411874
2000-02-29,693440132
2000-03-01,670417551
2000-03-02,687914712
2000-03-03,690677422
2000-03-06,716462712
2000-03-07,690677422
2000-03-08,725671745
2000-03-09,710937293
2000-03-10,736722584
2000-03-13,721988132
2000-03-14,728434454
2000-03-15,794739487
2000-03-16,854598197
2000-03-17,872095358
2000-03-20,903406068
2000-03-21,909852391
2000-03-22,866569939
2000-03-23,860123616
2000-03-24,869332649
2000-03-27,869332649
2000-03-28,843547358
2000-03-29,826050197
2000-03-30,880383487
2000-03-31,950704200
2000-04-03,915900000
2000-04-04,927806700
2000-04-05,895750200
2000-04-06,910404600
2000-04-07,930554400
2000-04-10,907656900
2000-04-11,915900000
2000-04-12,913152300
2000-04-13,913152300
2000-04-14,910404600
2000-04-17,893002500
2000-04-18,867357300
2000-04-19,893002500
2000-04-20,913152300
2000-04-24,941545200
2000-04-25,967190400
2000-04-26,930554400
2000-04-27,961695000
2000-04-28,958947300
2000-05-01,969938100
2000-05-02,976349400
2000-05-03,1015733100
2000-05-04,984592500
2000-05-05,992835600
2000-05-08,1007490000
2000-05-09,1007490000
2000-05-10,987340200
2000-05-11,1004742300
2000-05-12,1001994600
2000-05-15,1004742300
2000-05-16,1045041900
2000-05-17,1022144400
2000-05-18,1047789600
2000-05-19,1042294200
2000-05-22,1056032700
2000-05-23,1065191700
2000-05-24,1073434800
2000-05-25,1070687100
2000-05-26,1027639800
2000-05-30,1050537300
2000-05-31,1007490000
2000-06-01,987340200
2000-06-02,1038630600
2000-06-05,1001994600
2000-06-06,1004742300
2000-06-07,1045041900
2000-06-08,1010237700
2000-06-09,1012985400
2000-06-12,1035882900
2000-06-13,1024892100
2000-06-14,1001994600
2000-06-15,996499200
2000-06-16,992835600
2000-06-19,990087900
2000-06-20,969938100
2000-06-21,961695000
2000-06-22,933302100
2000-06-23,930554400
2000-06-26,938797500
2000-06-27,927806700
2000-06-28,996499200
2000-06-29,1010237700
2000-06-30,905324160
2000-07-03,987792960
2000-07-05,1002454080
2000-07-06,985044000
2000-07-07,1022613120
2000-07-10,1028111040
2000-07-11,1010700960
2000-07-12,1039106880
2000-07-13,1025362080
2000-07-14,1019864160
2000-07-17,1022613120
2000-07-18,1016198880
2000-07-19,1016198880
2000-07-20,1022613120
2000-07-21,1082173920
2000-07-24,1033608960
2000-07-25,1091337120
2000-07-26,1076676000
2000-07-27,1082173920
2000-07-28,1099584000
2000-07-31,1130738880
2000-08-01,1130738880
2000-08-02,1119743040
2000-08-03,1119743040
2000-08-04,1105081920
2000-08-07,1122492000
2000-08-08,1125240960
2000-08-09,1111496160
2000-08-10,1105081920
2000-08-11,1102332960
2000-08-14,1142651040
2000-08-15,1127989920
2000-08-16,1176554880
2000-08-17,1160061120
2000-08-18,1139902080
2000-08-21,1145400000
2000-08-22,1173805920
2000-08-23,1153646880
2000-08-24,1134404160
2000-08-25,1162810080
2000-08-28,1134404160
2000-08-29,1134404160
2000-08-30,1139902080
2000-08-31,1137153120
2000-09-01,1127989920
2000-09-05,1119743040
2000-09-06,1111496160
2000-09-07,1065680160
2000-09-08,1062014880
2000-09-11,1084922880
2000-09-12,1076676000
2000-09-13,1042772160
2000-09-14,1039106880
2000-09-15,993290880
2000-09-18,964884960
2000-09-19,947474880
2000-09-20,919068960
2000-09-21,913571040
2000-09-22,898909920
2000-09-25,887914080
2000-09-26,855842880
2000-09-27,901658880
2000-09-28,933730080
2000-09-29,924566880
2000-10-02,874193876
2000-10-03,909161631
2000-10-04,934927345
2000-10-05,943209182
2000-10-06,1006703263
2000-10-09,994740610
2000-10-10,974496120
2000-10-11,940448569
2000-10-12,920204080
2000-10-13,917443467
2000-10-16,902720202
2000-10-17,914682855
2000-10-18,943209182
2000-10-19,940448569
2000-10-20,957932447
2000-10-23,948730406
2000-10-24,978176937
2000-10-25,978176937
2000-10-26,1003942651
2000-10-27,1024187141
2000-10-30,1078479181
2000-10-31,1066516528
2000-11-01,991979998
2000-11-02,971735508
2000-11-03,925725304
2000-11-06,966214284
2000-11-07,989219386
2000-11-08,1014985100
2000-11-09,1003942651
2000-11-10,971735508
2000-11-13,989219386
2000-11-14,1001182039
2000-11-15,1017745712
2000-11-16,980937549
2000-11-17,1009463875
2000-11-20,1001182039
2000-11-21,1009463875
2000-11-22,1009463875
2000-11-24,1017745712
2000-11-27,1024187141
2000-11-28,991979998
2000-11-29,1026947753
2000-11-30,1014985100
2000-12-01,1058234692
2000-12-04,1060995304
2000-12-05,1101484283
2000-12-06,1043511426
2000-12-07,1035229590
2000-12-08,1055474079
2000-12-11,1058234692
