,EOG
2000-01-03,1828675040
2000-01-04,1828675040
2000-01-05,1776831160
2000-01-06,1922936640
2000-01-07,1894658159
2000-01-10,1913510479
2000-01-11,1927649720
2000-01-12,1927649720
2000-01-13,1965354360
2000-01-14,2003059000
2000-01-18,2012485159
2000-01-19,2017198240
2000-01-20,1974780520
2000-01-21,1913510479
2000-01-24,1871092760
2000-01-25,1842814280
2000-01-26,1861666600
2000-01-27,1819248880
2000-01-28,1795683480
2000-01-31,1871092760
2000-02-01,1885232000
2000-02-02,1946502040
2000-02-03,1899371240
2000-02-04,1847527360
2000-02-07,1833388120
2000-02-08,1828675040
2000-02-09,1776831160
2000-02-10,1871092760
2000-02-11,1842814280
2000-02-14,1856953520
2000-02-15,1913510479
2000-02-16,1875805840
2000-02-17,1908797400
2000-02-18,1847527360
2000-02-22,1828675040
2000-02-23,1739126520
2000-02-24,1649578000
2000-02-25,1635438760
2000-02-28,1673143400
2000-02-29,1795683480
2000-03-01,1842814280
2000-03-02,2092607520
2000-03-03,2040763640
2000-03-06,2045476720
2000-03-07,2201008360
2000-03-08,2224573760
2000-03-09,2210434520
2000-03-10,2186869120
2000-03-13,2149164480
2000-03-14,2182156040
2000-03-15,2158590640
2000-03-16,2210434520
2000-03-17,2182156040
2000-03-20,2163303720
2000-03-21,2201008360
2000-03-22,2229286840
2000-03-23,2238713000
2000-03-24,2172729880
2000-03-27,2172729880
2000-03-28,2276417640
2000-03-29,2554489360
2000-03-30,2710021000
2000-03-31,2463991200
2000-04-03,2701092240
2000-04-04,2636005680
2000-04-05,2594164320
2000-04-06,2701092240
2000-04-07,2747582640
2000-04-10,2617409520
2000-04-11,2724337440
2000-04-12,2826616320
2000-04-13,2849861520
2000-04-14,2701092240
2000-04-17,2663899920
2000-04-18,2761529760
2000-04-19,2696443200
2000-04-20,2766178800
2000-04-24,2701092240
2000-04-25,2747582640
2000-04-26,2747582640
2000-04-27,2789424000
2000-04-28,2891702880
2000-05-01,3007928880
2000-05-02,3124154880
2000-05-03,3049770240
2000-05-04,3217135680
2000-05-05,3305467440
2000-05-08,3370554000
2000-05-09,3319414560
2000-05-10,3342659760
2000-05-11,3421693440
2000-05-12,3449587680
2000-05-15,3430991520
2000-05-16,3254328000
2000-05-17,3472832880
2000-05-18,3575111760
2000-05-19,3612304080
2000-05-22,3626251200
2000-05-23,3616953120
2000-05-24,3579760800
2000-05-25,3514674240
2000-05-26,3486780000
2000-05-30,3616953120
2000-05-31,3779669520
2000-06-01,3728530080
2000-06-02,3547217520
2000-06-05,3510025200
2000-06-06,3644847360
2000-06-07,3630900240
2000-06-08,3742477200
2000-06-09,3682039680
2000-06-12,3784318560
2000-06-13,3863352240
2000-06-14,3895895520
2000-06-15,3863352240
2000-06-16,4026068640
2000-06-19,3914491680
2000-06-20,3900544560
2000-06-21,3909842640
2000-06-22,3756424320
2000-06-23,3844756080
2000-06-26,3779669520
2000-06-27,3826159920
2000-06-28,3886597439
2000-06-29,3923789760
2000-06-30,3917154876
2000-07-03,3847038738
2000-07-05,3454388369
2000-07-06,3360900186
2000-07-07,3505806870
2000-07-10,3547876552
2000-07-11,3781597010
2000-07-12,3674085599
2000-07-13,3730178509
2000-07-14,3683434418
2000-07-17,3547876552
2000-07-18,3683434418
2000-07-19,3613318280
2000-07-20,3388946641
2000-07-21,3281435230
2000-07-24,3192621456
2000-07-25,3155226183
2000-07-26,3248714366
2000-07-27,3449713960
2000-07-28,3505806870
2000-07-31,3454388369
2000-08-01,3608643871
2000-08-02,3739527328
2000-08-03,3683434418
2000-08-04,3814317874
2000-08-07,3847038738
2000-08-08,3833015511
2000-08-09,3870410784
2000-08-10,3996619831
2000-08-11,4001294240
2000-08-14,4062061560
2000-08-15,4150875334
2000-08-16,4118154469
2000-08-17,4235014698
2000-08-18,4220991471
2000-08-21,4249037926
2000-08-22,4286433199
2000-08-23,4412642247
2000-08-24,4431339883
2000-08-25,4431339883
2000-08-28,4431339883
2000-08-29,4548200112
2000-08-30,4426665474
2000-08-31,4468735156
2000-09-01,4501456021
2000-09-05,4501456021
2000-09-06,4585595385
2000-09-07,4580920976
2000-09-08,4529502476
2000-09-11,4637013886
2000-09-12,4702455614
2000-09-13,4580920976
2000-09-14,4618316250
2000-09-15,4618316250
2000-09-18,4665060341
2000-09-19,4534176885
2000-09-20,4637013886
2000-09-21,4468735156
2000-09-22,4440688702
2000-09-25,4347200518
2000-09-26,4548200112
2000-09-27,4618316250
2000-09-28,4557548931
2000-09-29,4543525703
2000-10-02,4625061120
2000-10-03,4606411680
2000-10-04,4387280760
2000-10-05,4303358280
2000-10-06,4419917280
2000-10-09,4415254920
2000-10-10,4727633040
2000-10-11,4923452160
2000-10-12,4909465080
2000-10-13,4844192040
2000-10-16,4764931920
2000-10-17,4956088680
2000-10-18,4923452160
2000-10-19,4918789800
2000-10-20,5063322960
2000-10-23,5002712280
2000-10-24,4662360000
2000-10-25,4289371199
2000-10-26,4415254920
2000-10-27,4457216160
2000-10-30,4503839760
2000-10-31,4587762240
2000-11-01,4909465080
2000-11-02,4788243720
2000-11-03,4722970680
2000-11-06,4648372920
2000-11-07,4648372920
2000-11-08,4764931920
2000-11-09,4625061120
2000-11-10,4648372920
2000-11-13,4536476280
2000-11-14,4690334160
2000-11-15,5100621840
2000-11-16,5179881960
2000-11-17,5086634760
2000-11-20,4923452160
2000-11-21,5119271280
2000-11-22,5128596000
2000-11-24,5305765680
2000-11-27,5333739840
2000-11-28,5273129160
2000-11-29,4988725200
2000-11-30,4946763960
2000-12-01,5179881960
2000-12-04,5361714000
2000-12-05,5371038720
2000-12-06,5552870760
2000-12-07,5296440960
2000-12-08,5319752760
2000-12-11,5538883680
2000-12-12,5632130880
2000-12-13,5702066280
2000-12-14,5501584800
2000-12-15,5552870760
2000-12-18,5772001680
2000-12-19,5879235960
2000-12-20,5841937080
2000-12-21,6019106760
2000-12-22,6061068000
2000-12-26,6476018040
2000-12-27,6536628720
2000-12-28,6578589960
2000-12-29,6368783760
2001-01-02,6233527040
2001-01-03,5702816000
2001-01-04,5395562240
2001-01-05,5563155200
2001-01-08,5716782080
2001-01-09,5628330240
2001-01-10,5665573120
2001-01-11,5544533760
