,ODFL
2000-01-03,93521881
2000-01-04,91444416
2000-01-05,102873312
2000-01-06,93521881
2000-01-07,93521881
2000-01-10,103912991
2000-01-11,90404737
2000-01-12,96639024
2000-01-13,193164423
2000-01-14,94561560
2000-01-18,99756168
2000-01-19,102873312
2000-01-20,105992349
2000-01-21,102873312
2000-01-24,104952670
2000-01-25,104431883
2000-01-26,104952670
2000-01-27,104952670
2000-01-28,105992349
2000-01-31,98718383
2000-02-01,98718383
2000-02-02,99756168
2000-02-03,105992349
2000-02-04,105992349
2000-02-07,104431883
2000-02-08,105992349
2000-02-09,103912991
2000-02-10,102873312
2000-02-11,103912991
2000-02-14,99756168
2000-02-15,198845730
2000-02-16,103912991
2000-02-17,102873312
2000-02-18,102873312
2000-02-22,103912991
2000-02-23,101835526
2000-02-24,103394098
2000-02-25,101835526
2000-02-28,101835526
2000-02-29,101835526
2000-03-01,102873312
2000-03-02,103394098
2000-03-03,99756168
2000-03-06,198845730
2000-03-07,100276954
2000-03-08,100276954
2000-03-09,100276954
2000-03-10,100276954
2000-03-13,200739499
2000-03-14,100276954
2000-03-15,200739499
2000-03-16,100276954
2000-03-17,100795847
2000-03-20,105992349
2000-03-21,100276954
2000-03-22,200739499
2000-03-23,200739499
2000-03-24,105992349
2000-03-27,105992349
2000-03-28,100276954
2000-03-29,105992349
2000-03-30,99237275
2000-03-31,198845730
2000-04-03,99237275
2000-04-04,99756168
2000-04-05,90404737
2000-04-06,83649664
2000-04-07,90404737
2000-04-10,88325379
2000-04-11,90404737
2000-04-12,86247915
2000-04-13,90404737
2000-04-14,90404737
2000-04-17,86247915
2000-04-18,85208236
2000-04-19,89365058
2000-04-20,89365058
2000-04-24,87287594
2000-04-25,88325379
2000-04-26,88325379
2000-04-27,85208236
2000-04-28,91444416
2000-05-01,87287594
2000-05-02,89365058
2000-05-03,91444416
2000-05-04,91444416
2000-05-05,91444416
2000-05-08,88325379
2000-05-09,83649664
2000-05-10,83649664
2000-05-11,83649664
2000-05-12,83649664
2000-05-15,83130771
2000-05-16,83649664
2000-05-17,85208236
2000-05-18,87287594
2000-05-19,87287594
2000-05-22,83130771
2000-05-23,88325379
2000-05-24,84170450
2000-05-25,83130771
2000-05-26,81312753
2000-05-30,83130771
2000-05-31,73777447
2000-06-01,78973948
2000-06-02,78973948
2000-06-05,78973948
2000-06-06,78973948
2000-06-07,80532520
2000-06-08,83130771
2000-06-09,166257755
2000-06-12,82091092
2000-06-13,82091092
2000-06-14,74817126
2000-06-15,74817126
2000-06-16,76896484
2000-06-19,81051413
2000-06-20,78973948
2000-06-21,77934269
2000-06-22,77934269
2000-06-23,82091092
2000-06-26,164178397
2000-06-27,164178397
2000-06-28,164178397
2000-06-29,80013628
2000-06-30,80929954
2000-07-03,83006196
2000-07-05,77817481
2000-07-06,155633072
2000-07-07,77817481
2000-07-10,77299366
2000-07-11,154594951
2000-07-12,76261245
2000-07-13,75225015
2000-07-14,150444358
2000-07-17,77817481
2000-07-18,77299366
2000-07-19,76781251
2000-07-20,72630658
2000-07-21,72630658
2000-07-24,77817481
2000-07-25,76781251
2000-07-26,78855602
2000-07-27,80929954
2000-07-28,83006196
2000-07-31,80929954
2000-08-01,79373717
2000-08-02,83006196
2000-08-03,83006196
2000-08-04,89231141
2000-08-07,89231141
2000-08-08,90269262
2000-08-09,91307383
2000-08-10,91307383
2000-08-11,182609093
2000-08-14,90787377
2000-08-15,181570972
2000-08-16,90787377
2000-08-17,87156789
2000-08-18,83006196
2000-08-21,86118668
2000-08-22,83006196
2000-08-23,83006196
2000-08-24,166008610
2000-08-25,86636783
2000-08-28,86636783
2000-08-29,83006196
2000-08-30,78855602
2000-08-31,76781251
2000-09-01,73666888
2000-09-05,78855602
2000-09-06,75743130
2000-09-07,81968075
2000-09-08,76261245
2000-09-11,74705009
2000-09-12,74705009
2000-09-13,79893723
2000-09-14,74705009
2000-09-15,78855602
2000-09-18,76781251
2000-09-19,153556830
2000-09-20,78855602
2000-09-21,80929954
2000-09-22,161858017
2000-09-25,78855602
