,SIG
2000-01-03,1839249462
2000-01-04,1846039493
2000-01-05,1846039493
2000-01-06,1930914872
2000-01-07,1895267213
2000-01-10,1895267213
2000-01-11,1860468307
2000-01-12,1860468307
2000-01-13,1860468307
2000-01-14,1839249462
2000-01-18,1852829523
2000-01-19,1852829523
2000-01-20,1852829523
2000-01-21,1796811773
2000-01-24,1867258338
2000-01-25,1782382959
2000-01-26,1782382959
2000-01-27,1669498704
2000-01-28,1612632201
2000-01-31,1527756822
2000-02-01,1495738890
2000-02-02,1440372224
2000-02-03,1453794446
2000-02-04,1419400001
2000-02-07,1510000002
2000-02-08,1510000002
2000-02-09,1635833335
2000-02-10,1510000002
2000-02-11,1510000002
2000-02-14,1510000002
2000-02-15,1464700001
2000-02-16,1437016668
2000-02-17,1398427779
2000-02-18,1359838890
2000-02-22,1342222224
2000-02-23,1342222224
2000-02-24,1317894446
2000-02-25,1327961112
2000-02-28,1279305557
2000-02-29,1321250001
2000-03-01,1300277779
2000-03-02,1300277779
2000-03-03,1300277779
2000-03-06,1300277779
2000-03-07,1258333335
2000-03-08,1206322223
2000-03-09,1174444446
2000-03-10,1188705557
2000-03-13,1248266668
2000-03-14,1230650001
2000-03-15,1230650001
2000-03-16,1279305557
2000-03-17,1286016668
2000-03-20,1286016668
2000-03-21,1384166668
2000-03-22,1359838890
2000-03-23,1510000002
2000-03-24,1537683335
2000-03-27,1646738891
2000-03-28,1524261113
2000-03-29,1510000002
2000-03-30,1426111113
2000-03-31,1405138890
2000-04-03,1405138890
2000-04-04,1405138890
2000-04-05,1377455557
2000-04-06,1377455557
2000-04-07,1377455557
2000-04-10,1390877779
2000-04-11,1369905557
2000-04-12,1369905557
2000-04-13,1398427779
2000-04-14,1327961112
2000-04-17,1286016668
2000-04-18,1286016668
2000-04-19,1327961112
2000-04-20,1327961112
2000-04-24,1327961112
2000-04-25,1468055557
2000-04-26,1468055557
2000-04-27,1468055557
2000-04-28,1468055557
2000-05-01,1566205557
2000-05-02,1468055557
2000-05-03,1468055557
2000-05-04,1468055557
2000-05-05,1453794446
2000-05-08,1453794446
2000-05-09,1426111113
2000-05-10,1398427779
2000-05-11,1377455557
2000-05-12,1377455557
2000-05-15,1377455557
2000-05-16,1377455557
2000-05-17,1342222224
2000-05-18,1342222224
2000-05-19,1342222224
2000-05-22,1342222224
2000-05-23,1230650001
2000-05-24,1258333335
2000-05-25,1272594446
2000-05-26,1272594446
2000-05-30,1342222224
2000-05-31,1342222224
2000-06-01,1321250001
2000-06-02,1398427779
2000-06-05,1432822224
2000-06-06,1432822224
2000-06-07,1432822224
2000-06-08,1390877779
2000-06-09,1390877779
2000-06-12,1356483335
2000-06-13,1356483335
2000-06-14,1356483335
2000-06-15,1356483335
