,DVA
2001-01-02,1325088098
2001-01-03,1453987629
2001-01-04,1376647861
2001-01-05,1386959912
2001-01-08,1386959912
2001-01-09,1433363773
2001-01-10,1464299680
2001-01-11,1510703540
2001-01-12,1484923536
2001-01-16,1536483298
2001-01-17,1526171494
2001-01-18,1381803763
2001-01-19,1325088098
2001-01-22,1381803763
2001-01-23,1397271717
2001-01-24,1417895819
2001-01-25,1407583768
2001-01-26,1428207624
2001-01-29,1545970474
2001-01-30,1502247643
2001-01-31,1612792034
2001-02-01,1605367416
2001-02-02,1546795350
2001-02-05,1278684238
2001-02-06,1336431182
2001-02-07,1340556052
2001-02-08,1311682456
2001-02-09,1241561150
2001-02-12,1204438061
2001-02-13,1270434498
2001-02-14,1243210900
2001-02-15,1247335770
2001-02-16,1303432964
2001-02-20,1286933731
2001-02-21,1261360130
2001-02-22,1314982204
2001-02-23,1315807326
2001-02-26,1395003248
2001-02-27,1440375829
2001-02-28,1450275320
2001-03-01,1458524812
2001-03-02,1427176592
2001-03-05,1425526594
2001-03-06,1419751974
2001-03-07,1402427866
2001-03-08,1403252741
2001-03-09,1385928633
2001-03-12,1361179908
2001-03-13,1376029143
2001-03-14,1376854018
2001-03-15,1385103758
2001-03-16,1319107074
2001-03-19,1299308094
2001-03-20,1307557586
2001-03-21,1319931949
2001-03-22,1270434498
2001-03-23,1322406822
2001-03-26,1356230162
2001-03-27,1352930415
2001-03-28,1335606307
2001-03-29,1381803763
2001-03-30,1400777868
2001-04-02,1413939200
2001-04-03,1384394369
2001-04-04,1365823057
2001-04-05,1429133771
2001-04-06,1392835713
2001-04-09,1421536486
2001-04-10,1401277057
2001-04-11,1413939200
2001-04-12,1401277057
2001-04-16,1400432999
2001-04-17,1403809486
2001-04-18,1392835713
2001-04-19,1397056512
2001-04-20,1370043856
2001-04-23,1369199797
2001-04-24,1374264655
2001-04-25,1391147343
2001-04-26,1441795914
2001-04-27,1473029369
2001-04-30,1485691512
2001-05-01,1481470713
2001-05-02,1502574200
2001-05-03,1481470713
2001-05-04,1486535570
2001-05-07,1616533486
2001-05-08,1661273141
2001-05-09,1698415512
2001-05-10,1637637226
2001-05-11,1584456226
2001-05-14,1571794083
2001-05-15,1576858940
2001-05-16,1595429999
2001-05-17,1633416427
2001-05-18,1652831797
2001-05-21,1560820057
2001-05-22,1532119284
2001-05-23,1570105713
2001-05-24,1570105713
2001-05-25,1540560629
2001-05-29,1538028200
2001-05-30,1578547057
2001-05-31,1595429999
2001-06-01,1616533486
2001-06-04,1616533486
2001-06-05,1623286713
2001-06-06,1615689427
2001-06-07,1586988654
2001-06-08,1586988654
2001-06-11,1545625486
2001-06-12,1539716570
2001-06-13,1558287628
2001-06-14,1524521999
2001-06-15,1543093057
2001-06-18,1540560629
2001-06-19,1595429999
2001-06-20,1603871343
2001-06-21,1591209200
2001-06-22,1594585940
2001-06-25,1588676771
2001-06-26,1570105713
2001-06-27,1607248083
2001-06-28,1659584771
2001-06-29,1716142512
2001-07-02,1728545085
2001-07-03,1787298585
2001-07-05,1779635085
2001-07-06,1737911414
2001-07-09,1781337914
2001-07-10,1809437414
2001-07-11,1798368000
2001-07-12,1800922500
