,WDC
2000-01-03,527243062
2000-01-04,627670312
2000-01-05,585825625
2000-01-06,610932437
2000-01-07,753204375
2000-01-10,669515000
2000-01-11,669515000
2000-01-12,610932437
2000-01-13,577456687
2000-01-14,602563500
2000-01-18,686252875
2000-01-19,895476312
2000-01-20,744835437
2000-01-21,686252875
2000-01-24,636039250
2000-01-25,736466500
2000-01-26,769942250
2000-01-27,619301375
2000-01-28,669515000
2000-01-31,636039250
2000-02-01,627670312
2000-02-02,636039250
2000-02-03,677883937
2000-02-04,677883937
2000-02-07,702990750
2000-02-08,686252875
2000-02-09,669515000
2000-02-10,644408187
2000-02-11,661146062
2000-02-14,627670312
2000-02-15,602563500
2000-02-16,602563500
2000-02-17,602563500
2000-02-18,577456687
2000-02-22,569087750
2000-02-23,577456687
2000-02-24,569087750
2000-02-25,527243062
2000-02-28,527243062
2000-02-29,602563500
2000-03-01,627670312
2000-03-02,636039250
2000-03-03,602563500
2000-03-06,644408187
2000-03-07,610932437
2000-03-08,610932437
2000-03-09,803418000
2000-03-10,694621812
2000-03-13,970796750
2000-03-14,870369500
2000-03-15,870369500
2000-03-16,1021010375
2000-03-17,1004272500
2000-03-20,928952062
2000-03-21,954058875
2000-03-22,1071224000
2000-03-23,1171651250
2000-03-24,1154913375
2000-03-27,1104699750
2000-03-28,1029379312
2000-03-29,1037748250
2000-03-30,920583125
2000-03-31,1101077250
2000-04-03,1054813500
2000-04-04,953033250
2000-04-05,1138088250
2000-04-06,1147341000
2000-04-07,1119582750
2000-04-10,1045560750
2000-04-11,990044250
2000-04-12,925275000
2000-04-13,999297000
2000-04-14,888264000
2000-04-17,832747500
2000-04-18,916022250
2000-04-19,1036308000
2000-04-20,916022250
2000-04-24,897516750
2000-04-25,1036308000
2000-04-26,1008549750
2000-04-27,1147341000
2000-04-28,1017802500
2000-05-01,1064066250
2000-05-02,990044250
2000-05-03,990044250
2000-05-04,971538750
2000-05-05,971538750
2000-05-08,962286000
2000-05-09,869758500
2000-05-10,1017802500
2000-05-11,869758500
2000-05-12,851253000
2000-05-15,879011250
2000-05-16,832747500
2000-05-17,767978250
2000-05-18,777231000
2000-05-19,767978250
2000-05-22,740220000
2000-05-23,740220000
2000-05-24,693956250
2000-05-25,638439750
2000-05-26,684703500
2000-05-30,703209000
2000-05-31,693956250
2000-06-01,638439750
2000-06-02,666198000
2000-06-05,675450750
2000-06-06,666198000
2000-06-07,647692500
2000-06-08,638439750
2000-06-09,638439750
2000-06-12,638439750
2000-06-13,638439750
2000-06-14,629187000
2000-06-15,601428750
2000-06-16,610681500
2000-06-19,703209000
2000-06-20,721714500
2000-06-21,767978250
2000-06-22,749472750
2000-06-23,703209000
2000-06-26,712461750
2000-06-27,730967250
2000-06-28,712461750
2000-06-29,703209000
2000-06-30,740220000
2000-07-03,730967250
2000-07-05,693956250
2000-07-06,675450750
2000-07-07,666198000
2000-07-10,647692500
2000-07-11,721714500
2000-07-12,795736500
2000-07-13,832747500
2000-07-14,777231000
2000-07-17,749472750
2000-07-18,740220000
2000-07-19,712461750
2000-07-20,693956250
2000-07-21,703209000
2000-07-24,693956250
2000-07-25,666198000
2000-07-26,638439750
2000-07-27,592176000
2000-07-28,582923250
2000-07-31,610681500
2000-08-01,601428750
2000-08-02,592176000
2000-08-03,555165000
2000-08-04,564417750
2000-08-07,582923250
2000-08-08,555165000
2000-08-09,527406750
2000-08-10,536659500
2000-08-11,545912250
2000-08-14,555165000
2000-08-15,610681500
2000-08-16,638439750
2000-08-17,647692500
2000-08-18,832747500
2000-08-21,804989250
2000-08-22,777231000
2000-08-23,730967250
2000-08-24,814242000
2000-08-25,804989250
2000-08-28,897516750
2000-08-29,888264000
2000-08-30,860505750
2000-08-31,869758500
2000-09-01,851253000
2000-09-05,888264000
2000-09-06,869758500
2000-09-07,860505750
2000-09-08,860505750
2000-09-11,842000250
2000-09-12,786483750
2000-09-13,749472750
2000-09-14,777231000
2000-09-15,795736500
2000-09-18,814242000
2000-09-19,823494750
2000-09-20,888264000
2000-09-21,888264000
2000-09-22,832747500
2000-09-25,823494750
2000-09-26,758725500
2000-09-27,749472750
2000-09-28,804989250
2000-09-29,1005653125
2000-10-02,994954687
2000-10-03,952160937
2000-10-04,1048446875
2000-10-05,1134034375
2000-10-06,1048446875
2000-10-09,1059145312
2000-10-10,1027050000
2000-10-11,941462500
2000-10-12,898668750
2000-10-13,952160937
2000-10-16,962859375
2000-10-17,909367187
2000-10-18,855875000
2000-10-19,887970312
2000-10-20,898668750
2000-10-23,952160937
2000-10-24,973557812
2000-10-25,1048446875
2000-10-26,1027050000
2000-10-27,1027050000
2000-10-30,1005653125
2000-10-31,1027050000
2000-11-01,984256250
