,ORCL
2000-01-03,166486537340
2000-01-04,151771675760
2000-01-05,143765889000
2000-01-06,135309072000
2000-01-07,145682767520
2000-01-10,163160189320
2000-01-11,158367993020
2000-01-12,148896357980
2000-01-13,148107055060
2000-01-14,150531342600
2000-01-18,156789387180
2000-01-19,161017795680
2000-01-20,167050325140
2000-01-21,168234279520
2000-01-24,152730115020
2000-01-25,159100917160
2000-01-26,155210781340
2000-01-27,146077418980
2000-01-28,133561329820
2000-01-31,140834192440
2000-02-01,152222706000
2000-02-02,153124766480
2000-02-03,159777462520
2000-02-04,162991052980
2000-02-07,168967203660
2000-02-08,167896006840
2000-02-09,168967203660
2000-02-10,175676278480
2000-02-11,168234279520
2000-02-14,175281627020
2000-02-15,173026475820
2000-02-16,172688203140
2000-02-17,173703021180
2000-02-18,165077067840
2000-02-22,167219461480
2000-02-23,177762293340
2000-02-24,174605081660
2000-02-25,199073472180
2000-02-28,193435594180
2000-02-29,209334410140
2000-03-01,201554138500
2000-03-02,193097321500
2000-03-03,211420425000
2000-03-06,213562818640
2000-03-07,211251288660
2000-03-08,234310209680
2000-03-09,236790876000
2000-03-10,230081801180
2000-03-13,222019635640
2000-03-14,217058303000
2000-03-15,221624984180
2000-03-16,230983861660
2000-03-17,225007710979
2000-03-20,220215514680
2000-03-21,227431998520
2000-03-22,236960012340
2000-03-23,244909420320
2000-03-24,245247693000
2000-03-27,249306965160
2000-03-28,244007359840
2000-03-29,232562467500
2000-03-30,221117575160
2000-03-31,220046378340
2000-04-03,216720030320
2000-04-04,214070227660
2000-04-05,220610166140
2000-04-06,231660407020
2000-04-07,245585965680
2000-04-10,232562467500
2000-04-11,218129499820
2000-04-12,206120819680
2000-04-13,202794471660
2000-04-14,179059005280
2000-04-17,210913015979
2000-04-18,222527044660
2000-04-19,210180091840
2000-04-20,199637259979
2000-04-24,204203941160
2000-04-25,212999030840
2000-04-26,203471017020
2000-04-27,217960363479
2000-04-28,225345983660
2000-05-01,224613059520
2000-05-02,219369832979
2000-05-03,213731954979
2000-05-04,209334410140
2000-05-05,216550893979
2000-05-08,203865668479
2000-05-09,202963608000
2000-05-10,190616655180
2000-05-11,204034804820
2000-05-12,209108895020
2000-05-15,217058303000
2000-05-16,223203590020
2000-05-17,220384651020
2000-05-18,205951683340
2000-05-19,197494866340
2000-05-22,191180442979
2000-05-23,176521960180
2000-05-24,181145020140
2000-05-25,187290307160
2000-05-26,188868913000
2000-05-30,209108895020
2000-05-31,202625335320
2000-06-01,218222018520
2000-06-02,224666685220
2000-06-05,226796227260
2000-06-06,215924354740
2000-06-07,224162320000
2000-06-08,230831149020
2000-06-09,231671757720
2000-06-12,225731456240
2000-06-13,228869728720
2000-06-14,221360291000
2000-06-15,231167392500
2000-06-16,229430134520
2000-06-19,240974494000
2000-06-20,241086575160
2000-06-21,241478859220
2000-06-22,228365363500
2000-06-23,222761305500
2000-06-26,231671757720
2000-06-27,230494905540
2000-06-28,232400285260
2000-06-29,226628105520
2000-06-30,235538557740
2000-07-03,224666685220
2000-07-05,202642737279
2000-07-06,211889432980
2000-07-07,212617960520
2000-07-10,207686389480
2000-07-11,202642737279
2000-07-12,209255525720
2000-07-13,212281717040
2000-07-14,213290447480
2000-07-17,213290447480
2000-07-18,207854511220
2000-07-19,206677659040
2000-07-20,218894505480
2000-07-21,211385067760
2000-07-24,210152175000
2000-07-25,212954204000
2000-07-26,215083746040
2000-07-27,210320296740
2000-07-28,202810859020
2000-07-31,210656540220
2000-08-01,204884360480
2000-08-02,204884360480
2000-08-03,216989125760
2000-08-04,228533485240
2000-08-07,229430134520
2000-08-08,232568407000
2000-08-09,228029120020
2000-08-10,224330441740
2000-08-11,227300592480
2000-08-14,230831149020
2000-08-15,227692876540
2000-08-16,227468714220
2000-08-17,235202314260
2000-08-18,227860998279
2000-08-21,233072772220
2000-08-22,234137543240
2000-08-23,232232163520
2000-08-24,237275815720
2000-08-25,237107693980
2000-08-28,243104036040
2000-08-29,245906065040
2000-08-30,247307079540
2000-08-31,254816517260
2000-09-01,258614860680
2000-09-05,254259006840
2000-09-06,249233021640
2000-09-07,254594072520
2000-09-08,241694043840
2000-09-11,232982336160
2000-09-12,221645947320
2000-09-13,228458949479
2000-09-14,237170657160
2000-09-15,218686200479
2000-09-18,213492682439
2000-09-19,221478414479
2000-09-20,223209587160
2000-09-21,220417373160
2000-09-22,225443358360
2000-09-25,219914774640
2000-09-26,221813480160
2000-09-27,223042054320
2000-09-28,227509596720
2000-09-29,219914774640
2000-10-02,219914774640
2000-10-03,194058873000
2000-10-04,190205617680
2000-10-05,190764060479
2000-10-06,188809510680
2000-10-09,186408206640
2000-10-10,180432868680
2000-10-11,173843243640
2000-10-12,175909482000
2000-10-13,198973169640
2000-10-16,192997831680
2000-10-17,188139379320
2000-10-18,187413403680
2000-10-19,203161490640
2000-10-20,196851087000
2000-10-23,190205617680
2000-10-24,199978366680
2000-10-25,191992634640
2000-10-26,190205617680
2000-10-27,190931593320
2000-10-30,176635457640
2000-10-31,184286124000
2000-11-01,175239350640
2000-11-02,165075691680
2000-11-03,169264012680
2000-11-06,156028918320
2000-11-07,148322407680
2000-11-08,138549658680
2000-11-09,151840597320
2000-11-10,142067848320
2000-11-13,138214593000
2000-11-14,158486066640
2000-11-15,161278280640
2000-11-16,152901638640
2000-11-17,160887370680
2000-11-20,138214593000
2000-11-21,133356140640
2000-11-22,124588588680
2000-11-24,134752247640
2000-11-27,129167819640
2000-11-28,126543138480
2000-11-29,127771712640
2000-11-30,147987342000
2000-12-01,147953163520
2000-12-04,157745827520
2000-12-05,176267952000
2000-12-06,168937443520
2000-12-07,158417324480
2000-12-08,168209988480
2000-12-11,178730107520
2000-12-12,172071096000
2000-12-13,158809031040
2000-12-14,153884720000
2000-12-15,159816276480
2000-12-18,179065856000
2000-12-19,171399599040
2000-12-20,159480528000
2000-12-21,165076336000
2000-12-22,178394359040
2000-12-26,173134299520
2000-12-27,171735347520
2000-12-28,173805796480
2000-12-29,162614180480
2001-01-02,147617415040
2001-01-03,179065856000
2001-01-04,182199508480
2001-01-05,168601695040
2001-01-08,167538491520
2001-01-09,176267952000
2001-01-10,183262712000
2001-01-11,186396364480
2001-01-12,180800556480
2001-01-16,178002652480
2001-01-17,186060616000
2001-01-18,189194268480
2001-01-19,193391124480
2001-01-22,178002652480
2001-01-23,176156035840
2001-01-24,168209988480
2001-01-25,167538491520
2001-01-26,170000647040
2001-01-29,170336395520
2001-01-30,169608940480
2001-01-31,163005887040
2001-02-01,168209988480
2001-02-02,155283672000
2001-02-05,153884720000
2001-02-06,154612175040
2001-02-07,154947923520
2001-02-08,151814271040
2001-02-09,131837236480
2001-02-12,128703584000
2001-02-13,126241428480
2001-02-14,139895200000
2001-02-15,142693104000
2001-02-16,134299392000
2001-02-20,129431039040
2001-02-21,128703584000
2001-02-22,130829991040
2001-02-23,123107776000
2001-02-26,129766787520
2001-02-27,121373075520
2001-02-28,106320352000
2001-03-01,119638375040
2001-03-02,94457239040
2001-03-05,95128736000
2001-03-06,98654095040
2001-03-07,104249903040
2001-03-08,97926640000
2001-03-09,91659335040
2001-03-12,85000323520
2001-03-13,94792987520
2001-03-14,89868676480
2001-03-15,82202419520
2001-03-16,78677060480
2001-03-19,86399275520
2001-03-20,80467719040
2001-03-21,82538168000
2001-03-22,86735024000
2001-03-23,88861431040
2001-03-26,87798227520
2001-03-27,93170203199
2001-03-28,84496700800
2001-03-29,81251132160
2001-03-30,83825203840
2001-04-02,85727778560
2001-04-03,74144456000
2001-04-04,76438737280
2001-04-05,82482209920
2001-04-06,77557898880
2001-04-09,78621102400
2001-04-10,83769245760
2001-04-11,86902898240
2001-04-12,88525682560
2001-04-16,89309095680
2001-04-17,90764005760
2001-04-18,100276879360
2001-04-19,113706818560
2001-04-20,110517208000
2001-04-23,95968107199
2001-04-24,94960861760
2001-04-25,96527688000
2001-04-26,94569155199
2001-04-27,95968107199
2001-04-30,90428257280
2001-05-01,89756760320
2001-05-02,96080023360
2001-05-03,92051041600
2001-05-04,95632358720
2001-05-07,94401280960
2001-05-08,95352568320
2001-05-09,95464484480
2001-05-10,91715293120
2001-05-11,88973347200
2001-05-14,89756760320
2001-05-15,89141221440
2001-05-16,91771251199
2001-05-17,90204424960
2001-05-18,91099754240
2001-05-21,101284124800
2001-05-22,98374304639
2001-05-23,94177448639
2001-05-24,96807478400
2001-05-25,92386790080
2001-05-29,87350562880
2001-05-30,81195174080
2001-05-31,85615862400
2001-06-01,88495802460
2001-06-04,89611764660
2001-06-05,93517632360
2001-06-06,94856787000
2001-06-07,96698124629
2001-06-08,94912585110
2001-06-11,90337140090
2001-06-12,90058149540
2001-06-13,86487070500
2001-06-14,82860193350
2001-06-15,83697165000
2001-06-18,82804395240
2001-06-19,93517632360
2001-06-20,97758288720
2001-06-21,99878616899
2001-06-22,97535096280
2001-06-25,99153241470
2001-06-26,102891714840
2001-06-27,100659790440
2001-06-28,107020774980
2001-06-29,106016409000
2001-07-02,109252699379
2001-07-03,110312863470
2001-07-05,105625822230
2001-07-06,101608358310
2001-07-09,105514226010
2001-07-10,98148875490
2001-07-11,100436598000
2001-07-12,109699084260
2001-07-13,109029506940
2001-07-16,104342465700
2001-07-17,108806314500
2001-07-18,104788850580
2001-07-19,106964976870
2001-07-20,106406995770
2001-07-23,101161973430
2001-07-24,101608358310
2001-07-25,107467159860
2001-07-26,108304131510
2001-07-27,106351197660
2001-07-30,104175071370
2001-07-31,100882982879
2001-08-01,102222137520
2001-08-02,102166339410
2001-08-03,100436598000
2001-08-06,97423500060
2001-08-07,96195941639
2001-08-08,90950919300
2001-08-09,89221177890
2001-08-10,84589934760
2001-08-13,87547234590
2001-08-14,86766061050
2001-08-15,83752963110
2001-08-16,85426906410
2001-08-17,82134817920
2001-08-20,82637000910
2001-08-21,78842729430
2001-08-22,81688433040
2001-08-23,78173152110
2001-08-24,84757329090
2001-08-27,83306578230
2001-08-28,78173152110
2001-08-29,74490476850
2001-08-30,66957732000
2001-08-31,68129492310
2001-09-04,66782733760
2001-09-05,66727450040
2001-09-06,60369822240
2001-09-07,61199078040
2001-09-10,63355143120
2001-09-17,60867375720
2001-09-18,62912873360
2001-09-19,61917766399
2001-09-20,62525887320
2001-09-21,59485282720
2001-09-24,69215217440
2001-09-25,67722557000
2001-09-26,67446138399
2001-09-27,66561598879
2001-09-28,69546919760
2001-10-01,69546919760
2001-10-02,69657487200
2001-10-03,75517561520
2001-10-04,76236249880
2001-10-05,78502882400
2001-10-08,76844370800
2001-10-09,75738696400
2001-10-10,79000435880
2001-10-11,82759728840
2001-10-12,82593877680
2001-10-15,79829691680
2001-10-16,82593877680
2001-10-17,75517561520
2001-10-18,78834584720
2001-10-19,80382528880
2001-10-22,82649161400
2001-10-23,82980863720
2001-10-24,81045933520
2001-10-25,77120789400
2001-10-26,75075291760
2001-10-29,74080184800
2001-10-30,74633022000
2001-10-31,74964724320
2001-11-01,78337031240
2001-11-02,79884975400
2001-11-05,82704445120
2001-11-06,84141821840
2001-11-07,86132035760
2001-11-08,85413347400
2001-11-09,85026361360
2001-11-12,85136928800
2001-11-13,80271961440
2001-11-14,82483310240
2001-11-15,81764621880
2001-11-16,80437812600
2001-11-19,82206891640
2001-11-20,80493096320
2001-11-21,77839477760
2001-11-23,79663840520
2001-11-26,81488203280
2001-11-27,79719124240
2001-11-28,78060612640
2001-11-29,78447598680
2001-11-30,77563059160
2001-12-03,75244468900
2001-12-04,75793698600
2001-12-05,84416604890
2001-12-06,87327522300
2001-12-07,87382445270
2001-12-10,84691219740
2001-12-11,82988607670
2001-12-12,82933684700
2001-12-13,80571996990
2001-12-14,80022767290
2001-12-17,81231072630
2001-12-18,82659069850
2001-12-19,81945071240
2001-12-20,79583383530
2001-12-21,78979230860
2001-12-24,78759538980
2001-12-26,77386464730
2001-12-27,76837235030
2001-12-28,77221695820
2001-12-31,75848621570
2002-01-02,76782312060
2002-01-03,83977221130
2002-01-04,84855988650
2002-01-07,85075680530
2002-01-08,86503677750
2002-01-09,91886128810
2002-01-10,91666436930
2002-01-11,89359672190
2002-01-14,90018747830
2002-01-15,93314126029
2002-01-16,91062284259
2002-01-17,94577354340
2002-01-18,90513054560
2002-01-22,87547214180
2002-01-23,91995974750
2002-01-24,94742123250
2002-01-25,91666436930
2002-01-28,92819819299
2002-01-29,90622900500
2002-01-30,91281976140
2002-01-31,94797046220
2002-02-01,90018747830
2002-02-04,88535827640
2002-02-05,86833215570
2002-02-06,88096443880
2002-02-07,87437368240
2002-02-08,88865365460
2002-02-11,89799055950
2002-02-12,88865365460
2002-02-13,88535827640
2002-02-14,89634287040
2002-02-15,85075680530
2002-02-19,81231072630
2002-02-20,85185526470
2002-02-21,83812452220
2002-02-22,85130603500
2002-02-25,89744132980
2002-02-26,90787669410
2002-02-27,89908901890
2002-02-28,91281976140
2002-03-01,87489620790
2002-03-04,74795692070
2002-03-05,75780565850
2002-03-06,77367306940
2002-03-07,76601294000
2002-03-08,77695598200
2002-03-11,79337054500
2002-03-12,79008763240
2002-03-13,75999426690
2002-03-14,73537242240
2002-03-15,68941164600
2002-03-18,68941164600
2002-03-19,70090184010
2002-03-20,68612873339
2002-03-21,71950501150
2002-03-22,70309044850
2002-03-25,68503442920
2002-03-26,69543031910
2002-03-27,69105310230
2002-03-28,70035468800
2002-04-01,70254329640
2002-04-02,68558158130
2002-04-03,68284582080
2002-04-04,66861986620
2002-04-05,66369549730
2002-04-08,67518569140
2002-04-09,65548821580
2002-04-10,63196067550
2002-04-11,59858439740
2002-04-12,62977206710
2002-04-15,61828187300
2002-04-16,65986543260
2002-04-17,64454517380
2002-04-18,63743219650
2002-04-19,65275245530
2002-04-22,62539485030
2002-04-23,60843313519
2002-04-24,57450970500
2002-04-25,57450970500
2002-04-26,55426507730
2002-04-29,57067964030
2002-04-30,54934070839
2002-05-01,51705873449
2002-05-02,46781504550
2002-05-03,46124922030
2002-05-06,44975902620
2002-05-07,45140048250
2002-05-08,50064417150
2002-05-09,46398498080
2002-05-10,43826883210
2002-05-13,46343782870
2002-05-14,48204100010
2002-05-15,50283277990
2002-05-16,52417171180
2002-05-17,52307740760
2002-05-20,49845556310
2002-05-21,48422960850
2002-05-22,48149384800
2002-05-23,51268151769
2002-05-24,48422960850
2002-05-28,48915397740
2002-05-29,45960776400
2002-05-30,46070206820
2002-05-31,43334446320
2002-06-03,39520680000
2002-06-04,42220180000
2002-06-05,46755340000
2002-06-06,44001850000
2002-06-07,45135640000
2002-06-10,43947860000
2002-06-11,43353970000
2002-06-12,44595740000
2002-06-13,44595740000
2002-06-14,46269430000
2002-06-17,49670799999
2002-06-18,48483020000
2002-06-19,47511200000
2002-06-20,45675540000
2002-06-21,43839879999
