,AVY
2000-01-03,7052344000
2000-01-04,6959472000
2000-01-05,7187700000
2000-01-06,7440628000
2000-01-07,7465328000
2000-01-10,7706400000
2000-01-11,7662928000
2000-01-12,7595744000
2000-01-13,7533500000
2000-01-14,7558200000
2000-01-18,7404072000
2000-01-19,6786572000
2000-01-20,6570200000
2000-01-21,6866600000
2000-01-24,6650228000
2000-01-25,6743100000
2000-01-26,6805344000
2000-01-27,6761872000
2000-01-28,6570200000
2000-01-31,6693700000
2000-02-01,6625528000
2000-02-02,6583044000
2000-02-03,6526728000
2000-02-04,6632444000
2000-02-07,6502028000
2000-02-08,6496100000
2000-02-09,6385444000
2000-02-10,6422000000
2000-02-11,6267872000
2000-02-14,6490172000
2000-02-15,6669000000
2000-02-16,6490172000
2000-02-17,6613672000
2000-02-18,6249100000
2000-02-22,6391372000
2000-02-23,6372600000
2000-02-24,6113744000
2000-02-25,6002100000
2000-02-28,5922072000
2000-02-29,5996172000
2000-03-01,5798572000
2000-03-02,5940844000
2000-03-03,6261944000
2000-03-06,5773872000
2000-03-07,5464628000
2000-03-08,5669144000
2000-03-09,5897372000
2000-03-10,5977400000
2000-03-13,5823272000
2000-03-14,5736328000
2000-03-15,6205628000
2000-03-16,6687772000
2000-03-17,6255028000
2000-03-20,6323200000
2000-03-21,6323200000
2000-03-22,6138444000
2000-03-23,6378528000
2000-03-24,5990244000
2000-03-27,5773872000
2000-03-28,5675072000
2000-03-29,5823272000
2000-03-30,6020872000
2000-03-31,6032728000
2000-04-03,5872672000
2000-04-04,5860806000
2000-04-05,5762106000
2000-04-06,5737431000
2000-04-07,5699925000
2000-04-10,5897325000
2000-04-11,6292125000
2000-04-12,6532953000
2000-04-13,6650406000
2000-04-14,6039453000
2000-04-17,6156906000
2000-04-18,6119400000
2000-04-19,5984181000
2000-04-20,6181581000
2000-04-24,5952597000
2000-04-25,6261528000
2000-04-26,6384903000
2000-04-27,6434253000
2000-04-28,6477681000
2000-05-01,6483603000
2000-05-02,6489525000
2000-05-03,6483603000
2000-05-04,6606978000
2000-05-05,6637575000
2000-05-08,6532953000
2000-05-09,6477681000
2000-05-10,6527031000
2000-05-11,6650406000
2000-05-12,6458928000
2000-05-15,6563550000
2000-05-16,6576381000
2000-05-17,6563550000
2000-05-18,6409578000
2000-05-19,6310878000
2000-05-22,6212178000
2000-05-23,6174672000
2000-05-24,6384903000
2000-05-25,6075972000
2000-05-26,6187503000
2000-05-30,6286203000
2000-05-31,6045375000
2000-06-01,6199347000
2000-06-02,6286203000
2000-06-05,6298047000
2000-06-06,6236853000
2000-06-07,6273372000
2000-06-08,6193425000
2000-06-09,6236853000
2000-06-12,6218100000
2000-06-13,6230931000
2000-06-14,6434253000
2000-06-15,6378981000
2000-06-16,6601056000
2000-06-19,6662250000
2000-06-20,6520122000
2000-06-21,6544797000
2000-06-22,6483603000
2000-06-23,6557628000
2000-06-26,6576381000
2000-06-27,6878403000
2000-06-28,6692847000
2000-06-29,6606978000
2000-06-30,6625731000
2000-07-03,6781653000
2000-07-05,6708078000
2000-07-06,6566814000
2000-07-07,6376500000
2000-07-10,6321564000
2000-07-11,6376500000
2000-07-12,6370614000
2000-07-13,6634503000
2000-07-14,6438303000
2000-07-17,6266628000
2000-07-18,6259761000
2000-07-19,6327450000
2000-07-20,6333336000
2000-07-21,6406911000
2000-07-24,6340203000
2000-07-25,6076314000
2000-07-26,5205186000
2000-07-27,5291514000
2000-07-28,5463189000
2000-07-31,5321925000
2000-08-01,5303286000
2000-08-02,5444550000
2000-08-03,5278761000
2000-08-04,5316039000
2000-08-07,5555403000
2000-08-08,5610339000
2000-08-09,5585814000
