,STT
2000-01-03,11150159360
2000-01-04,10529995680
2000-01-05,10718602160
2000-01-06,11169339680
2000-01-07,11568929680
2000-01-10,11498601840
2000-01-11,11728765680
2000-01-12,11917372160
2000-01-13,12208273680
2000-01-14,12636634160
2000-01-18,12227454000
2000-01-19,12208273680
2000-01-20,12137945840
2000-01-21,12297781840
2000-01-24,12016470480
2000-01-25,12457617840
2000-01-26,12917945519
2000-01-27,13228027360
2000-01-28,12588683360
2000-01-31,12815650480
2000-02-01,13125732320
2000-02-02,13148109360
2000-02-03,13375076480
2000-02-04,12917945519
2000-02-07,12796470160
2000-02-08,13454994480
2000-02-09,12866798000
2000-02-10,12646224320
2000-02-11,12556716160
2000-02-14,12588683360
2000-02-15,12815650480
2000-02-16,12687781680
2000-02-17,12416060480
2000-02-18,11837454160
2000-02-22,12246634320
2000-02-23,11847044320
2000-02-24,11607290320
2000-02-25,11469831360
2000-02-28,11776716480
2000-02-29,11648847680
2000-03-01,11549749360
2000-03-02,11536962480
2000-03-03,11527372320
2000-03-06,11258847840
2000-03-07,10529995680
2000-03-08,10130405680
2000-03-09,10648274320
2000-03-10,10808110320
2000-03-13,10760159519
2000-03-14,10600323519
2000-03-15,11639257519
2000-03-16,13717125519
2000-03-17,13806633680
2000-03-20,13125732320
2000-03-21,13947289360
2000-03-22,14784830000
2000-03-23,16053927840
2000-03-24,14963846320
2000-03-27,14714502160
2000-03-28,15114092160
2000-03-29,15465731360
2000-03-30,14915895519
2000-03-31,15582808920
2000-04-03,17069030580
2000-04-04,16448163090
2000-04-05,16226194920
2000-04-06,15592459710
2000-04-07,15080967840
2000-04-10,15682533750
2000-04-11,15743655420
2000-04-12,16306618170
2000-04-13,15611761290
2000-04-14,14012947080
2000-04-17,14505137370
2000-04-18,15682533750
2000-04-19,15058449330
2000-04-20,15431613210
2000-04-24,16013877540
2000-04-25,16718385210
2000-04-26,16074999210
2000-04-27,15914152710
2000-04-28,15582808920
2000-05-01,16287316590
2000-05-02,16628311170
2000-05-03,17069030580
2000-05-04,16978956540
2000-05-05,16676565120
2000-05-08,17181623130
2000-05-09,16779506879
2000-05-10,16699083629
2000-05-11,17532268500
2000-05-12,17722067370
2000-05-15,18658194000
2000-05-16,17985855630
2000-05-17,18085580460
2000-05-18,18166003710
2000-05-19,18194956080
2000-05-22,18658194000
2000-05-23,19182553590
2000-05-24,19140733500
2000-05-25,17593390170
2000-05-26,18005157210
2000-05-30,17834659920
2000-05-31,17934384750
2000-06-01,17451845250
2000-06-02,17783189040
2000-06-05,17139803040
2000-06-06,16879231710
2000-06-07,17352120420
2000-06-08,17049729000
2000-06-09,16647612750
2000-06-12,16708734420
2000-06-13,16789157670
2000-06-14,17300649540
2000-06-15,17532268500
2000-06-16,16528586340
2000-06-19,16747337580
2000-06-20,16699083629
2000-06-21,16084650000
2000-06-22,16637961960
2000-06-23,16506067830
2000-06-26,17030427420
2000-06-27,17030427420
2000-06-28,17200924710
2000-06-29,17059379790
2000-06-30,17059379790
2000-07-03,16947551520
2000-07-05,17624679720
2000-07-06,17563415740
2000-07-07,18127689240
2000-07-10,18298583500
2000-07-11,18933794240
2000-07-12,17644026240
2000-07-13,16847594500
2000-07-14,17502151760
2000-07-17,17653699500
2000-07-18,17392521480
2000-07-19,17269993520
2000-07-20,17714963480
2000-07-21,17160363240
2000-07-24,17070079480
2000-07-25,16463888520
2000-07-26,16183363980
2000-07-27,16544499020
2000-07-28,16363931500
2000-07-31,16183363980
2000-08-01,16415522219
2000-08-02,16444542000
2000-08-03,17221627220
2000-08-04,17995488020
2000-08-07,17785900720
2000-08-08,17795573980
2000-08-09,17573089000
2000-08-10,17895531000
2000-08-11,17976141500
2000-08-14,18217973000
2000-08-15,17976141500
2000-08-16,17624679720
2000-08-17,18037405480
2000-08-18,17814920500
2000-08-21,17653699500
2000-08-22,18227646260
2000-08-23,18530741740
2000-08-24,18459804500
2000-08-25,18237319520
2000-08-28,18118015980
2000-08-29,18147035760
2000-08-30,18340500960
2000-08-31,18985384960
2000-09-01,19133708280
2000-09-05,19124035020
2000-09-06,19285256020
2000-09-07,19407783980
2000-09-08,19759245760
2000-09-11,19939813280
2000-09-12,19801163220
2000-09-13,19830183000
2000-09-14,19778592280
2000-09-15,19536760780
2000-09-18,18711309260
2000-09-19,19649615480
2000-09-20,19436803760
2000-09-21,19236889720
2000-09-22,19146605960
2000-09-25,20226786660
2000-09-26,20162298260
2000-09-27,19791489960
2000-09-28,21058687020
2000-09-29,20958730000
2000-10-02,21281679900
2000-10-03,21252619799
2000-10-04,20584237500
2000-10-05,20535804000
2000-10-06,20190311700
2000-10-09,19906168500
2000-10-10,19260388500
2000-10-11,19476724800
2000-10-12,17293988400
2000-10-13,18181935900
2000-10-16,18317549700
2000-10-17,18498368100
2000-10-18,17723432100
2000-10-19,17758950000
2000-10-20,17775094500
2000-10-23,17920395000
2000-10-24,18679186500
2000-10-25,19189352700
2000-10-26,18872920500
2000-10-27,19292677500
2000-10-30,20048240100
2000-10-31,20138649300
2000-11-01,20196769500
2000-11-02,20500286100
2000-11-03,20409876900
2000-11-06,20561635200
2000-11-07,20642357700
2000-11-08,20706935700
2000-11-09,21611027700
2000-11-10,20858694000
2000-11-13,20406648000
2000-11-14,20329154400
2000-11-15,20080529100
2000-11-16,20765055900
2000-11-17,20371130100
2000-11-20,19331424300
2000-11-21,19534845000
2000-11-22,19576820700
2000-11-24,19796385900
2000-11-27,20190311700
2000-11-28,20723080200
2000-11-29,20916814200
2000-11-30,20826405000
2000-12-01,20681104500
2000-12-04,20028866700
2000-12-05,21510931800
2000-12-06,20945874300
2000-12-07,21033054600
2000-12-08,21226788600
2000-12-11,21468956100
2000-12-12,21152523900
2000-12-13,21003994500
2000-12-14,20474454900
2000-12-15,19967517600
2000-12-18,20258118600
2000-12-19,19799614800
2000-12-20,19279761900
2000-12-21,19728579000
2000-12-22,19696290000
2000-12-26,19534845000
2000-12-27,19938457500
2000-12-28,20480912700
2000-12-29,20054697900
2001-01-02,19636706880
2001-01-03,20373732750
2001-01-04,19997102790
2001-01-05,18782795850
2001-01-08,18562012770
2001-01-09,18315255210
2001-01-10,18337982880
2001-01-11,18659417070
2001-01-12,18344476500
2001-01-16,18633442590
2001-01-17,17857455000
2001-01-18,16698343830
2001-01-19,15990539250
2001-01-22,16273011720
2001-01-23,17110688700
2001-01-24,17532774000
2001-01-25,17753557080
2001-01-26,17792518800
2001-01-29,18104212560
2001-01-30,18402919080
2001-01-31,18331489260
2001-02-01,17993821020
2001-02-02,17977586970
2001-02-05,18276293490
2001-02-06,17776284750
2001-02-07,17584722960
2001-02-08,17649659160
2001-02-09,17532774000
2001-02-12,17600957010
2001-02-13,17337965400
2001-02-14,17136663180
2001-02-15,17110688700
2001-02-16,17029518450
2001-02-20,16250284050
2001-02-21,15747028500
2001-02-22,15886641330
2001-02-23,15844432800
2001-02-26,16406130930
2001-02-27,16656135300
2001-02-28,16308726629
2001-03-01,16607433150
2001-03-02,16776267270
2001-03-05,16867177950
2001-03-06,16552237379
2001-03-07,16786007700
2001-03-08,16708084260
2001-03-09,16234050000
2001-03-12,15152862270
2001-03-13,15626896530
2001-03-14,14662593959
2001-03-15,15074938830
2001-03-16,14626879050
2001-03-19,14626879050
2001-03-20,14107389450
2001-03-21,13123606020
2001-03-22,13311921000
2001-03-23,14285964000
2001-03-26,14535968370
2001-03-27,15091172879
2001-03-28,15058704780
2001-03-29,14896364280
2001-03-30,15162602700
2001-04-02,14950087580
2001-04-03,14637882140
2001-04-04,14550074360
2001-04-05,14797237000
2001-04-06,14589100040
2001-04-09,14911061900
2001-04-10,15154972400
2001-04-11,15340344380
2001-04-12,15454169280
2001-04-16,15057408200
2001-04-17,16098093000
2001-04-18,16998935780
2001-04-19,17503017480
2001-04-20,17015196480
2001-04-23,16546888320
2001-04-24,16439567700
2001-04-25,16748521000
2001-04-26,16504610500
2001-04-27,16992431500
2001-04-30,16875354460
2001-05-01,16904623719
2001-05-02,17148534219
2001-05-03,17060726440
