,DELL
2016-08-17,8671505682
2016-08-18,8621215260
2016-08-19,8772086527
2016-08-22,8800823911
2016-08-23,9073829061
2016-08-24,9195962944
2016-08-25,9152856867
2016-08-26,9224700328
2016-08-29,9332465518
2016-08-30,9102566445
2016-08-31,9009169946
2016-09-01,8772086527
2016-09-02,8664321336
2016-09-06,9167225559
2016-09-07,9677314129
2016-09-08,10144296622
2016-09-09,9892844510
2016-09-12,9957503625
2016-09-13,9777894974
2016-09-14,9749157589
2016-09-15,9856922780
2016-09-16,9770710628
2016-09-19,9828185396
2016-09-20,9828185396
2016-09-21,9763526281
2016-09-22,9684498475
2016-09-23,9677314129
2016-09-26,9655761091
2016-09-27,9634208053
2016-09-28,9648576745
2016-09-29,9591101976
2016-09-30,9634208053
2016-10-03,9662945437
2016-10-04,9648576745
2016-10-05,9770710628
2016-10-06,9756341935
2016-10-07,9691682821
2016-10-10,9583917630
2016-10-11,9504889824
2016-10-12,9497705478
2016-10-13,9504889824
2016-10-14,9526442862
2016-10-17,9555180246
2016-10-18,9612655014
2016-10-19,9619839360
2016-10-20,9619839360
2016-10-21,9526442862
2016-10-24,9662945437
2016-10-25,9476152439
2016-10-26,9418677671
2016-10-27,9741973243
2016-10-28,7847840000
2016-10-31,7882160000
2016-11-01,7779200000
2016-11-02,7865000000
2016-11-03,7830680000
2016-11-04,7802080000
2016-11-07,7950800000
2016-11-08,7973680000
2016-11-09,7927920000
2016-11-10,7905040000
2016-11-11,7887879999
2016-11-14,7865000000
2016-11-15,8036600000
2016-11-16,8128120000
2016-11-17,8316879999
2016-11-18,8345480000
2016-11-21,8419840000
2016-11-22,8362640000
2016-11-23,8271120000
2016-11-25,8379800000
2016-11-28,8368360000
2016-11-29,8551400000
2016-11-30,8597160000
2016-12-01,8328320000
2016-12-02,8465600000
2016-12-05,8517080000
2016-12-06,8568560000
2016-12-07,8654360000
2016-12-08,8654360000
2016-12-09,8665800000
2016-12-12,8654360000
2016-12-13,8631480000
2016-12-14,8700120000
2016-12-15,9111960000
