,HPQ
2000-01-03,41538420000
2000-01-04,38401560000
2000-01-05,38161800000
2000-01-06,35804160000
2000-01-07,36743220000
2000-01-10,39280680000
2000-01-11,38401560000
2000-01-12,39740220000
2000-01-13,39880080000
2000-01-14,39800160000
2000-01-18,40159800000
2000-01-19,41038920000
2000-01-20,41078880000
2000-01-21,40019940000
2000-01-24,39960000000
2000-01-25,39840120000
2000-01-26,38461500000
2000-01-27,38381580000
2000-01-28,38461500000
2000-01-31,38090080000
2000-02-01,37235240000
2000-02-02,38905160000
2000-02-03,39938920000
2000-02-04,41529320000
2000-02-07,45227000000
2000-02-08,43716120000
2000-02-09,43636600000
2000-02-10,44292640000
2000-02-11,42722120000
2000-02-14,43298640000
2000-02-15,44431800000
2000-02-16,45048080000
2000-02-17,44690240000
2000-02-18,45405920000
2000-02-22,45048080000
2000-02-23,46022200000
2000-02-24,45584840000
2000-02-25,43855280000
2000-02-28,45326400000
2000-02-29,47334280000
2000-03-01,47036080000
2000-03-02,47155360000
2000-03-03,48785520000
2000-03-06,51230760000
2000-03-07,50336160000
2000-03-08,49580720000
2000-03-09,53457320000
2000-03-10,51707880000
2000-03-13,51568720000
2000-03-14,49262640000
2000-03-15,46459560000
2000-03-16,46817400000
2000-03-17,48566840000
2000-03-20,50674120000
2000-03-21,49938560000
2000-03-22,51449440000
2000-03-23,51827160000
2000-03-24,50117480000
2000-03-27,51449440000
2000-03-28,49560840000
2000-03-29,47115600000
2000-03-30,46022200000
2000-03-31,46757760000
2000-04-03,46658360000
2000-04-04,48606600000
2000-04-05,50276520000
2000-04-06,52125360000
2000-04-07,54371800000
2000-04-10,51827160000
2000-04-11,51310280000
2000-04-12,47513200000
2000-04-13,46439680000
2000-04-14,43298640000
2000-04-17,47075840000
2000-04-18,48944560000
2000-04-19,47791520000
2000-04-20,49103600000
2000-04-24,46558960000
2000-04-25,49024080000
2000-04-26,49461440000
2000-04-27,48527080000
2000-04-28,47513200000
2000-05-01,48629360000
2000-05-02,48293440000
2000-05-03,46356960000
2000-05-04,46218640000
2000-05-05,47838960000
2000-05-08,47463520000
2000-05-09,46455760000
2000-05-10,44163600000
2000-05-11,45783920000
2000-05-12,46021040000
2000-05-15,45250400000
2000-05-16,48273680000
2000-05-17,45724640000
2000-05-18,46060560000
2000-05-19,44143840000
2000-05-22,42938480000
2000-05-23,42227120000
2000-05-24,41496000000
2000-05-25,40666080000
2000-05-26,41318160000
2000-05-30,43551040000
2000-05-31,42049280000
2000-06-01,46969520000
2000-06-02,49716160000
2000-06-05,53964560000
2000-06-06,52937040000
2000-06-07,54972320000
2000-06-08,56454320000
2000-06-09,57422560000
2000-06-12,56513600000
2000-06-13,53371760000
2000-06-14,51138880000
2000-06-15,52482560000
2000-06-16,51138880000
2000-06-19,52838240000
2000-06-20,52265200000
2000-06-21,53707680000
2000-06-22,53174160000
2000-06-23,52462800000
2000-06-26,53826240000
2000-06-27,52304720000
2000-06-28,55486080000
2000-06-29,53707680000
2000-06-30,56019600000
2000-07-03,55782480000
2000-07-05,53668160000
2000-07-06,53095120000
2000-07-07,55960320000
2000-07-10,55486080000
2000-07-11,56948320000
2000-07-12,57462080000
2000-07-13,60505120000
2000-07-14,60030880000
2000-07-17,60465600000
2000-07-18,58766240000
2000-07-19,58232720000
2000-07-20,58904560000
2000-07-21,55347760000
2000-07-24,53272960000
2000-07-25,51672400000
2000-07-26,49340720000
2000-07-27,47404240000
2000-07-28,48016800000
2000-07-31,47830117654
2000-08-01,47251294124
2000-08-02,49277176478
2000-08-03,49103529419
2000-08-04,48949176478
2000-08-07,50512000007
2000-08-08,50724235301
2000-08-09,50010352948
2000-08-10,49161411772
2000-08-11,48177411772
2000-08-14,49894588242
2000-08-15,48177411772
2000-08-16,48814117654
2000-08-17,47135529418
2000-08-18,49142117654
2000-08-21,48717647066
2000-08-22,49354352948
2000-08-23,50550588243
2000-08-24,52113411772
2000-08-25,52016941184
2000-08-28,53000941184
2000-08-29,52537882360
2000-08-30,52537882360
2000-08-31,52885176478
2000-09-01,54853176478
2000-09-05,53849882361
2000-09-06,53058823537
2000-09-07,54235764714
2000-09-08,53271058831
2000-09-11,49740235301
2000-09-12,49296470595
2000-09-13,45997176477
