,CCEP
2000-01-03,8394740000
2000-01-04,8184240000
2000-01-05,8314750000
2000-01-06,8655760000
2000-01-07,8761010000
2000-01-10,8710490000
2000-01-11,8761010000
2000-01-12,9051500000
2000-01-13,8895730000
2000-01-14,8971510000
2000-01-18,9341990000
2000-01-19,9287260000
2000-01-20,9447240000
2000-01-21,9918760000
2000-01-24,9762990000
2000-01-25,10760760000
2000-01-26,10815490000
2000-01-27,10024010000
2000-01-28,9472500000
2000-01-31,10630250000
2000-02-01,10971260000
2000-02-02,11000730000
2000-02-03,11788000000
2000-02-04,12288990000
2000-02-07,11998500000
2000-02-08,11947980000
2000-02-09,12023760000
2000-02-10,11867990000
2000-02-11,11918510000
2000-02-14,11708010000
2000-02-15,11762740000
2000-02-16,11181760000
2000-02-17,11421730000
2000-02-18,11156500000
2000-02-22,11211230000
2000-02-23,10630250000
2000-02-24,10369230000
2000-02-25,10078740000
2000-02-28,10024010000
2000-02-29,9842980000
2000-03-01,9842980000
2000-03-02,9683000000
2000-03-03,9603010000
2000-03-06,8971510000
2000-03-07,8971510000
2000-03-08,9182010000
2000-03-09,9182010000
2000-03-10,8841000000
2000-03-13,8445259999
2000-03-14,8735750000
2000-03-15,9341990000
2000-03-16,9683000000
2000-03-17,9367250000
2000-03-20,9211480000
2000-03-21,9316730000
2000-03-22,9156750000
2000-03-23,9262000000
2000-03-24,9236740000
2000-03-27,8735750000
2000-03-28,8946250000
2000-03-29,9106230000
2000-03-30,9106230000
2000-03-31,9076760000
2000-04-03,9309862065
2000-04-04,9229931030
2000-04-05,9255172410
2000-04-06,8649379306
2000-04-07,8439034479
2000-04-10,8468482755
2000-04-11,8994344823
2000-04-12,8889172410
2000-04-13,9070068961
2000-04-14,8649379306
2000-04-17,8939655168
2000-04-18,9044827582
2000-04-19,9044827582
2000-04-20,9044827582
2000-04-24,9099517237
2000-04-25,9806275858
2000-04-26,9570689651
2000-04-27,9124758616
2000-04-28,8964896548
2000-05-01,8809241375
2000-05-02,8678827582
2000-05-03,8624137927
2000-05-04,8809241375
2000-05-05,8544206893
2000-05-08,8598896548
2000-05-09,8859724134
2000-05-10,8889172410
2000-05-11,9099517237
2000-05-12,9044827582
2000-05-15,8994344823
2000-05-16,6731034480
2000-05-17,6731034480
2000-05-18,6365034480
2000-05-19,6154689652
2000-05-22,6310344825
2000-05-23,6440758618
2000-05-24,6941379307
2000-05-25,6966620686
2000-05-26,7151724135
2000-05-30,7126482755
2000-05-31,7206413790
2000-06-01,7521931031
2000-06-02,7652344824
2000-06-05,7572413790
2000-06-06,7757517238
2000-06-07,7732275858
2000-06-08,7627103445
2000-06-09,7336827583
2000-06-12,7256896548
2000-06-13,7311586203
2000-06-14,7336827583
2000-06-15,7282137928
2000-06-16,7282137928
2000-06-19,7311586203
2000-06-20,7151724135
2000-06-21,7046551721
2000-06-22,6996068962
2000-06-23,6890896548
2000-06-26,7046551721
2000-06-27,7126482755
2000-06-28,7080206893
2000-06-29,7046551721
2000-06-30,6861448273
2000-07-03,7078709682
2000-07-05,7288387101
2000-07-06,7418387101
2000-07-07,7363870972
2000-07-10,7259032263
2000-07-11,7363870972
2000-07-12,7363870972
2000-07-13,7653225811
2000-07-14,7548387102
2000-07-17,7326129037
2000-07-18,7732903231
2000-07-19,7917419360
2000-07-20,7837741940
2000-07-21,7758064521
2000-07-24,7862903231
2000-07-25,8022258070
2000-07-26,7837741940
2000-07-27,7812580650
2000-07-28,7917419360
2000-07-31,8127096779
2000-08-01,8257096779
2000-08-02,8307419360
2000-08-03,8127096779
2000-08-04,8412258070
2000-08-07,8361935489
2000-08-08,8651290328
2000-08-09,8546451618
2000-08-10,8441612909
2000-08-11,8596774199
2000-08-14,8756129038
2000-08-15,8651290328
2000-08-16,8491935489
2000-08-17,8387096780
2000-08-18,8387096780
2000-08-21,8387096780
2000-08-22,8412258070
2000-08-23,8412258070
2000-08-24,8336774199
2000-08-25,7992903231
2000-08-28,8412258070
2000-08-29,8047419360
2000-08-30,7942580650
2000-08-31,7816774198
2000-09-01,7917419360
2000-09-05,7942580650
2000-09-06,7967741941
2000-09-07,7707741940
2000-09-08,7602903231
2000-09-11,7523225811
2000-09-12,7678387102
2000-09-13,7468709682
2000-09-14,7103870972
2000-09-15,7078709682
2000-09-18,7024193553
2000-09-19,7024193553
2000-09-20,6709677424
2000-09-21,6764193553
2000-09-22,6814516133
2000-09-25,6684516133
2000-09-26,6814516133
2000-09-27,6839677424
2000-09-28,6839677424
2000-09-29,6684516133
2000-10-02,7292339873
2000-10-03,7234675385
2000-10-04,7097167760
2000-10-05,7154832248
2000-10-06,7123782139
2000-10-09,7154832248
2000-10-10,7123782139
2000-10-11,7070553380
2000-10-12,6875381267
2000-10-13,6764488021
2000-10-16,6764488021
2000-10-17,7735912858
2000-10-18,7567355124
2000-10-19,7678248370
2000-10-20,7487511986
2000-10-23,7456461877
2000-10-24,7625019612
2000-10-25,7625019612
2000-10-26,7735912858
2000-10-27,8010928109
2000-10-30,8095206976
2000-10-31,8152871464
2000-11-01,8374657956
2000-11-02,8343607847
2000-11-03,8485551203
2000-11-06,8565394340
2000-11-07,8179485843
2000-11-08,8179485843
2000-11-09,8538779961
2000-11-10,8844845320
2000-11-13,8760566453
2000-11-14,8787180832
2000-11-15,8649673207
2000-11-16,8676287586
2000-11-17,8596444449
2000-11-20,8649673207
2000-11-21,9731991290
2000-11-22,9204139438
2000-11-24,9204139438
2000-11-27,9261803926
2000-11-28,9594483665
2000-11-29,9758605670
2000-11-30,9731991290
2000-12-01,9483590419
2000-12-04,9425925931
2000-12-05,9842884537
2000-12-06,9927163404
2000-12-07,10175564275
2000-12-08,8844845320
2000-12-11,8179485843
2000-12-12,8095206976
2000-12-13,8232714601
2000-12-14,7900034862
2000-12-15,7846806104
2000-12-18,8041978218
2000-12-19,8179485843
