,DDS
2000-01-03,2020000000
2000-01-04,2039190000
2000-01-05,2033130000
2000-01-06,2007880000
2000-01-07,2039190000
2000-01-10,2051309999
2000-01-11,2070500000
2000-01-12,2026059999
2000-01-13,2026059999
2000-01-14,2026059999
2000-01-18,2020000000
2000-01-19,2076559999
2000-01-20,2045250000
2000-01-21,2007880000
2000-01-24,1950309999
2000-01-25,2007880000
2000-01-26,1994750000
2000-01-27,1963440000
2000-01-28,1944250000
2000-01-31,1847237402
2000-02-01,1882853756
2000-02-02,1865526881
2000-02-03,1901143235
2000-02-04,1882853756
2000-02-07,1853013027
2000-02-08,1865526881
2000-02-09,1817396672
2000-02-10,1804882818
2000-02-11,1780817714
2000-02-14,1793331568
2000-02-15,1738463131
2000-02-16,1786593339
2000-02-17,1708622401
2000-02-18,1756752610
2000-02-22,1841461777
2000-02-23,1769266464
2000-02-24,1673006047
2000-02-25,1660492193
2000-02-28,1690332922
2000-02-29,1673006047
2000-03-01,1673006047
2000-03-02,1673006047
2000-03-03,1690332922
2000-03-06,1594072505
2000-03-07,1473746984
2000-03-08,1467971359
2000-03-09,1497812088
2000-03-10,1401551671
2000-03-13,1449681880
2000-03-14,1443906255
2000-03-15,1443906255
2000-03-16,1606586359
2000-03-17,1552680526
2000-03-20,1630651463
2000-03-21,1618137609
2000-03-22,1552680526
2000-03-23,1570007401
2000-03-24,1534391046
2000-03-27,1540166672
2000-03-28,1504550317
2000-03-29,1534391046
2000-03-30,1558456151
2000-03-31,1582521255
2000-04-03,1606586359
2000-04-04,1558456151
2000-04-05,1521877192
2000-04-06,1486260838
2000-04-07,1497812088
2000-04-10,1497812088
2000-04-11,1510325942
2000-04-12,1510325942
2000-04-13,1438130629
2000-04-14,1360159692
2000-04-17,1312029483
2000-04-18,1353421463
2000-04-19,1329356358
2000-04-20,1317805108
2000-04-24,1312029483
2000-04-25,1432355004
2000-04-26,1425616775
2000-04-27,1365935317
2000-04-28,1341870212
2000-05-01,1332041871
2000-05-02,1366173138
2000-05-03,1291453338
2000-05-04,1268391671
2000-05-05,1326507071
2000-05-08,1320049804
2000-05-09,1337576671
2000-05-10,1343111471
2000-05-11,1372630404
2000-05-12,1395692071
2000-05-15,1378165204
2000-05-16,1383700005
2000-05-17,1366173138
2000-05-18,1372630404
2000-05-19,1372630404
2000-05-22,1332041871
2000-05-23,1383700005
2000-05-24,1303445404
2000-05-25,1366173138
2000-05-26,1303445404
2000-05-30,1349568738
2000-05-31,1378165204
2000-06-01,1372630404
2000-06-02,1337576671
2000-06-05,1332041871
2000-06-06,1296988138
2000-06-07,1343111471
2000-06-08,1314515004
2000-06-09,1303445404
2000-06-12,1268391671
2000-06-13,1314515004
2000-06-14,1320049804
2000-06-15,1332041871
2000-06-16,1285918537
2000-06-19,1257322071
2000-06-20,1199206671
2000-06-21,1234260404
2000-06-22,1211198737
2000-06-23,1222268337
2000-06-26,1211198737
2000-06-27,1227803137
2000-06-28,1222268337
2000-06-29,1216733537
2000-06-30,1130021670
2000-07-03,1181679804
2000-07-05,1291453338
2000-07-06,1337576671
2000-07-07,1320049804
2000-07-10,1366173138
2000-07-11,1389234805
2000-07-12,1389234805
2000-07-13,1378165204
2000-07-14,1383700005
2000-07-17,1383700005
2000-07-18,1378165204
2000-07-19,1360638338
2000-07-20,1349568738
2000-07-21,1337576671
2000-07-24,1262856871
2000-07-25,1280383737
2000-07-26,1285918537
2000-07-27,1291453338
2000-07-28,1273926471
2000-07-31,1241902040
2000-08-01,1247345000
2000-08-02,1264581040
2000-08-03,1264581040
2000-08-04,1270024000
2000-08-07,1287260040
2000-08-08,1355297040
2000-08-09,1355297040
2000-08-10,1338061000
2000-08-11,1349854080
2000-08-14,1355297040
2000-08-15,1304496080
2000-08-16,1270024000
2000-08-17,1264581040
2000-08-18,1259138080
2000-08-21,1230108960
2000-08-22,1275466960
2000-08-23,1264581040
2000-08-24,1241902040
2000-08-25,1219223040
2000-08-28,1224666000
2000-08-29,1224666000
2000-08-30,1219223040
2000-08-31,1162071960
2000-09-01,1168422080
2000-09-05,1168422080
2000-09-06,1162071960
2000-09-07,1151186040
2000-09-08,1145743080
2000-09-11,1139392960
2000-09-12,1151186040
2000-09-13,1139392960
2000-09-14,1123064080
2000-09-15,1139392960
2000-09-18,1105828040
2000-09-19,1088592000
2000-09-20,1071355960
2000-09-21,1071355960
2000-09-22,1048676960
2000-09-25,1009669080
2000-09-26,918953080
2000-09-27,918953080
2000-09-28,957960960
2000-09-29,964311080
2000-10-02,929839000
2000-10-03,924396040
2000-10-04,952518000
2000-10-05,924396040
2000-10-06,907160000
2000-10-09,935281960
2000-10-10,912602960
2000-10-11,873595080
2000-10-12,861802000
2000-10-13,889923960
2000-10-16,896274080
2000-10-17,896274080
2000-10-18,901717040
2000-10-19,907160000
2000-10-20,901717040
2000-10-23,884481000
2000-10-24,907160000
2000-10-25,907160000
2000-10-26,901717040
2000-10-27,907160000
2000-10-30,729948000
2000-10-31,743400000
2000-11-01,729948000
2000-11-02,774552000
2000-11-03,770304000
2000-11-06,809952000
2000-11-07,792252000
2000-11-08,809952000
2000-11-09,765348000
2000-11-10,752604000
2000-11-13,747648000
2000-11-14,770304000
2000-11-15,809952000
2000-11-16,814200000
2000-11-17,823404000
2000-11-20,814200000
2000-11-21,796500000
2000-11-22,800748000
2000-11-24,774552000
2000-11-27,796500000
2000-11-28,809952000
2000-11-29,809952000
2000-11-30,778800000
2000-12-01,788004000
2000-12-04,849600000
2000-12-05,906948000
2000-12-06,876504000
2000-12-07,845352000
2000-12-08,845352000
2000-12-11,831900000
2000-12-12,845352000
2000-12-13,831900000
2000-12-14,827652000
2000-12-15,739152000
2000-12-18,783048000
2000-12-19,756852000
2000-12-20,770304000
2000-12-21,752604000
2000-12-22,770304000
2000-12-26,765348000
2000-12-27,800748000
2000-12-28,858804000
2000-12-29,836148000
2001-01-02,889248000
2001-01-03,986952000
2001-01-04,1013148000
2001-01-05,955800000
2001-01-08,991200000
2001-01-09,1008900000
2001-01-10,1022352000
2001-01-11,1018104000
2001-01-12,1044300000
2001-01-16,1097400000
2001-01-17,1083948000
2001-01-18,1057752000
2001-01-19,1000404000
2001-01-22,1053504000
2001-01-23,1057752000
2001-01-24,1057752000
2001-01-25,1062000000
2001-01-26,1040052000
2001-01-29,1054212000
2001-01-30,1058460000
2001-01-31,1078992000
2001-02-01,1097400000
2001-02-02,1081116000
2001-02-05,1527012000
2001-02-06,1532950380
2001-02-07,1538888760
2001-02-08,1543130460
2001-02-09,1445571360
2001-02-12,1552462200
2001-02-13,1582154099
2001-02-14,1586395800
2001-02-15,1568580659
2001-02-16,1568580659
2001-02-20,1587244140
2001-02-21,1533798719
2001-02-22,1518528599
2001-02-23,1502410140
2001-02-26,1555855560
2001-02-27,1567732320
2001-02-28,1594879200
2001-03-01,1535495400
2001-03-02,1560945599
2001-03-05,1526163659
2001-03-06,1569429000
2001-03-07,1638144540
2001-03-08,1638992880
2001-03-09,1608452640
2001-03-12,1568580659
2001-03-13,1579609080
2001-03-14,1530405360
2001-03-15,1531253700
2001-03-16,1459144800
2001-03-19,1461689820
2001-03-20,1493078400
2001-03-21,1409092740
2001-03-22,1675471500
2001-03-23,1722130200
2001-03-26,1745035380
