,VZ
2000-01-03,150556250000
2000-01-04,145542250000
2000-01-05,150392750000
2000-01-06,148676000000
2000-01-07,147586000000
2000-01-10,146795750000
2000-01-11,145406000000
2000-01-12,140528250000
2000-01-13,139411000000
2000-01-14,141291250000
2000-01-18,148049250000
2000-01-19,144588500000
2000-01-20,148049250000
2000-01-21,150719750000
2000-01-24,150856000000
2000-01-25,146795750000
2000-01-26,144915500000
2000-01-27,146169000000
2000-01-28,144588500000
2000-01-31,155406750000
2000-02-01,149466250000
2000-02-02,148839500000
2000-02-03,146632250000
2000-02-04,146959250000
2000-02-07,149929500000
2000-02-08,148049250000
2000-02-09,145079000000
2000-02-10,143171500000
2000-02-11,140528250000
2000-02-14,138784250000
2000-02-15,136113750000
2000-02-16,138157500000
2000-02-17,134860250000
2000-02-18,130173250000
2000-02-22,131099750000
2000-02-23,126085750000
2000-02-24,120445000000
2000-02-25,119354999999
2000-02-28,125159250000
2000-02-29,122788500000
2000-03-01,137857750000
2000-03-02,138648000000
2000-03-03,138784250000
2000-03-06,143035250000
2000-03-07,139574500000
2000-03-08,141454750000
2000-03-09,147095500000
2000-03-10,143798250000
2000-03-13,143498500000
2000-03-14,140664500000
2000-03-15,140664500000
2000-03-16,145215250000
2000-03-17,148512500000
2000-03-20,148349000000
2000-03-21,147722250000
2000-03-22,145215250000
2000-03-23,149602500000
2000-03-24,149302750000
2000-03-27,152136750000
2000-03-28,151809750000
2000-03-29,155570250000
2000-03-30,153690000000
2000-03-31,152996220000
2000-04-03,157834260000
2000-04-04,159546600000
2000-04-05,158133240000
2000-04-06,163161540000
2000-04-07,162047160000
2000-04-10,157997340000
2000-04-11,160334820000
2000-04-12,161123040000
2000-04-13,157834260000
2000-04-14,152996220000
2000-04-17,151745940000
2000-04-18,153920340000
2000-04-19,154545480000
2000-04-20,150794640000
2000-04-24,155007540000
2000-04-25,157508100000
2000-04-26,153920340000
2000-04-27,150169500000
2000-04-28,148294080000
2000-05-01,145168380000
2000-05-02,136552320000
2000-05-03,138291840000
2000-05-04,134676899999
2000-05-05,135003060000
2000-05-08,136416420000
2000-05-09,136742580000
2000-05-10,136416420000
2000-05-11,136334879999
2000-05-12,132638399999
2000-05-15,137802600000
2000-05-16,138291840000
2000-05-17,135764100000
2000-05-18,134839980000
2000-05-19,131714280000
2000-05-22,130926060000
2000-05-23,127175220000
2000-05-24,129050639999
2000-05-25,126713160000
2000-05-26,129376800000
2000-05-30,131551200000
2000-05-31,132339420000
2000-06-01,133943040000
2000-06-02,134214840000
2000-06-05,132638399999
2000-06-06,135302040000
2000-06-07,135302040000
2000-06-08,136715399999
2000-06-09,135003060000
2000-06-12,134676899999
2000-06-13,138753900000
2000-06-14,143591940000
2000-06-15,141553440000
2000-06-16,137802600000
2000-06-19,142803720000
2000-06-20,143755020000
2000-06-21,142178580000
2000-06-22,145630440000
2000-06-23,143591940000
2000-06-26,138916980000
2000-06-27,134676899999
2000-06-28,131551200000
2000-06-29,128887560000
2000-06-30,126707320000
2000-07-03,137458080000
2000-07-05,135752040000
2000-07-06,134181399999
2000-07-07,138080920000
2000-07-10,136049920000
2000-07-11,132015000000
2000-07-12,129984000000
2000-07-13,128413360000
2000-07-14,123430640000
2000-07-17,121562120000
2000-07-18,121562120000
2000-07-19,117039760000
2000-07-20,109728160000
2000-07-21,119693600000
2000-07-24,121101760000
2000-07-25,121399640000
2000-07-26,117202240000
2000-07-27,117364720000
2000-07-28,117202240000
2000-07-31,117202240000
2000-08-01,119531120000
2000-08-02,119368640000
2000-08-03,118610399999
2000-08-04,117039760000
2000-08-07,119368640000
2000-08-08,105368279999
2000-08-09,100683440000
2000-08-10,102551960000
2000-08-11,103472680000
2000-08-14,103960120000
2000-08-15,104880839999
2000-08-16,103012320000
2000-08-17,99898120000
2000-08-18,104880839999
2000-08-21,106749360000
2000-08-22,103797640000
2000-08-23,101468760000
2000-08-24,103960120000
2000-08-25,107236800000
2000-08-28,109240720000
2000-08-29,106911839999
2000-08-30,110188520000
2000-08-31,108780360000
2000-09-01,109863560000
2000-09-05,108157520000
2000-09-06,106613960000
2000-09-07,109105320000
2000-09-08,110486399999
2000-09-11,112354920000
2000-09-12,111894560000
2000-09-13,109403200000
2000-09-14,108482480000
2000-09-15,107859640000
2000-09-18,108157520000
2000-09-19,108617880000
2000-09-20,107995040000
2000-09-21,105991120000
2000-09-22,108157520000
2000-09-25,107534680000
2000-09-26,108157520000
2000-09-27,108320000000
2000-09-28,117987560000
2000-09-29,120776800000
2000-10-02,117948480000
2000-10-03,118570400000
2000-10-04,123086080000
2000-10-05,129170080000
2000-10-06,125438560000
2000-10-09,123572800000
2000-10-10,120922880000
2000-10-11,115623040000
2000-10-12,114379199999
2000-10-13,115785280000
2000-10-16,115623040000
2000-10-17,120463199999
2000-10-18,119057120000
2000-10-19,119679040000
2000-10-20,120598400000
2000-10-23,123708000000
2000-10-24,124951840000
2000-10-25,124194720000
2000-10-26,126979840000
2000-10-27,132117440000
2000-10-30,137876960000
2000-10-31,143960960000
2000-11-01,138823360000
2000-11-02,143798720000
2000-11-03,141932960000
2000-11-06,138336640000
2000-11-07,136795360000
2000-11-08,137092800000
2000-11-09,139445280000
2000-11-10,140526880000
2000-11-13,141770720000
2000-11-14,138823360000
2000-11-15,134929600000
2000-11-16,133983199999
2000-11-17,129170080000
2000-11-20,130089440000
2000-11-21,130576160000
2000-11-22,131955199999
2000-11-24,131333280000
2000-11-27,133685760000
2000-11-28,136957600000
2000-11-29,138958560000
2000-11-30,139904960000
2000-12-01,139580480000
2000-12-04,141932960000
2000-12-05,143798720000
2000-12-06,146286400000
2000-12-07,144096160000
2000-12-08,139904960000
2000-12-11,137255040000
2000-12-12,137876960000
2000-12-13,143339040000
2000-12-14,141311040000
2000-12-15,137714720000
2000-12-18,138958560000
2000-12-19,129170080000
2000-12-20,124816639999
2000-12-21,121544800000
2000-12-22,119814240000
2000-12-26,123870240000
2000-12-27,125898240000
2000-12-28,121842240000
2000-12-29,124816639999
2001-01-02,125114080000
2001-01-03,132279680000
2001-01-04,136173440000
2001-01-05,135848960000
2001-01-08,135064800000
2001-01-09,138201440000
2001-01-10,139904960000
2001-01-11,138823360000
2001-01-12,138201440000
2001-01-16,135389280000
2001-01-17,134307680000
2001-01-18,138823360000
2001-01-19,137876960000
2001-01-22,134307680000
2001-01-23,133983199999
2001-01-24,129170080000
2001-01-25,127439520000
2001-01-26,129170080000
2001-01-29,132658240000
2001-01-30,134172480000
2001-01-31,136822400000
2001-02-01,136957600000
2001-02-02,129467520000
2001-02-05,130711360000
2001-02-06,135443360000
2001-02-07,131847040000
2001-02-08,132333760000
2001-02-09,130684320000
2001-02-12,133090880000
2001-02-13,134956639999
2001-02-14,129981280000
2001-02-15,129737919999
2001-02-16,130765440000
2001-02-20,128115520000
2001-02-21,122004480000
2001-02-22,122004480000
2001-02-23,122301919999
2001-02-26,126871680000
2001-02-27,126601280000
2001-02-28,123248320000
2001-03-01,120598400000
2001-03-02,123275360000
2001-03-05,119841280000
2001-03-06,119814240000
2001-03-07,118921919999
2001-03-08,122626400000
2001-03-09,118867840000
2001-03-12,118164800000
2001-03-13,122464160000
2001-03-14,116785760000
2001-03-15,119652000000
2001-03-16,117840320000
2001-03-19,121707040000
2001-03-20,117137280000
2001-03-21,114811840000
2001-03-22,114541440000
2001-03-23,116893919999
2001-03-26,119516800000
2001-03-27,124762560000
2001-03-28,117488800000
2001-03-29,120003520000
2001-03-30,122761600000
2001-04-02,121273599999
2001-04-03,118647810000
2001-04-04,121896210000
2001-04-05,123385060000
2001-04-06,123249710000
2001-04-09,125252890000
2001-04-10,127229000000
2001-04-11,125767220000
2001-04-12,129827720000
2001-04-16,129611160000
2001-04-17,131857970000
2001-04-18,132751280000
2001-04-19,133346820000
2001-04-20,132264020000
2001-04-23,131885040000
2001-04-24,131641410000
2001-04-25,137542670000
2001-04-26,138327700000
2001-04-27,138842030000
2001-04-30,137271970000
2001-05-01,141305400000
2001-05-02,141846800000
2001-05-03,139085660000
2001-05-04,139085660000
2001-05-07,141657310000
2001-05-08,138598400000
2001-05-09,134158920000
2001-05-10,133130260000
2001-05-11,132832490000
2001-05-14,134267200000
2001-05-15,134592040000
2001-05-16,136838849999
2001-05-17,133942359999
2001-05-18,134998090000
2001-05-21,136270380000
2001-05-22,135674840000
2001-05-23,133861150000
2001-05-24,134402550000
2001-05-25,134537900000
2001-05-29,135918470000
2001-05-30,134592040000
2001-05-31,136730570000
2001-06-01,136459869999
2001-06-04,138084070000
2001-06-05,138354770000
2001-06-06,135674840000
2001-06-07,132859560000
2001-06-08,133346820000
2001-06-11,134131849999
2001-06-12,135485349999
2001-06-13,133617520000
2001-06-14,132994910000
2001-06-15,130748099999
2001-06-18,130098420000
2001-06-19,129881859999
2001-06-20,131451920000
2001-06-21,132615930000
2001-06-22,130991730000
2001-06-25,129123900000
2001-06-26,132101599999
2001-06-27,130369119999
2001-06-28,133644590000
2001-06-29,133346820000
2001-07-02,135789840000
2001-07-03,137308560000
2001-07-05,134840640000
2001-07-06,133023599999
2001-07-09,134840640000
2001-07-10,137850960000
2001-07-11,139451040000
2001-07-12,138474720000
2001-07-13,137986560000
2001-07-16,139586640000
2001-07-17,141024000000
2001-07-18,140373120000
2001-07-19,142732560000
2001-07-20,140183280000
2001-07-23,137362800000
2001-07-24,135003360000
2001-07-25,139423920000
2001-07-26,140373120000
2001-07-27,140183280000
2001-07-30,139884960000
2001-07-31,135220320000
2001-08-01,139206960000
2001-08-02,136115280000
2001-08-03,134054160000
2001-08-06,133023599999
2001-08-07,133782960000
2001-08-08,132481200000
2001-08-09,131721840000
2001-08-10,134677919999
2001-08-13,133945680000
2001-08-14,134054160000
2001-08-15,132101520000
2001-08-16,133104960000
2001-08-17,131098080000
2001-08-20,133104960000
2001-08-21,133104960000
2001-08-22,131206560000
2001-08-23,129850560000
2001-08-24,130121759999
2001-08-27,128223360000
2001-08-28,126297840000
2001-08-29,124860480000
2001-08-30,125430000000
2001-08-31,124860480000
2001-09-04,124752000000
2001-09-05,124480800000
2001-09-06,122473919999
2001-09-07,122501040000
2001-09-10,126623280000
2001-09-17,124372320000
2001-09-18,129118320000
2001-09-19,134596560000
2001-09-20,132969360000
2001-09-21,126487680000
2001-09-24,129850560000
2001-09-25,134732160000
2001-09-26,134216880000
2001-09-27,133864320000
2001-09-28,135138960000
2001-10-01,138451480000
2001-10-02,139457510000
2001-10-03,137363880000
2001-10-04,137581400000
2001-10-05,136357850000
2001-10-08,136439420000
2001-10-09,136330660000
2001-10-10,135460580000
2001-10-11,132333730000
2001-10-12,130947039999
2001-10-15,130729520000
2001-10-16,130457619999
2001-10-17,131817119999
2001-10-18,130457619999
2001-10-19,131082990000
2001-10-22,128092090000
2001-10-23,124829289999
2001-10-24,125427470000
2001-10-25,125672180000
2001-10-26,126705400000
2001-10-29,125672180000
2001-10-30,123442600000
2001-10-31,124720530000
2001-11-01,128037710000
2001-11-02,128554320000
2001-11-05,128200850000
2001-11-06,126324740000
2001-11-07,124802100000
2001-11-08,125046810000
2001-11-09,125644990000
2001-11-12,123932020000
2001-11-13,122409380000
2001-11-14,123306650000
2001-11-15,127303580000
2001-11-16,125944080000
2001-11-19,124938050000
2001-11-20,123170699999
2001-11-21,122654090000
2001-11-23,122681280000
2001-11-26,122300619999
2001-11-27,120179800000
2001-11-28,119799140000
2001-11-29,118820300000
2001-11-30,117678320000
2001-12-03,118847490000
2001-12-04,120125420000
2001-12-05,120560460000
2001-12-06,121593680000
2001-12-07,119826330000
2001-12-10,120968310000
2001-12-11,119826330000
2001-12-12,118602780000
2001-12-13,119010630000
2001-12-14,118167740000
2001-12-17,121077070000
2001-12-18,120315750000
2001-12-19,121294590000
2001-12-20,120859550000
2001-12-21,118058980000
2001-12-24,118167740000
2001-12-26,118167740000
2001-12-27,121213020000
2001-12-28,120859550000
2001-12-31,118820300000
2002-01-02,121403350000
2002-01-03,125427470000
2002-01-04,126705400000
2002-01-07,125944080000
2002-01-08,124693340000
2002-01-09,122382190000
2002-01-10,123605740000
2002-01-11,124448630000
2002-01-14,125971270000
2002-01-15,125400280000
2002-01-16,123442600000
2002-01-17,124747720000
2002-01-18,122436570000
2002-01-22,120941119999
2002-01-23,123061940000
2002-01-24,120424510000
2002-01-25,119744760000
2002-01-28,120587650000
2002-01-29,117216090000
2002-01-30,115367170000
2002-01-31,116046920000
2002-02-01,116672289999
2002-02-04,114170810000
2002-02-05,112702550000
2002-02-06,108651240000
2002-02-07,111424619999
2002-02-08,113164780000
2002-02-11,114007670000
2002-02-12,113491060000
2002-02-13,113409490000
2002-02-14,114007670000
2002-02-15,114198000000
2002-02-19,114442710000
2002-02-20,116699480000
2002-02-21,111288670000
2002-02-22,113409490000
2002-02-25,116889810000
2002-02-26,117705510000
2002-02-27,118031789999
2002-02-28,117161710000
2002-03-01,121648060000
2002-03-04,120016660000
2002-03-05,118684350000
2002-03-06,120397320000
2002-03-07,119119390000
2002-03-08,116781050000
2002-03-11,117732699999
2002-03-12,118820300000
2002-03-13,119853520000
2002-03-14,119799140000
2002-03-15,119418480000
2002-03-18,119228150000
2002-03-19,119391289999
2002-03-20,120451699999
2002-03-21,117759890000
2002-03-22,114198000000
2002-03-25,114333949999
2002-03-26,115068080000
2002-03-27,114034860000
2002-03-28,115421550000
2002-04-01,115337060000
2002-04-02,113974060000
2002-04-03,114219400000
2002-04-04,113755979999
2002-04-05,113456120000
2002-04-08,110975460000
2002-04-09,107186320000
2002-04-10,110184920000
2002-04-11,104978260000
2002-04-12,106286740000
2002-04-15,103860600000
2002-04-16,109448900000
2002-04-17,107595220000
2002-04-18,106559340000
2002-04-19,105414420000
2002-04-22,100398580000
2002-04-23,100752960000
2002-04-24,102661159999
2002-04-25,103969640000
2002-04-26,103424440000
2002-04-29,98272299999
2002-04-30,100671180000
2002-05-01,104269500000
2002-05-02,104160460000
2002-05-03,101298159999
2002-05-06,100071460000
2002-05-07,99199140000
2002-05-08,103778820000
2002-05-09,100780220000
2002-05-10,98762979999
2002-05-13,102770200000
2002-05-14,105823320000
2002-05-15,105932360000
2002-05-16,110430260000
2002-05-17,108276720000
2002-05-20,106423040000
2002-05-21,107976860000
2002-05-22,108849180000
2002-05-23,110893680000
2002-05-24,109203560000
2002-05-28,112065860000
2002-05-29,110184920000
2002-05-30,110430260000
2002-05-31,107949600000
2002-06-03,105877840000
2002-06-04,106314000000
2002-06-05,105796060000
2002-06-06,102906500000
2002-06-07,104133200000
2002-06-10,104623880000
2002-06-11,101734320000
2002-06-12,104705659999
2002-06-13,103806080000
2002-06-14,103697040000
2002-06-17,105114560000
2002-06-18,106423040000
2002-06-19,99935159999
2002-06-20,100262280000
2002-06-21,101025560000
2002-06-24,99662560000
2002-06-25,97018340000
2002-06-26,97154640000
