,PLD
2000-01-03,1661051780
2000-01-04,1635058542
2000-01-05,1614096253
2000-01-06,1645958932
2000-01-07,1676983120
2000-01-10,1687883510
2000-01-11,1692914459
2000-01-12,1676983120
2000-01-13,1671952170
2000-01-14,1656020831
2000-01-18,1682014069
2000-01-19,1692914459
2000-01-20,1702976358
2000-01-21,1713876748
2000-01-24,1708845799
2000-01-25,1713876748
2000-01-26,1718907698
2000-01-27,1723938647
2000-01-28,1718907698
2000-01-31,1713876748
2000-02-01,1723938647
2000-02-02,1718907698
2000-02-03,1723938647
2000-02-04,1718907698
2000-02-07,1723938647
2000-02-08,1713876748
2000-02-09,1713876748
2000-02-10,1713876748
2000-02-11,1682014069
2000-02-14,1702976358
2000-02-15,1729808088
2000-02-16,1729808088
2000-02-17,1723938647
2000-02-18,1718907698
2000-02-22,1723938647
2000-02-23,1718907698
2000-02-24,1713876748
2000-02-25,1697945409
2000-02-28,1687883510
2000-02-29,1692914459
2000-03-01,1692914459
2000-03-02,1687883510
2000-03-03,1682014069
2000-03-06,1692914459
2000-03-07,1692914459
2000-03-08,1697945409
2000-03-09,1692914459
2000-03-10,1692914459
2000-03-13,1692914459
2000-03-14,1708845799
2000-03-15,1739869987
2000-03-16,1755801326
2000-03-17,1755801326
2000-03-20,1760832276
2000-03-21,1760832276
2000-03-22,1792694955
2000-03-23,1802756854
2000-03-24,1792694955
2000-03-27,1786825514
2000-03-28,1771732666
2000-03-29,1776763615
2000-03-30,1776763615
2000-03-31,1802750963
2000-04-03,1781788742
2000-04-04,1797720030
2000-04-05,1792689097
2000-04-06,1786819675
2000-04-07,1786819675
2000-04-10,1792689097
2000-04-11,1802750963
2000-04-12,1813651317
2000-04-13,1823713183
2000-04-14,1813651317
2000-04-17,1807781895
2000-04-18,1823713183
2000-04-19,1844675404
2000-04-20,1834613538
2000-04-24,1844675404
2000-04-25,1844675404
2000-04-26,1849706336
2000-04-27,1844675404
2000-04-28,1849706336
2000-05-01,1891630777
2000-05-02,1918462420
2000-05-03,1918462420
2000-05-04,1912592998
2000-05-05,1918462420
2000-05-08,1907562065
2000-05-09,1928524286
2000-05-10,1912592998
2000-05-11,1907562065
2000-05-12,1918462420
2000-05-15,1923493353
2000-05-16,1923493353
2000-05-17,1902531132
2000-05-18,1886599845
2000-05-19,1865637624
2000-05-22,1865637624
2000-05-23,1886599845
2000-05-24,1881568912
2000-05-25,1881568912
2000-05-26,1891630777
2000-05-30,1886599845
2000-05-31,1886599845
2000-06-01,1881568912
2000-06-02,1881568912
2000-06-05,1881568912
2000-06-06,1891630777
2000-06-07,1902531132
2000-06-08,1918462420
2000-06-09,1912592998
2000-06-12,1918462420
2000-06-13,1928524286
2000-06-14,1944455573
2000-06-15,1944455573
2000-06-16,1933555218
2000-06-19,1939424640
2000-06-20,1960386861
2000-06-21,1960386861
2000-06-22,1970448727
2000-06-23,1960386861
2000-06-26,1954517439
2000-06-27,1954517439
2000-06-28,1960386861
2000-06-29,1981349081
2000-06-30,1918677109
2000-07-03,1934659076
2000-07-05,1960734915
2000-07-06,2002792721
2000-07-07,2013727751
2000-07-10,2018774688
2000-07-11,2013727751
2000-07-12,2002792721
2000-07-13,2008680814
2000-07-14,1992698848
2000-07-17,1997745785
2000-07-18,1997745785
2000-07-19,1976716882
2000-07-20,1976716882
2000-07-21,1981763818
2000-07-24,1997745785
2000-07-25,1992698848
2000-07-26,1997745785
2000-07-27,2018774688
2000-07-28,2008680814
2000-07-31,2008680814
2000-08-01,2018774688
2000-08-02,2018774688
2000-08-03,2018774688
2000-08-04,2008680814
2000-08-07,2002792721
2000-08-08,2008680814
2000-08-09,2002792721
2000-08-10,2018774688
2000-08-11,2029709717
2000-08-14,2039803591
2000-08-15,2039803591
2000-08-16,2050738620
2000-08-17,2044850527
2000-08-18,2039803591
2000-08-21,2044850527
2000-08-22,2039803591
2000-08-23,2050738620
2000-08-24,2034756654
2000-08-25,2055785557
2000-08-28,2039803591
2000-08-29,2044850527
2000-08-30,2050738620
2000-08-31,2034756654
2000-09-01,2039803591
2000-09-05,2039803591
2000-09-06,2044850527
2000-09-07,2050738620
2000-09-08,2050738620
2000-09-11,2081861397
2000-09-12,2092796426
2000-09-13,2097843363
2000-09-14,2097843363
2000-09-15,2092796426
2000-09-18,2071767523
2000-09-19,2060832494
2000-09-20,2050738620
2000-09-21,2060832494
2000-09-22,2050738620
2000-09-25,2055785557
2000-09-26,2044850527
2000-09-27,2055785557
2000-09-28,2081861397
2000-09-29,2065879430
2000-10-02,2008732056
2000-10-03,2013753886
2000-10-04,1998688395
2000-10-05,1977764103
2000-10-06,1982785933
2000-10-09,1982785933
2000-10-10,2003710225
2000-10-11,2003710225
2000-10-12,1956839811
2000-10-13,1966883471
2000-10-16,1971905301
2000-10-17,1992829593
2000-10-18,1966883471
2000-10-19,1956839811
2000-10-20,1966883471
2000-10-23,1956839811
2000-10-24,1950981009
2000-10-25,1945959179
2000-10-26,1950981009
2000-10-27,1956839811
2000-10-30,1956839811
2000-10-31,1966883471
2000-11-01,1966883471
2000-11-02,1956839811
