,MCO
2001-01-23,4391580000
2001-01-24,4382040000
2001-01-25,4401120000
2001-01-26,4432920000
2001-01-29,4461540000
2001-01-30,4528320000
2001-01-31,4452000000
2001-02-01,4448820000
2001-02-02,4334340000
2001-02-05,4350240000
2001-02-06,4426560000
2001-02-07,4382040000
2001-02-08,4385220000
2001-02-09,4458360000
2001-02-12,4442460000
2001-02-13,4509240000
2001-02-14,4452000000
2001-02-15,4452000000
2001-02-16,4452000000
2001-02-20,4464720000
2001-02-21,4423380000
2001-02-22,4471080000
2001-02-23,4305720000
2001-02-26,4318440000
2001-02-27,4372500000
2001-02-28,4286640000
2001-03-01,4337520000
2001-03-02,4289820000
2001-03-05,4254840000
2001-03-06,4254840000
2001-03-07,4261200000
2001-03-08,4318440000
2001-03-09,4293000000
2001-03-12,4261200000
2001-03-13,4312080000
2001-03-14,4293000000
2001-03-15,4305720000
2001-03-16,4293000000
2001-03-19,4286640000
2001-03-20,4302540000
2001-03-21,4242120000
2001-03-22,4203960000
2001-03-23,4238940000
2001-03-26,4308900000
2001-03-27,4308900000
2001-03-28,4305720000
2001-03-29,4293000000
2001-03-30,4382040000
2001-04-02,4300760000
2001-04-03,4205960000
2001-04-04,4187000000
2001-04-05,4259680000
2001-04-06,4256520000
2001-04-09,4452440000
2001-04-10,4591480000
2001-04-11,4559880000
2001-04-12,4509320000
2001-04-16,4591480000
2001-04-17,4711560000
2001-04-18,4837960000
2001-04-19,4948560000
2001-04-20,4891680000
2001-04-23,4793720000
2001-04-24,4796880000
2001-04-25,4920120000
2001-04-26,4803200000
2001-04-27,4964360000
2001-04-30,4961200000
2001-05-01,4973840000
2001-05-02,4964360000
2001-05-03,4923280000
2001-05-04,4898000000
2001-05-07,4923280000
2001-05-08,4891680000
2001-05-09,4932760000
2001-05-10,4904320000
2001-05-11,4898000000
2001-05-14,4885360000
2001-05-15,5021240000
2001-05-16,5046520000
2001-05-17,5106560000
2001-05-18,5160279999
2001-05-21,5226640000
2001-05-22,5160279999
2001-05-23,5182400000
2001-05-24,5160279999
2001-05-25,5128680000
2001-05-29,5176080000
2001-05-30,5056000000
2001-05-31,5068640000
2001-06-01,5103400000
2001-06-04,5135000000
2001-06-05,5277200000
2001-06-06,5302480000
2001-06-07,5330920000
2001-06-08,5274040000
2001-06-11,5232960000
2001-06-12,5119200000
2001-06-13,5176080000
2001-06-14,5100240000
2001-06-15,5160279999
2001-06-18,5163440000
2001-06-19,5451000000
2001-06-20,5406760000
2001-06-21,5413080000
2001-06-22,5419400000
2001-06-25,5413080000
2001-06-26,5356200000
2001-06-27,5387800000
2001-06-28,5403600000
2001-06-29,5293000000
2001-07-02,5378800000
2001-07-03,5372472000
2001-07-05,5328176000
2001-07-06,5217435999
2001-07-09,5242748000
2001-07-10,5182632000
2001-07-11,5154156000
2001-07-12,5157320000
2001-07-13,5097204000
2001-07-16,5141500000
2001-07-17,5141500000
2001-07-18,5154156000
2001-07-19,5062400000
2001-07-20,4923184000
2001-07-23,4882052000
2001-07-24,4964316000
2001-07-25,5116188000
2001-07-26,5166811999
2001-07-27,5094040000
2001-07-30,5233256000
2001-07-31,5261732000
2001-08-01,5245911999
2001-08-02,5261732000
2001-08-03,5274388000
2001-08-06,5315520000
2001-08-07,5306028000
2001-08-08,5315520000
2001-08-09,5306028000
2001-08-10,5375635999
2001-08-13,5315520000
2001-08-14,5356652000
2001-08-15,5359816000
2001-08-16,5378800000
2001-08-17,5397784000
2001-08-20,5464228000
2001-08-21,5457900000
2001-08-22,5445244000
2001-08-23,5442080000
2001-08-24,5511688000
2001-08-27,5508524000
2001-08-28,5448408000
2001-08-29,5426260000
2001-08-30,5426260000
2001-08-31,5442080000
2001-09-04,5464228000
2001-09-05,5537000000
2001-09-06,5451572000
2001-09-07,5220600000
2001-09-10,5492704000
2001-09-17,5340832000
2001-09-18,5442080000
2001-09-19,5362980000
2001-09-20,5299700000
2001-09-21,5125680000
2001-09-24,5334504000
2001-09-25,5353488000
2001-09-26,5457900000
2001-09-27,5650904000
2001-09-28,5853400000
2001-10-01,5688096000
2001-10-02,5397824000
2001-10-03,5243424000
2001-10-04,5095200000
2001-10-05,5246511999
2001-10-08,5156960000
2001-10-09,5268128000
2001-10-10,5428703999
2001-10-11,5459584000
2001-10-12,5475024000
2001-10-15,5573840000
2001-10-16,5666480000
2001-10-17,5549136000
2001-10-18,5620160000
2001-10-19,5694272000
2001-10-22,5632511999
2001-10-23,5407088000
2001-10-24,5450320000
2001-10-25,5558400000
2001-10-26,5552224000
2001-10-29,5478111999
2001-10-30,5410176000
2001-10-31,5360768000
2001-11-01,5481200000
2001-11-02,5434880000
2001-11-05,5410176000
2001-11-06,5437968000
2001-11-07,5478111999
2001-11-08,5410176000
2001-11-09,5400911999
2001-11-12,5400911999
2001-11-13,5515168000
2001-11-14,5530608000
2001-11-15,5459584000
2001-11-16,5404000000
2001-11-19,5326800000
2001-11-20,5366944000
2001-11-21,5366944000
2001-11-23,5360768000
2001-11-26,5431792000
2001-11-27,5323711999
2001-11-28,5215632000
2001-11-29,5277392000
2001-11-30,5351503999
2001-12-03,5336064000
2001-12-04,5552224000
2001-12-05,5669568000
2001-12-06,5583103999
2001-12-07,5598544000
2001-12-10,5505903999
2001-12-11,5580016000
2001-12-12,5592368000
2001-12-13,5601632000
2001-12-14,5678832000
2001-12-17,6104976000
2001-12-18,6083360000
2001-12-19,6117328000
2001-12-20,6098800000
2001-12-21,6098800000
2001-12-24,6197616000
2001-12-26,6222320000
2001-12-27,6314960000
2001-12-28,6259376000
2001-12-31,6154384000
2002-01-02,6172911999
2002-01-03,6185264000
2002-01-04,6305696000
2002-01-07,6209968000
2002-01-08,6361280000
2002-01-09,6228496000
2002-01-10,6176000000
2002-01-11,6160560000
2002-01-14,6182176000
2002-01-15,6166736000
2002-01-16,6148208000
2002-01-17,6163648000
2002-01-18,6160560000
2002-01-22,6135856000
2002-01-23,6120416000
2002-01-24,6176000000
2002-01-25,6179088000
2002-01-28,6018511999
2002-01-29,5842496000
2002-01-30,5774560000
2002-01-31,5793088000
2002-02-01,5833232000
2002-02-04,5805440000
2002-02-05,6203792000
2002-02-06,6200703999
2002-02-07,6052480000
2002-02-08,6151296000
2002-02-11,6132768000
2002-02-12,5913520000
2002-02-13,5870288000
2002-02-14,5660303999
2002-02-15,5740592000
2002-02-19,5712800000
2002-02-20,5857936000
2002-02-21,5712800000
2002-02-22,5830144000
2002-02-25,5746768000
2002-02-26,5737503999
2002-02-27,5722064000
2002-02-28,5712800000
2002-03-01,5712800000
2002-03-04,5718976000
2002-03-05,5996896000
2002-03-06,6024688000
2002-03-07,5919696000
2002-03-08,6126592000
2002-03-11,6021600000
2002-03-12,6006160000
2002-03-13,6046303999
2002-03-14,6191440000
2002-03-15,6176000000
2002-03-18,6145120000
2002-03-19,6296432000
2002-03-20,6157472000
2002-03-21,6033952000
2002-03-22,6021600000
2002-03-25,5962928000
2002-03-26,6037040000
2002-03-27,6135856000
2002-03-28,6345840000
2002-04-01,6327100000
2002-04-02,6364300000
2002-04-03,6293000000
2002-04-04,6280600000
2002-04-05,6339500000
2002-04-08,6330200000
2002-04-09,6386000000
2002-04-10,6373600000
2002-04-11,6395300000
2002-04-12,6364300000
2002-04-15,6234100000
2002-04-16,6355000000
2002-04-17,6274399999
2002-04-18,6364300000
2002-04-19,6401500000
2002-04-22,6373600000
2002-04-23,6370500000
2002-04-24,6568900000
2002-04-25,6711500000
2002-04-26,6717700000
2002-04-29,6680500000
2002-04-30,6754900000
2002-05-01,6965700000
2002-05-02,7021500000
2002-05-03,6940900000
2002-05-06,7312900000
2002-05-07,7278800000
2002-05-08,7489600000
2002-05-09,7598100000
2002-05-10,7573300000
2002-05-13,7489600000
2002-05-14,7517500000
2002-05-15,7790300000
2002-05-16,7796500000
2002-05-17,7750000000
2002-05-20,7647700000
2002-05-21,7629100000
2002-05-22,7629100000
2002-05-23,7647700000
2002-05-24,7588800000
2002-05-28,7588800000
2002-05-29,7405900000
2002-05-30,7347000000
2002-05-31,7464799999
2002-06-03,7399700000
2002-06-04,7440000000
2002-06-05,7461700000
2002-06-06,7362500000
2002-06-07,7316000000
2002-06-10,7347000000
2002-06-11,7384200000
2002-06-12,7719000000
2002-06-13,7436899999
2002-06-14,7393500000
2002-06-17,7461700000
2002-06-18,7635300000
2002-06-19,7849200000
2002-06-20,7994900000
2002-06-21,7790300000
2002-06-24,7663200000
2002-06-25,7753100000
2002-06-26,7644600000
2002-06-27,7514399999
2002-06-28,7712800000
2002-07-01,7399936000
2002-07-02,7486848000
2002-07-03,7576864000
2002-07-05,7719648000
2002-07-08,7579968000
2002-07-09,7511680000
2002-07-10,7561344000
2002-07-11,7396831999
2002-07-12,7384416000
2002-07-15,7334752000
2002-07-16,7291295999
2002-07-17,7188864000
2002-07-18,6946752000
2002-07-19,6521504000
2002-07-22,6599104000
2002-07-23,7126784000
2002-07-24,7331648000
2002-07-25,7524095999
2002-07-26,7489952000
2002-07-29,7760000000
2002-07-30,7682400000
2002-07-31,7697920000
2002-08-01,7412352000
2002-08-02,7384416000
2002-08-05,7313024000
2002-08-06,7269568000
2002-08-07,7440288000
2002-08-08,7595488000
2002-08-09,7595488000
2002-08-12,7576864000
2002-08-13,7434080000
2002-08-14,7685504000
2002-08-15,7685504000
2002-08-16,7669984000
2002-08-19,7713440000
2002-08-20,7881056000
2002-08-21,7902784000
2002-08-22,7747584000
2002-08-23,7654464000
2002-08-26,7542720000
2002-08-27,7502368000
2002-08-28,7604800000
2002-08-29,7576864000
2002-08-30,7499264000
2002-09-03,7533408000
2002-09-04,7601695999
2002-09-05,7579968000
2002-09-06,7595488000
2002-09-09,7691712000
2002-09-10,7710336000
2002-09-11,7707231999
2002-09-12,7583072000
2002-09-13,7564448000
2002-09-16,7722752000
2002-09-17,7614112000
2002-09-18,7638944000
2002-09-19,7399936000
2002-09-20,7483744000
2002-09-23,7579968000
2002-09-24,7278880000
2002-09-25,7418560000
2002-09-26,7567552000
2002-09-27,7573760000
2002-09-30,7182850000
2002-10-01,7330950000
2002-10-02,7319102000
2002-10-03,6999206000
2002-10-04,6329794000
2002-10-07,6625994000
2002-10-08,6827410000
2002-10-09,6782980000
2002-10-10,6904422000
2002-10-11,7079180000
2002-10-14,7141382000
2002-10-15,7316140000
2002-10-16,7283558000
2002-10-17,7345760000
2002-10-18,7182850000
2002-10-21,7390190000
2002-10-22,7422772000
2002-10-23,7022902000
2002-10-24,6812600000
2002-10-25,6759284000
2002-10-28,6649690000
2002-10-29,6694120000
2002-10-30,6854068000
2002-10-31,6975510000
2002-11-01,6963662000
2002-11-04,6874802000
2002-11-05,6937004000
2002-11-06,6883688000
2002-11-07,6744474000
2002-11-08,6682272000
2002-11-11,6469008000
2002-11-12,6625994000
2002-11-13,6483818000
2002-11-14,6602298000
2002-11-15,6439388000
2002-11-18,6329794000
2002-11-19,6471970000
2002-11-20,6510476000
2002-11-21,6380148000
2002-11-22,6439388000
2002-11-25,6528248000
2002-11-26,6391995999
2002-11-27,6599336000
2002-11-29,6519362000
2002-12-02,6534172000
2002-12-03,6495666000
2002-12-04,6489742000
2002-12-05,6406806000
2002-12-06,6504552000
2002-12-09,6317945999
2002-12-10,6294250000
