,SSP
2000-01-03,3122190458
2000-01-04,3100568601
2000-01-05,3113541726
2000-01-06,3109217282
2000-01-07,3139487818
2000-01-10,3269218750
2000-01-11,3282191874
2000-01-12,3290840606
2000-01-13,3334084111
2000-01-14,3338408763
2000-01-18,3290840606
2000-01-19,3303813523
2000-01-20,3264894306
2000-01-21,3381652061
2000-01-24,3360030412
2000-01-25,3282191874
2000-01-26,3321111143
2000-01-27,3321111143
2000-01-28,3321111143
2000-01-31,3256245573
2000-02-01,3329759823
2000-02-02,3295164842
2000-02-03,3286516162
2000-02-04,3273542986
2000-02-07,3290840606
2000-02-08,3295164842
2000-02-09,3256245573
2000-02-10,3256245573
2000-02-11,3234623717
2000-02-14,3152460995
2000-02-15,3161109675
2000-02-16,3057324888
2000-02-17,3044351712
2000-02-18,3031378796
2000-02-22,3005432495
2000-02-23,2979486402
2000-02-24,3001108207
2000-02-25,3018405619
2000-02-28,3001108207
2000-02-29,2983810846
2000-03-01,3040027476
2000-03-02,3074622457
2000-03-03,3100568601
2000-03-06,2970837670
2000-03-07,2966513226
2000-03-08,2983810846
2000-03-09,3005432495
2000-03-10,2940567133
2000-03-13,2975161906
2000-03-14,2970837670
2000-03-15,3018405619
2000-03-16,3165433963
2000-03-17,3074622457
2000-03-20,3074622457
2000-03-21,3087595425
2000-03-22,3104893046
2000-03-23,3238948213
2000-03-24,3165433963
2000-03-27,3156785231
2000-03-28,3182731531
2000-03-29,3191380264
2000-03-30,3303813523
2000-03-31,3361644900
2000-04-03,3335652680
2000-04-04,3318324708
2000-04-05,3266340426
2000-04-06,3348648816
2000-04-07,3335652680
2000-04-10,3223020234
2000-04-11,3296664586
2000-04-12,3344316927
2000-04-13,3300996475
2000-04-14,3158040076
2000-04-17,3175368101
2000-04-18,3175368101
2000-04-19,3136379955
2000-04-20,3127715968
2000-04-24,3309660461
2000-04-25,3214356196
2000-04-26,3236016317
2000-04-27,3192696074
2000-04-28,3236016317
2000-05-01,3184032087
2000-05-02,3119051930
2000-05-03,3114719833
2000-05-04,3084395724
2000-05-05,3097391808
2000-05-08,3067067700
2000-05-09,3097391808
2000-05-10,3166704063
2000-05-11,3283668450
2000-05-12,3469945301
2000-05-15,3465612995
2000-05-16,3474277190
2000-05-17,3413628973
2000-05-18,3374640619
2000-05-19,3288000548
2000-05-22,3244680356
2000-05-23,3236016317
2000-05-24,3244680356
2000-05-25,3244680356
2000-05-26,3257676439
2000-05-30,3413628973
2000-05-31,3318324708
2000-06-01,3326988694
2000-06-02,3331320583
2000-06-05,3322656597
2000-06-06,3305328572
2000-06-07,3331320583
2000-06-08,3391969060
2000-06-09,3426625057
2000-06-12,3361644900
2000-06-13,3361644900
2000-06-14,3391969060
2000-06-15,3391969060
2000-06-16,3370308730
2000-06-19,3443953082
2000-06-20,3422293168
2000-06-21,3400632838
2000-06-22,3374640619
2000-06-23,3313992611
2000-06-26,3300996475
2000-06-27,3305328572
2000-06-28,3344316927
2000-06-29,3409297032
2000-06-30,3417815680
2000-07-03,3386379936
2000-07-05,3325676595
2000-07-06,3351692439
2000-07-07,3377707866
2000-07-10,3360364092
2000-07-11,3403723710
2000-07-12,3494778772
2000-07-13,3542474217
2000-07-14,3512122547
2000-07-17,3477434998
2000-07-18,3477434998
2000-07-19,3473099172
2000-07-20,3473099172
2000-07-21,3416731658
2000-07-24,3451419154
2000-07-25,3464427102
2000-07-26,3434075432
2000-07-27,3460091276
2000-07-28,3395052057
2000-07-31,3425403727
2000-08-01,3477434998
2000-08-02,3451419154
2000-08-03,3447083328
2000-08-04,3473099172
2000-08-07,3507786720
2000-08-08,3464427102
2000-08-09,3425403727
2000-08-10,3468762928
2000-08-11,3468762928
2000-08-14,3468762928
2000-08-15,3507786720
2000-08-16,3555482165
2000-08-17,3503450842
2000-08-18,3590169661
2000-08-21,3529466321
2000-08-22,3499114599
2000-08-23,3499114599
2000-08-24,3455755397
2000-08-25,3464427102
2000-08-28,3451419154
2000-08-29,3468762928
2000-08-30,3555482165
2000-08-31,3516458790
2000-09-01,3481770876
2000-09-05,3455755397
2000-09-06,3434075432
2000-09-07,3434075432
2000-09-08,3395052057
2000-09-11,3538138390
2000-09-12,3507786720
2000-09-13,3516458790
2000-09-14,3516458790
2000-09-15,3477434998
2000-09-18,3416731658
2000-09-19,3338684491
2000-09-20,3351692439
2000-09-21,3330012630
2000-09-22,3343020370
2000-09-25,3360364092
2000-09-26,3395052057
2000-09-27,3451419154
2000-09-28,3572825887
2000-09-29,3746264359
2000-10-02,3675673633
2000-10-03,3592335101
2000-10-04,3579176330
2000-10-05,3592335101
2000-10-06,3640583753
2000-10-09,3631811098
2000-10-10,3802874647
2000-10-11,3754625995
2000-10-12,3820420009
2000-10-13,3969552079
2000-10-16,3789716297
2000-10-17,3701991228
2000-10-18,3693218573
2000-10-19,3785329759
2000-10-20,3943234484
2000-10-23,4030959554
2000-10-24,4052891032
2000-10-25,4052891032
2000-10-26,4079208205
2000-10-27,4180092046
2000-10-30,4101139684
2000-10-31,4101139684
2000-11-01,4118684571
2000-11-02,4105525800
2000-11-03,4109911916
2000-11-06,4254658292
2000-11-07,4237112983
2000-11-08,4232726814
2000-11-09,4123070740
2000-11-10,4087980860
2000-11-13,4066049381
2000-11-14,4162547106
2000-11-15,4245885637
2000-11-16,4105525800
2000-11-17,4123070740
2000-11-20,4127456856
2000-11-21,4026573437
2000-11-22,3960779846
2000-11-24,3973938248
2000-11-27,4127456856
2000-11-28,4061663265
2000-11-29,4083594322
2000-11-30,4145001797
2000-12-01,4193250817
2000-12-04,4210795757
2000-12-05,4202023102
2000-12-06,4070435920
2000-12-07,4061663265
2000-12-08,4131843395
2000-12-11,4232726814
2000-12-12,4175705930
2000-12-13,4228340697
2000-12-14,4280975465
2000-12-15,4259044408
2000-12-18,4276589349
2000-12-19,4307293060
2000-12-20,4219568043
2000-12-21,4202023102
2000-12-22,4237112983
2000-12-26,4272203232
2000-12-27,4333610654
2000-12-28,4333610654
2000-12-29,4412563070
2001-01-02,4276589349
2001-01-03,4307293060
2001-01-04,4425721841
2001-01-05,4333610654
2001-01-08,4263430578
2001-01-09,4320451883
2001-01-10,4210795757
2001-01-11,4342382940
2001-01-12,4421335302
2001-01-16,4504674256
2001-01-17,4452039066
2001-01-18,4381859306
2001-01-19,4443266781
2001-01-22,4403790362
2001-01-23,4513446489
2001-01-24,4517833027
2001-01-25,4495901549
2001-01-26,4456425552
2001-01-29,4505551237
2001-01-30,4560993534
2001-01-31,4512569508
2001-02-01,4502042470
2001-02-02,4526605312
2001-02-05,4562397115
2001-02-06,4645911021
2001-02-07,4537132350
2001-02-08,4537132350
2001-02-09,4584152796
2001-02-12,4561695140
2001-02-13,4579240502
2001-02-14,4477479259
2001-02-15,4463443454
2001-02-16,4499235309
2001-02-20,4491515432
2001-02-21,4466952221
2001-02-22,4393263324
2001-02-23,4324487197
2001-02-26,4417826589
2001-02-27,4414317400
2001-02-28,4416423008
2001-03-01,4463443454
2001-03-02,4491515432
2001-03-05,4500638890
2001-03-06,4545553780
2001-03-07,4513973088
2001-03-08,4484497530
2001-03-09,4446600120
2001-03-12,4399579674
2001-03-13,4161669703
2001-03-14,4102016664
2001-03-15,4126579876
2001-03-16,4126579876
2001-03-19,4090788021
2001-03-20,4063417648
2001-03-21,4035345670
2001-03-22,3963060407
2001-03-23,3982710903
2001-03-26,4052891032
2001-03-27,4069032339
2001-03-28,4036749673
2001-03-29,4069032339
2001-03-30,4068330364
2001-04-02,4056229537
2001-04-03,3980673618
2001-04-04,3956187692
2001-04-05,4019151186
2001-04-06,4034541939
2001-04-09,4057628701
2001-04-10,4102402324
2001-04-11,4094706737
2001-04-12,4141579658
2001-04-16,4114995170
2001-04-17,4134583417
2001-04-18,4267505805
2001-04-19,4337465120
2001-04-20,4358452951
2001-04-23,4387136001
2001-04-24,4355654255
2001-04-25,4401128012
2001-04-26,4461992155
2001-04-27,4484379150
2001-04-30,4492774135
2001-05-01,4498371160
2001-05-02,4513062569
2001-05-03,4483679752
2001-05-04,4484379150
2001-05-07,4479481891
2001-05-08,4473185836
2001-05-09,4475984165
2001-05-10,4522856718
2001-05-11,4511663404
2001-05-14,4524255882
2001-05-15,4515161131
2001-05-16,4569029821
2001-05-17,4715244085
2001-05-18,4695655786
2001-05-21,4662774875
2001-05-22,4716643617
2001-05-23,4702651607
2001-05-24,4669770696
2001-05-25,4690059182
2001-05-29,4819483475
2001-05-30,4656478452
2001-05-31,4718742180
2001-06-01,4657178271
2001-06-04,4671869679
2001-06-05,4688660017
2001-06-06,4655779106
2001-06-07,4645984536
2001-06-08,4629194618
2001-06-11,4639688534
2001-06-12,4615202608
2001-06-13,4603309528
2001-06-14,4498371160
2001-06-15,4538947238
2001-06-18,4408823178
2001-06-19,4540346402
2001-06-20,4620799633
2001-06-21,4700552677
2001-06-22,4685861269
2001-06-25,4694256622
2001-06-26,4692857510
2001-06-27,4746725832
2001-06-28,4770511992
2001-06-29,4827179063
2001-07-02,4799024873
2001-07-03,4817722314
2001-07-05,4821184951
2001-07-06,4772017539
2001-07-09,4763707699
2001-07-10,4765092681
2001-07-11,4783790069
2001-07-12,4805257474
2001-07-13,4697920137
2001-07-16,4738084983
2001-07-17,4726312453
2001-07-18,4693764826
2001-07-19,4687532589
2001-07-20,4684762625
2001-07-23,4669527457
2001-07-24,4619667372
2001-07-25,4644597415
2001-07-26,4684069952
2001-07-27,4705537357
2001-07-30,4736700001
2001-07-31,4835035136
2001-08-01,4840575065
2001-08-02,4862042470
2001-08-03,4854424886
2001-08-06,4856502541
2001-08-07,4850962613
2001-08-08,4893205114
2001-08-09,4864120125
2001-08-10,4935447563
2001-08-13,4891820132
2001-08-14,4842652356
2001-08-15,4802487510
2001-08-16,4777557468
2001-08-17,4708307321
2001-08-20,4730467347
2001-08-21,4668835148
2001-08-22,4572577304
2001-08-23,4549724917
2001-08-24,4580194887
2001-08-27,4612049789
2001-08-28,4597507294
2001-08-29,4571884995
2001-08-30,4491554939
2001-08-31,4532412458
2001-09-04,4616205151
2001-09-05,4604432621
2001-09-06,4577424923
2001-09-07,4460392295
2001-09-10,4445849852
2001-09-17,4251257549
2001-09-18,4161924979
2001-09-19,4151537431
2001-09-20,3974949895
2001-09-21,4006804848
2001-09-24,4058049915
2001-09-25,4028272617
2001-09-26,4044892402
2001-09-27,4189624985
2001-09-28,4218017249
2001-10-01,4113312544
2001-10-02,4160970743
2001-10-03,4306047216
2001-10-04,4338286824
2001-10-05,4299038765
2001-10-08,4197415000
2001-10-09,4107004754
2001-10-10,4274509058
2001-10-11,4392953052
2001-10-12,4478457619
2001-10-15,4514901929
2001-10-16,4555551256
2001-10-17,4427295011
2001-10-18,4429397730
2001-10-19,4503687987
2001-10-22,4524713706
2001-10-23,4587089835
2001-10-24,4552747876
2001-10-25,4504389069
2001-10-26,4496679589
2001-10-29,4397158543
2001-10-30,4259791128
2001-10-31,4322166836
2001-11-01,4430098391
2001-11-02,4409773701
2001-11-05,4515602537
2001-11-06,4520508689
2001-11-07,4535927648
2001-11-08,4589192554
2001-11-09,4576576975
2001-11-12,4435004490
2001-11-13,4470748139
2001-11-14,4472850490
2001-11-15,4492474519
2001-11-16,4457431900
2001-11-19,4481260999
2001-11-20,4504389069
2001-11-21,4388747982
2001-11-23,4430799420
2001-11-26,4418183841
2001-11-27,4439910590
2001-11-28,4411175391
2001-11-29,4449021759
2001-11-30,4474953209
2001-12-03,4463038660
2001-12-04,4542235016
2001-12-05,4661380513
2001-12-06,4653671034
2001-12-07,4606713864
2001-12-10,4517004227
2001-12-11,4522611408
2001-12-12,4506491788
2001-12-13,4431500081
2001-12-14,4457431900
2001-12-17,4490372169
2001-12-18,4616525694
2001-12-19,4713944390
2001-12-20,4646662583
2001-12-21,4632645314
2001-12-24,4695021390
2001-12-26,4677500133
2001-12-27,4712542700
2001-12-28,4746183630
2001-12-31,4670944781
2002-01-02,4798333975
2002-01-03,4784887304
2002-01-04,4817442697
2002-01-07,4851413139
2002-01-08,4900953514
2002-01-09,4934923955
2002-01-10,4954740201
2002-01-11,4897414779
2002-01-14,4823811846
2002-01-15,4826642685
2002-01-16,4740301030
2002-01-17,4820273537
2002-01-18,4858490183
2002-01-22,4941293529
2002-01-23,4907322716
2002-01-24,4975263970
2002-01-25,4957571040
2002-01-28,4909446031
2002-01-29,4924308122
2002-01-30,4908030612
2002-01-31,5017726875
2002-02-01,5032588967
2002-02-04,4932800640
2002-02-05,4957571040
2002-02-06,4978094809
2002-02-07,5032588967
2002-02-08,5095576067
2002-02-11,5147239385
2002-02-12,5141577707
2002-02-13,5195364394
2002-02-14,5249858977
2002-02-15,5184041038
2002-02-19,5238535195
2002-02-20,5343277730
2002-02-21,5203149388
2002-02-22,5283121469
2002-02-25,5264013119
2002-02-26,5261890229
2002-02-27,5294445197
2002-02-28,5322046065
2002-03-01,5346108569
2002-03-04,5325584800
2002-03-05,5399895203
2002-03-06,5400603152
2002-03-07,5414049398
2002-03-08,5430327281
2002-03-11,5434573540
2002-03-12,5457220253
2002-03-13,5590979393
2002-03-14,5675905629
2002-03-15,5674490209
2002-03-18,5753754820
2002-03-19,5736061518
2002-03-20,5728984420
2002-03-21,5750216085
2002-03-22,5765078177
2002-03-25,5748092770
2002-03-26,5742431092
2002-03-27,5771447751
2002-03-28,5811787713
2002-04-01,5865622048
2002-04-02,5908534318
2002-04-03,5839593043
2002-04-04,5852959136
2002-04-05,5838186100
2002-04-08,6016870427
2002-04-09,6042195722
2002-04-10,6138572628
2002-04-11,5997876508
2002-04-12,5946522155
2002-04-15,5856476732
2002-04-16,5832558327
2002-04-17,5753768396
2002-04-18,5714373669
2002-04-19,5732664301
2002-04-22,5664426629
2002-04-23,5624328245
2002-04-24,5631362909
