,UCL
2020-06-10,419557829
2020-06-11,417854288
2020-06-12,402279055
2020-06-15,417124199
2020-06-16,437810054
2020-06-17,435619787
2020-06-18,397411795
2020-06-19,399115336
2020-06-22,407389678
2020-06-23,409823308
2020-06-24,403252507
2020-06-25,407633041
2020-06-26,399845425
2020-06-29,405929500
2020-06-30,401062240
2020-07-01,457521837
2020-07-02,444570450
2020-07-06,436686996
2020-07-07,387696966
2020-07-08,390794037
2020-07-09,382910584
2020-07-10,391075589
2020-07-13,406842495
2020-07-14,409658014
2020-07-15,398677490
2020-07-16,391075589
2020-07-17,392201796
2020-07-20,389386277
2020-07-21,387133862
2020-07-22,371366956
2020-07-23,353629186
2020-07-24,366017470
2020-07-27,373056267
2020-07-28,351939875
2020-07-29,342085558
2020-07-30,354755394
2020-07-31,382347480
2020-08-03,375590234
2020-08-04,393328004
2020-08-05,384318343
2020-08-06,393609556
2020-08-07,369114540
2020-08-10,364609710
2020-08-11,360386432
2020-08-12,407968703
2020-08-13,375871786
2020-08-14,397551282
2020-08-17,394172660
2020-08-18,385726103
2020-08-19,404590080
2020-08-20,389949381
2020-08-21,409939566
2020-08-24,400366801
2020-08-25,393609556
2020-08-26,383473687
2020-08-27,381221272
2020-08-28,386289206
2020-08-31,408250255
2020-09-01,393891108
2020-09-02,393891108
2020-09-03,394172660
2020-09-04,374464027
2020-09-08,367706781
2020-09-09,367988333
2020-09-10,382347480
2020-09-11,375308682
2020-09-14,373900923
2020-09-15,367706781
2020-09-16,357852464
2020-09-17,357852464
2020-09-18,371085404
2020-09-21,368832989
2020-09-22,358978672
2020-09-23,368269885
2020-09-24,374464027
2020-09-25,371085404
2020-09-28,366017470
2020-09-29,368269885
2020-09-30,348842804
2020-10-01,349009536
2020-10-02,349009536
2020-10-05,365629038
2020-10-06,365629038
2020-10-07,359150249
2020-10-08,360276995
2020-10-09,352108087
2020-10-12,365910724
2020-10-13,365910724
2020-10-14,363093859
2020-10-15,347319417
2020-10-16,348446163
2020-10-19,356051698
2020-10-20,356051698
2020-10-21,356333384
2020-10-22,341122315
2020-10-23,351263028
2020-10-26,341122315
2020-10-27,338023764
2020-10-28,329009796
2020-10-29,301404522
2020-10-30,301404522
2020-11-02,301404522
2020-11-03,281686470
2020-11-04,281686470
2020-11-05,258869865
2020-11-06,278306232
2020-11-09,278306232
2020-11-10,278306232
2020-11-11,274080935
2020-11-12,261968417
2020-11-13,272672502
2020-11-16,254081195
2020-11-17,260559984
2020-11-18,260559984
2020-11-19,253517823
2020-11-20,253517823
2020-11-23,276052740
2020-11-24,276616113
2020-11-25,265066968
2020-11-27,262250103
2020-11-30,366192411
2020-12-01,340277255
2020-12-02,316333905
2020-12-03,315770532
2020-12-04,324221126
2020-12-07,358868562
2020-12-08,340840628
2020-12-09,339150509
2020-12-10,355770011
2020-12-11,365910724
2020-12-14,356615071
2020-12-15,356333384
2020-12-16,336897018
2020-12-17,350699655
2020-12-18,343657493
2020-12-21,343657493
2020-12-22,332671721
2020-12-23,270700697
2020-12-24,292390555
2020-12-28,296334166
2020-12-29,294925734
2020-12-30,291827182
2020-12-31,296897539
2021-01-04,310988678
2021-01-05,307313357
2021-01-06,302224451
2021-01-07,290633055
2021-01-08,305051621
2021-01-11,297700979
2021-01-12,294025659
2021-01-13,289784904
2021-01-14,294308376
2021-01-15,291198489
2021-01-19,287240451
2021-01-20,285826866
2021-01-21,286392300
