,HUM
2000-01-03,1268208144
2000-01-04,1279950812
2000-01-05,1310146244
2000-01-06,1363827012
2000-01-07,1467833500
2000-01-10,1405765112
2000-01-11,1383957300
2000-01-12,1415830256
2000-01-13,1551709700
2000-01-14,1383957300
2000-01-18,1447703212
2000-01-19,1342019200
2000-01-20,1300081100
2000-01-21,1310146244
2000-01-24,1331954056
2000-01-25,1300081100
2000-01-26,1321888912
2000-01-27,1279950812
2000-01-28,1279950812
2000-01-31,1342019200
2000-02-01,1383957300
2000-02-02,1394022444
2000-02-03,1415830256
2000-02-04,1405765112
2000-02-07,1415830256
2000-02-08,1373892156
2000-02-09,1268208144
2000-02-10,1206139756
2000-02-11,1154136512
2000-02-14,1248077856
2000-02-15,1268208144
2000-02-16,1238012712
2000-02-17,1196074612
2000-02-18,1184331944
2000-02-22,1184331944
2000-02-23,1196074612
2000-02-24,1154136512
2000-02-25,1112198412
2000-02-28,1112198412
2000-02-29,1142393844
2000-03-01,1300081100
2000-03-02,1164201656
2000-03-03,1226270044
2000-03-06,1174266800
2000-03-07,1028322212
2000-03-08,1090390600
2000-03-09,1100455744
2000-03-10,1080325456
2000-03-13,1122263556
2000-03-14,1112198412
2000-03-15,1206139756
2000-03-16,1216204900
2000-03-17,1174266800
2000-03-20,1196074612
2000-03-21,1206139756
2000-03-22,1206139756
2000-03-23,1258143000
2000-03-24,1226270044
2000-03-27,1206139756
2000-03-28,1226270044
2000-03-29,1258143000
2000-03-30,1268208144
2000-03-31,1262636351
2000-04-03,1328272713
2000-04-04,1317909077
2000-04-05,1295454532
2000-04-06,1371454531
2000-04-07,1414636349
2000-04-10,1435363622
2000-04-11,1404272713
2000-04-12,1392181804
2000-04-13,1348999986
2000-04-14,1231545442
2000-04-17,1241909078
2000-04-18,1262636351
2000-04-19,1361090895
2000-04-20,1361090895
2000-04-24,1500999984
2000-04-25,1457818167
2000-04-26,1414636349
2000-04-27,1447454530
2000-04-28,1328272713
2000-05-01,1338636350
2000-05-02,1381818168
2000-05-03,1155545442
2000-05-04,1145181806
2000-05-05,1145181806
2000-05-08,1122727261
2000-05-09,1089909080
2000-05-10,1058818171
2000-05-11,1089909080
2000-05-12,1079545443
2000-05-15,1122727261
2000-05-16,1133090897
2000-05-17,1122727261
2000-05-18,1145181806
2000-05-19,1101999988
2000-05-22,1079545443
2000-05-23,1069181807
2000-05-24,1015636353
2000-05-25,993181808
2000-05-26,1003545444
2000-05-30,960363626
2000-05-31,972454535
2000-06-01,1036363626
2000-06-02,1003545444
2000-06-05,982818171
2000-06-06,929272717
2000-06-07,896454536
2000-06-08,863636355
2000-06-09,863636355
2000-06-12,886090900
2000-06-13,896454536
2000-06-14,886090900
2000-06-15,863636355
2000-06-16,820454537
2000-06-19,830818173
2000-06-20,842909082
2000-06-21,853272718
2000-06-22,853272718
2000-06-23,873999991
2000-06-26,896454536
2000-06-27,896454536
2000-06-28,886090900
2000-06-29,949999990
2000-06-30,80705191
2000-07-03,86824232
2000-07-05,86824232
2000-07-06,97243140
2000-07-07,95093206
2000-07-10,99227694
2000-07-11,98235417
2000-07-12,113781089
2000-07-13,114773366
2000-07-14,116757919
2000-07-17,118907853
2000-07-18,117915576
2000-07-19,116757919
2000-07-20,122050063
2000-07-21,125026894
2000-07-24,119900130
2000-07-25,120892407
2000-07-26,117915576
2000-07-27,122050063
2000-07-28,116757919
2000-07-31,120892407
2000-08-01,119900130
2000-08-02,119900130
2000-08-03,115765643
2000-08-04,117915576
2000-08-07,115765643
2000-08-08,112623432
2000-08-09,117915576
2000-08-10,118907853
2000-08-11,123042340
2000-08-14,141564843
2000-08-15,132303592
2000-08-16,137430356
2000-08-17,139580289
2000-08-18,132303592
2000-08-21,133295868
2000-08-22,133295868
2000-08-23,132303592
2000-08-24,132303592
2000-08-25,131311315
2000-08-28,134453525
2000-08-29,136438079
2000-08-30,141564843
2000-08-31,141564843
2000-09-01,138588012
2000-09-05,135445802
2000-09-06,137430356
2000-09-07,139580289
2000-09-08,145699330
2000-09-11,138588012
2000-09-12,140572566
2000-09-13,137430356
2000-09-14,145699330
2000-09-15,153968305
2000-09-18,150991474
2000-09-19,156118238
2000-09-20,152976028
2000-09-21,153968305
2000-09-22,165379490
2000-09-25,163394936
2000-09-26,167529423
2000-09-27,163394936
2000-09-28,173648464
2000-09-29,177782951
2000-10-02,1932679249
2000-10-03,1911075784
2000-10-04,1984195205
2000-10-05,2035711161
2000-10-06,1891134124
2000-10-09,1766498746
2000-10-10,1901104954
2000-10-11,1827985533
2000-10-12,1744895281
2000-10-13,1766498746
2000-10-16,1849588998
2000-10-17,1766498746
2000-10-18,1744895281
2000-10-19,1734924451
2000-10-20,1744895281
2000-10-23,1849588998
2000-10-24,1818014702
2000-10-25,1849588998
2000-10-26,1962591740
2000-10-27,1879501488
2000-10-30,1932679249
2000-10-31,2015769501
2000-11-01,2140404878
2000-11-02,2128772243
2000-11-03,2098859752
2000-11-06,2108830583
2000-11-07,2128772243
2000-11-08,2223495130
2000-11-09,2201891664
2000-11-10,2265040255
2000-11-13,2253407620
2000-11-14,2336497872
2000-11-15,2253407620
2000-11-16,2378042997
2000-11-17,2419588123
2000-11-20,1984195205
2000-11-21,2004136866
2000-11-22,1984195205
2000-11-24,2004136866
2000-11-27,1921046614
2000-11-28,1932679249
2000-11-29,1974224375
2000-11-30,1994166036
2000-12-01,2128772243
2000-12-04,2128772243
2000-12-05,2087227117
2000-12-06,2087227117
2000-12-07,2057314627
2000-12-08,2128772243
2000-12-11,2067285457
2000-12-12,2128772243
2000-12-13,2045681991
2000-12-14,2098859752
2000-12-15,2015769501
2000-12-18,2223495130
2000-12-19,2233465960
2000-12-20,2389675633
2000-12-21,2389675633
2000-12-22,2378042997
2000-12-26,2461133249
2000-12-27,2482736714
2000-12-28,2555856136
2000-12-29,2534252670
2001-01-02,2450977546
2001-01-03,2368950185
2001-01-04,2163881783
2001-01-05,2236065860
2001-01-08,2224582030
2001-01-09,2296766108
2001-01-10,2359106902
2001-01-11,2318093221
2001-01-12,2236065860
2001-01-16,2173725066
2001-01-17,2060527308
2001-01-18,1999827061
2001-01-19,1804601942
2001-01-22,2009670344
2001-01-23,2081854422
2001-01-24,2050684025
2001-01-25,2072011138
2001-01-26,2050684025
2001-01-29,2099900441
2001-01-30,2052324572
2001-01-31,1960453927
2001-02-01,1967016116
2001-02-02,2017873080
2001-02-05,2098259894
2001-02-06,2009670344
2001-02-07,2063808402
2001-02-08,2099900441
2001-02-09,2027716363
2001-02-12,2206536010
2001-02-13,2147476310
2001-02-14,2206536010
2001-02-15,2231144219
2001-02-16,2186849444
2001-02-20,2163881783
2001-02-21,2152397952
2001-02-22,2149116858
2001-02-23,2050684025
2001-02-26,2108103177
2001-02-27,2173725066
2001-02-28,2214738747
2001-03-01,2255752427
2001-03-02,2236065860
2001-03-05,2263955163
2001-03-06,2232784766
2001-03-07,2290203919
2001-03-08,2272157899
2001-03-09,2149116858
2001-03-12,2065448949
2001-03-13,2132711386
2001-03-14,2101540988
2001-03-15,2127789744
2001-03-16,2050684025
2001-03-19,2017873080
2001-03-20,1957172833
2001-03-21,1816085772
2001-03-22,1673358164
2001-03-23,1722574581
2001-03-26,1737339505
2001-03-27,1702888014
2001-03-28,1614298464
2001-03-29,1684841994
2001-03-30,1719293486
2001-04-02,1614738322
2001-04-03,1575354460
2001-04-04,1542534576
2001-04-05,1407973049
2001-04-06,1475253812
2001-04-09,1486740772
2001-04-10,1504791708
2001-04-11,1432587962
2001-04-12,1467048841
2001-04-16,1485099778
2001-04-17,1632789258
2001-04-18,1493304749
2001-04-19,1476894807
2001-04-20,1485099778
2001-04-23,1429305974
2001-04-24,1468689835
2001-04-25,1549098553
2001-04-26,1558944518
2001-04-27,1655763178
2001-04-30,1621302299
2001-05-01,1649199201
2001-05-02,1626225281
2001-05-03,1575354460
2001-05-04,1527765628
2001-05-07,1480176795
2001-05-08,1542534576
2001-05-09,1591764403
2001-05-10,1522842645
2001-05-11,1524483639
2001-05-14,1532688610
2001-05-15,1572072472
2001-05-16,1572072472
2001-05-17,1550739547
2001-05-18,1545816564
2001-05-21,1562226506
2001-05-22,1573713466
2001-05-23,1519560656
2001-05-24,1595046391
2001-05-25,1534329605
2001-05-29,1544175570
2001-05-30,1542534576
2001-05-31,1567149489
2001-06-01,1576995455
2001-06-04,1624584287
2001-06-05,1757504820
2001-06-06,1718120958
2001-06-07,1673814114
2001-06-08,1683660079
2001-06-11,1639353235
2001-06-12,1618020310
2001-06-13,1649199201
2001-06-14,1632789258
2001-06-15,1665609143
2001-06-18,1640994230
2001-06-19,1606533351
2001-06-20,1655763178
2001-06-21,1680378091
2001-06-22,1616379316
2001-06-25,1591764403
2001-06-26,1647558206
2001-06-27,1642635224
2001-06-28,1729607918
2001-06-29,1616379316
2001-07-02,1694999983
2001-07-03,1661666650
2001-07-05,1619999983
2001-07-06,1618333317
2001-07-09,1609999983
2001-07-10,1568333317
2001-07-11,1583333317
2001-07-12,1641666650
2001-07-13,1666666650
2001-07-16,1616666650
2001-07-17,1663333316
2001-07-18,1674999983
2001-07-19,1691666649
2001-07-20,1666666650
2001-07-23,1676666649
2001-07-24,1614999983
2001-07-25,1614999983
2001-07-26,1578333317
2001-07-27,1549999984
2001-07-30,1688333316
2001-07-31,1858333314
2001-08-01,1801666648
2001-08-02,1754999982
2001-08-03,1751666649
2001-08-06,1741666649
2001-08-07,1741666649
2001-08-08,1741666649
2001-08-09,1768333315
2001-08-10,1766666649
2001-08-13,1844999981
2001-08-14,1841666648
2001-08-15,1808333315
2001-08-16,1823333315
2001-08-17,1808333315
2001-08-20,1981666646
2001-08-21,1958333313
2001-08-22,2031666646
2001-08-23,2013333313
2001-08-24,1999999980
2001-08-27,1989999980
2001-08-28,1991666646
2001-08-29,2008333313
2001-08-30,2024999979
2001-08-31,1999999980
2001-09-04,2006666646
2001-09-05,1999999980
2001-09-06,1983333313
2001-09-07,1899999981
2001-09-10,1891666647
2001-09-17,1816666648
2001-09-18,1786666648
2001-09-19,1666666650
2001-09-20,1649999983
2001-09-21,1583333317
2001-09-24,1699999983
2001-09-25,1749999982
2001-09-26,1766666649
2001-09-27,1983333313
2001-09-28,2009999979
2001-10-01,1933360542
2001-10-02,1987158400
2001-10-03,2039275076
2001-10-04,1982114851
2001-10-05,1958578288
2001-10-08,1882925049
2001-10-09,1852663754
2001-10-10,1951853555
2001-10-11,1938404091
2001-10-12,1955215922
2001-10-15,1933360542
2001-10-16,1948491189
2001-10-17,1933360542
2001-10-18,1882925049
2001-10-19,1718169107
2001-10-22,1845939021
2001-10-23,1815677726
2001-10-24,1798865895
2001-10-25,1871156768
2001-10-26,1882925049
2001-10-29,1929998175
2001-10-30,1899736880
2001-10-31,1941766457
2001-11-01,1955215922
2001-11-02,2025825611
2001-11-05,2062811639
2001-11-06,2108203582
2001-11-07,2101478850
2001-11-08,2062811639
2001-11-09,2042637442
2001-11-12,2051043357
2001-11-13,2054405723
2001-11-14,2052724540
2001-11-15,2042637442
2001-11-16,1975390119
2001-11-19,2034231526
2001-11-20,2165363807
2001-11-21,2126696596
2001-11-23,2131740145
2001-11-26,2143508427
2001-11-27,2109884765
2001-11-28,2101478850
2001-11-29,2114928314
2001-11-30,2114928314
2001-12-03,2106522399
2001-12-04,2167044990
2001-12-05,2195625102
2001-12-06,2135102511
2001-12-07,2067855188
2001-12-10,1998926682
2001-12-11,1960259471
2001-12-12,1918229894
2001-12-13,2007332597
2001-12-14,1933360542
2001-12-17,1965303020
2001-12-18,2014057329
2001-12-19,1975390119
2001-12-20,1987158400
2001-12-21,1946810006
2001-12-24,1958578288
2001-12-26,1940085274
2001-12-27,2007332597
2001-12-28,2037593892
2001-12-31,1969351056
2002-01-02,1920910699
2002-01-03,1920910699
2002-01-04,1929262485
2002-01-07,1917569985
2002-01-08,1914229270
2002-01-09,2017791413
2002-01-10,2057879984
2002-01-11,2138057126
2002-01-14,2116342483
2002-01-15,2163112483
2002-01-16,2154760697
2002-01-17,2124694269
2002-01-18,2171464269
2002-01-22,2138057126
2002-01-23,2123023912
2002-01-24,2188167840
2002-01-25,2156431054
2002-01-28,2171464269
2002-01-29,2146408912
2002-01-30,2129705340
2002-01-31,2079594626
2002-02-01,2151419983
2002-02-04,2019461770
2002-02-05,2166453197
2002-02-06,2138057126
2002-02-07,2206541768
2002-02-08,2199860340
2002-02-11,2238278554
2002-02-12,2271685696
2002-02-13,2253311768
2002-02-14,2204871411
2002-02-15,2163112483
2002-02-19,2138057126
2002-02-20,2136386769
2002-02-21,2176475340
2002-02-22,2189838197
2002-02-25,2154760697
2002-02-26,2254982125
2002-02-27,2171464269
2002-02-28,2188167840
2002-03-01,2254982125
2002-03-04,2079594626
2002-03-05,2079594626
2002-03-06,2097968555
2002-03-07,2084605698
2002-03-08,2144738554
2002-03-11,2154760697
2002-03-12,2154760697
2002-03-13,2199860340
2002-03-14,2194849268
2002-03-15,2158101411
2002-03-18,2226586054
2002-03-19,2179816054
2002-03-20,2154760697
2002-03-21,2171464269
2002-03-22,2129705340
2002-03-25,2101309269
2002-03-26,2173134626
2002-03-27,2216563911
2002-03-28,2259993196
2002-04-01,2198291514
2002-04-02,2206391335
2002-04-03,2267949978
2002-04-04,2264710049
2002-04-05,2323028763
2002-04-08,2332748548
2002-04-09,2425086512
2002-04-10,2379727512
2002-04-11,2345708262
2002-04-12,2357048012
2002-04-15,2318168870
2002-04-16,2345708262
2002-04-17,2433186333
2002-04-18,2557923582
2002-04-19,2590322867
2002-04-22,2551443725
2002-04-23,2506084725
2002-04-24,2546583832
2002-04-25,2681040866
2002-04-26,2655121438
2002-04-29,2569263332
2002-04-30,2648641581
2002-05-01,2695620545
2002-05-02,2721539973
2002-05-03,2684280795
2002-05-06,2694000581
2002-05-07,2622722153
2002-05-08,2613002367
2002-05-09,2595182760
2002-05-10,2551443725
2002-05-13,2493125011
2002-05-14,2483405225
2002-05-15,2494744975
2002-05-16,2481785261
2002-05-17,2501224832
2002-05-20,2352188120
2002-05-21,2345708262
2002-05-22,2342468334
2002-05-23,2413746762
2002-05-24,2402407012
2002-05-28,2399167083
2002-05-29,2399167083
2002-05-30,2468825547
2002-05-31,2465585618
2002-06-03,2455865833
2002-06-04,2428326440
2002-06-05,2451005940
2002-06-06,2439666190
2002-06-07,2493125011
2002-06-10,2509324654
2002-06-11,2697240509
2002-06-12,2753939259
2002-06-13,2674561009
2002-06-14,2655121438
2002-06-17,2745839437
2002-06-18,2706960295
2002-06-19,2768518937
2002-06-20,2715060116
2002-06-21,2681040866
2002-06-24,2525524296
2002-06-25,2416986690
2002-06-26,2462345690
2002-06-27,2502844797
2002-06-28,2532004154
2002-07-01,2459556969
2002-07-02,2322188096
2002-07-03,2291116565
2002-07-05,2417038032
2002-07-08,2417038032
2002-07-09,2207714035
2002-07-10,2273127784
2002-07-11,2224067472
2002-07-12,2289481222
2002-07-15,2215890754
2002-07-16,2175007160
2002-07-17,2274763128
2002-07-18,2235514878
2002-07-19,2196266629
2002-07-22,2024555537
2002-07-23,2018014162
2002-07-24,2176642504
2002-07-25,2116134786
2002-07-26,2127582192
2002-07-29,2024555537
2002-07-30,1986942631
2002-07-31,2013108131
2002-08-01,2032732256
2002-08-02,1975495225
2002-08-05,1856115133
2002-08-06,1962412476
2002-08-07,1962412476
2002-08-08,2052356381
2002-08-09,2080157224
2002-08-12,2096510661
2002-08-13,2019649506
2002-08-14,2117770130
2002-08-15,2094875318
2002-08-16,2085063255
2002-08-19,2109593411
2002-08-20,2117770130
2002-08-21,2116134786
2002-08-22,2235514878
2002-08-23,2212620066
2002-08-26,2235514878
2002-08-27,2179913192
2002-08-28,2099781349
2002-08-29,2166830442
2002-08-30,2175007160
2002-09-03,2107958067
2002-09-04,2125946849
2002-09-05,2153747692
2002-09-06,2175007160
2002-09-09,2158653723
2002-09-10,2103052036
2002-09-11,2117770130
2002-09-12,2122676161
2002-09-13,2171736473
2002-09-16,2166830442
2002-09-17,2119405474
2002-09-18,2125946849
2002-09-19,2076886537
2002-09-20,2037638287
2002-09-23,1959141788
2002-09-24,1959141788
2002-09-25,2040908975
2002-09-26,1962412476
2002-09-27,1991848663
2002-09-30,2223455916
2002-10-01,2250352560
2002-10-02,2296973410
2002-10-03,2329249383
2002-10-04,2234214574
2002-10-07,2142765983
2002-10-08,2248559450
2002-10-09,2205524820
2002-10-10,2291594081
2002-10-11,2327456273
2002-10-14,2368697794
2002-10-15,2438629069
2002-10-16,2488836138
2002-10-17,2426077302
2002-10-18,2465525713
2002-10-21,2490629248
2002-10-22,2519319002
2002-10-23,2537250098
2002-10-24,2494215467
2002-10-25,2492422357
2002-10-28,2331042493
2002-10-29,2241387012
2002-10-30,2234214574
2002-10-31,2184007504
2002-11-01,2194766162
2002-11-04,2200145491
2002-11-05,2164283299
2002-11-06,2232421464
2002-11-07,2230628354
2002-11-08,1977799899
2002-11-11,1959868803
2002-11-12,1972420571
2002-11-13,1988558557
2002-11-14,1945523926
2002-11-15,1995730995
2002-11-18,1990351667
2002-11-19,1968834351
2002-11-20,1974213680
2002-11-21,1931179049
2002-11-22,1924006611
2002-11-25,1769799185
2002-11-26,1789523390
2002-11-27,1872006432
2002-11-29,1866627104
2002-12-02,1811040706
2002-12-03,1828971802
2002-12-04,1882765090
2002-12-05,1789523390
2002-12-06,1846902898
2002-12-09,1811040706
2002-12-10,1802075158
2002-12-11,1793109610
2002-12-12,1832558021
2002-12-13,1812833815
2002-12-16,1827178692
2002-12-17,1850489117
2002-12-18,1855868446
2002-12-19,1818213144
2002-12-20,1848696007
2002-12-23,1873799542
2002-12-24,1850489117
2002-12-26,1868420213
2002-12-27,1830764911
2002-12-30,1816420034
2002-12-31,1561499980
2003-01-02,1609906479
2003-01-03,1623959979
2003-01-06,1611467979
2003-01-07,1609906479
2003-01-08,1623959979
2003-01-09,1648943978
2003-01-10,1606783479
2003-01-13,1595852979
2003-01-14,1600537479
2003-01-15,1608344979
2003-01-16,1611467979
2003-01-17,1672366478
2003-01-21,1627082979
2003-01-22,1647382478
2003-01-23,1616152479
2003-01-24,1592729979
