,STI
2022-12-14,743081500
2022-12-15,743081500
2022-12-16,743081500
2022-12-19,743081500
2022-12-20,743081500
2022-12-21,743081500
2022-12-22,743081500
2022-12-23,743081500
2022-12-27,743081500
2022-12-28,743081500
2022-12-29,743081500
2022-12-30,743081500
2023-01-03,748206200
2023-01-04,748938300
2023-01-05,748938300
2023-01-06,748938300
2023-01-09,749670400
2023-01-10,749670400
2023-01-11,749670400
2023-01-12,749670400
2023-01-13,750402500
2023-01-17,750402500
2023-01-18,752598800
2023-01-19,752598800
2023-01-20,752598800
2023-01-23,754063000
2023-01-24,754063000
2023-01-25,755527200
2023-01-26,755527200
2023-01-27,755527200
2023-01-30,755527200
2023-01-31,754795100
2023-02-01,754795100
2023-02-02,755527200
2023-02-03,755527200
2023-02-06,755527200
2023-02-07,756991400
2023-02-08,756991400
2023-02-09,756991400
2023-02-10,756991400
2023-02-13,756991400
2023-02-14,756991400
2023-02-15,755527200
2023-02-16,757723500
2023-02-17,757723500
2023-02-21,758455600
2023-02-22,759187700
2023-02-23,759187700
2023-02-24,759919800
2023-02-27,760651900
2023-02-28,759919800
2023-03-01,759919800
2023-03-02,761384000
2023-03-03,758455600
2023-03-06,758455600
2023-03-07,758455600
2023-03-08,758455600
2023-03-09,761384000
2023-03-10,762116100
2023-03-13,763580300
2023-03-14,763580300
2023-03-15,763580300
2023-03-16,762848200
2023-03-17,765776600
2023-03-20,765776600
2023-03-21,767240800
2023-03-22,767240800
2023-03-23,767972900
2023-03-24,767240800
2023-03-27,767240800
2023-03-28,768705000
2023-03-29,772365500
2023-03-30,772365500
2023-03-31,772365500
2023-04-03,772365500
2023-04-04,767240800
2023-04-05,767240800
2023-04-06,766508700
2023-04-10,766508700
2023-04-11,766508700
2023-04-12,766508700
2023-04-13,766508700
2023-04-14,766508700
2023-04-17,766508700
2023-04-18,766508700
2023-04-19,766508700
2023-04-20,770169200
2023-04-21,770169200
2023-04-24,770169200
2023-04-25,770169200
2023-04-26,775293900
2023-04-27,770169200
2023-04-28,770169200
2023-05-01,768705000
2023-05-02,768705000
2023-05-03,768705000
2023-05-04,768705000
2023-05-05,768705000
2023-05-08,768705000
2023-05-09,770169200
2023-05-10,770169200
2023-05-11,770169200
2023-05-12,770901300
2023-05-15,770901300
2023-05-16,771633399
2023-05-17,771633399
2023-05-18,770901300
2023-05-19,772365500
2023-05-22,772365500
2023-05-23,772365500
2023-05-24,772365500
2023-05-25,771633399
2023-05-26,770901300
2023-05-30,771633399
2023-05-31,772365500
2023-06-01,773097600
2023-06-02,770901300
2023-06-05,772365500
2023-06-06,773097600
2023-06-07,774561800
2023-06-08,773829700
2023-06-09,772365500
2023-06-12,776758100
2023-06-13,776026000
2023-06-14,770169200
2023-06-15,770901300
2023-06-16,770901300
2023-06-20,772365500
2023-06-21,775293900
2023-06-22,775293900
2023-06-23,776026000
2023-06-26,774561800
2023-06-27,774561800
2023-06-28,774561800
2023-06-29,773829700
2023-06-30,773829700
2023-07-03,773829700
2023-07-05,777490200
2023-07-06,777490200
2023-07-07,782614900
2023-07-10,782614900
2023-07-11,779686500
2023-07-12,776026000
2023-07-13,776026000
2023-07-14,776026000
2023-07-17,784079100
2023-07-18,784079100
2023-07-19,784079100
2023-07-20,784079100
2023-07-21,776758100
2023-07-24,776758100
2023-07-25,776758100
2023-07-26,777490200
2023-07-27,777490200
2023-07-28,776758100
2023-07-31,776758100
2023-08-01,776758100
2023-08-02,782614900
2023-08-03,787007500
2023-08-04,787007500
2023-08-07,782614900
2023-08-08,782614900
2023-08-09,782614900
2023-08-10,782614900
2023-08-11,782614900
2023-08-14,782614900
2023-08-15,782614900
2023-08-16,782614900
2023-08-17,782614900
2023-08-18,787007500
2023-08-21,787739600
2023-08-22,787739600
2023-08-23,791400100
2023-08-24,791400100
2023-08-25,791400100
2023-08-28,791400100
2023-08-29,791400100
2023-08-30,789203800
2023-08-31,789203800
2023-09-01,791400100
2023-09-05,792132200
2023-09-06,792132200
2023-09-07,792864300
2023-09-08,798721100
2023-09-11,792864300
2023-09-12,792132200
2023-09-13,792132200
2023-09-14,792132200
2023-09-15,792132200
2023-09-18,792132200
2023-09-19,792132200
2023-09-20,792132200
2023-09-21,795792700
2023-09-22,795792700
2023-09-25,790668000
2023-09-26,792132200
2023-09-27,792132200
2023-09-28,792132200
2023-09-29,792132200
2023-10-02,793596400
2023-10-03,793596400
2023-10-04,793596400
2023-10-05,793596400
2023-10-06,792132200
2023-10-09,792132200
2023-10-10,792864300
2023-10-11,792864300
2023-10-12,792864300
2023-10-13,794328500
2023-10-16,794328500
2023-10-17,794328500
2023-10-18,794328500
2023-10-19,794328500
2023-10-20,794328500
2023-10-23,795060600
2023-10-24,795060600
2023-10-25,795060600
2023-10-26,794328500
2023-10-27,794328500
2023-10-30,795060600
2023-10-31,795060600
2023-11-01,795060600
2023-11-02,795060600
2023-11-03,795060600
2023-11-06,795060600
2023-11-07,797989000
2023-11-08,797989000
2023-11-09,798721100
2023-11-10,799453200
2023-11-13,797989000
2023-11-14,800185300
2023-11-15,797256900
2023-11-16,797256900
2023-11-17,795792700
2023-11-20,761384000
2023-11-21,845575500
2023-11-22,845575500
2023-11-24,833861900
2023-11-27,808970500
2023-11-28,811898900
2023-11-29,795060600
2023-11-30,839718700
2023-12-01,789203800
2023-12-04,801649500
2023-12-05,789203800
2023-12-06,801649500
2023-12-07,801649500
2023-12-08,783347000
2023-12-11,825808800
2023-12-12,769437100
2023-12-13,707208600
2023-12-14,728439500
2023-12-15,606178800
2023-12-18,660354200
2023-12-19,658890000
2023-12-20,702816000
2023-12-21,736492600
2023-12-22,768705000
2023-12-26,746009900
2023-12-27,699887600
2023-12-28,805310000
2023-12-29,563717000
2024-01-02,512470000
2024-01-03,439260000
2024-01-04,445116800
2024-01-05,446581000
2024-01-08,405583400
2024-01-09,365317900
2024-01-10,355068500
2024-01-11,527844100
2024-01-12,704280200
2024-01-16,440724199
2024-01-17,461223000
2024-01-18,530040400
2024-01-19,490507000
2024-01-22,538093500
2024-01-23,602518300
2024-01-24,594465200
2024-01-25,658890000
2024-01-26,603250400
2024-01-29,691834500
2024-01-30,576894800
2024-01-31,376299400
2024-02-01,421689600
2024-02-02,331641300
2024-02-05,221826300
2024-02-06,153741000
2024-02-07,128117500
2024-02-08,84923600
2024-02-09,73210000
2024-02-12,65889000
