,PEG
2000-01-03,7371844220
2000-01-04,7428117840
2000-01-05,7614253660
2000-01-06,7644554840
2000-01-07,7588281220
2000-01-10,7575295000
2000-01-11,7670527279
2000-01-12,7683513500
2000-01-13,7644554840
2000-01-14,7523350120
2000-01-18,7397816660
2000-01-19,7536336340
2000-01-20,7549322560
2000-01-21,7696499720
2000-01-24,7631568620
2000-01-25,7506035160
2000-01-26,7467076500
2000-01-27,7488720200
2000-01-28,7250639500
2000-01-31,7441104060
2000-02-01,7454090279
2000-02-02,7345871779
2000-02-03,7454090279
2000-02-04,7289598160
2000-02-07,7250639500
2000-02-08,7250639500
2000-02-09,7168393439
2000-02-10,7073161160
2000-02-11,7047188720
2000-02-14,7060174939
2000-02-15,6982257620
2000-02-16,6938970220
2000-02-17,6843737940
2000-02-18,6640287160
2000-02-22,6614314720
2000-02-23,6480123780
2000-02-24,6289659220
2000-02-25,6168454500
2000-02-28,6263686780
2000-02-29,6276673000
2000-03-01,6181440720
2000-03-02,6237714340
2000-03-03,6263686780
2000-03-06,5856785220
2000-03-07,5900072620
2000-03-08,5791854120
2000-03-09,5709608060
2000-03-10,5653334440
2000-03-13,5601389560
2000-03-14,5614375780
2000-03-15,5952017500
2000-03-16,6410863940
2000-03-17,6207413160
2000-03-20,6181440720
2000-03-21,6168454500
2000-03-22,5977989940
2000-03-23,6155468280
2000-03-24,6047249780
2000-03-27,6073222220
2000-03-28,6086208440
2000-03-29,6371905280
2000-03-30,6441165120
2000-03-31,6379970280
2000-04-03,6392893920
2000-04-04,6474743640
2000-04-05,6487667280
2000-04-06,6461820000
2000-04-07,6341199360
2000-04-10,6625519440
2000-04-11,6733216440
2000-04-12,6905531640
2000-04-13,7215699000
2000-04-14,7176928080
2000-04-17,7241546279
2000-04-18,7215699000
2000-04-19,7228622640
2000-04-20,7323396000
2000-04-24,7551713640
2000-04-25,7810186440
2000-04-26,8103122279
2000-04-27,7930807080
2000-04-28,7728336720
2000-05-01,7594792440
2000-05-02,7500019080
2000-05-03,7469863920
2000-05-04,7564637279
2000-05-05,7405245720
2000-05-08,7594792440
2000-05-09,7538790000
2000-05-10,7594792440
2000-05-11,7810186440
2000-05-12,7754184000
2000-05-15,7861881000
2000-05-16,7780031279
2000-05-17,7672334279
2000-05-18,7836033720
2000-05-19,7917883440
2000-05-22,8064351359
2000-05-23,7943730720
2000-05-24,7982501640
2000-05-25,7995425279
2000-05-26,8064351359
2000-05-30,7982501640
2000-05-31,8025580440
2000-06-01,8025580440
2000-06-02,7887728279
2000-06-05,7607716080
2000-06-06,7754184000
2000-06-07,7672334279
2000-06-08,7685257920
2000-06-09,7792954920
2000-06-12,7836033720
2000-06-13,7823110080
2000-06-14,7646487000
2000-06-15,7861881000
2000-06-16,7754184000
2000-06-19,7728336720
2000-06-20,7754184000
2000-06-21,7754184000
2000-06-22,7702489440
2000-06-23,7810186440
2000-06-26,7887728279
2000-06-27,7594792440
2000-06-28,7836033720
2000-06-29,7715413080
2000-06-30,7430248259
2000-07-03,7631993880
2000-07-05,7567606980
2000-07-06,7619116500
2000-07-07,7687795860
2000-07-10,7807984740
2000-07-11,7872371640
2000-07-12,7807984740
2000-07-13,7833739500
2000-07-14,7674918480
2000-07-17,7486050240
2000-07-18,7511805000
2000-07-19,7524682380
2000-07-20,7593361740
2000-07-21,7443125640
2000-07-24,7297182000
2000-07-25,7245672480
2000-07-26,7082559000
2000-07-27,7215625259
2000-07-28,7189870500
2000-07-31,7215625259
2000-08-01,7430248259
2000-08-02,7486050240
2000-08-03,7580484360
2000-08-04,7644871259
2000-08-07,7752182759
2000-08-08,7782229980
2000-08-09,7687795860
2000-08-10,7713550619
2000-08-11,7752182759
2000-08-14,7739305380
2000-08-15,7765060140
2000-08-16,7700673240
2000-08-17,7726428000
2000-08-18,7782229980
2000-08-21,7820862119
2000-08-22,7739305380
2000-08-23,7752182759
2000-08-24,7674918480
2000-08-25,7550437140
2000-08-28,7657748640
2000-08-29,7619116500
2000-08-30,7687795860
2000-08-31,7782229980
2000-09-01,7782229980
2000-09-05,7941051000
2000-09-06,8061239880
2000-09-07,8181428759
2000-09-08,8546287860
