,MTD
2000-01-03,1369446622
2000-01-04,1340412418
2000-01-05,1311378214
2000-01-06,1340412418
2000-01-07,1379124690
2000-01-10,1442032132
2000-01-11,1396061309
2000-01-12,1388802758
2000-01-13,1388802758
2000-01-14,1374285656
2000-01-18,1359768554
2000-01-19,1367027105
2000-01-20,1350090486
2000-01-21,1350090486
2000-01-24,1340412418
2000-01-25,1323475799
2000-01-26,1313797731
2000-01-27,1284763527
2000-01-28,1250890289
2000-01-31,1233953670
2000-02-01,1238792704
2000-02-02,1253309806
2000-02-03,1354929520
2000-02-04,1466227302
2000-02-07,1471066336
2000-02-08,1446871166
2000-02-09,1434773581
2000-02-10,1446871166
2000-02-11,1444451649
2000-02-14,1466227302
2000-02-15,1478324887
2000-02-16,1485583438
2000-02-17,1468646819
2000-02-18,1412997928
2000-02-22,1403319860
2000-02-23,1429934547
2000-02-24,1425095513
2000-02-25,1432354064
2000-02-28,1497681023
2000-02-29,1495261506
2000-03-01,1488002955
2000-03-02,1444451649
2000-03-03,1444451649
2000-03-06,1427515030
2000-03-07,1490422472
2000-03-08,1451710200
2000-03-09,1432354064
2000-03-10,1451710200
2000-03-13,1478324887
2000-03-14,1488002955
2000-03-15,1519456676
2000-03-16,1650110594
2000-03-17,1642852043
2000-03-20,1659788662
2000-03-21,1662208179
2000-03-22,1722696104
2000-03-23,1705759485
2000-03-24,1613817839
2000-03-27,1570266533
2000-03-28,1529134744
2000-03-29,1567847016
2000-03-30,1567847016
2000-03-31,1584783635
2000-04-03,1557393622
2000-04-04,1550127400
2000-04-05,1554971548
2000-04-06,1552549474
2000-04-07,1571926066
2000-04-10,1557393622
2000-04-11,1550127400
2000-04-12,1562237770
2000-04-13,1586458510
2000-04-14,1501685918
2000-04-17,1564659844
2000-04-18,1654276584
2000-04-19,1719672584
2000-04-20,1705140140
2000-04-24,1482309326
2000-04-25,1697873917
2000-04-26,1617945473
2000-04-27,1588880585
2000-04-28,1336984882
2000-05-01,1349095252
2000-05-02,1317608290
2000-05-03,1378160141
2000-05-04,1368471845
2000-05-05,1392692585
2000-05-08,1324874512
2000-05-09,1293387549
2000-05-10,1368471845
2000-05-11,1547705325
2000-05-12,1470198955
2000-05-15,1431445770
2000-05-16,1496841770
2000-05-17,1419335400
2000-05-18,1412069178
2000-05-19,1353939400
2000-05-22,1334562808
2000-05-23,1375738067
2000-05-24,1445978215
2000-05-25,1494419696
2000-05-26,1433867845
2000-05-30,1489575548
2000-05-31,1518640437
2000-06-01,1547705325
2000-06-02,1564659844
2000-06-05,1540439103
2000-06-06,1562237770
2000-06-07,1588880585
2000-06-08,1630055844
2000-06-09,1620367547
2000-06-12,1639744140
2000-06-13,1702718065
2000-06-14,1523484585
2000-06-15,1494419696
2000-06-16,1443556141
2000-06-19,1412069178
2000-06-20,1453244437
2000-06-21,1470198955
2000-06-22,1479887252
2000-06-23,1460510659
2000-06-26,1533172881
2000-06-27,1530750807
2000-06-28,1550127400
2000-06-29,1533172881
2000-06-30,1550732918
2000-07-03,1504107992
2000-07-05,1462932733
2000-07-06,1513796289
2000-07-07,1545283251
2000-07-10,1586458510
2000-07-11,1630055844
2000-07-12,1678497325
2000-07-13,1649432436
2000-07-14,1637322066
2000-07-17,1608257177
2000-07-18,1579192288
2000-07-19,1521062511
2000-07-20,1588880585
2000-07-21,1603413029
2000-07-24,1608257177
2000-07-25,1586458510
2000-07-26,1596146807
2000-07-27,1530750807
2000-07-28,1516218363
2000-07-31,1569503992
2000-08-01,1564659844
2000-08-02,1588880585
2000-08-03,1593724733
2000-08-04,1695451843
2000-08-07,1656698658
2000-08-08,1639744140
2000-08-09,1666386955
2000-08-10,1676075251
2000-08-11,1768114065
2000-08-14,1765691991
2000-08-15,1775380287
2000-08-16,1760847843
2000-08-17,1775380287
2000-08-18,1736627102
2000-08-21,1739049176
2000-08-22,1804445176
2000-08-23,1748737473
2000-08-24,1794756880
2000-08-25,1782646510
2000-08-28,1787490658
2000-08-29,1818977620
2000-08-30,1768114065
2000-08-31,1833510065
2000-09-01,1874685324
2000-09-05,1814133472
2000-09-06,1777802361
2000-09-07,1804445176
2000-09-08,1775380287
2000-09-11,1814133472
2000-09-12,1794756880
2000-09-13,1794756880
2000-09-14,1777802361
2000-09-15,1756003695
2000-09-18,1753581621
2000-09-19,1780224435
2000-09-20,1794756880
2000-09-21,1787490658
2000-09-22,1787490658
2000-09-25,1765691991
2000-09-26,1729360880
2000-09-27,1693029769
2000-09-28,1731782954
2000-09-29,1705140140
2000-10-02,1707798453
2000-10-03,1683190406
2000-10-04,1697955234
2000-10-05,1670886382
2000-10-06,1712720062
2000-10-09,1744710523
2000-10-10,1796387421
2000-10-11,1872672367
2000-10-12,1739788914
2000-10-13,1626591898
2000-10-16,1693033625
2000-10-17,1715180867
2000-10-18,1823456273
2000-10-19,1845603515
2000-10-20,1757014546
2000-10-23,1789005007
2000-10-24,1761936156
2000-10-25,1722563281
2000-10-26,1781622593
2000-10-27,1737328109
2000-10-30,1852985929
2000-10-31,1838221101
2000-11-01,1825917078
2000-11-02,1867750757
2000-11-03,1971104554
2000-11-06,1963722140
2000-11-07,1951418117
2000-11-08,1924349265
2000-11-09,1926810070
2000-11-10,1865289953
2000-11-13,1860368343
2000-11-14,1921888460
