,BHF
2018-08-06,5286465831
2018-08-07,5206295344
2018-08-08,5212278217
2018-08-09,5102193369
2018-08-10,4781511422
2018-08-13,4756383359
2018-08-14,4916724332
2018-08-15,4861681909
2018-08-16,4996894819
2018-08-17,4963390735
2018-08-20,4951424991
2018-08-21,5045954371
2018-08-22,5001681117
2018-08-23,4931083226
2018-08-24,4950228416
2018-08-27,5029202329
2018-08-28,5069885859
2018-08-29,5032792052
2018-08-30,4955014714
2018-08-31,4966980458
2018-09-04,4876040802
2018-09-05,4949031842
2018-09-06,4811425783
2018-09-07,4803049762
2018-09-10,4786297720
2018-09-11,4850912739
2018-09-12,4810229208
2018-09-13,4880827099
2018-09-14,5022022882
2018-09-17,4976553054
2018-09-18,5176380984
2018-09-19,5299628150
2018-09-20,5532960164
2018-09-21,5558088227
2018-09-24,5403730125
2018-09-25,5364243169
2018-09-26,5273303513
2018-09-27,5286465831
2018-09-28,5293645278
2018-10-01,5205507161
2018-10-02,5192578604
2018-10-03,5327740790
2018-10-04,5446448450
2018-10-05,5414714719
2018-10-08,5444097803
2018-10-09,5379455018
2018-10-10,5283078503
2018-10-11,5077396915
2018-10-12,5052715124
2018-10-15,5110305969
2018-10-16,5159669550
2018-10-17,5178474724
2018-10-18,4901098411
2018-10-19,4934007465
2018-10-22,4825877716
2018-10-23,4767111548
2018-10-24,4613144188
2018-10-25,4713046673
2018-10-26,4520293642
2018-10-29,4488559911
2018-10-30,4573183193
2018-10-31,4657806475
2018-11-01,4768286871
2018-11-02,4809423189
2018-11-05,5008052836
2018-11-06,5174948754
2018-11-07,5076221591
2018-11-08,5097377412
2018-11-09,4885819207
2018-11-12,4822351746
2018-11-13,4841156919
2018-11-14,4778864781
2018-11-15,4755358314
2018-11-16,4651929858
2018-11-19,4653105182
2018-11-20,4497962498
2018-11-21,4534397522
2018-11-23,4468579414
2018-11-26,4641351948
2018-11-27,4624897421
2018-11-28,4755358314
2018-11-29,4705994733
2018-11-30,4731851847
2018-12-03,4784741398
2018-12-04,4561429960
2018-12-06,4210008275
2018-12-07,4051339621
2018-12-10,3884443704
2018-12-11,3811573656
2018-12-12,3900898231
2018-12-13,3884443704
2018-12-14,3752807488
2018-12-17,3765736045
2018-12-18,3810398333
2018-12-19,3755158135
2018-12-20,3681112763
2018-12-21,3490710379
2018-12-24,3416665007
2018-12-26,3658781619
2018-12-27,3712846494
2018-12-28,3656430972
2018-12-31,3560025900
2019-01-02,3704856350
2019-01-03,3655800875
2019-01-04,3832166987
2019-01-07,3811143212
2019-01-08,3823991075
2019-01-09,3901078250
2019-01-10,3916262087
2019-01-11,3919766050
2019-01-14,3948965737
2019-01-15,3999189200
2019-01-16,4091460212
2019-01-17,4148691600
2019-01-18,4254978462
2019-01-22,4155699525
2019-01-23,4155699525
2019-01-24,4254978462
2019-01-25,4399808912
2019-01-28,4354257400
2019-01-29,4266658337
2019-01-30,4327393687
2019-01-31,4361265325
2019-02-01,4371777212
2019-02-04,4335569600
2019-02-05,4377617150
2019-02-06,4362433312
2019-02-07,4187235187
2019-02-08,4119491912
2019-02-11,4169715375
2019-02-12,4751373150
2019-02-13,4833132275
2019-02-14,4781740825
2019-02-15,4899707562
2019-02-19,4994314550
2019-02-20,5062057825
2019-02-21,5041034050
2019-02-22,5031690150
2019-02-25,5072569712
2019-02-26,4977962725
2019-02-27,4782908812
2019-02-28,4522447600
2019-03-01,4551647287
2019-03-04,4606542700
2019-03-05,4610046662
2019-03-06,4531791500
2019-03-07,4383457087
2019-03-08,4393968975
2019-03-11,4410320800
2019-03-12,4510767725
2019-03-13,4507263762
2019-03-14,4528287537
2019-03-15,4621726537
2019-03-18,4739693275
2019-03-19,4687133837
2019-03-20,4441856462
2019-03-21,4455872312
2019-03-22,4151027575
2019-03-25,4078612350
2019-03-26,4203587012
2019-03-27,4120659900
2019-03-28,4153363550
2019-03-29,4238626637
2019-04-01,4408709446
2019-04-02,4273819539
2019-04-03,4300336358
2019-04-04,4321088652
2019-04-05,4360287428
2019-04-08,4462895990
2019-04-09,4378733911
2019-04-10,4465201800
2019-04-11,4557434216
2019-04-12,4609314949
2019-04-15,4642749200
2019-04-16,4792626874
2019-04-17,4752275193
2019-04-18,4748816477
2019-04-22,4728064184
2019-04-23,4741899046
2019-04-24,4640443389
2019-04-25,4645055010
2019-04-26,4723452563
2019-04-29,4817990789
2019-04-30,4817990789
2019-05-01,4836437272
2019-05-02,4824908220
2019-05-03,4867565712
2019-05-06,4937892928
2019-05-07,4630067243
2019-05-08,4634678863
2019-05-09,4578186509
2019-05-10,4536681922
2019-05-13,4208103943
2019-05-14,4361440333
2019-05-15,4347605471
2019-05-16,4423697214
2019-05-17,4313018315
2019-05-20,4314171220
2019-05-21,4466354706
2019-05-22,4407556541
2019-05-23,4215021374
2019-05-24,4353369997
2019-05-28,4309559600
2019-05-29,4308406695
2019-05-30,4283042780
2019-05-31,4091660519
2019-06-03,4137776726
2019-06-04,4379886816
2019-06-05,4230009142
2019-06-06,4315324126
2019-06-07,4376428101
2019-06-10,4443296602
2019-06-11,4518235439
2019-06-12,4429461739
2019-06-13,4434073360
2019-06-14,4432920455
2019-06-17,4340688040
2019-06-18,4408709446
2019-06-19,4381039722
2019-06-20,4432920455
2019-06-21,4393721679
2019-06-24,4394874584
2019-06-25,3880678869
2019-06-26,3961382232
2019-06-27,4038626880
2019-06-28,4230009142
2019-07-01,4043871928
2019-07-02,3949904625
2019-07-03,4001258849
2019-07-05,4053705715
2019-07-08,4047149857
2019-07-09,4105059938
