,CAH
2000-01-03,10400205000
2000-01-04,10281270000
2000-01-05,11003690000
2000-01-06,11386925000
2000-01-07,12413290000
2000-01-10,11809805000
2000-01-11,11889095000
2000-01-12,12100535000
2000-01-13,12373645000
2000-01-14,12519010000
2000-01-18,11915525000
2000-01-19,12294355000
2000-01-20,11281205000
2000-01-21,10990475000
2000-01-24,10752605000
2000-01-25,10426635000
2000-01-26,10413420000
2000-01-27,10453065000
2000-01-28,10281270000
2000-01-31,10056615000
2000-02-01,10532355000
2000-02-02,10069830000
2000-02-03,10083045000
2000-02-04,10386990000
2000-02-07,10439850000
2000-02-08,10805465000
2000-02-09,10554380000
2000-02-10,10373775000
2000-02-11,9924465000
2000-02-14,9673380000
2000-02-15,9369435000
2000-02-16,9528015000
2000-02-17,9422295000
2000-02-18,9276930000
2000-02-22,9501585000
2000-02-23,9448725000
2000-02-24,9210855000
2000-02-25,9078705000
2000-02-28,9012630000
2000-02-29,8818810000
2000-03-01,8224135000
2000-03-02,8184489999
2000-03-03,8462005000
2000-03-06,8276995000
2000-03-07,7840900000
2000-03-08,8118415000
2000-03-09,8633800000
2000-03-10,8818810000
2000-03-13,8647015000
2000-03-14,8580940000
2000-03-15,9118350000
2000-03-16,10254840000
2000-03-17,10162335000
2000-03-20,9884820000
2000-03-21,10122690000
2000-03-22,10347345000
2000-03-23,10519140000
2000-03-24,10453065000
2000-03-27,10056615000
2000-03-28,9924465000
2000-03-29,9699810000
2000-03-30,9686595000
2000-03-31,9144144000
2000-04-03,9668808000
2000-04-04,9768744000
2000-04-05,9731268000
2000-04-06,9543888000
2000-04-07,9556380000
2000-04-10,9606348000
2000-04-11,9556380000
2000-04-12,9706284000
2000-04-13,9518904000
2000-04-14,9144144000
2000-04-17,9169128000
2000-04-18,9518904000
2000-04-19,10314228000
2000-04-20,10464132000
2000-04-24,10551576000
2000-04-25,11026272000
2000-04-26,10951320000
2000-04-27,11051256000
2000-04-28,10976304000
2000-05-01,11463492000
2000-05-02,11463492000
2000-05-03,11151192000
2000-05-04,11238636000
2000-05-05,11413524000
2000-05-08,11546772000
2000-05-09,11684184000
2000-05-10,11451000000
2000-05-11,11584248000
2000-05-12,11451000000
2000-05-15,11996484000
2000-05-16,12496164000
2000-05-17,12258816000
2000-05-18,12071436000
2000-05-19,12158880000
2000-05-22,12308784000
2000-05-23,12596100000
2000-05-24,12795972000
2000-05-25,12733512000
2000-05-26,12908400000
2000-05-30,13179060000
2000-05-31,12933384000
2000-06-01,13291488000
2000-06-02,12671052000
2000-06-05,12383736000
2000-06-06,12546132000
2000-06-07,12658560000
2000-06-08,12558624000
2000-06-09,13141584000
2000-06-12,13179060000
2000-06-13,13241520000
2000-06-14,13741200000
2000-06-15,13653756000
2000-06-16,13154076000
2000-06-19,13328964000
2000-06-20,13416408000
2000-06-21,13628771999
2000-06-22,13166568000
2000-06-23,13066632000
2000-06-26,13428900000
2000-06-27,13741200000
2000-06-28,14140944000
2000-06-29,14016023999
2000-06-30,15545838000
2000-07-03,15506337000
2000-07-05,15260553000
2000-07-06,15194717999
2000-07-07,15181551000
2000-07-10,15326388000
2000-07-11,15545838000
2000-07-12,15115715999
2000-07-13,14812875000
2000-07-14,14286194999
2000-07-17,14273028000
2000-07-18,14496867000
2000-07-19,14812875000
2000-07-20,15128883000
2000-07-21,15181551000
2000-07-24,15493169999
2000-07-25,15260553000
2000-07-26,14944544999
2000-07-27,15440502000
2000-07-28,15427335000
2000-07-31,15440502000
2000-08-01,15756510000
2000-08-02,15835512000
2000-08-03,15835512000
2000-08-04,15598506000
2000-08-07,15181551000
2000-08-08,15207885000
2000-08-09,14812875000
2000-08-10,15115715999
2000-08-11,15440502000
2000-08-14,15664340999
2000-08-15,15651173999
2000-08-16,15559005000
2000-08-17,16217355000
2000-08-18,16283190000
2000-08-21,16467528000
2000-08-22,16612365000
