,MRNA
2018-12-07,6115659614
2018-12-10,6181419395
2018-12-11,5921668261
2018-12-12,6141963526
2018-12-13,6168267439
2018-12-14,6023595921
2018-12-17,5589581368
2018-12-18,5589581368
2018-12-19,5319966266
2018-12-20,5096383012
2018-12-21,4757720140
2018-12-24,4613048623
2018-12-26,4445361182
2018-12-27,4816903943
2018-12-28,4652504491
2018-12-31,5020928486
2019-01-02,5040657085
2019-01-03,5096554783
2019-01-04,5576617362
2019-01-07,5349738472
2019-01-08,5573329262
2019-01-09,5369467071
2019-01-10,5418788569
2019-01-11,5589769762
2019-01-14,5504279165
2019-01-15,5454957667
2019-01-16,5346450372
2019-01-17,5362890871
2019-01-18,5487838666
2019-01-22,5116283382
2019-01-23,4863099692
2019-01-24,4813778195
2019-01-25,4902556891
2019-01-28,4751304297
2019-01-29,4810490095
2019-01-30,4974895088
2019-01-31,5458245767
2019-02-01,5333297972
2019-02-04,5349738472
2019-02-05,5648955559
2019-02-06,5964613146
2019-02-07,5606210261
2019-02-08,5915291648
2019-02-11,5974477445
2019-02-12,6145458638
2019-02-13,6092849040
2019-02-14,6464404324
2019-02-15,7049686099
2019-02-19,6849112008
2019-02-20,6549894921
2019-02-21,6359185129
2019-02-22,6536742521
2019-02-25,7118736196
2019-02-26,7792796668
2019-02-27,7266700690
2019-02-28,7431105683
2019-03-01,7322598388
2019-03-04,6944466904
2019-03-05,7026669400
2019-03-06,6789926210
2019-03-07,6770197611
2019-03-08,6881993006
2019-03-11,6717588013
2019-03-12,6332880330
2019-03-13,6566335420
2019-03-14,6845823908
2019-03-15,7174633894
2019-03-18,7293005489
2019-03-19,6691283215
2019-03-20,6576199720
2019-03-21,6359185129
2019-03-22,6247389734
2019-03-25,6378913728
2019-03-26,6543318721
2019-03-27,6336168430
2019-03-28,6464404324
2019-03-29,6691283215
2019-04-01,6777736043
2019-04-02,6484769307
2019-04-03,7021326362
2019-04-04,7597384549
2019-04-05,8545411737
2019-04-08,8963465393
2019-04-09,8828503189
2019-04-10,8821919667
2019-04-11,8469701233
2019-04-12,8101023993
2019-04-15,8505910604
2019-04-16,7827807824
2019-04-17,7735638514
2019-04-18,7409754168
2019-04-22,7778431408
