,TPR
2000-10-05,884184160
2000-10-06,852854800
2000-10-09,790196080
2000-10-10,800639199
2000-10-11,772790880
2000-10-12,734499440
2000-10-13,751904640
2000-10-16,751904640
2000-10-17,800639199
2000-10-18,758866720
2000-10-19,741461520
2000-10-20,741461520
2000-10-23,727537360
2000-10-24,762347760
2000-10-25,793677119
2000-10-26,790196080
2000-10-27,849373760
2000-10-30,936399760
2000-10-31,1016463680
2000-11-01,1009501600
2000-11-02,1037349920
2000-11-03,1100008640
2000-11-06,1047793039
2000-11-07,1033868880
2000-11-08,1044312000
2000-11-09,1040830960
2000-11-10,1075641360
2000-11-13,964248080
2000-11-14,988615360
2000-11-15,1002539520
2000-11-16,999058480
2000-11-17,1016463680
2000-11-20,988615360
2000-11-21,985134320
2000-11-22,1002539520
2000-11-24,1002539520
2000-11-27,1033868880
2000-11-28,1023425760
2000-11-29,967729119
2000-11-30,964248080
2000-12-01,957286000
2000-12-04,1006020560
2000-12-05,967729119
2000-12-06,1002539520
2000-12-07,1044312000
2000-12-08,1103489680
2000-12-11,1124375920
2000-12-12,1086084480
2000-12-13,1044312000
2000-12-14,915513520
2000-12-15,915513520
2000-12-18,898108320
2000-12-19,901589360
2000-12-20,880703119
2000-12-21,915513520
2000-12-22,974691199
2000-12-26,1023425760
2000-12-27,1089565520
2000-12-28,1228807120
2000-12-29,1249693360
2001-01-02,1138300080
2001-01-03,1134819040
2001-01-04,1089565520
2001-01-05,1061717199
2001-01-08,974691199
2001-01-09,1012982640
2001-01-10,1093046560
2001-01-11,1187034640
2001-01-12,1159186320
2001-01-16,1235769200
2001-01-17,1263617520
2001-01-18,1305390000
2001-01-19,1322795200
2001-01-22,1350643520
2001-01-23,1350643520
2001-01-24,1336719360
2001-01-25,1315833120
2001-01-26,1326276240
2001-01-29,1347162480
2001-01-30,1364567680
2001-01-31,1468998880
2001-02-01,1549062800
2001-02-02,1566468000
2001-02-05,1531657600
2001-02-06,1482923040
2001-02-07,1489885120
2001-02-08,1468998880
2001-02-09,1468998880
2001-02-12,1427226399
2001-02-13,1427226399
2001-02-14,1475960960
2001-02-15,1489885120
2001-02-16,1482923040
2001-02-20,1472479920
2001-02-21,1503809280
2001-02-22,1479442000
2001-02-23,1437669520
2001-02-26,1434188480
2001-02-27,1413302239
2001-02-28,1312352080
2001-03-01,1239250240
2001-03-02,1214882960
2001-03-05,1218364000
2001-03-06,1148743200
2001-03-07,1162667360
2001-03-08,1221845040
2001-03-09,1228807120
2001-03-12,1225326080
2001-03-13,1211401920
2001-03-14,1187034640
2001-03-15,1183553600
2001-03-16,1187034640
2001-03-19,1214882960
2001-03-20,1218364000
2001-03-21,1197477760
2001-03-22,1166148400
2001-03-23,1190515680
2001-03-26,1176591520
2001-03-27,1176591520
2001-03-28,1200958800
2001-03-29,1228807120
2001-03-30,1256655440
2001-04-02,1222396000
2001-04-03,1201440640
2001-04-04,1243351360
2001-04-05,1253829040
2001-04-06,1225888560
2001-04-09,1232873680
2001-04-10,1222396000
2001-04-11,1093171280
2001-04-12,1110634080
2001-04-16,1114126640
2001-04-17,1040782880
2001-04-18,1103648960
2001-04-19,1037290320
2001-04-20,1030305200
2001-04-23,1047768000
2001-04-24,1163022480
2001-04-25,1288754640
2001-04-26,1267799280
2001-04-27,1323680240
2001-04-30,1417979359
2001-05-01,1498308240
2001-05-02,1515771040
2001-05-03,1390038880
2001-05-04,1393531440
2001-05-07,1376068640
2001-05-08,1369083520
2001-05-09,1390038880
2001-05-10,1400516560
2001-05-11,1400516560
2001-05-14,1480845440
2001-05-15,1529741280
2001-05-16,1592607359
2001-05-17,1575144560
2001-05-18,1529741280
2001-05-21,1599592480
2001-05-22,1606577599
