,KMI
2011-07-12,19916190000
2011-07-13,19930330000
2011-07-14,19817210000
2011-07-15,20213130000
2011-07-18,19930330000
2011-07-19,20043450000
2011-07-20,20149500000
2011-07-21,20156570000
2011-07-22,20050520000
2011-07-25,19442500000
2011-07-26,19491990000
2011-07-27,19923260000
2011-07-28,19909120000
2011-07-29,19958610000
2011-08-01,19958610000
2011-08-02,19689950000
2011-08-03,19598040000
2011-08-04,18714290000
2011-08-05,18325440000
2011-08-08,16727620000
2011-08-09,18325440000
2011-08-10,18417350000
2011-08-11,19407150000
2011-08-12,18926390000
2011-08-15,19145560000
2011-08-16,18735500000
2011-08-17,18579960000
2011-08-18,17547740000
2011-08-19,16840740000
2011-08-22,16798320000
2011-08-23,17349780000
2011-08-24,17286150000
2011-08-25,17286150000
2011-08-26,17519460000
2011-08-29,17894170000
2011-08-30,17936590000
2011-08-31,18275950000
2011-09-01,18184040000
2011-09-02,17809330000
2011-09-06,17936590000
2011-09-07,17986080000
2011-09-08,17957800000
2011-09-09,17568950000
2011-09-12,17646720000
2011-09-13,17653790000
2011-09-14,17851750000
2011-09-15,18056780000
2011-09-16,18028500000
2011-09-19,18862760000
2011-09-20,18876900000
2011-09-21,18770850000
2011-09-22,18162830000
2011-09-23,18042640000
2011-09-26,18622380000
2011-09-27,19110210000
2011-09-28,18820340000
2011-09-29,18608240000
2011-09-30,18304230000
2011-10-03,18014360000
2011-10-04,18417350000
2011-10-05,18799130000
2011-10-06,18876900000
2011-10-07,18622380000
2011-10-10,18997090000
2011-10-11,18982950000
2011-10-12,19018300000
2011-10-13,19032440000
2011-10-14,19011230000
2011-10-17,19930330000
2011-10-18,19838420000
2011-10-19,19499060000
2011-10-20,19958610000
2011-10-21,20658540000
2011-10-24,21195860000
2011-10-25,21287770000
2011-10-26,20969620000
2011-10-27,20814080000
2011-10-28,20573700000
2011-10-31,20220200000
2011-11-01,19668740000
2011-11-02,19838420000
2011-11-03,19916190000
2011-11-04,20015170000
2011-11-07,19767720000
2011-11-08,19902050000
2011-11-09,19110210000
2011-11-10,19393010000
2011-11-11,19491990000
2011-11-14,19605110000
2011-11-15,19767720000
2011-11-16,19633390000
2011-11-17,20022240000
2011-11-18,19972750000
2011-11-21,20213130000
2011-11-22,20227270000
2011-11-23,19810140000
2011-11-25,20503000000
2011-11-28,20361600000
2011-11-29,20884780000
2011-11-30,20856500000
2011-12-01,21393820000
2011-12-02,21917000000
2011-12-05,21853370000
2011-12-06,21818020000
2011-12-07,21506940000
2011-12-08,20891850000
2011-12-09,20927200000
2011-12-12,20849430000
2011-12-13,20644400000
2011-12-14,20566630000
2011-12-15,20382810000
2011-12-16,21096880000
2011-12-19,21061530000
2011-12-20,21308980000
2011-12-21,21711970000
2011-12-22,21881650000
2011-12-23,22178590000
2011-12-27,22440180000
2011-12-28,22122030000
2011-12-29,22312920000
2011-12-30,22744190000
2012-01-03,22970430000
2012-01-04,22970430000
2012-01-05,23083550000
2012-01-06,23253230000
2012-01-09,23196670000
2012-01-10,23458260000
2012-01-11,23606730000
2012-01-12,23387560000
2012-01-13,23232020000
2012-01-17,23380490000
2012-01-18,23210810000
2012-01-19,23352210000
2012-01-20,23168390000
2012-01-23,23196670000
2012-01-24,23104760000
2012-01-25,23493609999
2012-01-26,23217880000
2012-01-27,22892660000
2012-01-30,22793680000
2012-01-31,22956290000
2012-02-01,22857310000
2012-02-02,22751260000
2012-02-03,22567440000
2012-02-06,22807820000
2012-02-07,22510880000
2012-02-08,22673490000
2012-02-09,23076480000
2012-02-10,22871450000
2012-02-13,23026990000
2012-02-14,22843170000
2012-02-15,22730050000
2012-02-16,22857310000
2012-02-17,22786609999
2012-02-21,22673490000
2012-02-22,22786609999
2012-02-23,22850240000
2012-02-24,23500680000
2012-02-27,24575320000
2012-02-28,24928820000
2012-02-29,24914680000
2012-03-01,25395440000
2012-03-02,25657030000
2012-03-05,25614609999
2012-03-06,24992450000
2012-03-07,25664099999
2012-03-08,25968109999
2012-03-09,26526640000
2012-03-12,25975180000
2012-03-13,25883270000
2012-03-14,25487349999
2012-03-15,25628750000
2012-03-16,26052950000
2012-03-19,26257980000
2012-03-20,25982250000
2012-03-21,26208490000
2012-03-22,26427660000
2012-03-23,27290200000
2012-03-26,27127590000
2012-03-27,27177080000
2012-03-28,27749750000
2012-03-29,27580070000
2012-03-30,27325550000
2012-04-02,32922200000
2012-04-03,33452659999
2012-04-04,33023240000
2012-04-05,33553700000
2012-04-09,33157960000
2012-04-10,32080200000
2012-04-11,32189659999
2012-04-12,32433840000
2012-04-13,32341219999
2012-04-16,31743400000
2012-04-17,31356080000
2012-04-18,31364500000
2012-04-19,30926659999
2012-04-20,30446719999
2012-04-23,29562620000
2012-04-24,29545780000
2012-04-25,30244640000
2012-04-26,30042560000
2012-04-27,30177280000
2012-04-30,30227800000
2012-05-01,30665640000
2012-05-02,30623539999
2012-05-03,30101500000
2012-05-04,29680500000
2012-05-07,29596300000
2012-05-08,29444740000
2012-05-09,28695360000
2012-05-10,28880599999
2012-05-11,28619580000
2012-05-14,28249099999
2012-05-15,28038599999
2012-05-16,27996500000
2012-05-17,27786000000
2012-05-18,27365000000
2012-05-21,28089120000
2012-05-22,28459599999
2012-05-23,27920719999
2012-05-24,27036620000
2012-05-25,27297640000
2012-05-29,28207000000
2012-05-30,28350140000
2012-05-31,28787979999
2012-06-01,27238700000
2012-06-04,27786000000
2012-06-05,27802840000
2012-06-06,26859800000
2012-06-07,26514580000
2012-06-08,26548260000
2012-06-11,26472480000
2012-06-12,26396700000
2012-06-13,26295660000
2012-06-14,26497740000
2012-06-15,26859800000
2012-06-18,26817700000
2012-06-19,27247120000
2012-06-20,27230280000
2012-06-21,26927160000
2012-06-22,26674560000
2012-06-25,25958860000
2012-06-26,25899920000
2012-06-27,26093580000
2012-06-28,26287240000
2012-06-29,27129240000
2012-07-02,33951380000
2012-07-03,34386920000
2012-07-05,34490620000
2012-07-06,34179520000
2012-07-09,33951380000
2012-07-10,34003230000
2012-07-11,34272849999
2012-07-12,34573580000
2012-07-13,35817980000
2012-07-16,35983900000
2012-07-17,36336480000
2012-07-18,36699430000
2012-07-19,36554250000
2012-07-20,36284630000
2012-07-23,36149820000
2012-07-24,36160190000
2012-07-25,36564620000
2012-07-26,37041640000
2012-07-27,37134970000
2012-07-30,37155710000
2012-07-31,37134970000
2012-08-01,37062380000
2012-08-02,36709800000
2012-08-03,37217930000
2012-08-06,37508290000
2012-08-07,37777910000
2012-08-08,37477180000
2012-08-09,37134970000
2012-08-10,35921680000
2012-08-13,36015010000
2012-08-14,36056490000
2012-08-15,35766130000
2012-08-16,35745390000
2012-08-17,35486140000
2012-08-20,36149820000
2012-08-21,36263890000
2012-08-22,36263890000
2012-08-23,36139450000
2012-08-24,36595730000
2012-08-27,36585360000
2012-08-28,36533510000
2012-08-29,36751280000
2012-08-30,36751280000
2012-08-31,37093490000
2012-09-04,37000160000
2012-09-05,36813500000
2012-09-06,37062380000
2012-09-07,37166080000
2012-09-10,37083120000
2012-09-11,37072750000
2012-09-12,36989790000
2012-09-13,37300890000
2012-09-14,37570510000
2012-09-17,37580880000
2012-09-18,37383850000
2012-09-19,37280150000
2012-09-20,36979420000
2012-09-21,37020900000
2012-09-24,37124600000
2012-09-25,36844610000
2012-09-26,36450550000
2012-09-27,36979420000
2012-09-28,36834240000
2012-10-01,36726200000
2012-10-02,36778000000
2012-10-03,37337440000
2012-10-04,37555000000
2012-10-05,37337440000
2012-10-08,36840160000
2012-10-09,36342880000
2012-10-10,36425760000
2012-10-11,36353240000
2012-10-12,35742000000
2012-10-15,36146040000
2012-10-16,36798720000
2012-10-17,37057720000
2012-10-18,37161320000
2012-10-19,36228920000
2012-10-22,36001000000
2012-10-23,35617680000
2012-10-24,35804160000
2012-10-25,36322160000
2012-10-26,35949200000
2012-10-31,35959560000
2012-11-01,35824880000
2012-11-02,35337960000
2012-11-05,35110040000
2012-11-06,35389760000
2012-11-07,34540240000
2012-11-08,34125839999
2012-11-09,33752880000
2012-11-12,33701080000
2012-11-13,33400640000
2012-11-14,33276319999
2012-11-15,33183080000
2012-11-16,33462799999
2012-11-19,34685280000
2012-11-20,34664560000
2012-11-21,34664560000
2012-11-23,34933920000
2012-11-26,34892480000
2012-11-27,34975360000
2012-11-28,35348320000
2012-11-29,35451920000
2012-11-30,35027160000
2012-12-03,35120400000
2012-12-04,35141120000
2012-12-05,35047880000
2012-12-06,34840680000
2012-12-07,34788880000
2012-12-10,34861400000
2012-12-11,34840680000
2012-12-12,34933920000
2012-12-13,35016800000
2012-12-14,34933920000
2012-12-17,35700560000
2012-12-18,36560440000
2012-12-19,36508640000
2012-12-20,36746920000
2012-12-21,36612240000
2012-12-24,36291080000
2012-12-26,36001000000
2012-12-27,36021720000
2012-12-28,35866320000
2012-12-31,36601880000
2013-01-02,37845080000
2013-01-03,38311280000
2013-01-04,38031560000
2013-01-07,38663520000
2013-01-08,38684240000
2013-01-09,38456320000
2013-01-10,38435600000
2013-01-11,38394160000
2013-01-14,38269840000
2013-01-15,38166240000
2013-01-16,37917600000
2013-01-17,38580640000
2013-01-18,38756760000
2013-01-22,39150440000
2013-01-23,38932880000
2013-01-24,38570280000
2013-01-25,38591000000
2013-01-28,38881080000
2013-01-29,38642800000
2013-01-30,39088280000
2013-01-31,38808560000
2013-02-01,38839640000
2013-02-04,37896880000
2013-02-05,38725680000
2013-02-06,38611720000
2013-02-07,39129720000
2013-02-08,38953600000
2013-02-11,39005400000
2013-02-12,39098640000
2013-02-13,39160800000
2013-02-14,38922520000
2013-02-15,38870720000
2013-02-19,38767120000
2013-02-20,38466680000
2013-02-21,38052280000
2013-02-22,38332000000
2013-02-25,37409960000
2013-02-26,37513560000
2013-02-27,38394160000
2013-02-28,38404520000
2013-03-01,38601360000
2013-03-04,38891440000
2013-03-05,38808560000
2013-03-06,38300920000
2013-03-07,38601360000
2013-03-08,38715320000
2013-03-11,38663520000
2013-03-12,38611720000
2013-03-13,38259480000
2013-03-14,38280200000
2013-03-15,37710400000
2013-03-18,37544640000
2013-03-19,37865800000
2013-03-20,38300920000
2013-03-21,38539200000
2013-03-22,38974320000
2013-03-25,38953600000
2013-03-26,39357640000
2013-03-27,39751320000
2013-03-28,40072480000
2013-04-01,40517960000
2013-04-02,40238240000
2013-04-03,39202240000
2013-04-04,39222960000
2013-04-05,38870720000
2013-04-08,39492320000
2013-04-09,40031040000
2013-04-10,40341840000
2013-04-11,40165720000
2013-04-12,40176080000
2013-04-15,39316200000
2013-04-16,39751320000
2013-04-17,39160800000
2013-04-18,39285120000
2013-04-19,40269320000
2013-04-22,40404000000
2013-04-23,40953080000
2013-04-24,41419280000
2013-04-25,40517960000
2013-04-26,40176080000
2013-04-29,40300400000
2013-04-30,40507600000
2013-05-01,39917080000
2013-05-02,40113920000
2013-05-03,40248600000
2013-05-06,40476520000
2013-05-07,40673360000
2013-05-08,40839120000
2013-05-09,40880560000
2013-05-10,40870200000
2013-05-13,40911640000
2013-05-14,41419280000
2013-05-15,41647200000
2013-05-16,41357120000
2013-05-17,41937280000
2013-05-20,42527800000
2013-05-21,42569240000
2013-05-22,42465640000
2013-05-23,41906200000
2013-05-24,42040880000
2013-05-28,41875120000
2013-05-29,41004880000
2013-05-30,40404000000
2013-05-31,39347280000
2013-06-03,39740960000
2013-06-04,39295480000
2013-06-05,39171160000
2013-06-06,40341840000
2013-06-07,40963440000
2013-06-10,40279680000
2013-06-11,39564840000
2013-06-12,38984680000
2013-06-13,39326560000
2013-06-14,39803120000
2013-06-17,39979240000
2013-06-18,39958520000
2013-06-19,39430160000
2013-06-20,37606800000
2013-06-21,37586080000
2013-06-24,37876160000
2013-06-25,38497760000
2013-06-26,38922520000
2013-06-27,39647720000
2013-06-28,39523400000
2013-07-01,40020680000
2013-07-02,39658080000
2013-07-03,39803120000
2013-07-05,39823840000
2013-07-08,40372920000
2013-07-09,40942720000
2013-07-10,40735520000
2013-07-11,41388200000
2013-07-12,41512520000
2013-07-15,41761160000
2013-07-16,41181000000
2013-07-17,41004880000
2013-07-18,40942720000
2013-07-19,40973800000
2013-07-22,40932360000
2013-07-23,40714800000
2013-07-24,40155360000
2013-07-25,40269320000
2013-07-26,40103560000
2013-07-29,39575200000
2013-07-30,39285120000
2013-07-31,39119360000
2013-08-01,39274760000
2013-08-02,39005400000
2013-08-05,39005400000
2013-08-06,39544120000
2013-08-07,39254040000
2013-08-08,39109000000
2013-08-09,38953600000
2013-08-12,38746400000
2013-08-13,38477040000
2013-08-14,38663520000
2013-08-15,38963960000
2013-08-16,38787840000
2013-08-19,37948680000
2013-08-20,38269840000
2013-08-21,38259480000
2013-08-22,38456320000
2013-08-23,38570280000
2013-08-26,38332000000
2013-08-27,38456320000
2013-08-28,38445960000
2013-08-29,39202240000
2013-08-30,39295480000
2013-09-03,38922520000
2013-09-04,36570800000
2013-09-05,36778000000
2013-09-06,36487920000
2013-09-09,37637880000
2013-09-10,38383800000
2013-09-11,37306360000
2013-09-12,36891960000
2013-09-13,36342880000
2013-09-16,35969920000
2013-09-17,35969920000
2013-09-18,37565360000
2013-09-19,38104080000
2013-09-20,37513560000
2013-09-23,37337440000
2013-09-24,37492840000
2013-09-25,37264920000
2013-09-26,37275280000
2013-09-27,37130240000
2013-09-30,36814950000
2013-10-01,37363500000
2013-10-02,37104750000
2013-10-03,36607950000
2013-10-04,36639000000
2013-10-07,36245700000
2013-10-08,35800650000
2013-10-09,36007650000
2013-10-10,36514800000
2013-10-11,36732150000
2013-10-14,36494100000
2013-10-15,36276750000
2013-10-16,36866700000
2013-10-17,36452700000
2013-10-18,36566550000
2013-10-21,36659700000
2013-10-22,37477350000
2013-10-23,37208250000
2013-10-24,37674000000
2013-10-25,37767150000
2013-10-28,37363500000
2013-10-29,37032300000
2013-10-30,36804600000
2013-10-31,36545850000
2013-11-01,36545850000
2013-11-04,36463050000
2013-11-05,36338850000
