,MHK
2000-01-03,1365945187
2000-01-04,1334664000
2000-01-05,1358993812
2000-01-06,1352042437
2000-01-07,1369420875
2000-01-10,1379847937
2000-01-11,1355518125
2000-01-12,1306858500
2000-01-13,1355518125
2000-01-14,1390275000
2000-01-18,1376372250
2000-01-19,1383323625
2000-01-20,1310334187
2000-01-21,1317285562
2000-01-24,1310334187
2000-01-25,1237344750
2000-01-26,1240820437
2000-01-27,1261674562
2000-01-28,1282528687
2000-01-31,1303382812
2000-02-01,1310334187
2000-02-02,1299907125
2000-02-03,1292955750
2000-02-04,1296431437
2000-02-07,1268625937
2000-02-08,1258198875
2000-02-09,1209539250
2000-02-10,1233869062
2000-02-11,1213014937
2000-02-14,1244296125
2000-02-15,1258198875
2000-02-16,1258198875
2000-02-17,1247771812
2000-02-18,1268625937
2000-02-22,1188685125
2000-02-23,1164355312
2000-02-24,1150452562
2000-02-25,1202587875
2000-02-28,1216490625
2000-02-29,1233869062
2000-03-01,1237344750
2000-03-02,1219966312
2000-03-03,1192160812
2000-03-06,1146976875
2000-03-07,1167831000
2000-03-08,1098317250
2000-03-09,1129598437
2000-03-10,1101792937
2000-03-13,1070511750
2000-03-14,1133074125
2000-03-15,1181733750
2000-03-16,1171306687
2000-03-17,1153928250
2000-03-20,1094841562
2000-03-21,1094841562
2000-03-22,1091365875
2000-03-23,1143501187
2000-03-24,1143501187
2000-03-27,1115695687
2000-03-28,1129598437
2000-03-29,1174782375
2000-03-30,1299907125
2000-03-31,1244296125
2000-04-03,1238228000
2000-04-04,1234863250
2000-04-05,1184392000
2000-04-06,1204580500
2000-04-07,1197851000
2000-04-10,1197851000
2000-04-11,1197851000
2000-04-12,1241592750
2000-04-13,1238228000
2000-04-14,1187756750
2000-04-17,1191121500
2000-04-18,1174297750
2000-04-19,1201215750
2000-04-20,1261781250
2000-04-24,1325711500
2000-04-25,1322346750
2000-04-26,1308887750
2000-04-27,1325711500
2000-04-28,1335805750
2000-05-01,1372818000
2000-05-02,1318982000
2000-05-03,1322346750
2000-05-04,1342535250
2000-05-05,1342535250
2000-05-08,1288699250
2000-05-09,1285334500
2000-05-10,1302158250
2000-05-11,1369453250
2000-05-12,1315617250
2000-05-15,1298793500
2000-05-16,1329076250
2000-05-17,1281969750
2000-05-18,1268510750
2000-05-19,1244957500
2000-05-22,1275240250
2000-05-23,1312252500
2000-05-24,1258416500
2000-05-25,1248322250
2000-05-26,1221404250
2000-05-30,1234863250
2000-05-31,1281969750
2000-06-01,1278605000
2000-06-02,1298793500
2000-06-05,1275240250
2000-06-06,1255051750
2000-06-07,1224769000
2000-06-08,1224769000
2000-06-09,1194486250
2000-06-12,1160838750
2000-06-13,1150744500
2000-06-14,1160838750
