,INCY
2000-01-03,2717122312
2000-01-04,2826034500
2000-01-05,2605368937
2000-01-06,2524868625
2000-01-07,3163188750
2000-01-10,3341236500
2000-01-11,3291989250
2000-01-12,3121518000
2000-01-13,4159498500
2000-01-14,3994709625
2000-01-18,3941674125
2000-01-19,4239051750
2000-01-20,4416152437
2000-01-21,4761830250
2000-01-24,4184122125
2000-01-25,3920838750
2000-01-26,4117827750
2000-01-27,4210639875
2000-01-28,3894321000
2000-01-31,3326083500
2000-02-01,3390483750
2000-02-02,3754155750
2000-02-03,4394370000
2000-02-04,4091310000
2000-02-07,4242840000
2000-02-08,4151922000
2000-02-09,4818654000
2000-02-10,5760981187
2000-02-11,5532739125
2000-02-14,5665327875
2000-02-15,5922928875
2000-02-16,6576402000
2000-02-17,8368244250
2000-02-18,8089807875
2000-02-22,6820744125
2000-02-23,7637112000
2000-02-24,7940172000
2000-02-25,8500833000
2000-02-28,8298161625
2000-02-29,8351197125
2000-03-01,7271545875
2000-03-02,6756343875
2000-03-03,7455276000
2000-03-06,7265863500
2000-03-07,6815535311
2000-03-08,6701414250
2000-03-09,6243036000
2000-03-10,6159694500
2000-03-13,5970282000
2000-03-14,4348911000
2000-03-15,3814767750
2000-03-16,4436040750
2000-03-17,4148133750
2000-03-20,3276836250
2000-03-21,3592208062
2000-03-22,3765520500
2000-03-23,3369648375
2000-03-24,3254106750
2000-03-27,3295777500
2000-03-28,3130988625
2000-03-29,2500245000
2000-03-30,2413115250
2000-03-31,2789168812
2000-04-03,2619705375
2000-04-04,2565875812
2000-04-05,3018442875
2000-04-06,3461041500
2000-04-07,3189900000
2000-04-10,2910783750
2000-04-11,2527995750
2000-04-12,2466191437
2000-04-13,2743314000
2000-04-14,2384450250
2000-04-17,2454229312
2000-04-18,2727364500
2000-04-19,2743314000
2000-04-20,2458216687
2000-04-24,2336601750
2000-04-25,2567869500
2000-04-26,2280778500
2000-04-27,2264829000
2000-04-28,2456223000
2000-05-01,2795149875
2000-05-02,2442267187
2000-05-03,2468185125
2000-05-04,2565875812
2000-05-05,2900815312
2000-05-08,2748796672
2000-05-09,2459711985
2000-05-10,2292740625
2000-05-11,2197043625
2000-05-12,2193056250
2000-05-15,2175113062
2000-05-16,2149195125
2000-05-17,2123277187
2000-05-18,1945839000
2000-05-19,1842167250
2000-05-22,1727031828
2000-05-23,1594950000
2000-05-24,1563051000
