,JWN
2000-01-03,3378578560
2000-01-04,3247422560
2000-01-05,3189713920
2000-01-06,3344478000
2000-01-07,3344478000
2000-01-10,3313000560
2000-01-11,3271030640
2000-01-12,3139874640
2000-01-13,3000849280
2000-01-14,3040196080
2000-01-18,2951010000
2000-01-19,3050688560
2000-01-20,2974618080
2000-01-21,2927401920
2000-01-24,2869693280
2000-01-25,2877562640
2000-01-26,3000849280
2000-01-27,2951010000
2000-01-28,2861823920
2000-01-31,2885621816
2000-02-01,2893491693
2000-02-02,2901361571
2000-02-03,2951204130
2000-02-04,3016786444
2000-02-07,2966943885
2000-02-08,3116471561
2000-02-09,3001046688
2000-02-10,3008916566
2000-02-11,2885621816
2000-02-14,2754457188
2000-02-15,2681004996
2000-02-16,2565580123
2000-02-17,2607552804
2000-02-18,2754457188
2000-02-22,2788559991
2000-02-23,2754457188
2000-02-24,2623292560
2000-02-25,2673135118
2000-02-28,2681004996
2000-02-29,2796429868
2000-03-01,2796429868
2000-03-02,2804299746
2000-03-03,2951204130
2000-03-06,2885621816
2000-03-07,2788559991
2000-03-08,2862012182
2000-03-09,2927594496
2000-03-10,2901361571
2000-03-13,2827909379
2000-03-14,2788559991
2000-03-15,3050889247
2000-03-16,3263375944
2000-03-17,3140081194
2000-03-20,3163690827
2000-03-21,3271245822
2000-03-22,3229273141
2000-03-23,3614897147
2000-03-24,3672609584
2000-03-27,3780164578
2000-03-28,3680479461
2000-03-29,3622767025
2000-03-30,3696219217
2000-03-31,3869356526
2000-04-03,3976911520
2000-04-04,4058233590
2000-04-05,4270720287
2000-04-06,4189398218
2000-04-07,4155295415
2000-04-10,4197268096
2000-04-11,4220877729
2000-04-12,4428117841
2000-04-13,4401884915
2000-04-14,3869356526
2000-04-17,3664739706
2000-04-18,3919199084
2000-04-19,4000521154
2000-04-20,3885096281
2000-04-24,4066103468
2000-04-25,4270720287
2000-04-26,4050363712
2000-04-27,3722452142
2000-04-28,3648999950
2000-05-01,3858977116
2000-05-02,3794142151
2000-05-03,3477747522
2000-05-04,3485527718
2000-05-05,3581483466
2000-05-08,3599637256
2000-05-09,3630758040
2000-05-10,3524428697
2000-05-11,3451813536
2000-05-12,3283242627
2000-05-15,3291022823
2000-05-16,3355857788
2000-05-17,3241748250
2000-05-18,3322143606
2000-05-19,3184693480
2000-05-22,3233968054
2000-05-23,3241748250
2000-05-24,3104298124
2000-05-25,3112078320
2000-05-26,3039463159
2000-05-30,3135418907
2000-05-31,3257308641
2000-06-01,3104298124
2000-06-02,3176913285
2000-06-05,3104298124
2000-06-06,2909793229
2000-06-07,3329923802
2000-06-08,3153572697
2000-06-09,3119858515
2000-06-12,3104298124
2000-06-13,3104298124
2000-06-14,3265088837
2000-06-15,3283242627
2000-06-16,3145792501
2000-06-19,3169133089
2000-06-20,3096517928
2000-06-21,3031682963
2000-06-22,3062803746
2000-06-23,3161352893
2000-06-26,3145792501
2000-06-27,3275462431
2000-06-28,3257308641
2000-06-29,3119858515
2000-06-30,3127638711
2000-07-03,3055023550
2000-07-05,3080957536
2000-07-06,2917573425
2000-07-07,3016122571
2000-07-10,3265088837
2000-07-11,3241748250
2000-07-12,3176913285
2000-07-13,3039463159
2000-07-14,3127638711
2000-07-17,3104298124
2000-07-18,3119858515
2000-07-19,2990188585
2000-07-20,2959067802
2000-07-21,2886452641
2000-07-24,2780123299
2000-07-25,2811244082
2000-07-26,2886452641
2000-07-27,2876079047
2000-07-28,2318498348
2000-07-31,2263014110
2000-08-01,2335430561
2000-08-02,2425951125
2000-08-03,2343189467
2000-08-04,2369052485
2000-08-07,2392329202
2000-08-08,2384570296
2000-08-09,2376811390
2000-08-10,2296636033
2000-08-11,2361293579
2000-08-14,2350948372
2000-08-15,2312153844
2000-08-16,2319912750
2000-08-17,2263014110
2000-08-18,2361293579
2000-08-21,2425951125
2000-08-22,2449227842
2000-08-23,2490608671
2000-08-24,2449227842
2000-08-25,2490608671
2000-08-28,2456986748
2000-08-29,2415605918
2000-08-30,2376811390
2000-08-31,2231978487
2000-09-01,2449227842
2000-09-05,2343189467
2000-09-06,2415605918
2000-09-07,2376811390
2000-09-08,2407847013
2000-09-11,2392329202
2000-09-12,2361293579
2000-09-13,2327671656
2000-09-14,2296636033
2000-09-15,2286290826
2000-09-18,2213874375
2000-09-19,2190597658
2000-09-20,2118181206
2000-09-21,2133699018
2000-09-22,2084559283
2000-09-25,2019901737
2000-09-26,1939726380
2000-09-27,1924208568
2000-09-28,1955244191
2000-09-29,2012142831
