,NWL
2000-01-03,7605137250
2000-01-04,7794237960
2000-01-05,7673652000
2000-01-06,7827125040
2000-01-07,8084740500
2000-01-10,7931267460
2000-01-11,7846309170
2000-01-12,7742166750
2000-01-13,7758610290
2000-01-14,7879196250
2000-01-18,8188882920
2000-01-19,8084740500
2000-01-20,8410870710
2000-01-21,8495829000
2000-01-24,8358799500
2000-01-25,8375243040
2000-01-26,8394427170
2000-01-27,8564343750
2000-01-28,8169698790
2000-01-31,8205326460
2000-02-01,8136811710
2000-02-02,8375243040
2000-02-03,7536622500
2000-02-04,6440386500
2000-02-07,7109090460
2000-02-08,7810681500
2000-02-09,7161161670
2000-02-10,7246119960
2000-02-11,7262563500
2000-02-14,7536622500
2000-02-15,7588693710
2000-02-16,7572250170
2000-02-17,7177605210
2000-02-18,6766516710
2000-02-22,6903546210
2000-02-23,6681558420
2000-02-24,6525344790
2000-02-25,6440386500
2000-02-28,6681558420
2000-02-29,6371871750
2000-03-01,6492457710
2000-03-02,6525344790
2000-03-03,6629487210
2000-03-06,6338984670
2000-03-07,6149883960
2000-03-08,6319800540
2000-03-09,6218398710
2000-03-10,5892268500
2000-03-13,6045741540
2000-03-14,5927896170
2000-03-15,6319800540
2000-03-16,6714445500
2000-03-17,6782960250
2000-03-20,6681558420
2000-03-21,6903546210
2000-03-22,6818587920
2000-03-23,6818587920
2000-03-24,6613043670
2000-03-27,6629487210
2000-03-28,6525344790
2000-03-29,6681558420
2000-03-30,6525344790
2000-03-31,6612907020
2000-04-03,6812813520
2000-04-04,7164648960
2000-04-05,7114005980
2000-04-06,7063363000
2000-04-07,6946084520
2000-04-10,6964742460
2000-04-11,7012720020
2000-04-12,7196634000
2000-04-13,7263269500
2000-04-14,6730185500
2000-04-17,7263269500
2000-04-18,6863456500
2000-04-19,6863456500
2000-04-20,6996727500
2000-04-24,7047370480
2000-04-25,7098013460
2000-04-26,7047370480
2000-04-27,6946084520
2000-04-28,6714192980
2000-05-01,6663550000
2000-05-02,6580921980
2000-05-03,6964742460
2000-05-04,6698200460
2000-05-05,6930092000
2000-05-08,7329905000
2000-05-09,7114005980
2000-05-10,7180641480
2000-05-11,7279262020
2000-05-12,7180641480
2000-05-15,7263269500
2000-05-16,7313912480
2000-05-17,7345897520
2000-05-18,7196634000
2000-05-19,6831471460
2000-05-22,6796821000
2000-05-23,6863456500
2000-05-24,7031377960
2000-05-25,6698200460
2000-05-26,6796821000
2000-05-30,6980734980
2000-05-31,6996727500
2000-06-01,7129998500
2000-06-02,7180641480
2000-06-05,7114005980
2000-06-06,7145991020
2000-06-07,7063363000
2000-06-08,6946084520
2000-06-09,6930092000
2000-06-12,6812813520
2000-06-13,6879449020
2000-06-14,6863456500
2000-06-15,6647557480
2000-06-16,6463643500
2000-06-19,6431658460
2000-06-20,6365022960
2000-06-21,6346365020
2000-06-22,6397008000
2000-06-23,6346365020
2000-06-26,6498293960
2000-06-27,6831471460
2000-06-28,6735516340
2000-06-29,6879449020
2000-06-30,6864100250
2000-07-03,6946736020
2000-07-05,6997383750
2000-07-06,7080019520
2000-07-07,7013377770
2000-07-10,7064025500
2000-07-11,6997383750
2000-07-12,7064025500
2000-07-13,7064025500
2000-07-14,7381240230
2000-07-17,7255953740
2000-07-18,7381240230
2000-07-19,7463876000
2000-07-20,7498529710
2000-07-21,7463876000
2000-07-24,7546511770
2000-07-25,7581165480
2000-07-26,7597159500
2000-07-27,7314598480
2000-07-28,7197309000
2000-07-31,7181314980
2000-08-01,7213303020
2000-08-02,7013377770
2000-08-03,6930742000
2000-08-04,6981389730
2000-08-07,6930742000
2000-08-08,6946736020
2000-08-09,6898753960
2000-08-10,6898753960
2000-08-11,6914747980
2000-08-14,6914747980
2000-08-15,6914747980
2000-08-16,6864100250
2000-08-17,6864100250
2000-08-18,6914747980
2000-08-21,6797458500
2000-08-22,6930742000
2000-08-23,6880094270
2000-08-24,6930742000
2000-08-25,6832112210
2000-08-28,6632186960
2000-08-29,6880094270
2000-08-30,6946736020
2000-08-31,6917413650
2000-09-01,6914747980
2000-09-05,7114673230
2000-09-06,6781464480
2000-09-07,6930742000
2000-09-08,6930742000
2000-09-11,6914747980
2000-09-12,6832112210
2000-09-13,6765470460
2000-09-14,6565545210
2000-09-15,6664175000
2000-09-18,6530891500
2000-09-19,6448255730
2000-09-20,6147035020
2000-09-21,5848479980
2000-09-22,6064399250
2000-09-25,6048405230
2000-09-26,5981763480
2000-09-27,5848479980
2000-09-28,5947109770
2000-09-29,6080393270
2000-10-02,5978734080
2000-10-03,5978734080
2000-10-04,5928112000
2000-10-05,5994720000
2000-10-06,5994720000
2000-10-09,6061328000
2000-10-10,6061328000
2000-10-11,6061328000
2000-10-12,6010705920
2000-10-13,6077313920
2000-10-16,6095964160
2000-10-17,6045342080
2000-10-18,6029356160
2000-10-19,5978734080
2000-10-20,5944097920
2000-10-23,5877489920
2000-10-24,5128816000
2000-10-25,5062208000
2000-10-26,4979614080
2000-10-27,5046222080
2000-10-30,5078193920
2000-10-31,5112830080
2000-11-01,5096844160
2000-11-02,5179438080
2000-11-03,5163452160
2000-11-06,5262032000
2000-11-07,5211409920
2000-11-08,5278017920
2000-11-09,5328640000
2000-11-10,5262032000
2000-11-13,5278017920
2000-11-14,5246046080
2000-11-15,5262032000
2000-11-16,5230060160
2000-11-17,5296668160
2000-11-20,5195424000
2000-11-21,5163452160
2000-11-22,5096844160
2000-11-24,5128816000
2000-11-27,5195424000
2000-11-28,5163452160
2000-11-29,5211409920
2000-11-30,5179438080
2000-12-01,5195424000
2000-12-04,5262032000
2000-12-05,5445870080
2000-12-06,5395248000
2000-12-07,5395248000
2000-12-08,5429884160
