,RF
2000-01-03,4209987870
2000-01-04,4088311920
2000-01-05,4066189020
2000-01-06,4077250470
2000-01-07,4121496270
2000-01-10,3942300780
2000-01-11,4008669480
2000-01-12,4077250470
2000-01-13,4234323060
2000-01-14,4322814660
2000-01-18,4311753210
2000-01-19,4355999010
2000-01-20,4132557720
2000-01-21,4132557720
2000-01-24,4070613599
2000-01-25,4099373370
2000-01-26,4234323060
2000-01-27,4245384510
2000-01-28,4077250470
2000-01-31,4344937560
2000-02-01,4344937560
2000-02-02,4278568860
2000-02-03,4289630310
2000-02-04,4209987870
2000-02-07,4176803520
2000-02-08,4227686190
2000-02-09,4289630310
2000-02-10,4267507410
2000-02-11,4234323060
2000-02-14,4165742069
2000-02-15,4198926420
2000-02-16,4198926420
2000-02-17,4099373370
2000-02-18,3898054980
2000-02-22,3909116430
2000-02-23,3807351090
2000-02-24,3729920940
2000-02-25,3639217050
2000-02-28,3807351090
2000-02-29,3628155599
2000-03-01,3561786900
2000-03-02,3448960110
2000-03-03,3460021560
2000-03-06,3471083010
2000-03-07,3426837210
2000-03-08,3302948970
2000-03-09,3448960110
2000-03-10,3415775760
2000-03-13,3471083010
2000-03-14,3471083010
2000-03-15,3685675140
2000-03-16,4198926420
2000-03-17,4055127569
2000-03-20,3909116430
2000-03-21,4070613599
2000-03-22,4077250470
2000-03-23,4132557720
2000-03-24,4077250470
2000-03-27,3942300780
2000-03-28,3975485129
2000-03-29,4008669480
2000-03-30,3931239330
2000-03-31,4088311920
2000-04-03,4370037760
2000-04-04,4281932160
2000-04-05,4162989599
2000-04-06,4092505119
2000-04-07,3914091280
2000-04-10,3936117680
2000-04-11,3914091280
2000-04-12,3944928240
2000-04-13,3896470160
2000-04-14,3682814079
2000-04-17,3671800880
2000-04-18,3790743440
2000-04-19,3735677440
2000-04-20,3768717040
2000-04-24,3870038480
2000-04-25,3925104480
2000-04-26,3870038480
2000-04-27,3724664240
2000-04-28,3645369200
2000-05-01,3680611440
2000-05-02,3634356000
2000-05-03,3634356000
2000-05-04,3590303200
2000-05-05,3422902560
2000-05-08,3634356000
2000-05-09,3634356000
2000-05-10,3546250400
2000-05-11,3612329599
2000-05-12,3680611440
2000-05-15,3713651040
2000-05-16,3691624640
2000-05-17,3713651040
2000-05-18,3834796240
2000-05-19,3768717040
2000-05-22,3925104480
2000-05-23,3936117680
2000-05-24,3925104480
2000-05-25,3936117680
2000-05-26,3947130880
2000-05-30,4059465520
2000-05-31,4037439119
2000-06-01,4204839760
2000-06-02,4359024560
2000-06-05,4204839760
2000-06-06,4125544720
2000-06-07,4191623920
2000-06-08,4125544720
2000-06-09,4081491920
2000-06-12,4125544720
2000-06-13,4070478720
2000-06-14,4103518320
2000-06-15,3881051680
2000-06-16,3623342800
2000-06-19,3801756640
2000-06-20,3768717040
2000-06-21,3656382400
2000-06-22,3656382400
2000-06-23,3702637839
2000-06-26,3735677440
2000-06-27,3713651040
2000-06-28,3713651040
2000-06-29,3656382400
2000-06-30,3546250400
2000-07-03,3749412240
2000-07-05,3826560640
2000-07-06,3749412240
2000-07-07,3850807279
2000-07-10,3916934480
2000-07-11,3861828480
2000-07-12,3826560640
2000-07-13,3815539439
2000-07-14,3894892080
2000-07-17,3782475840
2000-07-18,3793497040
2000-07-19,3738391040
2000-07-20,3872849680
2000-07-21,3826560640
2000-07-24,3815539439
2000-07-25,3771454640
2000-07-26,3625974800
2000-07-27,3625974800
2000-07-28,3592911200
2000-07-31,3559847599
2000-08-01,3592911200
2000-08-02,3623770560
2000-08-03,3749412240
2000-08-04,3883870880
2000-08-07,3861828480
2000-08-08,3905913279
2000-08-09,3894892080
2000-08-10,3905913279
2000-08-11,3938976880
2000-08-14,3983061680
2000-08-15,3905913279
2000-08-16,3837581840
2000-08-17,3857420000
2000-08-18,3826560640
2000-08-21,3894892080
2000-08-22,3949998080
2000-08-23,3905913279
2000-08-24,3826560640
2000-08-25,3782475840
2000-08-28,3815539439
2000-08-29,3804518240
2000-08-30,3815539439
2000-08-31,3883870880
2000-09-01,3916934480
2000-09-05,4005104080
2000-09-06,4095477919
2000-09-07,4161605120
2000-09-08,4307084960
2000-09-11,4373212160
2000-09-12,4430522400
2000-09-13,4430522400
2000-09-14,4419501200
2000-09-15,4419501200
2000-09-18,4296063760
2000-09-19,4285042560
2000-09-20,4207894160
2000-09-21,4139562720
2000-09-22,3961019279
2000-09-25,4005104080
2000-09-26,4062414320
2000-09-27,4106499120
2000-09-28,4161605120
2000-09-29,4051393120
2000-10-02,4182204412
2000-10-03,4195390553
2000-10-04,4127262158
2000-10-05,4083308354
2000-10-06,3927272351
2000-10-09,3894306998
2000-10-10,3793213250
2000-10-11,3716294094
2000-10-12,3615200346
2000-10-13,3782224799
2000-10-16,3727282545
2000-10-17,3683328741
2000-10-18,3661351839
2000-10-19,3872330097
2000-10-20,3727282545
2000-10-23,3648165698
2000-10-24,3683328741
2000-10-25,3782224799
2000-10-26,3839364744
2000-10-27,3872330097
2000-10-30,4050343001
2000-10-31,4195390553
2000-11-01,4206379004
2000-11-02,4195390553
2000-11-03,4228355906
2000-11-06,4327251964
2000-11-07,4316263513
2000-11-08,4316263513
2000-11-09,4261321259
2000-11-10,4105285256
2000-11-13,4116273707
2000-11-14,4149239059
2000-11-15,4061331452
2000-11-16,4083308354
2000-11-17,4061331452
2000-11-20,3993203057
2000-11-21,4072319903
2000-11-22,4028366099
2000-11-24,4094296805
2000-11-27,4116273707
2000-11-28,4160227510
2000-11-29,4272309709
2000-11-30,4316263513
2000-12-01,4305275062
2000-12-04,4349228866
2000-12-05,4406368810
2000-12-06,4426148022
2000-12-07,4472299516
2000-12-08,4562404813
2000-12-11,4672289322
2000-12-12,4562404813
2000-12-13,4450322614
2000-12-14,4395380360
2000-12-15,4384391909
2000-12-18,4538230221
2000-12-19,4683277773
2000-12-20,4705254675
2000-12-21,4795359972
2000-12-22,4907442171
2000-12-26,4918430622
2000-12-27,4951395975
2000-12-28,4951395975
2000-12-29,4861290678
2001-01-02,4720737840
2001-01-03,4907676480
2001-01-04,4982881680
2001-01-05,4862553360
2001-01-08,4808835360
2001-01-09,4774455840
2001-01-10,4785199440
2001-01-11,4873296960
