,HON
2000-01-03,42670031250
2000-01-04,41918937500
2000-01-05,41349687500
2000-01-06,42148218750
2000-01-07,44409406250
2000-01-10,44646593750
2000-01-11,44314531250
2000-01-12,44741468750
2000-01-13,45065625000
2000-01-14,45065625000
2000-01-18,44409406250
2000-01-19,40835781250
2000-01-20,39800062500
2000-01-21,38622031250
2000-01-24,35941812500
2000-01-25,35799500000
2000-01-26,35846937500
2000-01-27,34811218750
2000-01-28,34012687500
2000-01-31,36131562500
2000-02-01,35752062500
2000-02-02,36313406250
2000-02-03,35846937500
2000-02-04,35657187500
2000-02-07,33870375000
2000-02-08,34060125000
2000-02-09,32929531250
2000-02-10,32550031250
2000-02-11,31798937500
2000-02-14,32739781249
2000-02-15,34858656250
2000-02-16,33775500000
2000-02-17,34953531250
2000-02-18,33356468750
2000-02-22,35562312500
2000-02-23,34012687500
2000-02-24,34431718750
2000-02-25,35048406250
2000-02-28,36131562500
2000-02-29,36226437500
2000-03-01,36226437500
2000-03-02,34526593750
2000-03-03,34249875000
2000-03-06,33356468750
2000-03-07,31609187499
2000-03-08,32131000000
2000-03-09,33119281250
2000-03-10,34155000000
2000-03-13,33585749999
2000-03-14,33870375000
2000-03-15,34574031250
2000-03-16,37444000000
2000-03-17,35285593750
2000-03-20,35752062500
2000-03-21,37396562500
2000-03-22,34811218750
2000-03-23,34811218750
2000-03-24,37349125000
2000-03-27,36131562500
2000-03-28,35238156250
2000-03-29,36882656250
2000-03-30,38764343750
2000-03-31,40193142842
2000-04-03,41483233750
2000-04-04,41002454530
2000-04-05,40241220764
2000-04-06,39760441543
2000-04-07,39383831154
2000-04-10,40810142841
2000-04-11,42765311672
2000-04-12,40337376608
2000-04-13,42292545438
2000-04-14,41290922062
2000-04-17,41955999984
2000-04-18,41907922062
2000-04-19,41435155828
2000-04-20,43478467516
2000-04-24,42909545438
2000-04-25,44103480503
2000-04-26,42484857127
2000-04-27,42196389594
2000-04-28,42717233750
2000-05-01,42340623360
2000-05-02,41194766218
2000-05-03,41338999984
2000-05-04,40617831153
2000-05-05,41435155828
2000-05-08,41435155828
2000-05-09,41194766218
2000-05-10,41050532452
2000-05-11,40906298686
2000-05-12,40593792192
2000-05-15,42388701282
2000-05-16,42813389594
2000-05-17,41290922062
2000-05-18,41955999984
2000-05-19,41387077906
2000-05-22,40617831153
2000-05-23,40713986997
2000-05-24,41194766218
2000-05-25,40762064919
2000-05-26,40858220763
2000-05-30,42100233750
2000-05-31,41715610374
2000-06-01,43149935048
2000-06-02,43198012970
2000-06-05,43294168815
2000-06-06,43101857126
2000-06-07,41050532452
2000-06-08,39287675310
2000-06-09,39712363621
2000-06-12,39335753232
2000-06-13,38286051933
2000-06-14,39143441543
2000-06-15,38806896089
2000-06-16,36995961025
2000-06-19,30417298689
2000-06-20,27460506483
2000-06-21,27989363625
2000-06-22,26699272717
2000-06-23,26458883107
2000-06-26,26034194795
2000-06-27,25313025964
2000-06-28,25986116873
2000-06-29,26178428561
2000-06-30,25839257152
2000-07-03,26371028580
2000-07-05,26080971437
2000-07-06,26459657152
2000-07-07,26749714295
2000-07-10,26653028580
2000-07-11,27233142866
2000-07-12,27281485723
2000-07-13,27466800009
2000-07-14,28095257152
2000-07-17,28570628581
2000-07-18,28288628581
2000-07-19,28522285724
2000-07-20,27466800009
2000-07-21,26894742866
2000-07-24,27039771438
2000-07-25,28336971438
2000-07-26,26943085723
2000-07-27,26798057152
2000-07-28,25694228580
2000-07-31,26080971437
2000-08-01,26177657152
2000-08-02,25887600009
2000-08-03,25839257152
2000-08-04,25742571437
2000-08-07,27370114295
2000-08-08,27660171438
2000-08-09,27466800009
2000-08-10,27184800009
2000-08-11,26943085723
2000-08-14,26991428581
2000-08-15,26943085723
2000-08-16,26411314295
2000-08-17,26701371438
2000-08-18,27184800009
2000-08-21,28143600009
2000-08-22,29626114296
2000-08-23,29102400010
2000-08-24,30254571439
2000-08-25,30584914296
2000-08-28,29916171439
2000-08-29,29432742867
2000-08-30,30254571439
2000-08-31,29577771439
2000-09-01,30254571439
2000-09-05,30633257153
2000-09-06,31350342868
2000-09-07,29626114296
2000-09-08,27853542867
2000-09-11,28046914295
2000-09-12,28288628581
2000-09-13,28377257152
2000-09-14,28812342867
2000-09-15,27998571438
2000-09-18,27418457152
2000-09-19,26798057152
2000-09-20,27088114295
2000-09-21,27329828581
2000-09-22,27853542867
2000-09-25,27281485723
2000-09-26,27563485724
2000-09-27,26749714295
2000-09-28,27950228581
2000-09-29,27329828581
2000-10-02,27611828581
2000-10-03,28522285724
2000-10-04,29054057153
2000-10-05,28095257152
2000-10-06,27998571438
2000-10-09,28336971438
2000-10-10,27950228581
2000-10-11,27660171438
2000-10-12,26846400009
2000-10-13,26556342866
2000-10-16,27466800009
2000-10-17,27039771438
2000-10-18,25839257152
2000-10-19,27515142866
2000-10-20,35282228583
