,WBA
2000-01-03,28742784000
2000-01-04,27676000000
2000-01-05,27987984000
2000-01-06,27172800000
2000-01-07,27867216000
2000-01-10,28682400000
2000-01-11,29819632000
2000-01-12,30443600000
2000-01-13,30383216000
2000-01-14,29628416000
2000-01-18,29437200000
2000-01-19,30383216000
2000-01-20,30383216000
2000-01-21,30131616000
2000-01-24,29185600000
2000-01-25,28622016000
2000-01-26,29437200000
2000-01-27,29316432000
2000-01-28,28994384000
2000-01-31,28118816000
2000-02-01,28994384000
2000-02-02,29125216000
2000-02-03,29064832000
2000-02-04,29376816000
2000-02-07,29125216000
2000-02-08,30322832000
2000-02-09,30131616000
2000-02-10,30826032000
2000-02-11,29819632000
2000-02-14,30000784000
2000-02-15,28682400000
2000-02-16,27676000000
2000-02-17,27555232000
2000-02-18,26357616000
2000-02-22,26418000000
2000-02-23,26921200000
2000-02-24,26226784000
2000-02-25,26297232000
2000-02-28,26609216000
2000-02-29,25975184000
2000-03-01,25842729000
2000-03-02,24894927000
2000-03-03,24723516000
2000-03-06,24451275000
2000-03-07,22938825000
2000-03-08,25086504000
2000-03-09,25842729000
2000-03-10,24703350000
2000-03-13,25267998000
2000-03-14,25207500000
2000-03-15,26215800000
2000-03-16,27728250000
2000-03-17,28171902000
2000-03-20,28232400000
2000-03-21,28232400000
2000-03-22,28171902000
2000-03-23,27415677000
2000-03-24,28232400000
2000-03-27,26659452000
2000-03-28,26851029000
2000-03-29,26215800000
2000-03-30,25338579000
2000-03-31,25963725000
2000-04-03,25651152000
2000-04-04,26972025000
2000-04-05,27163602000
2000-04-06,26780448000
2000-04-07,26770365000
2000-04-10,27476175000
2000-04-11,27607254000
2000-04-12,28484475000
2000-04-13,28111404000
2000-04-14,26528373000
2000-04-17,27980325000
2000-04-18,27728250000
2000-04-19,27728250000
2000-04-20,28292898000
2000-04-24,28988625000
2000-04-25,29432277000
2000-04-26,29301198000
2000-04-27,28988625000
2000-04-28,28363479000
2000-05-01,28292898000
2000-05-02,29119704000
2000-05-03,26719950000
2000-05-04,26407377000
2000-05-05,26851029000
2000-05-08,28363479000
2000-05-09,28111404000
2000-05-10,28736550000
2000-05-11,29371779000
2000-05-12,28393728000
2000-05-15,28544973000
2000-05-16,28676052000
2000-05-17,28484475000
2000-05-18,28363479000
2000-05-19,28040823000
2000-05-22,27728250000
2000-05-23,27728250000
2000-05-24,27224100000
2000-05-25,28171902000
2000-05-26,28232400000
2000-05-30,28171902000
2000-05-31,28615554000
2000-06-01,29359600000
2000-06-02,29744312000
2000-06-05,29045756000
2000-06-06,28600300000
2000-06-07,27901744000
2000-06-08,28347200000
2000-06-09,29045756000
2000-06-12,28630672000
2000-06-13,28731912000
2000-06-14,29167244000
2000-06-15,29551956000
2000-06-16,29106500000
2000-06-19,29491212000
2000-06-20,28347200000
2000-06-21,28347200000
2000-06-22,28407944000
2000-06-23,28853400000
2000-06-26,29420344000
2000-06-27,30372000000
2000-06-28,30149272000
2000-06-29,30432744000
2000-06-30,32589155999
2000-07-03,32143700000
2000-07-05,30372000000
2000-07-06,32022212000
2000-07-07,32710644000
2000-07-10,33034612000
2000-07-11,33793912000
2000-07-12,33034612000
2000-07-13,31323656000
2000-07-14,31637500000
2000-07-17,31607128000
2000-07-18,31576756000
2000-07-19,31698244000
2000-07-20,32022212000
2000-07-21,32396800000
2000-07-24,31698244000
2000-07-25,31576756000
2000-07-26,31192044000
2000-07-27,32204444000
2000-07-28,32022212000
2000-07-31,31576756000
2000-08-01,31323656000
