,SLG
2000-01-03,538677008
2000-01-04,530911022
2000-01-05,526204364
2000-01-06,535617680
2000-01-07,554444312
2000-01-10,563857628
2000-01-11,566916956
2000-01-12,568328953
2000-01-13,574682941
2000-01-14,559150970
2000-01-18,562210298
2000-01-19,554444312
2000-01-20,560562967
2000-01-21,557503640
2000-01-24,551149651
2000-01-25,548090324
2000-01-26,551149651
2000-01-27,551149651
2000-01-28,549737654
2000-01-31,543383666
2000-02-01,545030996
2000-02-02,543383666
2000-02-03,549737654
2000-02-04,557503640
2000-02-07,555856309
2000-02-08,565269625
2000-02-09,566916956
2000-02-10,562210298
2000-02-11,557503640
2000-02-14,540324338
2000-02-15,545030996
2000-02-16,538677008
2000-02-17,551149651
2000-02-18,552796982
2000-02-22,565269625
2000-02-23,565269625
2000-02-24,569976283
2000-02-25,576330272
2000-02-28,576330272
2000-02-29,579389599
2000-03-01,585508255
2000-03-02,577742269
2000-03-03,577742269
2000-03-06,577742269
2000-03-07,557503640
2000-03-08,560562967
2000-03-09,557503640
2000-03-10,549737654
2000-03-13,549737654
2000-03-14,543383666
2000-03-15,532558352
2000-03-16,565269625
2000-03-17,574682941
2000-03-20,574682941
2000-03-21,565269625
2000-03-22,584096257
2000-03-23,590214913
2000-03-24,590214913
2000-03-27,594921571
2000-03-28,599628229
2000-03-29,610688875
2000-03-30,596568901
2000-03-31,595690498
2000-04-03,598761068
2000-04-04,590966545
2000-04-05,603485021
2000-04-06,612932927
2000-04-07,612932927
2000-04-10,609626160
2000-04-11,612932927
2000-04-12,612932927
2000-04-13,606555590
2000-04-14,625451403
2000-04-17,614350113
2000-04-18,620727450
2000-04-19,631592542
2000-04-20,617420683
2000-04-24,622144636
2000-04-25,625451403
2000-04-26,626868589
2000-04-27,639387065
2000-04-28,644111018
2000-05-01,647417786
2000-05-02,645764402
2000-05-03,642693832
2000-05-04,647417786
2000-05-05,651905541
2000-05-08,641040449
2000-05-09,641040449
2000-05-10,623798020
2000-05-11,637969879
2000-05-12,637969879
2000-05-15,645764402
2000-05-16,642693832
2000-05-17,637969879
2000-05-18,633245926
2000-05-19,630175356
2000-05-22,628521973
2000-05-23,623798020
2000-05-24,598761068
2000-05-25,608208974
2000-05-26,611279544
2000-05-30,612932927
2000-05-31,608208974
2000-06-01,609626160
2000-06-02,620727450
2000-06-05,619074066
2000-06-06,620727450
2000-06-07,620727450
2000-06-08,626868589
2000-06-09,625451403
2000-06-12,625451403
2000-06-13,626868589
2000-06-14,645764402
2000-06-15,642693832
2000-06-16,636316496
2000-06-19,650488355
2000-06-20,656629494
2000-06-21,650488355
2000-06-22,653558925
2000-06-23,661353448
2000-06-26,669147970
2000-06-27,670801354
2000-06-28,664660215
2000-06-29,681902644
2000-06-30,674437701
2000-07-03,686082327
2000-07-05,686082327
2000-07-06,689171718
2000-07-07,684418809
2000-07-10,682755291
2000-07-11,684418809
2000-07-12,686082327
2000-07-13,686082327
2000-07-14,693924626
2000-07-17,701766925
2000-07-18,695350498
2000-07-19,681329419
2000-07-20,697014016
2000-07-21,700103407
2000-07-24,706519833
2000-07-25,723867949
2000-07-26,744305455
2000-07-27,747394845
2000-07-28,761653571
2000-07-31,749058363
2000-08-01,749058363
2000-08-02,734799638
2000-08-03,720778558
2000-08-04,726957339
2000-08-07,719115040
2000-08-08,726957339
2000-08-09,714362132
2000-08-10,709609224
2000-08-11,712698614
2000-08-14,714362132
2000-08-15,723867949
2000-08-16,734799638
2000-08-17,738126674
2000-08-18,719115040
2000-08-21,712698614
2000-08-22,716025650
2000-08-23,707945706
2000-08-24,703430443
2000-08-25,692261108
2000-08-28,673249474
2000-08-29,673249474
2000-08-30,676576510
2000-08-31,676576510
2000-09-01,690597590
2000-09-05,681329419
2000-09-06,682755291
2000-09-07,686082327
2000-09-08,686082327
2000-09-11,693924626
2000-09-12,690597590
2000-09-13,698677534
2000-09-14,704856315
2000-09-15,701766925
2000-09-18,700103407
2000-09-19,703430443
2000-09-20,700103407
2000-09-21,698677534
2000-09-22,698677534
2000-09-25,698677534
2000-09-26,707945706
2000-09-27,716025650
2000-09-28,719115040
2000-09-29,707945706
2000-10-02,706210858
2000-10-03,693591446
2000-10-04,680972034
2000-10-05,684067362
2000-10-06,688829404
2000-10-09,676209992
2000-10-10,680972034
2000-10-11,670019337
2000-10-12,670019337
2000-10-13,680972034
2000-10-16,668352622
2000-10-17,670019337
2000-10-18,666685908
2000-10-19,666685908
2000-10-20,663590580
2000-10-23,650971168
2000-10-24,638351756
2000-10-25,643113799
2000-10-26,676209992
2000-10-27,679305319
2000-10-30,668352622
2000-10-31,677876707
2000-11-01,674543277
2000-11-02,680972034
2000-11-03,665257295
2000-11-06,679305319
2000-11-07,685734076
2000-11-08,690496119
2000-11-09,700020203
2000-11-10,698353488
2000-11-13,700020203
2000-11-14,707877573
2000-11-15,704782245
2000-11-16,695258161
2000-11-17,688829404
2000-11-20,690496119
2000-11-21,682638749
2000-11-22,680972034
2000-11-24,698353488
2000-11-27,695258161
2000-11-28,696686773
2000-11-29,690496119
2000-11-30,690496119
2000-12-01,690496119
2000-12-04,695258161
2000-12-05,715734942
2000-12-06,712639615
2000-12-07,709306185
2000-12-08,723592312
2000-12-11,715734942
2000-12-12,709306185
2000-12-13,710972900
2000-12-14,714068227
2000-12-15,714068227
2000-12-18,720496984
2000-12-19,722163699
2000-12-20,710972900
2000-12-21,714068227
2000-12-22,712639615
2000-12-26,718830270
2000-12-27,726687639
2000-12-28,742640481
2000-12-29,707877573
2001-01-02,711748389
2001-01-03,730661313
2001-01-04,719648724
2001-01-05,703848054
2001-01-08,705284478
2001-01-09,699059972
2001-01-10,692596061
2001-01-11,679907644
2001-01-12,673683137
2001-01-16,672007308
2001-01-17,672007308
2001-01-18,672007308
2001-01-19,670331480
2001-01-22,672007308
2001-01-23,678231815
2001-01-24,672007308
2001-01-25,676795390
2001-01-26,687807979
2001-01-29,699538780
2001-01-30,704805670
2001-01-31,710072560
2001-02-01,708396731
2001-02-02,696665931
2001-02-05,704805670
2001-02-06,704805670
2001-02-07,707917923
2001-02-08,710551368
2001-02-09,707917923
2001-02-12,721563957
2001-02-13,715339450
2001-02-14,716536471
2001-02-15,713663622
2001-02-16,714142430
2001-02-20,708396731
2001-02-21,710072560
2001-02-22,700975204
2001-02-23,704087458
2001-02-26,718212300
2001-02-27,709354348
2001-02-28,713663622
2001-03-01,716536471
2001-03-02,718930512
2001-03-05,716775875
2001-03-06,720606341
2001-03-07,727788464
2001-03-08,728267272
2001-03-09,729464292
2001-03-12,720845745
2001-03-13,719409320
2001-03-14,711748389
2001-03-15,700256992
2001-03-16,695229506
2001-03-19,691399040
2001-03-20,692596061
2001-03-21,684216917
2001-03-22,675358966
2001-03-23,683259301
2001-03-26,691399040
2001-03-27,691399040
2001-03-28,683738109
2001-03-29,684935130
2001-03-30,697623547
2001-04-02,699280506
2001-04-03,685597365
2001-04-04,674794886
2001-04-05,681756484
2001-04-06,665192682
2001-04-09,667833288
2001-04-10,664952627
2001-04-11,644787998
2001-04-12,649829155
2001-04-16,652469761
2001-04-17,652949872
2001-04-18,675515051
2001-04-19,670233839
2001-04-20,660631635
2001-04-23,660151525
2001-04-24,669753729
2001-04-25,693279128
2001-04-26,708642655
2001-04-27,726166677
2001-04-30,729287393
2001-05-01,731447889
2001-05-02,727126897
2001-05-03,717524693
2001-05-04,723766126
2001-05-07,719925244
2001-05-08,720885465
2001-05-09,718484914
2001-05-10,720885465
2001-05-11,711043206
2001-05-14,711043206
2001-05-15,713443757
2001-05-16,708642655
2001-05-17,712483536
2001-05-18,714403977
2001-05-21,732648165
2001-05-22,744650920
2001-05-23,732648165
2001-05-24,732648165
2001-05-25,727607008
2001-05-29,723766126
2001-05-30,717524693
2001-05-31,719925244
2001-06-01,722565851
2001-06-04,721365575
2001-06-05,731447889
2001-06-06,730247614
2001-06-07,731447889
2001-06-08,733128275
2001-06-11,741770259
2001-06-12,743450644
2001-06-13,749932132
2001-06-14,751852573
2001-06-15,745611140
2001-06-18,751852573
2001-06-19,751852573
2001-06-20,755213344
2001-06-21,758094005
2001-06-22,751852573
2001-06-25,751852573
2001-06-26,758094005
2001-06-27,751852573
2001-06-28,759534336
2001-06-29,772497311
2001-07-02,882328669
2001-07-03,891193510
2001-07-05,891193510
2001-07-06,892578641
2001-07-09,891470536
2001-07-10,883713801
2001-07-11,879558407
2001-07-12,888146221
2001-07-13,888423247
2001-07-16,894240799
2001-07-17,901443482
2001-07-18,901443482
2001-07-19,901720508
2001-07-20,860443594
2001-07-23,858781437
2001-07-24,860443594
2001-07-25,876511118
2001-07-26,885375958
2001-07-27,894517825
2001-07-30,887038116
2001-07-31,891193510
2001-08-01,891193510
2001-08-02,885652985
2001-08-03,886761090
2001-08-06,886207037
2001-08-07,882328669
2001-08-08,885375958
2001-08-09,892578641
2001-08-10,901443482
2001-08-13,896457009
2001-08-14,901443482
2001-08-15,910308323
2001-08-16,907261034
2001-08-17,904490771
2001-08-20,904490771
2001-08-21,903936719
2001-08-22,909200218
