,ZION
2000-01-03,4798474500
2000-01-04,4565899790
2000-01-05,4560712250
2000-01-06,4625556500
2000-01-07,4636796170
2000-01-10,4552930940
2000-01-11,4312574920
2000-01-12,4349752290
2000-01-13,4728442710
2000-01-14,4809714170
2000-01-18,4565899790
2000-01-19,4615181420
2000-01-20,4533909960
2000-01-21,4571951920
2000-01-24,4495868000
2000-01-25,4641983710
2000-01-26,4630744040
2000-01-27,4993007250
2000-01-28,4852943670
2000-01-31,5112320670
2000-02-01,5165925250
2000-02-02,5069091170
2000-02-03,5009434460
2000-02-04,4782047290
2000-02-07,4776859750
2000-02-08,5019809540
2000-02-09,4766484670
2000-02-10,4750057460
2000-02-11,4728442710
2000-02-14,4680025670
2000-02-15,4738817790
2000-02-16,4717203040
2000-02-17,4757838770
2000-02-18,4312574920
2000-02-22,4420648670
2000-02-23,4377419170
2000-02-24,4399033920
2000-02-25,4322950000
2000-02-28,4452638500
2000-02-29,4587514540
2000-03-01,4382606710
2000-03-02,4447450960
2000-03-03,3355473790
2000-03-06,3593236040
2000-03-07,3441932790
2000-03-08,3237024960
2000-03-09,3188607920
2000-03-10,3220597750
2000-03-13,3282848230
2000-03-14,3150565960
2000-03-15,3350286250
2000-03-16,3577673420
2000-03-17,3539631460
2000-03-20,3398703290
2000-03-21,3652892750
2000-03-22,3636465540
2000-03-23,3804196000
2000-03-24,3679695040
2000-03-27,3409942960
2000-03-28,3436745250
2000-03-29,3416859680
2000-03-30,3312244290
2000-03-31,3567982410
2000-04-03,3428280000
2000-04-04,3567982410
2000-04-05,3525128910
2000-04-06,3642547500
2000-04-07,3482275410
2000-04-10,3632262660
2000-04-11,3867956910
2000-04-12,3910810410
2000-04-13,4071082500
2000-04-14,3873099330
2000-04-17,3851672580
2000-04-18,3744538830
2000-04-19,3503702160
2000-04-20,3685401000
2000-04-24,3728254500
2000-04-25,3825103410
2000-04-26,3680258580
2000-04-27,3551698080
2000-04-28,3556840500
2000-05-01,3578267250
2000-05-02,3680258580
2000-05-03,3487417830
2000-05-04,3482275410
2000-05-05,3492560250
2000-05-08,3599694000
2000-05-09,3599694000
2000-05-10,3423137580
2000-05-11,3535413750
2000-05-12,3589409160
2000-05-15,3632262660
2000-05-16,3594551580
2000-05-17,3540556170
2000-05-18,3546555660
2000-05-19,3549126869
2000-05-22,3632262660
2000-05-23,3685401000
2000-05-24,3771108000
2000-05-25,3760823160
2000-05-26,3851672580
2000-05-30,4011087599
2000-05-31,3996517410
2000-06-01,4065940080
2000-06-02,4140505170
2000-06-05,4092509250
2000-06-06,3975090660
2000-06-07,4017944160
2000-06-08,3867956910
2000-06-09,3878241750
2000-06-12,3958806330
2000-06-13,3942522000
2000-06-14,3894526080
2000-06-15,3947664420
2000-06-16,3856815000
2000-06-19,4039370910
2000-06-20,4167931410
2000-06-21,4076224920
2000-06-22,4065940080
2000-06-23,4087366830
2000-06-26,4082224410
2000-06-27,4071082500
2000-06-28,4060797660
2000-06-29,3969091170
2000-06-30,3988254010
2000-07-03,4128177500
2000-07-05,4089937540
2000-07-06,4062995750
2000-07-07,4117748420
2000-07-10,4117748420
2000-07-11,4111664790
2000-07-12,4057781210
2000-07-13,4139475670
2000-07-14,4149904750
2000-07-17,3987384920
2000-07-18,3997814000
2000-07-19,3949144960
2000-07-20,4046483040
2000-07-21,4014326710
2000-07-24,3970872210
2000-07-25,3954359500
2000-07-26,3823996000
2000-07-27,3867450500
2000-07-28,3813566920
2000-07-31,3802268750
2000-08-01,3785756040
2000-08-02,3905690460
2000-08-03,3976086750
2000-08-04,4036053960
2000-08-07,3954359500
2000-08-08,3932632250
2000-08-09,3823996000
2000-08-10,3900475920
2000-08-11,3918726810
2000-08-14,3862235960
2000-08-15,3823996000
2000-08-16,3758814250
2000-08-17,3813566920
2000-08-18,3775326960
2000-08-21,3683203420
2000-08-22,3698847040
2000-08-23,3568483540
2000-08-24,3698847040
2000-08-25,3715359750
2000-08-28,3683203420
2000-08-29,3671905250
2000-08-30,3748385170
2000-08-31,3889177750
2000-09-01,3797054210
2000-09-05,3791839670
2000-09-06,3802268750
2000-09-07,3949144960
2000-09-08,3976086750
2000-09-11,4019541250
2000-09-12,4009112170
2000-09-13,3997814000
2000-09-14,3976086750
2000-09-15,3997814000
2000-09-18,3889177750
2000-09-19,3910905000
2000-09-20,3900475920
2000-09-21,3845723250
2000-09-22,3894392290
2000-09-25,3987384920
2000-09-26,4099497530
2000-09-27,4296780960
2000-09-28,4497540750
2000-09-29,4444526260
2000-10-02,4534130860
2000-10-03,4671796180
2000-10-04,4677091000
2000-10-05,4704447570
2000-10-06,4688563110
2000-10-09,4649734430
2000-10-10,4539425680
2000-10-11,4269389860
2000-10-12,4130842070
2000-10-13,4373521320
2000-10-16,4478535250
2000-10-17,4467945610
2000-10-18,4313513360
2000-10-19,4407055180
2000-10-20,4461768320
2000-10-23,4461768320
2000-10-24,4588844000
2000-10-25,4616200570
2000-10-26,4721214500
2000-10-27,4814756320
2000-10-30,5002722430
2000-10-31,5068907680
2000-11-01,4947126820
2000-11-02,5030079000
2000-11-03,5068907680
2000-11-06,5107736360
2000-11-07,5063612860
2000-11-08,5096264250
2000-11-09,5019489360
2000-11-10,4941832000
2000-11-13,4858879820
2000-11-14,4798871860
2000-11-15,4765338000
2000-11-16,4693857930
2000-11-17,4671796180
2000-11-20,4588844000
2000-11-21,4754748360
2000-11-22,4704447570
2000-11-24,4699152750
2000-11-27,4765338000
2000-11-28,4737981430
2000-11-29,4897708500
2000-11-30,4820933610
2000-12-01,4909180610
2000-12-04,4865057110
2000-12-05,5157154680
2000-12-06,5090969430
2000-12-07,5216280170
2000-12-08,5361005250
2000-12-11,5537499250
2000-12-12,5300114820
2000-12-13,5250696500
2000-12-14,5132445520
2000-12-15,5030079000
2000-12-18,5151859860
2000-12-19,5041551110
2000-12-20,5046845930
2000-12-21,5140387750
2000-12-22,5449252250
2000-12-26,5427190500
2000-12-27,5438662610
2000-12-28,5476608820
2000-12-29,5510142680
2001-01-02,5289525180
2001-01-03,5466019180
2001-01-04,5355710430
2001-01-05,5294820000
2001-01-08,5306292110
2001-01-09,5250696500
2001-01-10,5361005250
2001-01-11,5328353860
2001-01-12,5179216430
2001-01-16,5328353860
2001-01-17,5260403670
2001-01-18,5173921610
2001-01-19,5096264250
2001-01-22,5179216430
2001-01-23,5218045110
2001-01-24,5189806070
2001-01-25,5046845930
2001-01-26,5030079000
2001-01-29,5008017250
2001-01-30,4947126820
2001-01-31,4931242360
2001-02-01,4941832000
2001-02-02,4941832000
2001-02-05,4985955500
2001-02-06,4958598930
2001-02-07,5002722430
2001-02-08,5019489360
2001-02-09,5068907680
2001-02-12,5145682570
2001-02-13,5145682570
2001-02-14,5179216430
2001-02-15,5123620820
2001-02-16,5041551110
2001-02-20,5013312070
2001-02-21,4887118860
2001-02-22,4863292170
2001-02-23,4865057110
2001-02-26,4985955500
2001-02-27,5030079000
2001-02-28,5068907680
2001-03-01,5079497320
2001-03-02,5162449500
2001-03-05,5118326000
2001-03-06,5068907680
2001-03-07,5041551110
2001-03-08,4975365860
2001-03-09,4887118860
2001-03-12,4765338000
2001-03-13,4831523250
2001-03-14,4666501360
2001-03-15,4693857930
2001-03-16,4539425680
2001-03-19,4561487430
2001-03-20,4522658750
2001-03-21,4302041250
2001-03-22,4142314180
2001-03-23,4346164750
2001-03-26,4518246400
2001-03-27,4677091000
2001-03-28,4611788220
2001-03-29,4570312130
2001-03-30,4596786230
2001-04-02,4795344950
2001-04-03,4791658350
2001-04-04,4646959300
2001-04-05,4791658350
2001-04-06,4707788200
2001-04-09,4732672750
2001-04-10,4810091350
2001-04-11,4887509950
2001-04-12,4903178000
2001-04-16,4820229500
2001-04-17,4796266600
2001-04-18,4911472850
2001-04-19,5092116250
2001-04-20,5009167750
2001-04-23,4842349100
2001-04-24,4885666650
2001-04-25,4871841900
2001-04-26,4856173850
2001-04-27,4913316150
2001-04-30,4911472850
2001-05-01,4925297600
2001-05-02,5001794550
2001-05-03,4973223400
2001-05-04,5046033750
2001-05-07,5014697650
2001-05-08,4982439900
2001-05-09,4976910000
2001-05-10,4999951250
2001-05-11,4956633700
2001-05-14,4942808950
2001-05-15,4952947100
2001-05-16,5069075000
2001-05-17,5050642000
2001-05-18,5031287350
2001-05-21,4993499700
2001-05-22,5000872900
2001-05-23,4968615150
2001-05-24,4961241950
2001-05-25,4958477000
2001-05-29,4928984200
2001-05-30,4912394500
2001-05-31,4989813100
2001-06-01,5057093550
2001-06-04,5119765750
2001-06-05,5189811150
2001-06-06,5211930750
2001-06-07,5220225600
2001-06-08,5207322500
2001-06-11,5183359600
2001-06-12,5198106000
2001-06-13,5211930750
2001-06-14,5151101850
2001-06-15,5194419400
2001-06-18,5152023500
2001-06-19,5193497750
2001-06-20,5399947350
2001-06-21,5487504100
2001-06-22,5304095750
2001-06-25,5315155550
2001-06-26,5333588550
2001-06-27,5352021550
2001-06-28,5418380350
2001-06-29,5437735000
2001-07-02,5446977060
2001-07-03,5453438480
2001-07-05,5394362640
2001-07-06,5319594780
2001-07-09,5313133360
2001-07-10,5242980800
2001-07-11,5261442000
2001-07-12,5310364180
2001-07-13,5388824280
2001-07-16,5338979040
2001-07-17,5419285260
2001-07-18,5446054000
2001-07-19,5452515420
2001-07-20,5424823620
2001-07-23,5382362860
2001-07-24,5387901220
2001-07-25,5394362640
2001-07-26,5390670400
2001-07-27,5398977940
2001-07-30,5393439580
2001-07-31,5395285700
2001-08-01,5320517840
2001-08-02,5341748220
2001-08-03,5386978160
2001-08-06,5376824500
2001-08-07,5405439360
2001-08-08,5357440240
2001-08-09,5367593900
2001-08-10,5400824060
2001-08-13,5361132480
2001-08-14,5399901000
2001-08-15,5413746900
2001-08-16,5451592360
2001-08-17,5492207000
2001-08-20,5498668420
2001-08-21,5480207220
2001-08-22,5516206560
2001-08-23,5515283500
2001-08-24,5410977720
2001-08-27,5326056200
2001-08-28,5306671940
2001-08-29,5265134240
2001-08-30,5294672160
2001-08-31,5285441560
2001-09-04,5244826920
2001-09-05,5195904740
2001-09-06,5112829340
2001-09-07,5073137760
2001-09-10,4988216240
2001-09-17,4966062800
2001-09-18,4970678100
2001-09-19,4915294500
2001-09-20,4871910680
2001-09-21,4764835720
2001-09-24,4785143040
2001-09-25,4822065440
2001-09-26,4818373200
2001-09-27,4984524000
2001-09-28,4953139960
2001-10-01,4837490250
2001-10-02,4837490250
2001-10-03,4567769100
2001-10-04,4520821050
2001-10-05,4228086150
2001-10-08,4043055600
2001-10-09,4087242000
2001-10-10,4083559800
2001-10-11,4095526950
2001-10-12,4028326800
2001-10-15,4014518550
2001-10-16,4122222900
2001-10-17,4087242000
2001-10-18,3907734750
2001-10-19,4032008999
2001-10-22,4131428400
2001-10-23,4196787450
2001-10-24,4257543750
2001-10-25,4382738550
2001-10-26,4460064750
2001-10-29,4448097600
2001-10-30,4427845500
2001-10-31,4411275600
2001-11-01,4465588050
2001-11-02,4422322200
2001-11-05,4511615550
2001-11-06,4541993700
2001-11-07,4578815700
2001-11-08,4526344350
2001-11-09,4486760700
2001-11-12,4439812650
2001-11-13,4427845500
2001-11-14,4434289350
2001-11-15,4403911200
2001-11-16,4349598750
2001-11-19,4358804250
2001-11-20,4340393250
2001-11-21,4311856200
2001-11-23,4359724800
2001-11-26,4423242750
2001-11-27,4411275600
2001-11-28,4402990650
2001-11-29,4465588050
2001-11-30,4444415400
2001-12-03,4418640000
2001-12-04,4503330600
2001-12-05,4651539150
2001-12-06,4731627000
2001-12-07,4725183150
2001-12-10,4701248850
2001-12-11,4717818750
2001-12-12,4745435250
2001-12-13,4707692700
2001-12-14,4687440600
2001-12-17,4684678950
2001-12-18,4773972300
2001-12-19,4794224400
2001-12-20,4809873750
2001-12-21,4925863050
2001-12-24,4891802700
2001-12-26,4904690400
2001-12-27,4830125850
2001-12-28,4850377950
2001-12-31,4840251900
2002-01-02,4748196900
