,APH
2000-01-03,1393249401
2000-01-04,1340173233
2000-01-05,1316541070
2000-01-06,1280250240
2000-01-07,1293214094
2000-01-10,1353442275
2000-01-11,1379980359
2000-01-12,1579015988
2000-01-13,1552477904
2000-01-14,1592285030
2000-01-18,1632092156
2000-01-19,1618823114
2000-01-20,1605554072
2000-01-21,1552477904
2000-01-24,1539208862
2000-01-25,1486132695
2000-01-26,1512670778
2000-01-27,1486132695
2000-01-28,1419787485
2000-01-31,1406518443
2000-02-01,1393249401
2000-02-02,1433056527
2000-02-03,1433056527
2000-02-04,1459594611
2000-02-07,1433056527
2000-02-08,1446325569
2000-02-09,1406518443
2000-02-10,1379980359
2000-02-11,1379980359
2000-02-14,1698437365
2000-02-15,1552477904
2000-02-16,1592285030
2000-02-17,1565746946
2000-02-18,1512670778
2000-02-22,1472863653
2000-02-23,1499401736
2000-02-24,1539208862
2000-02-25,1539208862
2000-02-28,1552477904
2000-02-29,1658630240
2000-03-01,1778051617
2000-03-02,1711706407
2000-03-03,1698437365
2000-03-06,1711706407
2000-03-07,1632092156
2000-03-08,1579015988
2000-03-09,1592285030
2000-03-10,1791320659
2000-03-13,1724975449
2000-03-14,1671899281
2000-03-15,1791320659
2000-03-16,1831127784
2000-03-17,1963818204
2000-03-20,1924011078
2000-03-21,1924011078
2000-03-22,1950549162
2000-03-23,2030163413
2000-03-24,2003625329
2000-03-27,2136315749
2000-03-28,2069970539
2000-03-29,2003625329
2000-03-30,2003625329
2000-03-31,2126550220
2000-04-03,2086677404
2000-04-04,2099968343
2000-04-05,2166423037
2000-04-06,2299332426
2000-04-07,2458823692
2000-04-10,2432241815
2000-04-11,2432241815
2000-04-12,2392368998
2000-04-13,2352496181
2000-04-14,1927186137
2000-04-17,2020222709
2000-04-18,2325914304
2000-04-19,2392368998
2000-04-20,2352496181
2000-04-24,2286041487
2000-04-25,2498696509
2000-04-26,2418950876
2000-04-27,2498696509
2000-04-28,2644896837
2000-05-01,2485405570
2000-05-02,2445532753
2000-05-03,2139841159
2000-05-04,2272750548
2000-05-05,2445532753
2000-05-08,2485405570
2000-05-09,2232877731
2000-05-10,1980349893
2000-05-11,2099968343
2000-05-12,2153132098
2000-05-15,2086677404
2000-05-16,2046804587
2000-05-17,2033513648
2000-05-18,2139841159
2000-05-19,2046804587
2000-05-22,1967058954
2000-05-23,1927186137
2000-05-24,1874022382
2000-05-25,1847440504
2000-05-26,1860731443
2000-05-30,1993640832
2000-05-31,1900604259
2000-06-01,2046804587
2000-06-02,2126550220
2000-06-05,2046804587
2000-06-06,2060095526
2000-06-07,2086677404
2000-06-08,2073386465
2000-06-09,2139841159
2000-06-12,2073386465
2000-06-13,2060095526
2000-06-14,2033513648
2000-06-15,2352496181
2000-06-16,2379078059
2000-06-19,2432241815
2000-06-20,2432241815
2000-06-21,2605024020
2000-06-22,2591733081
2000-06-23,2578442142
2000-06-26,2551860264
2000-06-27,2458823692
2000-06-28,2618314959
2000-06-29,2525278387
2000-06-30,2759113598
2000-07-03,2825758854
2000-07-05,2759113598
2000-07-06,2732455496
2000-07-07,2852416956
2000-07-10,2852416956
2000-07-11,2839087905
2000-07-12,2919062212
2000-07-13,2839087905
2000-07-14,2825758854
2000-07-17,2852416956
2000-07-18,2732455496
2000-07-19,2812429803
2000-07-20,2745784547
2000-07-21,2679139291
2000-07-24,2692468342
2000-07-25,2652481188
2000-07-26,2585835932
2000-07-27,2319254908
2000-07-28,2172635345
2000-07-31,2185964396
2000-08-01,2225951550
2000-08-02,2225951550
2000-08-03,2132648192
2000-08-04,2239280601
2000-08-07,2345913011
2000-08-08,2372571113
2000-08-09,2385900164
2000-08-10,2399229216
2000-08-11,2332583960
2000-08-14,2372571113
2000-08-15,2452545420
2000-08-16,2519190676
2000-08-17,2572506881
2000-08-18,2585835932
2000-08-21,2652481188
2000-08-22,2585835932
2000-08-23,2585835932
2000-08-24,2585835932
2000-08-25,2572506881
2000-08-28,2545848779
2000-08-29,2599164984
2000-08-30,2732455496
2000-08-31,2665810240
2000-09-01,2772442649
2000-09-05,2772442649
2000-09-06,2705797393
2000-09-07,2719126444
2000-09-08,2625823086
2000-09-11,2705797393
2000-09-12,2652481188
2000-09-13,2572506881
2000-09-14,2585835932
2000-09-15,2505861625
