,BR
2007-03-22,2789880000
2007-03-23,2821804000
2007-03-26,2868996000
2007-03-27,2824580000
2007-03-28,2762120000
2007-03-29,2734360000
2007-03-30,2734360000
2007-04-02,2713841000
2007-04-03,2652637000
2007-04-04,2630381000
2007-04-05,2695758000
2007-04-09,2651246000
2007-04-10,2673502000
2007-04-11,2658201000
2007-04-12,2670720000
2007-04-13,2723578000
2007-04-16,2762526000
2007-04-17,2840422000
2007-04-18,2876588000
2007-04-19,2940574000
2007-04-20,2932228000
2007-04-23,2879370000
2007-04-24,2866851000
2007-04-25,2818166000
2007-04-26,2790346000
2007-04-27,2812602000
2007-04-30,2787564000
2007-05-01,2787564000
2007-05-02,2784782000
2007-05-03,2823730000
2007-05-04,2890498000
2007-05-07,2922491000
2007-05-08,2958657000
2007-05-09,2976740000
2007-05-10,2937792000
2007-05-11,2980913000
2007-05-14,2964221000
2007-05-15,2898844000
2007-05-16,2851550000
2007-05-17,2872415000
2007-05-18,2845986000
2007-05-21,2851550000
2007-05-22,2836249000
2007-05-23,2830685000
2007-05-24,2784782000
2007-05-25,2782000000
2007-05-29,2782000000
2007-05-30,2777827000
2007-05-31,2815384000
2007-06-01,2772263000
2007-06-04,2761135000
2007-06-05,2772263000
2007-06-06,2705495000
2007-06-07,2638727000
2007-06-08,2662374000
2007-06-11,2680457000
2007-06-12,2688803000
2007-06-13,2691585000
2007-06-14,2681848000
2007-06-15,2711059000
2007-06-18,2702713000
2007-06-19,2655419000
2007-06-20,2658201000
2007-06-21,2704104000
2007-06-22,2768090000
2007-06-25,2798692000
2007-06-26,2768090000
2007-06-27,2754180000
2007-06-28,2699931000
2007-06-29,2659592000
2007-07-02,2690194000
2007-07-03,2743052000
2007-07-05,2726360000
2007-07-06,2748616000
2007-07-09,2829294000
2007-07-10,2754180000
2007-07-11,2723578000
2007-07-12,2784782000
2007-07-13,2766699000
2007-07-16,2808429000
2007-07-17,2801474000
2007-07-18,2787564000
2007-07-19,2819557000
2007-07-20,2788955000
2007-07-23,2783391000
2007-07-24,2686021000
2007-07-25,2662374000
2007-07-26,2588651000
2007-07-27,2499627000
2007-07-30,2485717000
2007-07-31,2446769000
2007-08-01,2373046000
2007-08-02,2389738000
2007-08-03,2371655000
2007-08-06,2443987000
2007-08-07,2441205000
2007-08-08,2528838000
2007-08-09,2502409000
2007-08-10,2549703000
2007-08-13,2474589000
2007-08-14,2519101000
2007-08-15,2449551000
2007-08-16,2427295000
2007-08-17,2434250000
2007-08-20,2410603000
2007-08-21,2481544000
2007-08-22,2353572000
2007-08-23,2265939000
2007-08-24,2489890000
2007-08-27,2473198000
2007-08-28,2448160000
2007-08-29,2485717000
2007-08-30,2521883000
2007-08-31,2527447000
2007-09-04,2574741000
2007-09-05,2421731000
2007-09-06,2382783000
2007-09-07,2324361000
2007-09-10,2428686000
2007-09-11,2396693000
2007-09-12,2488499000
2007-09-13,2592824000
2007-09-14,2594215000
2007-09-17,2514928000
2007-09-18,2620644000
2007-09-19,2635945000
2007-09-20,2663765000
2007-09-21,2659592000
2007-09-24,2553876000
2007-09-25,2578914000
2007-09-26,2626208000
2007-09-27,2642900000
2007-09-28,2635945000
2007-10-01,2646700000
2007-10-02,2635556000
2007-10-03,2691276000
2007-10-04,2740031000
2007-10-05,2712171000
2007-10-08,2706599000
2007-10-09,2724708000
2007-10-10,2726101000
2007-10-11,2714957000
2007-10-12,2727494000
2007-10-15,2756747000
2007-10-16,2685704000
2007-10-17,2695455000
2007-10-18,2755354000
2007-10-19,2731673000
2007-10-22,2749782000
2007-10-23,2712171000
2007-10-24,2710778000
2007-10-25,2675953000
2007-10-26,2710778000
2007-10-29,2726101000
2007-10-30,2752568000
2007-10-31,2786000000
2007-11-01,2716350000
2007-11-02,2635556000
2007-11-05,2571478000
2007-11-06,2539439000
2007-11-07,2880724000
2007-11-08,3064600000
2007-11-09,3085495000
2007-11-12,2939230000
2007-11-13,3015845000
2007-11-14,2983806000
2007-11-15,3089674000
2007-11-16,3052063000
2007-11-19,3059028000
2007-11-20,3089674000
2007-11-21,2986592000
2007-11-23,2944802000
2007-11-26,2903012000
2007-11-27,2953160000
2007-11-28,3074351000
2007-11-29,3123106000
2007-11-30,3171861000
2007-12-03,3117534000
2007-12-04,3194149000
2007-12-05,3206686000
2007-12-06,3270764000
2007-12-07,3301410000
2007-12-10,3334842000
2007-12-11,3237332000
2007-12-12,3337628000
2007-12-13,3336235000
2007-12-14,3304196000
2007-12-17,3194149000
2007-12-18,3194149000
2007-12-19,3144001000
2007-12-20,3163503000
2007-12-21,3188577000
2007-12-24,3188577000
2007-12-26,3191363000
2007-12-27,3159324000
2007-12-28,3130071000
2007-12-31,3137957000
2008-01-02,3112775000
2008-01-03,3167336000
2008-01-04,3181326000
2008-01-07,3192518000
2008-01-08,3231690000
2008-01-09,3224695000
2008-01-10,3265266000
2008-01-11,3290448000
2008-01-14,3261069000
2008-01-15,3199513000
2008-01-16,3170134000
2008-01-17,3114174000
2008-01-18,3126765000
2008-01-22,3047022000
2008-01-23,3019041999
2008-01-24,3132361000
2008-01-25,3137957000
2008-01-28,3073603000
2008-01-29,3049820000
2008-01-30,2956087000
2008-01-31,3030234000
2008-02-01,3150548000
2008-02-04,3059613000
2008-02-05,3072204000
2008-02-06,3217700000
2008-02-07,3009249000
2008-02-08,3026037000
2008-02-11,3014845000
2008-02-12,2968678000
2008-02-13,2965880000
2008-02-14,2823182000
2008-02-15,2804995000
2008-02-19,2698671000
2008-02-20,2722454000
2008-02-21,2660898000
2008-02-22,2742040000
2008-02-25,2653903000
2008-02-26,2867950000
2008-02-27,2768621000
2008-02-28,2788207000
2008-02-29,2679085000
2008-03-03,2778414000
2008-03-04,2733646000
2008-03-05,2754631000
2008-03-06,2604938000
2008-03-07,2662297000
2008-03-10,2581155000
2008-03-11,2609135000
2008-03-12,2623125000
2008-03-13,2588150000
2008-03-14,2511205000
2008-03-17,2389491999
2008-03-18,2455245000
2008-03-19,2441255000
2008-03-20,2548978000
2008-03-24,2508407000
2008-03-25,2525195000
2008-03-26,2523796000
2008-03-27,2507008000
2008-03-28,2479028000
2008-03-31,2471040000
2008-04-01,2597400000
2008-04-02,2608631999
2008-04-03,2614248000
2008-04-04,2588976000
2008-04-07,2572128000
2008-04-08,2372760000
2008-04-09,2410668000
2008-04-10,2412072000
2008-04-11,2353104000
2008-04-14,2386800000
2008-04-15,2469636000
2008-04-16,2527200000
2008-04-17,2520180000
2008-04-18,2518776000
2008-04-21,2522988000
2008-04-22,2448576000
2008-04-23,2483676000
2008-04-24,2473848000
2008-04-25,2544048000
2008-04-28,2594592000
2008-04-29,2661984000
2008-04-30,2614248000
2008-05-01,2653560000
2008-05-02,2667600000
2008-05-05,2590380000
2008-05-06,2593188000
2008-05-07,2607228000
2008-05-08,2782728000
2008-05-09,2751840000
2008-05-12,2788344000
2008-05-13,2944188000
2008-05-14,3012984000
2008-05-15,2991924000
2008-05-16,3043872000
2008-05-19,3081780000
2008-05-20,3085992000
2008-05-21,3129516000
2008-05-22,3171636000
2008-05-23,3126708000
2008-05-27,3076164000
2008-05-28,3177252000
2008-05-29,3147768000
2008-05-30,3164616000
2008-06-02,3139344000
2008-06-03,3171636000
2008-06-04,3137940000
2008-06-05,3215160000
2008-06-06,3139344000
2008-06-09,3177252000
2008-06-10,3128112000
2008-06-11,3125304000
2008-06-12,3144960000
2008-06-13,3143556000
2008-06-16,3166020000
2008-06-17,3178656000
2008-06-18,3135131999
2008-06-19,3184272000
2008-06-20,3188484000
2008-06-23,3166020000
2008-06-24,3126708000
2008-06-25,3173040000
2008-06-26,3112668000
2008-06-27,3035448000
2008-06-30,2955420000
2008-07-01,2931552000
2008-07-02,2862756000
2008-07-03,2876796000
2008-07-07,2777112000
2008-07-08,2913300000
2008-07-09,2886624000
2008-07-10,2866968000
2008-07-11,2834676000
2008-07-14,2770092000
2008-07-15,2753244000
2008-07-16,2831868000
2008-07-17,2924531999
2008-07-18,2944188000
2008-07-21,2918916000
2008-07-22,3010176000
2008-07-23,2973672000
2008-07-24,2904876000
2008-07-25,2907684000
2008-07-28,2886624000
2008-07-29,2972268000
2008-07-30,2987712000
2008-07-31,2906280000
2008-08-01,2889431999
2008-08-04,2864160000
2008-08-05,2861352000
2008-08-06,2802384000
2008-08-07,2803788000
2008-08-08,2836080000
2008-08-11,2883816000
2008-08-12,2841696000
2008-08-13,2809404000
2008-08-14,2805192000
2008-08-15,2774304000
2008-08-18,2723760000
2008-08-19,2678831999
2008-08-20,2730780000
2008-08-21,2761668000
2008-08-22,2761668000
2008-08-25,2688660000
2008-08-26,2786940000
2008-08-27,2816424000
2008-08-28,2902068000
2008-08-29,2803788000
2008-09-02,2743416000
2008-09-03,2791152000
2008-09-04,2684448000
2008-09-05,2691468000
2008-09-08,2739204000
2008-09-09,2618460000
2008-09-10,2595996000
2008-09-11,2499120000
2008-09-12,2530008000
2008-09-15,2393820000
2008-09-16,2367144000
2008-09-17,2216916000
2008-09-18,2253420000
2008-09-19,2444364000
2008-09-22,2367144000
2008-09-23,2312388000
2008-09-24,2336256000
2008-09-25,2309580000
2008-09-26,2299752000
2008-09-29,2120040000
2008-09-30,2157678000
2008-10-01,2079166000
2008-10-02,2046920000
2008-10-03,1990840000
2008-10-06,1892700000
2008-10-07,1816992000
2008-10-08,1774932000
2008-10-09,1661370000
2008-10-10,1592672000
2008-10-13,1800168000
2008-10-14,1751098000
2008-10-15,1633330000
2008-10-16,1643144000
2008-10-17,1650154000
2008-10-20,1713244000
2008-10-21,1636134000
2008-10-22,1599682000
2008-10-23,1535190000
2008-10-24,1455276000
2008-10-27,1400598000
2008-10-28,1543602000
2008-10-29,1584260000
2008-10-30,1668380000
2008-10-31,1696420000
2008-11-03,1731470000
2008-11-04,1766520000
2008-11-05,1680998000
2008-11-06,1793157999
2008-11-07,1797364000
2008-11-10,1818394000
2008-11-11,1734274000
2008-11-12,1627722000
2008-11-13,1706234000
2008-11-14,1556220000
2008-11-17,1549210000
2008-11-18,1530984000
2008-11-19,1502944000
2008-11-20,1362744000
2008-11-21,1420226000
2008-11-24,1431442000
2008-11-25,1532386000
2008-11-26,1567436000
2008-11-28,1598280000
2008-12-01,1411814000
2008-12-02,1556220000
2008-12-03,1601084000
2008-12-04,1543602000
2008-12-05,1717450000
2008-12-08,1739882000
2008-12-09,1760912000
2008-12-10,1710440000
2008-12-11,1689410000
2008-12-12,1693616000
2008-12-15,1669782000
2008-12-16,1772128000
2008-12-17,1780540000
2008-12-18,1748294000
2008-12-19,1825404000
2008-12-22,1714646000
2008-12-23,1679596000
2008-12-24,1731470000
2008-12-26,1770726000
2008-12-29,1756706000
2008-12-30,1763716000
2008-12-31,1749330000
2009-01-02,1982295000
2009-01-05,1946025000
2009-01-06,1989270000
2009-01-07,1912545000
2009-01-08,1920915000
