,WU
2006-09-20,13979370000
2006-09-21,13536308000
2006-09-22,13253665000
2006-09-25,13773117000
2006-09-26,14514100000
2006-09-27,14819659999
2006-09-28,14796743000
2006-09-29,14613407000
2006-10-02,15179632000
2006-10-03,15364000000
2006-10-04,15194996000
2006-10-05,15087448000
2006-10-06,15033674000
2006-10-09,15156586000
2006-10-10,15141222000
2006-10-11,14833941999
2006-10-12,14618846000
2006-10-13,14495934000
2006-10-16,14396067999
2006-10-17,14273155999
2006-10-18,14595800000
2006-10-19,14979900000
2006-10-20,15079766000
2006-10-23,15041355999
2006-10-24,15325590000
2006-10-25,16785170000
2006-10-26,17161588000
2006-10-27,16861990000
2006-10-30,16984902000
2006-10-31,16938810000
2006-11-01,16877354000
2006-11-02,16769805999
2006-11-03,16547028000
2006-11-06,17077086000
2006-11-07,17284500000
2006-11-08,17376684000
2006-11-09,17883696000
2006-11-10,17538006000
2006-11-13,17852968000
2006-11-14,17991244000
2006-11-15,17937470000
2006-11-16,17760784000
2006-11-17,17422776000
2006-11-20,17292182000
2006-11-21,17322910000
2006-11-22,17315228000
2006-11-24,17176952000
2006-11-27,16785170000
2006-11-28,16608484000
2006-11-29,17023312000
2006-11-30,17514960000
2006-12-01,17553370000
2006-12-04,18052700000
2006-12-05,18528984000
2006-12-06,18014290000
2006-12-07,18367662000
2006-12-08,18321570000
2006-12-11,18106474000
2006-12-12,17899060000
2006-12-13,17545688000
2006-12-14,17491914000
2006-12-15,17660918000
2006-12-18,17576416000
2006-12-19,17322910000
2006-12-20,17199998000
2006-12-21,17069404000
2006-12-22,16885036000
2006-12-26,16992584000
2006-12-27,17284500000
2006-12-28,17169270000
2006-12-29,17223044000
2007-01-03,17445822000
2007-01-04,17599462000
2007-01-05,17153905999
2007-01-08,16869672000
2007-01-09,17092450000
2007-01-10,17253772000
2007-01-11,17392048000
2007-01-12,17507278000
2007-01-16,17054040000
2007-01-17,16685304000
2007-01-18,16593120000
2007-01-19,16447162000
2007-01-22,16155246000
2007-01-23,16746760000
2007-01-24,16439479999
2007-01-25,16185974000
2007-01-26,16086108000
2007-01-29,16278158000
2007-01-30,16685304000
2007-01-31,17161588000
2007-02-01,18091110000
2007-02-02,17683964000
2007-02-05,17553370000
2007-02-06,17307546000
2007-02-07,17322910000
2007-02-08,16977220000
2007-02-09,16746760000
2007-02-12,16877354000
2007-02-13,16869672000
2007-02-14,17146224000
2007-02-15,17269136000
2007-02-16,17015629999
2007-02-20,17023312000
2007-02-21,17007948000
2007-02-22,16746760000
2007-02-23,16815898000
2007-02-26,17184634000
2007-02-27,16631529999
2007-02-28,16646894000
2007-03-01,16447162000
2007-03-02,16193655999
2007-03-05,16278158000
2007-03-06,16800534000
2007-03-07,16408752000
2007-03-08,16447162000
2007-03-09,16239748000
2007-03-12,16554710000
2007-03-13,16262794000
2007-03-14,16339614000
2007-03-15,16762124000
2007-03-16,16600802000
2007-03-19,16769805999
2007-03-20,16523982000
2007-03-21,16785170000
2007-03-22,16654576000
2007-03-23,17161588000
2007-03-26,17384366000
2007-03-27,17376684000
2007-03-28,17246090000
2007-03-29,17061722000
2007-03-30,16861990000
2007-04-02,16963264000
2007-04-03,17192704000
2007-04-04,17284480000
2007-04-05,17490976000
2007-04-09,17605696000
2007-04-10,17720416000
2007-04-11,17689824000
2007-04-12,17452736000
2007-04-13,17192704000
2007-04-16,17246240000
2007-04-17,17498624000
2007-04-18,17468032000
2007-04-19,17712768000
2007-04-20,17789248000
2007-04-23,17475680000
2007-04-24,17536864000
2007-04-25,16512032000
2007-04-26,16588512000
2007-04-27,16603808000
2007-04-30,16099040000
2007-05-01,15961376000
2007-05-02,16014912000
2007-05-03,16450848000
2007-05-04,16473792000
2007-05-07,16550272000
2007-05-08,16320832000
2007-05-09,16427904000
2007-05-10,16183168000
2007-05-11,16427904000
2007-05-14,16221408000
2007-05-15,16152576000
2007-05-16,16351424000
2007-05-17,16236704000
2007-05-18,16550272000
2007-05-21,16642048000
2007-05-22,16534976000
2007-05-23,16894432000
2007-05-24,16550272000
2007-05-25,17039744000
2007-05-29,16741472000
2007-05-30,17055040000
2007-05-31,17169760000
2007-06-01,17200352000
2007-06-04,16963264000
2007-06-05,16947968000
2007-06-06,16955616000
2007-06-07,16687936000
2007-06-08,16947968000
2007-06-11,17399200000
2007-06-12,17146816000
2007-06-13,17513920000
2007-06-14,17636288000
2007-06-15,17506272000
2007-06-18,17353312000
2007-06-19,17169760000
2007-06-20,16221408000
2007-06-21,16091392000
2007-06-22,16037856000
2007-06-25,15839008000
2007-06-26,15640160000
2007-06-27,15861951999
2007-06-28,15693696000
2007-06-29,15930783999
2007-07-02,15801450000
2007-07-03,15702975000
2007-07-05,15521174999
2007-07-06,15384824999
2007-07-09,15240900000
2007-07-10,15665100000
2007-07-11,15710549999
2007-07-12,15839325000
2007-07-13,15649950000
2007-07-16,15634800000
2007-07-17,15521174999
2007-07-18,15407550000
2007-07-19,15528750000
2007-07-20,15657525000
2007-07-23,15680250000
2007-07-24,16240800000
2007-07-25,16233225000
2007-07-26,15816600000
2007-07-27,15293925000
2007-07-30,15339375000
2007-07-31,15112125000
2007-08-01,14983350000
2007-08-02,14983350000
2007-08-03,14778825000
2007-08-06,15256050000
2007-08-07,15316650000
2007-08-08,15543900000
2007-08-09,15104550000
2007-08-10,14877300000
2007-08-13,14771250000
2007-08-14,14392500000
2007-08-15,14331900000
2007-08-16,13907700000
2007-08-17,14187975000
2007-08-20,14036475000
2007-08-21,14384924999
2007-08-22,14793975000
2007-08-23,14854575000
2007-08-24,15036375000
2007-08-27,14718225000
2007-08-28,14316749999
2007-08-29,14498550000
2007-08-30,14210700000
2007-08-31,14263724999
2007-09-04,15225750000
2007-09-05,15051525000
2007-09-06,15074249999
2007-09-07,14680350000
2007-09-10,14634900000
2007-09-11,14990925000
2007-09-12,15096975000
2007-09-13,15225750000
2007-09-14,15248475000
2007-09-17,14975775000
2007-09-18,15286350000
2007-09-19,15172725000
2007-09-20,14877300000
2007-09-21,15468150000
2007-09-24,16028700000
2007-09-25,15952949999
2007-09-26,16240800000
2007-09-27,16278674999
2007-09-28,15884775000
2007-10-01,15740435999
2007-10-02,15688167000
2007-10-03,15650832000
2007-10-04,15620964000
2007-10-05,15591096000
