,JNJ
2000-01-03,128102546000
2000-01-04,123433153999
2000-01-05,124739472000
2000-01-06,129158718000
2000-01-07,134106050000
2000-01-10,130715182000
2000-01-11,131159886000
2000-01-12,129936950000
2000-01-13,129770186000
2000-01-14,130187096000
2000-01-18,126907403999
2000-01-19,127324314000
2000-01-20,125934614000
2000-01-21,124906236000
2000-01-24,116290096000
2000-01-25,118485822000
2000-01-26,116039950000
2000-01-27,111870850000
2000-01-28,117429650000
2000-01-31,119597582000
2000-02-01,117874353999
2000-02-02,118652586000
2000-02-03,115789803999
2000-02-04,114122164000
2000-02-07,113177168000
2000-02-08,114038782000
2000-02-09,111176000000
2000-02-10,108396600000
2000-02-11,107618368000
2000-02-14,107868514000
2000-02-15,110731296000
2000-02-16,110925853999
2000-02-17,110036446000
2000-02-18,107618368000
2000-02-22,109258214000
2000-02-23,105783964000
2000-02-24,102504272000
2000-02-25,98918846000
2000-02-28,101114572000
2000-02-29,100058400000
2000-03-01,101976186000
2000-03-02,102393096000
2000-03-03,102142950000
2000-03-06,97973850000
2000-03-07,93637986000
2000-03-08,98668700000
2000-03-09,101003396000
2000-03-10,98501936000
2000-03-13,97279000000
2000-03-14,101114572000
2000-03-15,106923518000
2000-03-16,110925853999
2000-03-17,110564532000
2000-03-20,110231003999
2000-03-21,111537322000
2000-03-22,113872018000
2000-03-23,111176000000
2000-03-24,99030022000
2000-03-27,96945472000
2000-03-28,100058400000
2000-03-29,98752082000
2000-03-30,98335172000
2000-03-31,97640322000
2000-04-03,107775790000
2000-04-04,114099750000
2000-04-05,115591250000
2000-04-06,111683520000
2000-04-07,110460490000
2000-04-10,113354000000
2000-04-11,116724790000
2000-04-12,114845500000
2000-04-13,113741790000
2000-04-14,109356779999
2000-04-17,115979040000
2000-04-18,121557250000
2000-04-19,122690790000
2000-04-20,121736230000
2000-04-24,125107020000
2000-04-25,125763279999
2000-04-26,123436540000
2000-04-27,123794500000
2000-04-28,123048750000
2000-05-01,123317220000
2000-05-02,125554470000
2000-05-03,124182290000
