,CL
2000-01-03,35998732000
2000-01-04,35050484000
2000-01-05,33859392000
2000-01-06,33790008000
2000-01-07,35813708000
2000-01-10,36785084000
2000-01-11,36970108000
2000-01-12,37224516000
2000-01-13,37478923999
2000-01-14,36611624000
2000-01-18,36426600000
2000-01-19,35559300000
2000-01-20,35813708000
2000-01-21,35455224000
2000-01-24,35085176000
2000-01-25,34472284000
2000-01-26,34796076000
2000-01-27,34877024000
2000-01-28,34402900000
2000-01-31,34264132000
2000-02-01,34472284000
2000-02-02,35455224000
2000-02-03,34692000000
2000-02-04,32529532000
2000-02-07,32598916000
2000-02-08,33928776000
2000-02-09,33639676000
2000-02-10,33246500000
2000-02-11,32309816000
2000-02-14,31222800000
2000-02-15,32194176000
2000-02-16,32020716000
2000-02-17,31188108000
2000-02-18,30679292000
2000-02-22,30286116000
2000-02-23,29707916000
2000-02-24,28366492000
2000-02-25,27903932000
2000-02-28,29488200000
2000-02-29,30170476000
2000-03-01,30644600000
2000-03-02,30424884000
2000-03-03,31731616000
2000-03-06,30540524000
2000-03-07,27036632000
2000-03-08,25440800000
2000-03-09,25440800000
2000-03-10,24723832000
2000-03-13,25082316000
2000-03-14,24897292000
2000-03-15,29962324000
2000-03-16,29638532000
2000-03-17,28875308000
2000-03-20,29060332000
2000-03-21,29095024000
2000-03-22,29233792000
2000-03-23,30713984000
2000-03-24,31442516000
2000-03-27,31326876000
2000-03-28,32888016000
2000-03-29,32633608000
2000-03-30,32483276000
2000-03-31,32174186657
2000-04-03,34525333323
2000-04-04,34628053323
2000-04-05,33349759990
2000-04-06,33669333323
2000-04-07,33851946656
2000-04-10,34388373323
2000-04-11,35735146656
2000-04-12,35381333323
2000-04-13,33669333323
2000-04-14,31489386657
2000-04-17,32881813323
2000-04-18,31535039990
2000-04-19,31774719990
2000-04-20,32596479990
2000-04-24,33452479990
2000-04-25,33772053323
2000-04-26,32916053323
2000-04-27,33486719990
2000-04-28,32596479990
2000-05-01,31455146657
2000-05-02,32025813323
2000-05-03,31671999990
2000-05-04,31923093324
2000-05-05,32596479990
2000-05-08,32881813323
2000-05-09,33669333323
2000-05-10,33201386656
2000-05-11,34342719989
2000-05-12,33578026656
2000-05-15,33817706656
2000-05-16,33132906656
2000-05-17,33418239990
2000-05-18,33703573323
2000-05-19,32493759990
2000-05-22,32276906657
2000-05-23,31923093324
2000-05-24,32311146657
2000-05-25,31957333324
2000-05-26,31820373324
2000-05-30,30884479990
2000-05-31,30028479991
2000-06-01,30427946657
2000-06-02,31101333324
2000-06-05,30279573324
2000-06-06,31135573324
2000-06-07,32527999990
2000-06-08,32242666657
2000-06-09,32459519990
2000-06-12,32779093323
2000-06-13,31706239990
2000-06-14,32596479990
2000-06-15,33383999990
2000-06-16,33030186657
2000-06-19,32881813323
2000-06-20,32744853323
2000-06-21,32527999990
2000-06-22,31957333324
2000-06-23,31706239990
2000-06-26,32242666657
2000-06-27,32493759990
2000-06-28,32276906657
2000-06-29,32391039990
2000-06-30,34411889357
2000-07-03,34411889357
2000-07-05,34090068081
2000-07-06,33802727655
2000-07-07,32860251060
2000-07-10,31998229783
2000-07-11,31389068081
2000-07-12,30458085103
2000-07-13,30492565954
2000-07-14,30929323400
2000-07-17,31572965953
2000-07-18,31572965953
2000-07-19,31354587230
2000-07-20,31825825528
2000-07-21,32538429783
2000-07-24,32147646804
2000-07-25,32366025528
2000-07-26,31929268081
2000-07-27,32400506379
2000-07-28,32182127656
2000-07-31,31998229783
2000-08-01,32687846804
2000-08-02,32503948932
2000-08-03,32400506379
