,RL
2000-01-03,1713352827
2000-01-04,1645565359
2000-01-05,1676020598
2000-01-06,1676020598
2000-01-07,1719247390
2000-01-10,1792929421
2000-01-11,1732018942
2000-01-12,1645565359
2000-01-13,1615110119
2000-01-14,1602338567
2000-01-18,1571883328
2000-01-19,1596444005
2000-01-20,1547322651
2000-01-21,1522761974
2000-01-24,1479535182
2000-01-25,1449079943
2000-01-26,1486412172
2000-01-27,1522761974
2000-01-28,1510972849
2000-01-31,1461851495
2000-02-01,1437290818
2000-02-02,1430413828
2000-02-03,1412730141
2000-02-04,1388169464
2000-02-07,1596444005
2000-02-08,1615110119
2000-02-09,1571883328
2000-02-10,1479535182
2000-02-11,1486412172
2000-02-14,1522761974
2000-02-15,1528656536
2000-02-16,1528656536
2000-02-17,1492306734
2000-02-18,1473640620
2000-02-22,1467746057
2000-02-23,1461851495
2000-02-24,1443185380
2000-02-25,1461851495
2000-02-28,1541428088
2000-02-29,1645565359
2000-03-01,1670126036
2000-03-02,1694686713
2000-03-03,1615110119
2000-03-06,1565988765
2000-03-07,1560094203
2000-03-08,1528656536
2000-03-09,1553217213
2000-03-10,1535533526
2000-03-13,1528656536
2000-03-14,1565988765
2000-03-15,1633776234
2000-03-16,1700581275
2000-03-17,1781140296
2000-03-20,1743808067
2000-03-21,1749702629
2000-03-22,1743808067
2000-03-23,1732018942
2000-03-24,1732018942
2000-03-27,1719247390
2000-03-28,1811595535
2000-03-29,1970748722
2000-03-30,1989414837
2000-03-31,1836156212
2000-04-03,1971938865
2000-04-04,1881643289
2000-04-05,1741830784
2000-04-06,1741830784
2000-04-07,1650564289
2000-04-10,1644738767
2000-04-11,1638913246
2000-04-12,1620465763
2000-04-13,1644738767
2000-04-14,1553472272
2000-04-17,1523373746
2000-04-18,1602018280
2000-04-19,1541821229
2000-04-20,1559297793
2000-04-24,1577745276
2000-04-25,1583570797
2000-04-26,1547646750
2000-04-27,1547646750
2000-04-28,1577745276
2000-05-01,1650564289
2000-05-02,1632116805
2000-05-03,1607843801
2000-05-04,1602018280
2000-05-05,1590367238
2000-05-08,1553472272
2000-05-09,1607843801
2000-05-10,1577745276
2000-05-11,1596192759
2000-05-12,1583570797
2000-05-15,1571919755
2000-05-16,1632116805
2000-05-17,1607843801
2000-05-18,1571919755
2000-05-19,1553472272
2000-05-22,1547646750
2000-05-23,1529199267
2000-05-24,1413659767
2000-05-25,1310742229
2000-05-26,1299091187
2000-05-30,1286469225
2000-05-31,1359288238
2000-06-01,1389386763
2000-06-02,1402008725
2000-06-05,1389386763
2000-06-06,1365113759
2000-06-07,1359288238
2000-06-08,1329189712
2000-06-09,1353462716
