,CBH
2017-06-28,183760740
2017-06-29,183760740
2017-06-30,184128261
2017-07-03,183944500
2017-07-05,184128261
2017-07-06,184495782
2017-07-07,184495782
2017-07-10,184679543
2017-07-11,185230825
2017-07-12,185965868
2017-07-13,186333390
2017-07-14,188906040
2017-07-17,187987237
2017-07-18,187803476
2017-07-19,186517151
2017-07-20,188354758
2017-07-21,190192365
2017-07-24,189273562
2017-07-25,186517151
2017-07-26,185782108
2017-07-27,185598347
2017-07-28,186517151
2017-07-31,186517151
2017-08-01,186333390
2017-08-02,185965868
2017-08-03,185598347
2017-08-04,186333390
2017-08-07,187803476
2017-08-08,187252194
2017-08-09,187068433
2017-08-10,186884672
2017-08-11,186884672
2017-08-14,184679543
2017-08-15,182106893
2017-08-16,182290654
2017-08-17,179534242
2017-08-18,179718003
2017-08-21,181188089
2017-08-22,181004328
2017-08-23,180085525
2017-08-24,180085525
2017-08-25,180269285
2017-08-28,181739371
2017-08-29,182290654
2017-08-30,181004328
2017-08-31,181923132
2017-09-01,182658175
2017-09-05,182841936
2017-09-06,184128261
2017-09-07,184128261
2017-09-08,183944500
2017-09-11,184495782
2017-09-12,184312022
2017-09-13,184128261
2017-09-14,184128261
2017-09-15,183760740
2017-09-18,182841936
2017-09-19,181923132
2017-09-20,181923132
2017-09-21,178982960
2017-09-22,180636807
2017-09-25,180269285
2017-09-26,181188089
2017-09-27,180453046
2017-09-28,182290654
2017-09-29,182841936
2017-10-02,183393218
2017-10-03,182474414
2017-10-04,181923132
2017-10-05,181739371
2017-10-06,181739371
2017-10-09,182474414
2017-10-10,183760740
2017-10-11,182658175
2017-10-12,183209457
2017-10-13,182474414
2017-10-16,180085525
2017-10-17,181004328
2017-10-18,181923132
2017-10-19,182474414
2017-10-20,180085525
2017-10-23,179901764
2017-10-24,178064157
2017-10-25,177512874
2017-10-26,177329114
2017-10-27,172367574
2017-10-30,168508598
2017-10-31,172918856
2017-11-01,174572703
2017-11-02,175123985
2017-11-03,176226549
2017-11-06,176777831
2017-11-07,175675267
2017-11-08,173837660
2017-11-09,172183813
2017-11-10,170897488
2017-11-13,170162445
2017-11-14,170162445
2017-11-15,166854751
2017-11-16,169059880
2017-11-17,169059880
2017-11-20,167222273
2017-11-21,168324837
2017-11-22,166854751
2017-11-24,167222273
2017-11-27,166487230
2017-11-28,166303469
2017-11-29,164098340
2017-11-30,163547058
2017-12-01,164098340
2017-12-04,164282101
2017-12-05,164282101
2017-12-06,163363297
2017-12-07,163730819
2017-12-08,164282101
2017-12-11,165568426
2017-12-12,167957316
2017-12-13,169978684
