,COP
2000-01-03,8763419720
2000-01-04,8595965840
2000-01-05,8438660679
2000-01-06,8727899200
2000-01-07,8727899200
2000-01-10,8702527400
2000-01-11,8692378680
2000-01-12,8519850440
2000-01-13,8535073520
2000-01-14,8464032480
2000-01-18,8595965840
2000-01-19,8519850440
2000-01-20,8281355520
2000-01-21,8255983720
2000-01-24,8073306760
2000-01-25,8169719600
2000-01-26,7966745200
2000-01-27,7834811840
2000-01-28,7713027200
2000-01-31,7905852880
2000-02-01,7870332360
2000-02-02,7758696440
2000-02-03,7616614360
2000-02-04,7545573320
2000-02-07,7738399000
2000-02-08,7545573320
2000-02-09,7373045080
2000-02-10,7347673280
2000-02-11,7241111720
2000-02-14,7276632240
2000-02-15,7398416880
2000-02-16,7641986160
2000-02-17,7641986160
2000-02-18,7494829720
2000-02-22,7555722040
2000-02-23,7266483520
2000-02-24,7012765520
2000-02-25,7134550160
2000-02-28,7180219400
2000-02-29,7373045080
2000-03-01,7484681000
2000-03-02,7362896360
2000-03-03,7373045080
2000-03-06,7444086120
2000-03-07,7834811840
2000-03-08,7819588760
2000-03-09,7784068240
2000-03-10,7687655400
2000-03-13,7626763080
2000-03-14,7626763080
2000-03-15,7738399000
2000-03-16,8342247840
2000-03-17,8012414440
2000-03-20,8037786240
2000-03-21,8413288879
2000-03-22,8230611919
2000-03-23,8245835000
2000-03-24,8306727320
2000-03-27,8316876040
2000-03-28,8342247840
2000-03-29,8595965840
2000-03-30,8824312040
2000-03-31,8946096680
2000-04-03,9001263840
2000-04-04,8930147760
2000-04-05,8833633080
2000-04-06,9016503000
2000-04-07,8919988320
2000-04-10,8843792520
2000-04-11,9077459640
2000-04-12,9280648440
2000-04-13,9295887600
2000-04-14,9473677800
2000-04-17,9113017680
2000-04-18,9087619080
2000-04-19,9234930960
2000-04-20,9209532360
2000-04-24,9488916960
2000-04-25,9585431640
2000-04-26,9585431640
2000-04-27,9473677800
2000-04-28,9184133760
2000-05-01,9377163120
2000-05-02,9367003680
2000-05-03,9341605080
2000-05-04,9463518360
2000-05-05,9524475000
2000-05-08,9570192480
2000-05-09,9560033040
2000-05-10,9560033040
2000-05-11,9763221840
2000-05-12,9707344920
2000-05-15,9814019040
2000-05-16,9935932320
2000-05-17,10103563080
2000-05-18,10286433000
2000-05-19,10296592440
2000-05-22,10540419000
2000-05-23,10479462360
2000-05-24,10550578440
2000-05-25,10565817600
2000-05-26,10382947680
2000-05-30,10672491720
2000-05-31,11083949040
2000-06-01,11038231560
2000-06-02,10575977040
2000-06-05,10489621800
2000-06-06,10662332280
2000-06-07,10636933680
2000-06-08,10550578440
2000-06-09,10540419000
2000-06-12,10763926680
2000-06-13,10865521080
2000-06-14,10829963040
2000-06-15,10636933680
2000-06-16,11007753240
2000-06-19,10601375640
2000-06-20,10540419000
2000-06-21,10687730880
2000-06-22,10489621800
2000-06-23,10550578440
2000-06-26,10489621800
2000-06-27,10347389640
2000-06-28,10174679160
2000-06-29,10093403640
2000-06-30,9814019040
2000-07-03,9912067200
2000-07-05,9182938800
2000-07-06,9743806800
2000-07-07,9850881600
2000-07-10,9876375600
2000-07-11,10325070000
2000-07-12,10141513200
2000-07-13,9937561200
2000-07-14,9957956400
2000-07-17,9912067200
2000-07-18,9957956400
2000-07-19,10019142000
2000-07-20,9937561200
2000-07-21,9692818800
2000-07-24,9305310000
2000-07-25,9351199200
2000-07-26,9279816000
2000-07-27,9570447600
2000-07-28,9692818800
2000-07-31,9871276800
2000-08-01,9815190000
2000-08-02,10156809600
2000-08-03,10335267600
2000-08-04,10263884400
2000-08-07,10376058000
2000-08-08,10467836400
2000-08-09,10580010000
2000-08-10,10789060800
2000-08-11,10605504000
2000-08-14,10845147600
2000-08-15,11028704400
2000-08-16,11222458800
2000-08-17,11609967600
2000-08-18,11370324000
2000-08-21,11451904800
2000-08-22,11625264000
2000-08-23,12099452400
2000-08-24,11829216000
2000-08-25,11987278800
2000-08-28,11915895600
2000-08-29,11926093200
2000-08-30,11803722000
2000-08-31,12022970400
2000-09-01,12232021200
2000-09-05,12293206800
2000-09-06,12354392400
