,THC
2000-01-03,7514213125
2000-01-04,7455661281
2000-01-05,7572765437
2000-01-06,8041183937
2000-01-07,8626707062
2000-01-10,8509602437
2000-01-11,8216840875
2000-01-12,8216840875
2000-01-13,8509602437
2000-01-14,8431533000
2000-01-18,8372980687
2000-01-19,8080219125
2000-01-20,8275393187
2000-01-21,7885045062
2000-01-24,7514213125
2000-01-25,7416626093
2000-01-26,7475178406
2000-01-27,7143382125
2000-01-28,7299521468
2000-01-31,7104347406
2000-02-01,7084829812
2000-02-02,7319039062
2000-02-03,7162899718
2000-02-04,7299521468
2000-02-07,7123864531
2000-02-08,7162899718
2000-02-09,6987242781
2000-02-10,6616411312
2000-02-11,6518824281
2000-02-14,6421236781
2000-02-15,6460271968
2000-02-16,6323649750
2000-02-17,6323649750
2000-02-18,6128475218
2000-02-22,6167510406
2000-02-23,5855231250
2000-02-24,5816196531
2000-02-25,5640539593
2000-02-28,5425847468
2000-02-29,5501212657
2000-03-01,5874508905
2000-03-02,6149569844
2000-03-03,6542513437
2000-03-06,6188864062
2000-03-07,6287099842
2000-03-08,6110275155
2000-03-09,6247805625
2000-03-10,6503219219
2000-03-13,6365688750
2000-03-14,6287099842
2000-03-15,6915810157
2000-03-16,7505225782
2000-03-17,7289106405
2000-03-20,7112281717
2000-03-21,7210517969
2000-03-22,6915810157
2000-03-23,6778279687
2000-03-24,6837221250
2000-03-27,6699690780
2000-03-28,6876515467
2000-03-29,7092634844
2000-03-30,7230164842
2000-03-31,7230164842
2000-04-03,7642756251
2000-04-04,7465931092
2000-04-05,7740991560
2000-04-06,8016052500
2000-04-07,7780286250
2000-04-10,7780286250
2000-04-11,8016052500
2000-04-12,8408996564
2000-04-13,8153582498
2000-04-14,7937464064
2000-04-17,7898169375
2000-04-18,7976757810
2000-04-19,7917816248
2000-04-20,8114288751
2000-04-24,8094640935
2000-04-25,8232171876
2000-04-26,8212524060
2000-04-27,8055347189
2000-04-28,8016052500
2000-05-01,7642756251
2000-05-02,7740991560
2000-05-03,7583814689
2000-05-04,7348047967
2000-05-05,7544520000
2000-05-08,7564166873
2000-05-09,7603461562
2000-05-10,7465931092
2000-05-11,7583814689
2000-05-12,7623108435
2000-05-15,8173230314
2000-05-16,7858874685
2000-05-17,7898169375
2000-05-18,8350055001
2000-05-19,8074994062
2000-05-22,7996405626
2000-05-23,8173230314
2000-05-24,8310760312
2000-05-25,8173230314
2000-05-26,8428643437
2000-05-30,8114288751
2000-05-31,8055347189
2000-06-01,8133935625
2000-06-02,7917816248
2000-06-05,8173230314
2000-06-06,8173230314
2000-06-07,8153582498
2000-06-08,7976757810
2000-06-09,7917816248
2000-06-12,7937464064
2000-06-13,8271465623
2000-06-14,8487585000
2000-06-15,8408996564
2000-06-16,8389348748
2000-06-19,8369701875
2000-06-20,8467938126
2000-06-21,8330407185
2000-06-22,8428643437
2000-06-23,8566173435
2000-06-26,8880529064
2000-06-27,8860881248
2000-06-28,8733175158
2000-06-29,8742998123
2000-06-30,8487585000
2000-07-03,8625114998
2000-07-05,8978764373
2000-07-06,8841234375
2000-07-07,8939470626
2000-07-10,8821587501
2000-07-11,8801939685
2000-07-12,8821587501
2000-07-13,8428643437
2000-07-14,8389348748
2000-07-17,8723351250
2000-07-18,8801939685
2000-07-19,8978764373
2000-07-20,8959117500
2000-07-21,8841234375
2000-07-24,8625114998
2000-07-25,8841234375
2000-07-26,8919822810
2000-07-27,9057353751
2000-07-28,9803946248
2000-07-31,9568179998
2000-08-01,9745004685
2000-08-02,9862887810
2000-08-03,9803946248
2000-08-04,9902182500
2000-08-07,9882535626
2000-08-08,9764652501
2000-08-09,9882535626
2000-08-10,9941477189
2000-08-11,10098654060
2000-08-14,10177243439
2000-08-15,9509238435
2000-08-16,9627121560
2000-08-17,9705710939
2000-08-18,9627121560
2000-08-21,9293120001
2000-08-22,9096647498
2000-08-23,9371708437
2000-08-24,9764652501
2000-08-25,9646769376
2000-08-28,9745004685
2000-08-29,9450296873
2000-08-30,9528886251
2000-08-31,9824299921
2000-09-01,9859084681
2000-09-05,9958470937
2000-09-06,10157242494
2000-09-07,9998225630
2000-09-08,10018102500
2000-09-11,10057857193
2000-09-12,10912575937
2000-09-13,11141163275
2000-09-14,10872821244
2000-09-15,11081531713
2000-09-18,11091470625
2000-09-19,11389628437
2000-09-20,11329996875
2000-09-21,11151102187
2000-09-22,11131225318
2000-09-25,11170979056
2000-09-26,11310120005
2000-09-27,11469136869
2000-09-28,11329996875
2000-09-29,11588399994
2000-10-02,12105207187
2000-10-03,12065452494
2000-10-04,12005820931
2000-10-05,12244347181
2000-10-06,12045575625
2000-10-09,11985944062
2000-10-10,12224470312
2000-10-11,12741277505
2000-10-12,12105207187
2000-10-13,12343733437
2000-10-16,12343733437
2000-10-17,12721399681
2000-10-18,12164838750
2000-10-19,12065452494
2000-10-20,12184715619
2000-10-23,11966067193
2000-10-24,12065452494
2000-10-25,12482873431
2000-10-26,12204593443
2000-10-27,11985944062
2000-10-30,12562382818
2000-10-31,12502751255
2000-11-01,11926312500
2000-11-02,11687786250
2000-11-03,11489014693
2000-11-06,11846804068
2000-11-07,12204593443
2000-11-08,12303978744
2000-11-09,12602136556
2000-11-10,12681645943
2000-11-13,12423241869
2000-11-14,12542504994
2000-11-15,12522628125
2000-11-16,12999680625
2000-11-17,13496609994
2000-11-20,12999680625
2000-11-21,12820785937
2000-11-22,12661768119
2000-11-24,12800909068
2000-11-27,12701522812
2000-11-28,13039435318
2000-11-29,13377346869
2000-11-30,13698783187
2000-12-01,13276353750
2000-12-04,13598204428
2000-12-05,13135544259
2000-12-06,12813692615
2000-12-07,12692998490
2000-12-08,12451610240
2000-12-11,13115427928
2000-12-12,12713114821
2000-12-13,12592420696
2000-12-14,12250453687
2000-12-15,12632651428
2000-12-18,13175774990
2000-12-19,13537857365
2000-12-20,13859709009
2000-12-21,13437279571
2000-12-22,13175774990
2000-12-26,13678667821
