,SUB
2008-11-07,8398651435
2008-11-10,8421709789
2008-11-11,8444185440
2008-11-12,8429076808
2008-11-13,7239793518
2008-11-14,8455839481
2008-11-17,8455839481
2008-11-18,8450844892
2008-11-19,8460834070
2008-11-20,8469990817
2008-11-21,8473320543
2008-11-24,8459169207
2008-11-25,8449180029
2008-11-26,8449180029
2008-11-28,8468325954
2008-12-01,8439190851
2008-12-02,8455007050
2008-12-03,8454174618
2008-12-04,8455839481
2008-12-05,8459169207
2008-12-08,8455839481
2008-12-09,8446682734
2008-12-10,8449180029
2008-12-11,8458336776
2008-12-12,8458336776
2008-12-15,8456671913
2008-12-16,8456671913
2008-12-17,8457504344
2008-12-18,8465828660
2008-12-19,8464996228
2008-12-22,8478315133
2008-12-23,8488304311
2008-12-24,8509115099
2008-12-26,8531590750
2008-12-29,8514942120
2008-12-30,8523266435
2008-12-31,8511612394
2009-01-02,8506617805
2009-01-05,8522434004
2009-01-06,8551569107
2009-01-07,8566552875
2009-01-08,8599850136
2009-01-09,8606509588
2009-01-12,8632314966
2009-01-13,9110963095
2009-01-14,8662282501
2009-01-15,8715558119
2009-01-16,9189211659
2009-01-20,8756347264
2009-01-21,8818779628
2009-01-22,8762174284
2009-01-23,8692250036
2009-01-26,8708066235
2009-01-27,8697244625
2009-01-28,8721385139
2009-01-29,8626487945
2009-01-30,8683093289
2009-02-02,8670606816
2009-02-03,8658120343
2009-02-04,8639806849
2009-02-05,8666444658
2009-02-06,8672271679
2009-02-09,8644801439
2009-02-10,8666444658
2009-02-11,8665612227
2009-02-12,8668941953
2009-02-13,8665612227
2009-02-17,8662282501
2009-02-18,8654790617
2009-02-19,8648131165
2009-02-20,8646466302
2009-02-23,8643136575
2009-02-24,8636477123
2009-02-25,8638141986
2009-02-26,8588196095
2009-02-27,8621493356
2009-03-02,8615666335
2009-03-03,8620660924
2009-03-04,8609839314
2009-03-05,8593190684
2009-03-06,8605677157
2009-03-09,8610671746
2009-03-10,8610671746
2009-03-11,8621493356
2009-03-12,8635644692
2009-03-13,8641471712
2009-03-16,8589028526
2009-03-17,8615666335
2009-03-18,8616498767
2009-03-19,8653958185
2009-03-20,8664779795
2009-03-23,8615666335
2009-03-24,8660617638
2009-03-25,8648963596
2009-03-26,8658952775
2009-03-27,8659785206
2009-03-30,8695579762
2009-03-31,8761341853
2009-04-01,8802963429
2009-04-02,8964455146
2009-04-03,8912011960
2009-04-06,8810455313
2009-04-07,8829601238
2009-04-08,8938649769
2009-04-09,8952801105
2009-04-13,8838757985
2009-04-14,8871222815
2009-04-15,8842087711
2009-04-16,8878714698
2009-04-17,8881211993
2009-04-20,8880379562
2009-04-21,8882876856
2009-04-22,8828768807
2009-04-23,8907017371
2009-04-24,8802130998
2009-04-27,8817947197
2009-04-28,8841255280
2009-04-29,8842087711
2009-04-30,8830433670
2009-05-01,8890368740
2009-05-04,8882044425
2009-05-05,8823774218
2009-05-06,8845417437
2009-05-07,8836260690
2009-05-08,8862066068
2009-05-11,8856239047
2009-05-12,8841255280
2009-05-13,8862898499
2009-05-14,8856239047
2009-05-15,8868725520
2009-05-18,8848747163
2009-05-19,8873720109
2009-05-20,8873720109
2009-05-21,8839590417
2009-05-22,8882876856
2009-05-26,8842920143
2009-05-27,8856239047
2009-05-28,8877882267
2009-05-29,8862066068
2009-06-01,8837925554
2009-06-02,8834595827
2009-06-03,8882044425
2009-06-04,8886206582
2009-06-05,8893698466
2009-06-08,8877882267
2009-06-09,8875384972
2009-06-10,8778822915
2009-06-11,8726379728
2009-06-12,8823774218
2009-06-15,8815449902
2009-06-16,8816282334
2009-06-17,8799633703
2009-06-18,8741363496
2009-06-19,8798801272
2009-06-22,8829601238
2009-06-23,8873720109
2009-06-24,8977774051
2009-06-25,8979438914
2009-06-26,8846249869
2009-06-29,8934487611
2009-06-30,8931990316
2009-07-01,8926995727
2009-07-02,8894530898
2009-07-06,8896195761
2009-07-07,8846249869
2009-07-08,8837925554
2009-07-09,8864563362
2009-07-10,8874552541
2009-07-13,8869557952
2009-07-14,8882044425
2009-07-15,8889536308
2009-07-16,8888703877
2009-07-17,8892866034
2009-07-20,8863730931
2009-07-21,8869557952
2009-07-22,8868725520
2009-07-23,8840422848
2009-07-24,8832930964
2009-07-27,8840422848
2009-07-28,8856239047
2009-07-29,8856239047
2009-07-30,8881211993
2009-07-31,8882044425
2009-08-03,8885374151
2009-08-04,8843752574
2009-08-05,8870390383
2009-08-06,8852909321
2009-08-07,8860401205
2009-08-10,8857071479
2009-08-11,8868725520
2009-08-12,8872887678
2009-08-13,8841255280
2009-08-14,8847914732
2009-08-17,8855406616
2009-08-18,8847082300
2009-08-19,8852076890
2009-08-20,8849579595
2009-08-21,8846249869
2009-08-24,8772995894
2009-08-25,8817947197
2009-08-26,8820444491
2009-08-27,8740531065
2009-08-28,8817114765
2009-08-31,8788812093
2009-09-01,8807125587
2009-09-02,8806293155
2009-09-03,8802963429
2009-09-04,8804628292
2009-09-08,8803795861
2009-09-09,8800466135
2009-09-10,8783817504
2009-09-11,8802963429
2009-09-14,8782152641
2009-09-15,8782152641
2009-09-16,8800466135
2009-09-17,8793806682
2009-09-18,8806293155
2009-09-21,8798801272
2009-09-22,8802963429
2009-09-23,8822109354
2009-09-24,8817947197
2009-09-25,8832930964
2009-09-28,8823774218
2009-09-29,8812952608
2009-09-30,8825439081
2009-10-01,8802963429
2009-10-02,8820444491
2009-10-05,8807125587
2009-10-06,8798801272
2009-10-07,8787979662
2009-10-08,8790476956
2009-10-09,8782152641
2009-10-12,8788812093
2009-10-13,8773828326
2009-10-14,8770498600
2009-10-15,8777990483
2009-10-16,8772163463
2009-10-19,8789644525
2009-10-20,8698909488
2009-10-21,8754682401
2009-10-22,8767168873
2009-10-23,8761341853
2009-10-26,8781320209
2009-10-27,8783817504
2009-10-28,8767168873
2009-10-29,8781320209
2009-10-30,8749687811
2009-11-02,8730541886
2009-11-03,8719720276
2009-11-04,8739698633
2009-11-05,8719720276
2009-11-06,8740531065
2009-11-09,8752185106
2009-11-10,8732206749
2009-11-11,8738033770
2009-11-12,8740531065
2009-11-13,8723882434
2009-11-16,8753017537
2009-11-17,8769666168
2009-11-18,8763839147
2009-11-19,8778822915
2009-11-20,8795471545
2009-11-23,8774660757
2009-11-24,8793806682
2009-11-25,8770498600
2009-11-27,8751352674
2009-11-30,8781320209
2009-12-01,8761341853
2009-12-02,8783817504
2009-12-03,8771331031
2009-12-04,8782985073
2009-12-07,8786314799
2009-12-08,8780487778
2009-12-09,8769666168
2009-12-10,8777990483
2009-12-11,8775493189
2009-12-14,8779655346
2009-12-15,8768001305
2009-12-16,8745525654
2009-12-17,8772163463
2009-12-18,8747190517
2009-12-21,8783817504
2009-12-22,8770498600
2009-12-23,8737201338
2009-12-24,8755514832
2009-12-28,8758012127
2009-12-29,8746358085
2009-12-30,8729709455
2009-12-31,8744693222
2010-01-04,8728044592
2010-01-05,8755514832
2010-01-06,8738033770
2010-01-07,8749687811
2010-01-08,8762174284
2010-01-11,8737201338
2010-01-12,8743028359
2010-01-13,8743860791
2010-01-14,8757179695
2010-01-15,8768001305
2010-01-19,8759676990
2010-01-20,8772163463
2010-01-21,8762174284
2010-01-22,8768833737
2010-01-25,8767168873
2010-01-26,8771331031
2010-01-27,8770498600
2010-01-28,8764671579
2010-01-29,8772995894
2010-02-01,8767168873
2010-02-02,8776325620
2010-02-03,8779655346
2010-02-04,8777990483
2010-02-05,8765504010
2010-02-08,8774660757
2010-02-09,8770498600
2010-02-10,8778822915
2010-02-11,8773828326
2010-02-12,8774660757
2010-02-16,8762174284
2010-02-17,8775493189
2010-02-18,8762174284
2010-02-19,8777990483
2010-02-22,8777158052
2010-02-23,8775493189
2010-02-24,8781320209
2010-02-25,8774660757
2010-02-26,8782152641
2010-03-01,8780487778
2010-03-02,8780487778
2010-03-03,8780487778
2010-03-04,8783817504
2010-03-05,8776325620
2010-03-08,8784649936
2010-03-09,8787147230
2010-03-10,8786314799
2010-03-11,8787979662
2010-03-12,8780487778
2010-03-15,8783817504
2010-03-16,8787147230
2010-03-17,8784649936
2010-03-18,8782985073
2010-03-19,8785482367
2010-03-22,8776325620
2010-03-23,8777990483
2010-03-24,8765504010
2010-03-25,8749687811
2010-03-26,8756347264
2010-03-29,8741363496
2010-03-30,8733871612
2010-03-31,8737201338
2010-04-01,8726379728
2010-04-05,8715558119
2010-04-06,8723882434
2010-04-07,8722217571
2010-04-08,8724714865
2010-04-09,8722217571
2010-04-12,8723050002
2010-04-13,8732206749
2010-04-14,8731374318
2010-04-15,8732206749
2010-04-16,8737201338
2010-04-19,8728044592
2010-04-20,8740531065
2010-04-21,8745525654
2010-04-22,8744693222
2010-04-23,8747190517
2010-04-26,8751352674
2010-04-27,8755514832
2010-04-28,8749687811
2010-04-29,8754682401
2010-04-30,8755514832
2010-05-03,8748022948
2010-05-04,8749687811
2010-05-05,8750520243
2010-05-06,8752185106
2010-05-07,8735536475
2010-05-10,8736368907
2010-05-11,8748855380
2010-05-12,8750520243
2010-05-13,8748855380
2010-05-14,8736368907
2010-05-17,8757179695
2010-05-18,8749687811
2010-05-19,8763839147
2010-05-20,8763839147
2010-05-21,8775493189
2010-05-24,8775493189
2010-05-25,8762174284
2010-05-26,8778822915
2010-05-27,8772163463
2010-05-28,8764671579
2010-06-01,8771331031
2010-06-02,8774660757
2010-06-03,8773828326
2010-06-04,8772163463
2010-06-07,8772995894
2010-06-08,8787979662
2010-06-09,8782985073
2010-06-10,8785482367
2010-06-11,8772995894
2010-06-14,8773828326
2010-06-15,8757179695
2010-06-16,8757179695
2010-06-17,8772995894
2010-06-18,8756347264
2010-06-21,8756347264
2010-06-22,8772995894
2010-06-23,8771331031
2010-06-24,8762174284
2010-06-25,8776325620
2010-06-28,8779655346
2010-06-29,8782985073
2010-06-30,8787147230
2010-07-01,8776325620
2010-07-02,8782985073
2010-07-06,8777990483
2010-07-07,8787979662
2010-07-08,8791309388
2010-07-09,8797968840
2010-07-12,8797968840
2010-07-13,8801298566
2010-07-14,8798801272
2010-07-15,8794639114
2010-07-16,8813785039
2010-07-19,8815449902
2010-07-20,8816282334
2010-07-21,8823774218
2010-07-22,8817114765
2010-07-23,8824606649
2010-07-26,8820444491
2010-07-27,8824606649
2010-07-28,8832930964
2010-07-29,8835428259
2010-07-30,8822109354
2010-08-02,8822941786
2010-08-03,8812120176
2010-08-04,8821276923
2010-08-05,8831266101
2010-08-06,8830433670
2010-08-09,8830433670
2010-08-10,8823774218
2010-08-11,8833763396
2010-08-12,8827103944
2010-08-13,8832098533
2010-08-16,8831266101
2010-08-17,8835428259
2010-08-18,8832930964
2010-08-19,8842087711
2010-08-20,8842920143
2010-08-23,8843752574
2010-08-24,8852076890
2010-08-25,8852909321
2010-08-26,8856239047
2010-08-27,8855406616
2010-08-30,8847914732
2010-08-31,8843752574
2010-09-01,8842920143
2010-09-02,8842920143
2010-09-03,8839590417
2010-09-07,8838757985
2010-09-08,8832098533
2010-09-09,8833763396
2010-09-10,8818779628
2010-09-13,8814617471
2010-09-14,8823774218
2010-09-15,8817947197
