,CSGP
2000-01-03,447575600
2000-01-04,461829600
2000-01-05,447575600
2000-01-06,441874000
2000-01-07,434747000
2000-01-10,437597800
2000-01-11,463255000
2000-01-12,478934400
2000-01-13,518845600
2000-01-14,541652000
2000-01-18,543077400
2000-01-19,563033000
2000-01-20,498890000
2000-01-21,550204400
2000-01-24,533099600
2000-01-25,531674200
2000-01-26,531674200
2000-01-27,524547200
2000-01-28,500315399
2000-01-31,460404200
2000-02-01,463255000
2000-02-02,461829600
2000-02-03,468956600
2000-02-04,497464600
2000-02-07,500315399
2000-02-08,514569400
2000-02-09,521696400
2000-02-10,528823400
2000-02-11,517420200
2000-02-14,496039200
2000-02-15,461829600
2000-02-16,460404200
2000-02-17,456128000
2000-02-18,439023200
2000-02-22,456128000
2000-02-23,517420200
2000-02-24,497464600
2000-02-25,500315399
2000-02-28,513144000
2000-02-29,518845600
2000-03-01,513144000
2000-03-02,520271000
2000-03-03,571585400
2000-03-06,598668000
2000-03-07,675639600
2000-03-08,651407800
2000-03-09,655684000
2000-03-10,684192000
2000-03-13,742633400
2000-03-14,691319000
2000-03-15,645706200
2000-03-16,705573000
2000-03-17,712700000
2000-03-20,704147600
2000-03-21,714125400
2000-03-22,681341200
2000-03-23,668512600
2000-03-24,655684000
2000-03-27,637153800
2000-03-28,584414000
2000-03-29,551629800
2000-03-30,528823400
2000-03-31,567927900
2000-04-03,566388800
2000-04-04,554076000
2000-04-05,532528600
2000-04-06,527911300
2000-04-07,594092600
2000-04-10,571006100
2000-04-11,540224100
2000-04-12,501746599
2000-04-13,474042800
2000-04-14,421713400
2000-04-17,432487100
2000-04-18,446339000
2000-04-19,437104400
2000-04-20,424791599
2000-04-24,409400600
2000-04-25,361688500
2000-04-26,384775000
2000-04-27,375540400
2000-04-28,369384000
2000-05-01,367844900
2000-05-02,320132800
2000-05-03,327828300
2000-05-04,327828300
2000-05-05,375540400
2000-05-08,372462200
2000-05-09,347836599
2000-05-10,324750100
2000-05-11,335523800
2000-05-12,333984700
2000-05-15,327828300
2000-05-16,333984700
2000-05-17,338602000
2000-05-18,369384000
2000-05-19,378618600
2000-05-22,343219300
2000-05-23,346297500
2000-05-24,343219300
2000-05-25,333984700
2000-05-26,323211000
2000-05-30,323211000
2000-05-31,321671900
2000-06-01,321671900
2000-06-02,347836599
2000-06-05,369384000
2000-06-06,352453900
2000-06-07,350914799
2000-06-08,367844900
2000-06-09,398626900
2000-06-12,370923100
2000-06-13,346297500
2000-06-14,400166000
2000-06-15,401705100
2000-06-16,404783300
2000-06-19,377079500
2000-06-20,380157700
2000-06-21,383235900
2000-06-22,381696800
2000-06-23,374001300
2000-06-26,383235900
2000-06-27,397087800
2000-06-28,404783300
2000-06-29,440182600
2000-06-30,386816099
2000-07-03,383733900
2000-07-05,394521600
2000-07-06,423802500
2000-07-07,406850400
2000-07-10,414555900
2000-07-11,416097000
2000-07-12,425343599
2000-07-13,493152000
2000-07-14,517809600
2000-07-17,544008300
2000-07-18,542467200
2000-07-19,537843900
2000-07-20,539385000
2000-07-21,536302800
2000-07-24,537843900
2000-07-25,531679500
2000-07-26,551713800
2000-07-27,576371400
2000-07-28,576371400
2000-07-31,565583700
2000-08-01,540926100
2000-08-02,507021900
2000-08-03,454624500
2000-08-04,446919000
2000-08-07,446919000
2000-08-08,406850400
2000-08-09,413014800
2000-08-10,425343599
2000-08-11,420720300
2000-08-14,413014800
2000-08-15,420720300
2000-08-16,420720300
2000-08-17,416097000
2000-08-18,463871099
2000-08-21,473117700
2000-08-22,433049100
2000-08-23,422261400
2000-08-24,419179200
2000-08-25,419179200
2000-08-28,416097000
2000-08-29,409932600
2000-08-30,423802500
2000-08-31,425343599
2000-09-01,414555900
2000-09-05,413014800
2000-09-06,406850400
2000-09-07,426884700
2000-09-08,454624500
2000-09-11,450001200
2000-09-12,465412200
2000-09-13,463871099
2000-09-14,462330000
2000-09-15,462330000
2000-09-18,445377900
2000-09-19,456165600
2000-09-20,468494400
2000-09-21,462330000
2000-09-22,477741000
2000-09-25,510104100
2000-09-26,533220600
2000-09-27,533220600
2000-09-28,616440000
2000-09-29,570207000
2000-10-02,544008300
2000-10-03,545549400
2000-10-04,523974000
2000-10-05,525515100
2000-10-06,548631600
2000-10-09,536302800
2000-10-10,523974000
2000-10-11,505480799
2000-10-12,508563000
2000-10-13,497775300
2000-10-16,486987600
2000-10-17,477741000
2000-10-18,470035500
2000-10-19,485446500
2000-10-20,502398599
2000-10-23,470035500
2000-10-24,470035500
2000-10-25,450001200
2000-10-26,497775300
2000-10-27,490069800
2000-10-30,470035500
2000-10-31,482364300
2000-11-01,477741000
2000-11-02,479282100
2000-11-03,476199900
2000-11-06,457706700
2000-11-07,446919000
2000-11-08,443836800
2000-11-09,431508000
2000-11-10,405309300
2000-11-13,420720300
2000-11-14,428425799
2000-11-15,451542300
2000-11-16,409932600
2000-11-17,417638100
2000-11-20,406850400
2000-11-21,403768200
2000-11-22,383733900
2000-11-24,405309300
2000-11-27,383733900
2000-11-28,368322900
2000-11-29,362158500
2000-11-30,343665300
2000-12-01,355994100
2000-12-04,340583100
2000-12-05,362158500
2000-12-06,345206400
2000-12-07,331336500
2000-12-08,331336500
2000-12-11,305137800
2000-12-12,331336500
2000-12-13,337500900
2000-12-14,332877600
2000-12-15,323631000
2000-12-18,328254300
2000-12-19,334418700
2000-12-20,331336500
2000-12-21,308220000
2000-12-22,309761099
2000-12-26,323631000
2000-12-27,337500900
2000-12-28,406850400
2000-12-29,363699600
2001-01-02,336420000
2001-01-03,387817500
2001-01-04,375357500
2001-01-05,380030000
2001-01-08,386260000
2001-01-09,383145000
2001-01-10,394047499
2001-01-11,412737500
2001-01-12,432984999
2001-01-16,434542500
2001-01-17,418967500
2001-01-18,425197500
2001-01-19,420525000
2001-01-22,403392500
2001-01-23,434542500
2001-01-24,475037500
2001-01-25,450117500
2001-01-26,434542500
2001-01-29,436100000
2001-01-30,445445000
2001-01-31,440772500
2001-02-01,445445000
2001-02-02,453232500
2001-02-05,426755000
2001-02-06,412737500
2001-02-07,387817500
2001-02-08,381587500
2001-02-09,387817500
2001-02-12,390932499
2001-02-13,380030000
2001-02-14,362897500
2001-02-15,309942500
2001-02-16,288137500
2001-02-20,264775000
2001-02-21,260102500
2001-02-22,285022500
2001-02-23,283465000
2001-02-26,295925000
2001-02-27,285022500
2001-02-28,278792500
2001-03-01,261660000
2001-03-02,264775000
2001-03-05,246085000
2001-03-06,250757500
2001-03-07,266332500
2001-03-08,266332500
2001-03-09,263217500
2001-03-12,263217500
2001-03-13,264775000
2001-03-14,263217500
2001-03-15,261660000
2001-03-16,247642500
2001-03-19,250757500
2001-03-20,253872499
2001-03-21,235182500
2001-03-22,244527500
2001-03-23,235182500
2001-03-26,249200000
2001-03-27,269447500
2001-03-28,274120000
2001-03-29,277235000
2001-03-30,297482500
2001-04-02,288785000
2001-04-03,254442999
2001-04-04,241955000
2001-04-05,280980000
2001-04-06,265370000
2001-04-09,266931000
2001-04-10,304395000
2001-04-11,288785000
2001-04-12,296590000
2001-04-16,280980000
2001-04-17,282541000
2001-04-18,282541000
2001-04-19,301273000
