,NCR
2000-01-03,3626887500
2000-01-04,3532987500
2000-01-05,3497775000
2000-01-06,3415612500
2000-01-07,3450825000
2000-01-10,3491906250
2000-01-11,3480168750
2000-01-12,3362793750
2000-01-13,3280631250
2000-01-14,3239550000
2000-01-18,3233681250
2000-01-19,3116306250
2000-01-20,3145650000
2000-01-21,3603412500
2000-01-24,3474300000
2000-01-25,3474300000
2000-01-26,3773606250
2000-01-27,3685575000
2000-01-28,3609281250
2000-01-31,3615150000
2000-02-01,3673837500
2000-02-02,3709050000
2000-02-03,3732525000
2000-02-04,3667968750
2000-02-07,3873375000
2000-02-08,3832293750
2000-02-09,3844031250
2000-02-10,3879243750
2000-02-11,3849900000
2000-02-14,3802950000
2000-02-15,3908587500
2000-02-16,3709050000
2000-02-17,3849900000
2000-02-18,3756000000
2000-02-22,3820556250
2000-02-23,3967275000
2000-02-24,3814687500
2000-02-25,3679706250
2000-02-28,3544725000
2000-02-29,3562331250
2000-03-01,3462562500
2000-03-02,3386268750
2000-03-03,3509512500
2000-03-06,3515381250
2000-03-07,3955537500
2000-03-08,4272450000
2000-03-09,4354612500
2000-03-10,3890981250
2000-03-13,4025962500
2000-03-14,3943800000
2000-03-15,3779475000
2000-03-16,4067043750
2000-03-17,4143337500
2000-03-20,3955537500
2000-03-21,4043568750
2000-03-22,3967275000
2000-03-23,4008356250
2000-03-24,4025962500
2000-03-27,3896850000
2000-03-28,3955537500
2000-03-29,3867506250
2000-03-30,3785343750
2000-03-31,3827925000
2000-04-03,3982950000
2000-04-04,4096237500
2000-04-05,4030650000
2000-04-06,4012762500
2000-04-07,4132012500
2000-04-10,3816000000
2000-04-11,3869662500
2000-04-12,3726562500
2000-04-13,3810037500
2000-04-14,3684825000
2000-04-17,3768300000
2000-04-18,3887550000
2000-04-19,3911400000
2000-04-20,3821962500
2000-04-24,3714637500
2000-04-25,4048537500
2000-04-26,3744450000
2000-04-27,3714637500
2000-04-28,3684825000
2000-05-01,3732525000
2000-05-02,3529800000
2000-05-03,3386700000
2000-05-04,3452287500
2000-05-05,3452287500
2000-05-08,3434400000
2000-05-09,3416512500
2000-05-10,3344962500
2000-05-11,3422475000
