,VRTX
2000-01-03,975272750
2000-01-04,897380750
2000-01-05,882776000
2000-01-06,869794000
2000-01-07,946063250
2000-01-10,975272750
2000-01-11,1027200750
2000-01-12,1015841500
2000-01-13,1015841500
2000-01-14,1142416000
2000-01-18,1101847250
2000-01-19,1095356250
2000-01-20,1149718375
2000-01-21,1277104250
2000-01-24,1251140250
2000-01-25,1148907000
2000-01-26,1148907000
2000-01-27,1092110750
2000-01-28,1083185625
2000-01-31,1064524000
2000-02-01,1028012125
2000-02-02,1090488000
2000-02-03,1153775250
2000-02-04,1233290000
2000-02-07,1285218000
2000-02-08,1338768750
2000-02-09,1252763000
2000-02-10,1252763000
2000-02-11,1322541250
2000-02-14,1340391500
2000-02-15,1371223750
2000-02-16,1402056000
2000-02-17,1713624000
2000-02-18,1596786000
2000-02-22,1481570750
2000-02-23,1566765125
2000-02-24,1567576500
2000-02-25,1583804000
2000-02-28,1609768000
2000-02-29,1885635500
2000-03-01,2143652750
2000-03-02,1965961625
2000-03-03,2077120000
2000-03-06,2284832000
2000-03-07,2185844250
2000-03-08,1871030750
2000-03-09,1687660000
2000-03-10,1715246750
2000-03-13,1598408750
2000-03-14,1366355500
2000-03-15,1252763000
2000-03-16,1473457000
2000-03-17,1563519625
2000-03-20,1476702500
2000-03-21,1387451250
2000-03-22,1554594500
2000-03-23,1557840000
2000-03-24,1499421000
2000-03-27,1488061750
2000-03-28,1439379250
2000-03-29,1354996250
2000-03-30,1246272000
2000-03-31,1232011375
2000-04-03,1200758750
2000-04-04,1128384250
2000-04-05,1283002500
2000-04-06,1462293875
2000-04-07,1429396375
2000-04-10,1255039625
2000-04-11,1194179250
2000-04-12,1151412500
2000-04-13,1138253500
2000-04-14,1036271250
2000-04-17,1144833000
2000-04-18,1329059000
2000-04-19,1337283375
2000-04-20,1232011375
2000-04-24,1197469000
2000-04-25,1315900000
2000-04-26,1217207500
2000-04-27,1266553750
2000-04-28,1375115500
2000-05-01,1457359250
2000-05-02,1506705500
2000-05-03,1414592500
2000-05-04,1486967000
2000-05-05,1595528750
2000-05-08,1712314875
2000-05-09,1669548125
2000-05-10,1691342745
2000-05-11,1822521500
2000-05-12,1618557000
2000-05-15,1763306000
2000-05-16,1750147000
2000-05-17,1713959750
2000-05-18,1845549750
2000-05-19,1712314875
2000-05-22,1664613500
2000-05-23,1674482750
2000-05-24,1602108250
2000-05-25,1644875000
2000-05-26,1690931500
2000-05-30,1842260000
2000-05-31,1944242250
2000-06-01,2052804000
2000-06-02,2184394000
2000-06-05,2118599000
2000-06-06,2049514250
2000-06-07,2161365750
2000-06-08,2118599000
2000-06-09,2194263250
2000-06-12,2107084875
2000-06-13,2182749125
2000-06-14,2154786250
2000-06-15,2220581250
2000-06-16,2368620000
2000-06-19,2893335125
2000-06-20,2603837125
2000-06-21,2697595000
2000-06-22,2638379500
2000-06-23,2549556250
2000-06-26,2876886375
2000-06-27,2855503000
2000-06-28,2904849250
2000-06-29,2878531250
2000-06-30,2836853062
2000-07-03,2907522000
2000-07-05,3213754062
2000-07-06,3178419593
2000-07-07,3323122656
2000-07-10,3233945187
2000-07-11,3380330843
2000-07-12,3415665312
2000-07-13,3176737000
2000-07-14,3095972500
2000-07-17,3238992968
2000-07-18,3301248937
2000-07-19,3117846218
2000-07-20,3190197750
2000-07-21,3235627781
2000-07-24,3101020281
2000-07-25,2957999812
2000-07-26,2907522000
2000-07-27,2878917906
2000-07-28,2661863312
2000-07-31,2636624406
2000-08-01,2831805281
2000-08-02,2705610750
2000-08-03,2788057843
2000-08-04,3156545875
2000-08-07,3249088531
2000-08-08,3223849625
2000-08-09,3331535625
2000-08-10,3069051000
2000-08-11,3284423000
2000-08-14,3328170437
2000-08-15,3341631187
2000-08-16,3466143125
2000-08-17,3715167000
2000-08-18,3854822281
2000-08-21,3641132875
2000-08-22,3765644812
2000-08-23,3905300093
2000-08-24,4219945125
2000-08-25,4283883687
2000-08-28,4145911000
2000-08-29,4105528750
2000-08-30,4280518500
2000-08-31,4576655000
2000-09-01,4630498000
2000-09-05,4408395625
2000-09-06,4253597000
2000-09-07,4617037250
2000-09-08,4640593562
2000-09-11,3990271078
2000-09-12,4193023625
2000-09-13,4078607250
2000-09-14,4139180625
2000-09-15,4327631125
2000-09-18,4297344437
2000-09-19,4462238625
2000-09-20,4647323937
2000-09-21,4586750562
2000-09-22,4781931437
2000-09-25,4623767625
2000-09-26,4543003125
2000-09-27,4697801750
2000-09-28,5020859750
2000-09-29,4549733500
2000-10-02,4888250912
2000-10-03,4500767608
2000-10-04,4586461031
2000-10-05,4292122752
2000-10-06,3941897458
2000-10-09,4351735568
2000-10-10,4310751757
2000-10-11,4441154792
2000-10-12,3986607070
2000-10-13,4187800324
2000-10-16,4411348384
2000-10-17,4701960862
2000-10-18,4791380086
2000-10-19,4769025280
2000-10-20,4754122076
2000-10-23,5540266087
2000-10-24,5540266087
2000-10-25,5726556137
2000-10-26,5659491719
2000-10-27,5424766256
2000-10-30,5394959848
2000-10-31,5550512039
2000-11-01,5652040117
2000-11-02,5797346356
2000-11-03,5596153102
2000-11-06,5465750067
2000-11-07,5774060099
2000-11-08,5558895092
2000-11-09,5424766256
2000-11-10,5294363221
2000-11-13,4243687339
2000-11-14,4366638772
2000-11-15,4388993578
2000-11-16,4038768284
2000-11-17,3763059010
2000-11-20,3278704880
2000-11-21,3315962890
2000-11-22,3278704880
2000-11-24,3871107239
2000-11-27,4388993578
2000-11-28,3733252602
2000-11-29,3651284980
2000-11-30,3330866094
2000-12-01,3915816851
2000-12-04,3692268791
2000-12-05,4176622921
2000-12-06,4213880931
2000-12-07,4180348722
2000-12-08,4676811705
2000-12-11,4877073509
2000-12-12,4482138603
2000-12-13,4519396613
2000-12-14,4478412802
2000-12-15,4456057996
2000-12-18,4839815499
2000-12-19,4769025280
2000-12-20,4351735568
2000-12-21,3841300831
2000-12-22,4288396951
2000-12-26,4198977727
2000-12-27,4206429329
2000-12-28,4217606732
2000-12-29,4262316344
2001-01-02,3788194375
2001-01-03,3758188875
2001-01-04,3593158625
2001-01-05,3266848812
2001-01-08,2820517000
2001-01-09,2880528000
2001-01-10,3203087125
2001-01-11,3308106375
2001-01-12,3510643500
2001-01-16,3473136625
2001-01-17,3293103625
2001-01-18,3421564671
2001-01-19,3443131125
2001-01-22,3649418937
2001-01-23,4140759000
2001-01-24,4208271375
2001-01-25,4125756250
2001-01-26,4305789250
2001-01-29,4452066062
2001-01-30,4087311703
2001-01-31,4039490437
2001-02-01,3806947812
2001-02-02,3593158625
2001-02-05,3668172375
2001-02-06,4005734250
2001-02-07,3773191625
2001-02-08,3926969812
2001-02-09,3813511515
2001-02-12,4084498687
2001-02-13,3653169625
2001-02-14,3776942312
2001-02-15,3799446437
2001-02-16,3529396937
2001-02-20,3293103625
2001-02-21,3278100875
2001-02-22,2865525250
2001-02-23,2936788312
2001-02-26,3368117375
2001-02-27,2989297937
2001-02-28,2985547250
2001-03-01,2880528000
2001-03-02,2824267687
2001-03-05,2760506000
2001-03-06,2707996375
2001-03-07,2576722312
2001-03-08,2389187937
2001-03-09,2190401500
2001-03-12,1920352000
2001-03-13,2145393250
2001-03-14,2077880875
2001-03-15,2025371250
2001-03-16,1897847875
2001-03-19,2059127437
2001-03-20,1924102687
2001-03-21,1796579312
2001-03-22,1751571062
2001-03-23,1867842375
2001-03-26,2092883625
2001-03-27,2077880875
2001-03-28,2002867125
2001-03-29,2082569234
2001-03-30,2197902875
2001-04-02,2006205250
2001-04-03,1904386562
2001-04-04,1870447000
2001-04-05,2123108187
2001-04-06,2160818812
2001-04-09,2250570039
2001-04-10,2443045250
2001-04-11,2384518240
2001-04-12,2631296630
2001-04-16,2403222830
2001-04-17,2543204670
2001-04-18,2714561750
2001-04-19,2697063960
2001-04-20,2517863010
2001-04-23,2382708250
2001-04-24,2222815080
2001-04-25,2338058750
2001-04-26,2398998999
2001-04-27,2368227250
2001-04-30,2326594780
2001-05-01,2260223959
2001-05-02,2284358880
2001-05-03,2131706330
2001-05-04,2268067830
2001-05-07,2186009510
2001-05-08,2161874830
2001-05-09,2111191750
2001-05-10,1988104210
2001-05-11,1975433500
2001-05-14,1916303120
2001-05-15,1900012130
2001-05-16,1986293919
2001-05-17,2226435420
2001-05-18,2202903749
2001-05-21,2517863010
2001-05-22,2618625920
2001-05-23,2538377590
2001-05-24,2721198579
2001-05-25,2742316710
2001-05-29,2684996500
2001-05-30,2558288920
2001-05-31,2651207719
2001-06-01,2680772910
2001-06-04,2898589540
2001-06-05,3075376950
2001-06-06,2981251170
2001-06-07,2938411960
2001-06-08,2914277039
2001-06-11,2767054880
2001-06-12,2717578540
2001-06-13,2717578540
2001-06-14,2662068379
2001-06-15,2741109910
2001-06-18,2654828000
2001-06-19,2654828000
2001-06-20,2811100830
2001-06-21,2775502000
2001-06-22,2716975049
2001-06-25,2557082120
2001-06-26,2606558460
2001-06-27,2724818920
2001-06-28,2862387219
2001-06-29,2986681500
2001-07-02,3501092234
2001-07-03,3628051709
2001-07-05,3400271385
2001-07-06,3334551449
2001-07-09,3286754670
2001-07-10,3062708670
2001-07-11,2949939000
2001-07-12,2994748050
2001-07-13,3116479860
