,MSFT
2000-01-03,607161040000
2000-01-04,586637580000
2000-01-05,592888380000
2000-01-06,572990000000
2000-01-07,580490960000
2000-01-10,584762340000
2000-01-11,569760420000
2000-01-12,551216380000
2000-01-13,561634380000
2000-01-14,584762340000
2000-01-18,600701880000
2000-01-19,557363000000
2000-01-20,552154000000
2000-01-21,540485840000
2000-01-24,527463340000
2000-01-25,535589379999
2000-01-26,517670420000
2000-01-27,514440840000
2000-01-28,511836340000
2000-01-31,509856920000
2000-02-01,536214460000
2000-02-02,525171379999
2000-02-03,539756580000
2000-02-04,555071040000
2000-02-07,555383580000
2000-02-08,572677460000
2000-02-09,541736000000
2000-02-10,552154000000
2000-02-11,520587460000
2000-02-14,518920580000
2000-02-15,513399040000
2000-02-16,508502580000
2000-02-17,518920580000
2000-02-18,495167540000
2000-02-22,488708379999
2000-02-23,491000340000
2000-02-24,493604840000
2000-02-25,475685879999
2000-02-28,476936040000
2000-02-29,465580420000
2000-03-01,473081379999
2000-03-02,486416420000
2000-03-03,500689080000
2000-03-06,472039580000
2000-03-07,483811920000
2000-03-08,497772040000
2000-03-09,520900000000
2000-03-10,526109000000
2000-03-13,510482000000
2000-03-14,495480080000
2000-03-15,496834420000
2000-03-16,496834420000
2000-03-17,517670420000
2000-03-20,507252420000
2000-03-21,535276840000
2000-03-22,537881340000
2000-03-23,582782920000
2000-03-24,581741120000
2000-03-27,542048540000
2000-03-28,543402879999
2000-03-29,558300620000
2000-03-30,538506420000
2000-03-31,549045420000
2000-04-03,469576960000
2000-04-04,457589520000
2000-04-05,446325460000
2000-04-06,444362000000
2000-04-07,460173020000
2000-04-10,444672020000
2000-04-11,433407960000
2000-04-12,410156460000
2000-04-13,409536420000
2000-04-14,382978040000
2000-04-17,392071960000
2000-04-18,416253520000
2000-04-19,406539560000
2000-04-20,407882980000
2000-04-24,344225540000
2000-04-25,358486460000
2000-04-26,351356000000
2000-04-27,360759939999
2000-04-28,360449920000
2000-05-01,379464480000
2000-05-02,361069960000
2000-05-03,364583520000
2000-05-04,363963480000
2000-05-05,367477040000
2000-05-08,360759939999
2000-05-09,350425939999
2000-05-10,341952060000
2000-05-11,350735960000
2000-05-12,355592939999
2000-05-15,358486460000
2000-05-16,359106500000
2000-05-17,349702560000
2000-05-18,341952060000
2000-05-19,336165020000
2000-05-22,331618060000
2000-05-23,326451060000
2000-05-24,338748520000
2000-05-25,317770500000
2000-05-26,317460480000
2000-05-30,327484460000
