,PAYX
2000-01-03,9893836575
2000-01-04,9151891575
2000-01-05,9693511425
2000-01-06,10045935300
2000-01-07,10249970175
2000-01-10,10416907800
2000-01-11,10079322825
2000-01-12,9938353275
2000-01-13,10479973125
2000-01-14,11221918125
2000-01-18,11129175000
2000-01-19,11284983450
2000-01-20,11455630800
2000-01-21,11329500150
2000-01-24,10031096400
2000-01-25,10635781575
2000-01-26,10620942675
2000-01-27,10650620475
2000-01-28,10387230000
2000-01-31,10899172050
2000-02-01,10880623425
2000-02-02,10821267825
2000-02-03,10665459375
2000-02-04,10509650925
2000-02-07,10572716250
2000-02-08,10543038450
2000-02-09,10264809075
2000-02-10,10943688750
2000-02-11,10543038450
2000-02-14,11500147500
2000-02-15,11470469700
2000-02-16,11314661250
2000-02-17,11993540925
2000-02-18,11284983450
2000-02-22,11470469700
2000-02-23,12212414700
2000-02-24,12661291425
2000-02-25,11763537975
2000-02-28,12427578750
2000-02-29,12402672800
2000-03-01,12012534800
2000-03-02,11860195200
2000-03-03,12124002800
2000-03-06,12354370000
2000-03-07,11938222800
2000-03-08,12124002800
2000-03-09,12354370000
2000-03-10,12603315200
2000-03-13,12105424800
2000-03-14,12090562400
2000-03-15,12246617600
2000-03-16,11689277600
2000-03-17,12555012400
2000-03-20,12402672800
2000-03-21,13205242400
2000-03-22,13127214800
2000-03-23,13097490000
2000-03-24,12755654800
2000-03-27,13067765200
2000-03-28,12911710000
2000-03-29,13112352400
2000-03-30,13082627600
2000-03-31,12974875200
2000-04-03,13019462400
2000-04-04,12647902400
2000-04-05,12261480000
2000-04-06,12633040000
2000-04-07,12725930000
2000-04-10,12031112800
2000-04-11,12681342800
2000-04-12,13082627600
2000-04-13,13220104800
2000-04-14,11845332800
2000-04-17,12495562800
2000-04-18,12432397600
2000-04-19,12045975200
2000-04-20,12569874800
2000-04-24,12896847600
2000-04-25,13703132800
2000-04-26,12848544800
2000-04-27,13160655200
2000-04-28,13034324800
2000-05-01,12443544400
2000-05-02,11719002400
2000-05-03,11875057600
2000-05-04,11209965200
2000-05-05,11733864800
2000-05-08,11302855200
2000-05-09,11161662400
2000-05-10,10975882400
2000-05-11,12031112800
2000-05-12,11733864800
2000-05-15,11889920000
2000-05-16,11953085200
2000-05-17,11674415200
2000-05-18,11425470000
2000-05-19,11209965200
2000-05-22,11380882800
2000-05-23,11496066400
2000-05-24,12309782800
2000-05-25,12354370000
2000-05-26,12818820000
2000-05-30,13260976400
2000-05-31,13020525000
2000-06-01,14880600000
2000-06-02,14136570000
2000-06-05,14065887150
2000-06-06,13485543750
2000-06-07,14021245350
2000-06-08,13440901950
2000-06-09,13879879650
2000-06-12,13440901950
2000-06-13,13972883400
2000-06-14,14344898400
2000-06-15,14880600000
2000-06-16,15646950900
2000-06-19,15858999450
2000-06-20,15624630000
2000-06-21,16018965900
2000-06-22,14902920900
2000-06-23,14065887150
2000-06-26,15044286600
2000-06-27,15416301600
2000-06-28,15509305350
2000-06-29,14556946950
2000-06-30,15624630000
2000-07-03,15460943400
2000-07-05,15137290350
2000-07-06,15646950900
2000-07-07,15531626250
2000-07-10,15486984450
2000-07-11,15952003200
2000-07-12,16204973400
2000-07-13,15881320350
2000-07-14,15858999450
2000-07-17,15460943400
2000-07-18,15579988200
2000-07-19,15646950900
2000-07-20,16111969650
2000-07-21,16089648750
2000-07-24,16762995900
2000-07-25,16368660000
2000-07-26,16696033200
2000-07-27,16625350350
2000-07-28,16089648750
2000-07-31,17019686250
2000-08-01,16718354100
2000-08-02,16297977150
2000-08-03,16762995900
2000-08-04,16975044450
2000-08-07,17462384100
2000-08-08,17161051950
2000-08-09,17298697500
2000-08-10,16740675000
2000-08-11,16762995900
2000-08-14,16625350350
2000-08-15,16510025700
2000-08-16,16275656250
2000-08-17,16625350350
