,GEN
2000-01-03,3441126240
2000-01-04,3281411520
2000-01-05,3087817920
2000-01-06,2908743840
2000-01-07,3136216320
2000-01-10,3431446560
2000-01-11,3155575680
2000-01-12,3228173280
2000-01-13,3310450560
2000-01-14,3199134240
2000-01-18,3310450560
2000-01-19,3416927040
2000-01-20,3654079200
2000-01-21,3528243360
2000-01-24,3533083200
2000-01-25,3508884000
2000-01-26,3499204320
2000-01-27,3213653760
2000-01-28,3029739840
2000-01-31,3029739840
2000-02-01,3073298400
2000-02-02,3242692800
2000-02-03,3499204320
2000-02-04,3547602720
2000-02-07,3837993120
2000-02-08,3692797920
2000-02-09,3804114240
2000-02-10,4181621760
2000-02-11,3978348480
2000-02-14,3871872000
2000-02-15,3871872000
2000-02-16,4017067200
2000-02-17,3867032160
2000-02-18,3871872000
2000-02-22,3891231359
2000-02-23,4084824959
2000-02-24,4017067200
2000-02-25,4341336480
2000-02-28,4234860000
2000-02-29,4321977120
2000-03-01,4341336480
2000-03-02,4167102239
2000-03-03,4384895040
2000-03-06,4583328480
2000-03-07,4665605760
2000-03-08,4762402560
2000-03-09,4864039200
2000-03-10,4888238400
2000-03-13,4631726880
2000-03-14,4351016160
2000-03-15,4167102239
2000-03-16,4234860000
2000-03-17,4317137280
2000-03-20,4254219359
2000-03-21,4220340480
2000-03-22,4384895040
2000-03-23,4384895040
2000-03-24,4433293440
2000-03-27,4297777920
2000-03-28,4423613760
2000-03-29,4346176320
2000-03-30,4355856000
2000-03-31,4544609760
2000-04-03,3731516640
2000-04-04,3518563680
2000-04-05,3871872000
2000-04-06,3934789920
2000-04-07,4031586720
2000-04-10,3712157280
2000-04-11,3596001120
2000-04-12,3513723840
2000-04-13,3455645760
2000-04-14,3179774880
2000-04-17,3600840960
2000-04-18,3842832960
2000-04-19,4055785920
2000-04-20,3600840960
2000-04-24,3344329440
2000-04-25,3571801920
2000-04-26,3339489600
2000-04-27,3591161280
2000-04-28,3775075200
2000-05-01,3741196320
2000-05-02,3726676800
2000-05-03,3537923040
2000-05-04,3692797920
2000-05-05,3658919040
2000-05-08,3610520640
2000-05-09,3658919040
2000-05-10,3436286400
2000-05-11,3455645760
2000-05-12,3421766880
2000-05-15,3533083200
2000-05-16,3658919040
2000-05-17,3963828959
2000-05-18,3808954080
2000-05-19,3770235360
2000-05-22,3750876000
2000-05-23,3523403520
2000-05-24,3881551680
2000-05-25,3813793920
2000-05-26,3779915040
2000-05-30,4118703840
2000-05-31,3978348480
2000-06-01,4234860000
2000-06-02,4230020160
2000-06-05,4230020160
2000-06-06,4167102239
2000-06-07,4234860000
2000-06-08,4205820959
2000-06-09,4326816960
2000-06-12,4176781920
2000-06-13,4297777920
2000-06-14,4171942079
2000-06-15,4302617760
2000-06-16,4186461600
2000-06-19,3789594720
2000-06-20,3779915040
2000-06-21,3605680800
2000-06-22,3431446560
2000-06-23,3547602720
2000-06-26,3252372480
2000-06-27,3189454560
2000-06-28,3324970080
2000-06-29,3450805920
2000-06-30,3262052160
2000-07-03,3304355760
2000-07-05,2933408880
2000-07-06,3143286720
2000-07-07,3099358800
2000-07-10,3074954400
2000-07-11,3050550000
2000-07-12,3035907360
2000-07-13,3050550000
2000-07-14,3196976400
2000-07-17,3216499920
2000-07-18,3094477920
2000-07-19,2884600080
2000-07-20,3685064400
2000-07-21,3689945280
2000-07-24,3660660000
2000-07-25,3660660000
2000-07-26,3885180480
2000-07-27,3065192640
2000-07-28,2991979440
2000-07-31,3128644080
2000-08-01,3031026480
2000-08-02,3211619040
2000-08-03,3406854240
2000-08-04,3358045440
2000-08-07,3284832240
2000-08-08,3260427840
2000-08-09,3172572000
2000-08-10,3011502960
2000-08-11,2952932400
2000-08-14,2762578080
2000-08-15,2679603120
2000-08-16,2948051520
2000-08-17,2865076560
2000-08-18,3074954400
2000-08-21,3114001440
2000-08-22,3162810240
2000-08-23,2977336800
2000-08-24,3035907360
2000-08-25,3006622080
2000-08-28,3021264720
2000-08-29,2952932400
2000-08-30,2952932400
2000-08-31,2977336800
2000-09-01,3182333760
2000-09-05,3035907360
2000-09-06,2933408880
2000-09-07,2996860320
2000-09-08,2928528000
2000-09-11,2889480960
2000-09-12,2835791280
2000-09-13,2899242720
2000-09-14,2874838320
2000-09-15,2791863360
2000-09-18,2660079600
2000-09-19,2694245760
2000-09-20,2552700240
2000-09-21,2523414960
2000-09-22,2625913440
