,AYI
2001-12-03,569567400
2001-12-04,567503750
2001-12-05,580298380
2001-12-06,576996540
2001-12-07,556360040
2001-12-10,462257600
2001-12-11,519214340
2001-12-12,495276000
2001-12-13,495276000
2001-12-14,494450540
2001-12-17,454003000
2001-12-18,474639500
2001-12-19,493212350
2001-12-20,475052230
2001-12-21,491148700
2001-12-24,532008970
2001-12-26,516325230
2001-12-27,532421700
2001-12-28,495276000
2001-12-31,499403300
2002-01-02,577822000
2002-01-03,608776750
2002-01-04,611253130
2002-01-07,588552980
2002-01-08,586076600
2002-01-09,569567400
2002-01-10,560074610
2002-01-11,557185500
2002-01-14,602998530
2002-01-15,576171080
2002-01-16,528294400
2002-01-17,567091020
2002-01-18,555121850
2002-01-22,570392860
2002-01-23,574520160
2002-01-24,557185500
2002-01-25,561725530
2002-01-28,567503750
2002-01-29,544803600
2002-01-30,539850840
2002-01-31,538612650
2002-02-01,537787190
2002-02-04,552645470
2002-02-05,546454520
2002-02-06,547692710
2002-02-07,544390870
2002-02-08,553058200
2002-02-11,544803600
2002-02-12,547692710
2002-02-13,548930900
2002-02-14,550994550
2002-02-15,554709120
2002-02-19,555534580
2002-02-20,559249150
2002-02-21,560074610
2002-02-22,599283960
2002-02-25,599283960
2002-02-26,576171080
2002-02-27,581949300
2002-02-28,586573600
2002-03-01,632012400
2002-03-04,644404800
2002-03-05,636143200
2002-03-06,634077800
2002-03-07,613423800
2002-03-08,598966000
2002-03-11,607640680
2002-03-12,627881600
2002-03-13,629120840
2002-03-14,640274000
2002-03-15,623750800
2002-03-18,625403120
2002-03-19,660928000
2002-03-20,630360080
2002-03-21,643578640
2002-03-22,640687080
2002-03-25,632425480
2002-03-26,656797200
2002-03-27,681582000
2002-03-28,682821240
2002-04-01,702236000
2002-04-02,704301400
2002-04-03,691909000
2002-04-04,704301400
2002-04-05,709671440
2002-04-08,727020800
2002-04-09,727020800
2002-04-10,737760880
2002-04-11,721650760
2002-04-12,739413200
2002-04-15,744783240
2002-04-16,780721200
2002-04-17,770394200
2002-04-18,755523320
2002-04-19,745196320
2002-04-22,760067200
2002-04-23,783199680
2002-04-24,781960440
2002-04-25,801375200
2002-04-26,790222040
2002-04-29,776590400
2002-04-30,766263400
2002-05-01,763371840
2002-05-02,762545680
2002-05-03,755110240
2002-05-06,743544000
2002-05-07,702236000
2002-05-08,703475240
2002-05-09,666711120
2002-05-10,653905640
2002-05-13,677864280
2002-05-14,720824600
