,ZTS
2014-02-24,14856860700
2014-02-25,15071960030
2014-02-26,15207022400
2014-02-27,15367096320
2014-02-28,15517165620
2014-03-03,15502158690
2014-03-04,15452135590
2014-03-05,15367096320
2014-03-06,15397110180
2014-03-07,15297063980
2014-03-10,15182010850
2014-03-11,15146994680
2014-03-12,14856860700
2014-03-13,14631756750
2014-03-14,14716796020
2014-03-17,14696786780
2014-03-18,14646763680
2014-03-19,14961909210
2014-03-20,15051950790
2014-03-21,14636759060
2014-03-24,14576731340
2014-03-25,14636759060
2014-03-26,14611747510
2014-03-27,14656768300
2014-03-28,14511701310
2014-03-31,14498216500
2014-04-01,14703616250
2014-04-02,14838879500
2014-04-03,14838879500
2014-04-04,14688587000
2014-04-07,14528275000
2014-04-08,14603421250
2014-04-09,14558333500
2014-04-10,14458138500
2014-04-11,14227690000
2014-04-14,14267768000
2014-04-15,14302836250
2014-04-16,14292816750
2014-04-17,14327885000
2014-04-21,14543304250
2014-04-22,14974142750
2014-04-23,14723655250
2014-04-24,14974142750
2014-04-25,15109406000
2014-04-28,15229640000
2014-04-29,15294766750
2014-04-30,15159503500
2014-05-01,15184552250
2014-05-02,15349874000
2014-05-05,15294766750
2014-05-06,15475117750
2014-05-07,15354883750
2014-05-08,15269718000
2014-05-09,15299776500
2014-05-12,15435039750
2014-05-13,15394961750
2014-05-14,15349874000
2014-05-15,15259698500
2014-05-16,15329835000
2014-05-19,15259698500
2014-05-20,15169523000
2014-05-21,15239659500
2014-05-22,15194571750
2014-05-23,15294766750
2014-05-27,15379932500
2014-05-28,15269718000
2014-05-29,15389952000
2014-05-30,15379932500
2014-06-02,15490147000
2014-06-03,15655468750
2014-06-04,15715585750
2014-06-05,15835819750
2014-06-06,15900946500
2014-06-09,16036209749
2014-06-10,16281687500
2014-06-11,16096326750
2014-06-12,16026190250
2014-06-13,16091316999
2014-06-16,16096326750
2014-06-17,16436989750
2014-06-18,16477067750
2014-06-19,16306736249
2014-06-20,16261648500
2014-06-23,16351824000
2014-06-24,16216560749
2014-06-25,16216560749
2014-06-26,16151434000
2014-06-27,16221570500
2014-06-30,16181888310
2014-07-01,16302237029
2014-07-02,16417571220
2014-07-03,16502818229
2014-07-07,16327309680
2014-07-08,16287193439
2014-07-09,16277164380
2014-07-10,16307251560
2014-07-11,16232033609
2014-07-14,16412556689
2014-07-15,16242062670
2014-07-16,16362411390
2014-07-17,16151801130
2014-07-18,16392498569
2014-07-21,16472731050
2014-07-22,16482760109
2014-07-23,16467716520
2014-07-24,16492789170
2014-07-25,16457687460
2014-07-28,16477745580
2014-07-29,16562992590
2014-07-30,16618152420
2014-07-31,16502818229
2014-08-01,16417571220
2014-08-04,16668297720
2014-08-05,16151801130
2014-08-06,16196931899
2014-08-07,15941190870
2014-08-08,16206960960
2014-08-11,16347367800
2014-08-12,16272149850
2014-08-13,16482760109
2014-08-14,16583050710
2014-08-15,16893951569
2014-08-18,17014300290
2014-08-19,17310157560
2014-08-20,17445549870
2014-08-21,17495695170
2014-08-22,17495695170
2014-08-25,17500709700
2014-08-26,17616043890
2014-08-27,17721349020
