,SBAC
2001-01-24,2147229880
2001-01-25,2006826880
2001-01-26,2003550810
2001-01-29,2021335190
2001-01-30,2106045000
2001-01-31,2120553310
2001-02-01,2135529630
2001-02-02,2082644500
2001-02-05,2108853060
2001-02-06,2094344750
2001-02-07,2026951310
2001-02-08,1909948810
2001-02-09,1839747310
2001-02-12,1892632440
2001-02-13,1883740250
2001-02-14,1889824380
2001-02-15,1872976020
2001-02-16,1790138250
2001-02-20,1696536250
2001-02-21,1655819380
2001-02-22,1556133250
2001-02-23,1462531250
2001-02-26,1503716130
2001-02-27,1567833500
2001-02-28,1544433000
2001-03-01,1597318130
2001-03-02,1591234000
2001-03-05,1573917630
2001-03-06,1591234000
2001-03-07,1588425940
2001-03-08,1579533750
2001-03-09,1474231500
2001-03-12,1266435060
2001-03-13,1205125750
2001-03-14,1097015440
2001-03-15,1064722750
2001-03-16,968312690
2001-03-19,985629059
2001-03-20,954272390
2001-03-21,877518750
2001-03-22,739923810
2001-03-23,877518750
2001-03-26,897175170
2001-03-27,930403880
2001-03-28,860202380
2001-03-29,848502130
2001-03-30,739923810
2001-04-02,771579900
2001-04-03,715524950
2001-04-04,612365000
2001-04-05,683022500
2001-04-06,656643700
2001-04-09,647693750
2001-04-10,680667250
2001-04-11,785711400
2001-04-12,942100000
2001-04-16,925613249
2001-04-17,1012286449
2001-04-18,1283140200
2001-04-19,1318940000
2001-04-20,1370755500
2001-04-23,1341079350
2001-04-24,1347203000
2001-04-25,1445181400
2001-04-26,1545043999
2001-04-27,1557762350
2001-04-30,1605809450
2001-05-01,1556820249
2001-05-02,1589793750
2001-05-03,1570951750
2001-05-04,1511599450
2001-05-07,1528557250
2001-05-08,1380176500
2001-05-09,1407497400
2001-05-10,1382060700
2001-05-11,1349087200
2001-05-14,1254406150
2001-05-15,1269008700
2001-05-16,1245927250
2001-05-17,1271363950
2001-05-18,1243572000
2001-05-21,1274661300
2001-05-22,1285966500
2001-05-23,1228969450
2001-05-24,1214366900
2001-05-25,1197409100
2001-05-29,1179509200
2001-05-30,1088125500
2001-05-31,1090480750
2001-06-01,1132875250
2001-06-04,1144651500
2001-06-05,1155956700
2001-06-06,1132875250
2001-06-07,1123925300
2001-06-08,1078704500
2001-06-11,1008046999
2001-06-12,982610300
2001-06-13,976486650
2001-06-14,922315899
2001-06-15,897350250
2001-06-18,791835049
2001-06-19,826692750
2001-06-20,953405199
2001-06-21,943984200
2001-06-22,930323750
2001-06-25,936918450
2001-06-26,943984200
2001-06-27,958586750
2001-06-28,997683900
2001-06-29,1165848750
2001-07-02,1044820000
2001-07-03,1079568000
2001-07-05,1083376000
2001-07-06,1045772000
2001-07-09,1051960000
2001-07-10,1056720000
2001-07-11,997220000
2001-07-12,1047676000
2001-07-13,1035300000
2001-07-16,972944000
2001-07-17,1006739999
2001-07-18,937720000
2001-07-19,875839999
2001-07-20,882504000
2001-07-23,881076000
2001-07-24,875364000
2001-07-25,903448000
2001-07-26,925344000
2001-07-27,944860000
2001-07-30,904400000
2001-07-31,938196000
2001-08-01,919632000
2001-08-02,900116000
2001-08-03,898212000
2001-08-06,909160000
2001-08-07,904400000
2001-08-08,884884000
2001-08-09,915823999
2001-08-10,847280000
2001-08-13,865844000
2001-08-14,829668000
2001-08-15,710192000
2001-08-16,636888000
2001-08-17,661640000
2001-08-20,631652000
2001-08-21,623560000
2001-08-22,610708000
2001-08-23,582148000
2001-08-24,633080000
2001-08-27,658308000
2001-08-28,627844000
2001-08-29,642600000
2001-08-30,616420000
2001-08-31,634032000
2001-09-04,625464000
2001-09-05,571200000
2001-09-06,525027999
2001-09-07,524552000
2001-09-10,564536000
2001-09-17,571200000
2001-09-18,595000000
2001-09-19,602140000
2001-09-20,575960000
2001-09-21,611660000
2001-09-24,646884000
2001-09-25,644980000
2001-09-26,630700000
2001-09-27,605948000
2001-09-28,635460000
2001-10-01,630059920
2001-10-02,740404000
2001-10-03,718430720
2001-10-04,769542480
2001-10-05,716520000
2001-10-08,714609280
2001-10-09,702189600
2001-10-10,671140400
2001-10-11,684515440
2001-10-12,610475040
2001-10-15,594711600
2001-10-16,574171360
2001-10-17,547898960
2001-10-18,507296159
2001-10-19,476246960
2001-10-22,451407599
2001-10-23,444242400
2001-10-24,406028000
2001-10-25,477680000
2001-10-26,451885280
2001-10-29,451407599
2001-10-30,438510240
2001-10-31,391697599
2001-11-01,407938719
2001-11-02,421791440
2001-11-05,439943280
2001-11-06,372590400
2001-11-07,298550000
2001-11-08,331987600
2001-11-09,352050160
2001-11-12,375456480
2001-11-13,424179840
2001-11-14,485800560
2001-11-15,468604080
2001-11-16,509684560
2001-11-19,554108800
2001-11-20,531657840
2001-11-21,515894400
2001-11-23,535001599
2001-11-26,558885600
2001-11-27,620506320
2001-11-28,592800880
2001-11-29,561274000
2001-11-30,565095440
2001-12-03,532613200
2001-12-04,536434640
2001-12-05,587546400
2001-12-06,597100000
2001-12-07,599488400
2001-12-10,550287360
2001-12-11,538345360
2001-12-12,529269440
2001-12-13,513506000
2001-12-14,508251520
2001-12-17,501086320
2001-12-18,575126720
2001-12-19,586113360
2001-12-20,610952720
2001-12-21,630537600
2001-12-24,599488400
2001-12-26,593756240
2001-12-27,614296480
2001-12-28,625760800
2001-12-31,638110200
2002-01-02,671437000
2002-01-03,646441900
2002-01-04,634189400
2002-01-07,650362700
2002-01-08,643991400
2002-01-09,634189400
2002-01-10,615565600
2002-01-11,575867500
2002-01-14,545481300
2002-01-15,538619900
2002-01-16,489609900
2002-01-17,456773200
2002-01-18,443540500
2002-01-22,390609700
2002-01-23,373456200
2002-01-24,424426600
2002-01-25,400411700
2002-01-28,391099800
2002-01-29,359733400
2002-01-30,350911600
2002-01-31,340619500
2002-02-01,319055100
2002-02-04,294060000
2002-02-05,260243099
2002-02-06,241129200
2002-02-07,255832200
2002-02-08,235248000
2002-02-11,237698499
2002-02-12,255832200
2002-02-13,247990599
2002-02-14,234757900
2002-02-15,216134100
2002-02-19,187708300
2002-02-20,174965700
2002-02-21,171535000
2002-02-22,149970600
2002-02-25,97039800
2002-02-26,102921000
2002-02-27,109292300
2002-02-28,117624000
2002-03-01,127426000
2002-03-04,129876500
2002-03-05,128406200
2002-03-06,164673600
2002-03-07,239658899
2002-03-08,263183700
2002-03-11,260733200
2002-03-12,239658899
2002-03-13,225445999
2002-03-14,220054900
2002-03-15,202411300
2002-03-18,203391500
2002-03-19,198490500
2002-03-20,188198400
2002-03-21,171535000
2002-03-22,182317200
2002-03-25,176436000
2002-03-26,170064700
2002-03-27,165163700
2002-03-28,161242900
2002-04-01,163774000
2002-04-02,151176000
2002-04-03,139081920
2002-04-04,129003520
2002-04-05,149664240
2002-04-08,136562320
2002-04-09,142105440
2002-04-10,128499599
2002-04-11,121444720
2002-04-12,125980000
2002-04-15,122956480
2002-04-16,149664240
2002-04-17,160750480
2002-04-18,159742640
2002-04-19,158734800
2002-04-22,139081920
2002-04-23,151176000
2002-04-24,159742640
2002-04-25,163774000
2002-04-26,156215200
2002-04-29,143617200
2002-04-30,145632880
2002-05-01,144625040
2002-05-02,141097600
2002-05-03,121948640
2002-05-06,131019200
2002-05-07,118421200
2002-05-08,124468240
2002-05-09,114389840
2002-05-10,102799680
2002-05-13,108342800
2002-05-14,103303599
2002-05-15,102799680
2002-05-16,103303599
2002-05-17,102799680
2002-05-20,100784000
2002-05-21,103303599
2002-05-22,103303599
2002-05-23,105319280
2002-05-24,100280080
2002-05-28,90705600
2002-05-29,84658560
2002-05-30,75588000
2002-05-31,74076240
2002-06-03,67525280
2002-06-04,70044880
2002-06-05,69037040
2002-06-06,62990000
2002-06-07,65509600
2002-06-10,57950799
2002-06-11,61982160
2002-06-12,60470400
2002-06-13,60470400
2002-06-14,59462560
2002-06-17,78611520
2002-06-18,85666400
2002-06-19,90705600
2002-06-20,95744800
2002-06-21,94736960
2002-06-24,92721280
2002-06-25,87682080
2002-06-26,75588000
2002-06-27,74076240
2002-06-28,71052720
2002-07-01,74595150
2002-07-02,64953600
2002-07-03,67998300
2002-07-05,73580250
2002-07-08,66983400
2002-07-09,65461050
2002-07-10,60894000
2002-07-11,58864199
2002-07-12,59879100
2002-07-15,58864199
2002-07-16,74087700
2002-07-17,88803750
2002-07-18,83729250
2002-07-19,85759050
2002-07-22,89818650
2002-07-23,86266500
2002-07-24,87788850
2002-07-25,86773950
2002-07-26,82206900
2002-07-29,84236700
2002-07-30,88803750
2002-07-31,88803750
2002-08-01,81699450
2002-08-02,72565350
2002-08-05,73072800
2002-08-06,67998300
2002-08-07,63431250
2002-08-08,67490850
2002-08-09,64446150
2002-08-12,65968500
2002-08-13,76117500
2002-08-14,75102600
2002-08-15,73580250
2002-08-16,93878250
2002-08-19,93370800
2002-08-20,91341000
2002-08-21,85759050
2002-08-22,91341000
2002-08-23,85759050
2002-08-26,85759050
2002-08-27,79162200
2002-08-28,72057900
2002-08-29,66475950
2002-08-30,72565350
2002-09-03,71043000
2002-09-04,73580250
2002-09-05,71043000
2002-09-06,74087700
2002-09-09,75610050
2002-09-10,73580250
2002-09-11,74087700
2002-09-12,73072800
2002-09-13,74595150
2002-09-16,71550450
2002-09-17,67998300
2002-09-18,66983400
2002-09-19,60386550
2002-09-20,62923800
2002-09-23,60894000
2002-09-24,60894000
2002-09-25,61401450
2002-09-26,59879100
2002-09-27,58356749
2002-09-30,55731700
2002-10-01,47039600
2002-10-02,39370100
2002-10-03,40904000
2002-10-04,20963300
2002-10-07,16361600
2002-10-08,13805100
2002-10-09,11759900
2002-10-10,14827699
2002-10-11,11299730
2002-10-14,10226000
2002-10-15,11759900
2002-10-16,10737300
2002-10-17,11749674
2002-10-18,11248600
2002-10-21,11759900
2002-10-22,11759900
2002-10-23,11759900
2002-10-24,13805100
2002-10-25,16872900
2002-10-28,18918100
2002-10-29,16356487
2002-10-30,20452000
2002-10-31,18918100
2002-11-01,19930474
2002-11-04,26076300
2002-11-05,25565000
2002-11-06,31189300
2002-11-07,25565000
2002-11-08,24031100
2002-11-11,19940700
2002-11-12,17895500
2002-11-13,22497200
2002-11-14,23570930
2002-11-15,24031100
2002-11-18,22497200
2002-11-19,30678000
2002-11-20,29655399
2002-11-21,28121500
2002-11-22,31700600
2002-11-25,42437900
2002-11-26,38347500
2002-11-27,40904000
2002-11-29,38347500
2002-12-02,36813600
2002-12-03,34195744
2002-12-04,32211900
2002-12-05,30166700
2002-12-06,29144099
2002-12-09,26587600
2002-12-10,25053700
2002-12-11,29655399
2002-12-12,30166700
2002-12-13,28632800
2002-12-16,26587600
2002-12-17,26076300
2002-12-18,25053700
2002-12-19,21474600
2002-12-20,21474600
2002-12-23,19940700
2002-12-24,17895500
2002-12-26,21985900
2002-12-27,20452000
2002-12-30,20452000
2002-12-31,20963300
2003-01-02,23826580
2003-01-03,21474600
2003-01-06,24542400
2003-01-07,29144099
2003-01-08,32211900
2003-01-09,30626870
2003-01-10,30678000
2003-01-13,30166700
2003-01-14,32723200
2003-01-15,31700600
2003-01-16,33234500
2003-01-17,30678000
2003-01-21,26076300
2003-01-22,28632800
2003-01-23,28632800
2003-01-24,27098900
2003-01-27,28632800
2003-01-28,26076300
2003-01-29,26076300
2003-01-30,29144099
2003-01-31,28632800
2003-02-03,29144099
2003-02-04,29655399
2003-02-05,29655399
2003-02-06,30678000
2003-02-07,35791000
2003-02-10,37836200
2003-02-11,37836200
2003-02-12,38347500
2003-02-13,35279700
2003-02-14,35279700
2003-02-18,37324900
2003-02-19,38347500
2003-02-20,40904000
2003-02-21,38347500
2003-02-24,39370100
2003-02-25,38347500
2003-02-26,36813600
2003-02-27,33745800
2003-02-28,33234500
2003-03-03,34768400
2003-03-04,33234500
2003-03-05,34768400
2003-03-06,33234500
2003-03-07,33234500
2003-03-10,33234500
2003-03-11,31700600
2003-03-12,31189300
2003-03-13,31700600
2003-03-14,32211900
2003-03-17,37836200
2003-03-18,40904000
2003-03-19,48062200
2003-03-20,56754300
2003-03-21,66980300
2003-03-24,64935100
2003-03-25,57776899
2003-03-26,58799499
2003-03-27,64423800
2003-03-28,66469000
2003-03-31,67495560
2003-04-01,66472900
2003-04-02,70563540
2003-04-03,73631520
2003-04-04,73120190
2003-04-07,62893590
2003-04-08,60336940
2003-04-09,60848270
2003-04-10,60336940
2003-04-11,69029550
2003-04-14,63916250
2003-04-15,65961570
2003-04-16,63916250
2003-04-17,61359600
2003-04-21,68518220
2003-04-22,69029550
2003-04-23,73120190
2003-04-24,85392110
2003-04-25,88460090
