,BK
2000-01-03,28709040000
2000-01-04,27881880000
2000-01-05,27252359999
2000-01-06,27933119999
2000-01-07,29382480000
2000-01-10,28079520000
2000-01-11,27398760000
2000-01-12,28269840000
2000-01-13,28994520000
2000-01-14,30356040000
2000-01-18,28994520000
2000-01-19,28804200000
2000-01-20,28511400000
2000-01-21,28218599999
2000-01-24,28123440000
2000-01-25,28174680000
2000-01-26,30597599999
2000-01-27,30304800000
2000-01-28,29287320000
2000-01-31,31519920000
2000-02-01,31710240000
2000-02-02,30934320000
2000-02-03,30692760000
2000-02-04,29433720000
2000-02-07,29675280000
2000-02-08,30502440000
2000-02-09,29528880000
2000-02-10,28321080000
2000-02-11,28562640000
2000-02-14,27947760000
2000-02-15,28657800000
2000-02-16,29097000000
2000-02-17,27201119999
2000-02-18,26037240000
2000-02-22,26330040000
2000-02-23,25795680000
2000-02-24,24726960000
2000-02-25,25605359999
2000-02-28,26959560000
2000-02-29,25795680000
2000-03-01,25166160000
2000-03-02,25700520000
2000-03-03,24873359999
2000-03-06,25407720000
2000-03-07,24295080000
2000-03-08,24053520000
2000-03-09,24975840000
2000-03-10,24587880000
2000-03-13,25700520000
2000-03-14,24726960000
2000-03-15,27303599999
2000-03-16,31710240000
2000-03-17,30012000000
2000-03-20,28752960000
2000-03-21,29968080000
2000-03-22,30158400000
2000-03-23,31036800000
2000-03-24,31563840000
2000-03-27,30502440000
2000-03-28,30839160000
2000-03-29,30502440000
2000-03-30,30502440000
2000-03-31,32244599999
2000-04-03,33835279999
2000-04-04,32383940000
2000-04-05,32581850000
2000-04-06,32339960000
2000-04-07,31416380000
2000-04-10,33116940000
2000-04-11,31995450000
2000-04-12,33696010000
2000-04-13,33505430000
2000-04-14,30639399999
2000-04-17,30734690000
2000-04-18,33263540000
2000-04-19,32193360000
2000-04-20,32581850000
2000-04-24,33549410000
2000-04-25,34817500000
2000-04-26,33798630000
2000-04-27,32823740000
2000-04-28,31900160000
2000-05-01,33021649999
2000-05-02,32530540000
2000-05-03,31804870000
2000-05-04,31079200000
2000-05-05,32288649999
2000-05-08,33549410000
2000-05-09,34084500000
2000-05-10,33549410000
2000-05-11,33989210000
2000-05-12,34817500000
2000-05-15,36173550000
2000-05-16,35931660000
2000-05-17,35594480000
2000-05-18,36078260000
2000-05-19,34187120000
2000-05-22,35594480000
2000-05-23,36613350000
2000-05-24,37295040000
2000-05-25,36129570000
2000-05-26,36518060000
2000-05-30,36268840000
2000-05-31,36466750000
2000-06-01,37243730000
2000-06-02,37778820000
2000-06-05,36415440000
2000-06-06,36371460000
2000-06-07,36518060000
2000-06-08,35741080000
2000-06-09,34670900000
2000-06-12,35103370000
2000-06-13,35543170000
2000-06-14,35689770000
2000-06-15,35205990000
2000-06-16,33893920000
2000-06-19,34619590000
2000-06-20,35301280000
2000-06-21,33893920000
2000-06-22,34861480000
2000-06-23,35880350000
2000-06-26,36950530000
2000-06-27,37390330000
2000-06-28,37295040000
2000-06-29,37295040000
2000-06-30,36129570000
2000-07-03,37830360000
2000-07-05,38021200000
2000-07-06,37588140000
2000-07-07,37874400000
2000-07-10,37536760000
2000-07-11,37977160000
2000-07-12,37734940000
2000-07-13,36076100000
2000-07-14,36516500000
2000-07-17,37683560000
2000-07-18,37441340000
2000-07-19,37485380000
2000-07-20,38366180000
2000-07-21,38902000000
2000-07-24,38946040000
2000-07-25,39533240000
2000-07-26,37536760000
2000-07-27,37294540000
2000-07-28,36516500000
2000-07-31,36421080000
2000-08-01,36611920000
2000-08-02,36707340000
2000-08-03,38850620000
2000-08-04,40648920000
2000-08-07,40839760000
2000-08-08,40744340000
2000-08-09,40648920000
2000-08-10,40502120000
2000-08-11,40450740000
2000-08-14,40406700000
2000-08-15,39430480000
2000-08-16,38608400000
2000-08-17,38608400000
2000-08-18,37734940000
2000-08-21,38997420000
2000-08-22,39819500000
2000-08-23,40450740000
2000-08-24,40061720000
2000-08-25,39335060000
2000-08-28,39239640000
2000-08-29,39041460000
2000-08-30,39724080000
2000-08-31,40795720000
2000-09-01,40208520000
2000-09-05,40406700000
2000-09-06,41815980000
2000-09-07,41280160000
2000-09-08,41720560000
2000-09-11,42740820000
2000-09-12,42447220000
2000-09-13,40795720000
2000-09-14,40648920000
2000-09-15,40406700000
2000-09-18,39239640000
2000-09-19,40311280000
2000-09-20,40017680000
2000-09-21,39481860000
2000-09-22,40061720000
2000-09-25,39819500000
2000-09-26,40017680000
2000-09-27,42351800000
2000-09-28,44590500000
2000-09-29,43614280000
2000-10-02,43883400000
2000-10-03,44176200000
2000-10-04,42573120000
2000-10-05,43349040000
2000-10-06,41892360000
2000-10-09,41650800000
2000-10-10,40977360000
2000-10-11,39227880000
2000-10-12,37676040000
2000-10-13,39667080000
2000-10-16,41365320000
2000-10-17,40003800000
2000-10-18,40150200000
2000-10-19,40830960000
2000-10-20,40538160000
2000-10-23,40589400000
2000-10-24,41892360000
2000-10-25,41892360000
2000-10-26,40486920000
2000-10-27,41606880000
2000-10-30,44220120000
2000-10-31,44659320000
2000-11-01,43305120000
2000-11-02,43832160000
2000-11-03,44900880000
2000-11-06,45384000000
2000-11-07,45969600000
2000-11-08,45098520000
2000-11-09,45047280000
2000-11-10,44512920000
2000-11-13,43495440000
2000-11-14,43832160000
2000-11-15,42529200000
2000-11-16,42280320000
2000-11-17,41753280000
2000-11-20,40296600000
2000-11-21,40874880000
2000-11-22,40245360000
2000-11-24,40728480000
2000-11-27,40977360000
2000-11-28,42236400000
2000-11-29,43444200000
2000-11-30,42814680000
2000-12-01,41504400000
2000-12-04,41555640000
2000-12-05,42917160000
2000-12-06,41943600000
2000-12-07,41409240000
2000-12-08,41753280000
2000-12-11,42624360000
2000-12-12,42141240000
2000-12-13,41365320000
2000-12-14,41753280000
2000-12-15,41262840000
2000-12-18,41460480000
2000-12-19,40589400000
2000-12-20,41072520000
2000-12-21,42668280000
2000-12-22,43056240000
2000-12-26,43107480000
2000-12-27,43934640000
2000-12-28,43883400000
2000-12-29,42814680000
2001-01-02,42668280000
2001-01-03,43444200000
2001-01-04,43641840000
2001-01-05,42331560000
2001-01-08,42141240000
2001-01-09,41218920000
2001-01-10,41409240000
2001-01-11,41504400000
