,EA
2000-01-03,6484282000
2000-01-04,5732444000
2000-01-05,5729878000
2000-01-06,5132000000
2000-01-07,5283394000
2000-01-10,6166098000
2000-01-11,6094250000
2000-01-12,5773500000
2000-01-13,5953120000
2000-01-14,5439920000
2000-01-18,5024228000
2000-01-19,4931852000
2000-01-20,4911324000
2000-01-21,4426350000
2000-01-24,4559782000
2000-01-25,4870268000
2000-01-26,4688082000
2000-01-27,4690648000
2000-01-28,4559782000
2000-01-31,5244904000
2000-02-01,5288526000
2000-02-02,5629804000
2000-02-03,5901800000
2000-02-04,5511768000
2000-02-07,5252602000
2000-02-08,5652898000
2000-02-09,5180754000
2000-02-10,5511768000
2000-02-11,5244904000
2000-02-14,5380902000
2000-02-15,5473278000
2000-02-16,5452750000
2000-02-17,5645200000
2000-02-18,5806858000
2000-02-22,5524598000
2000-02-23,5673426000
2000-02-24,5845348000
2000-02-25,5373204000
2000-02-28,5637502000
2000-02-29,6415000000
2000-03-01,6089118000
2000-03-02,6094250000
2000-03-03,6556130000
2000-03-06,5832518000
2000-03-07,6030100000
2000-03-08,6163532000
2000-03-09,6355982000
2000-03-10,5953120000
2000-03-13,5565654000
2000-03-14,4811250000
2000-03-15,4954946000
2000-03-16,5208980000
2000-03-17,5167924000
2000-03-20,5003700000
2000-03-21,4952380000
2000-03-22,5244904000
2000-03-23,5219244000
2000-03-24,4898494000
2000-03-27,4898494000
2000-03-28,4816382000
2000-03-29,4523858000
2000-03-30,4511028000
2000-03-31,4602252798
2000-04-03,4310087311
2000-04-04,4253205535
2000-04-05,4408337652
2000-04-06,4576397445
2000-04-07,4116172165
2000-04-10,3862789708
2000-04-11,3883473990
2000-04-12,3606821715
2000-04-13,3782638114
2000-04-14,3661117956
2000-04-17,3627505997
2000-04-18,3862789708
2000-04-19,3619749392
2000-04-20,3800736861
2000-04-24,3441347457
2000-04-25,3438761922
2000-04-26,3898987202
2000-04-27,3976553260
2000-04-28,3911914878
2000-05-01,3805907932
2000-05-02,3449104063
2000-05-03,3495643698
2000-05-04,3568038686
2000-05-05,3986895401
2000-05-08,3782638114
2000-05-09,3764539367
2000-05-10,3689558844
2000-05-11,4253205535
2000-05-12,3901572737
2000-05-15,4136856448
2000-05-16,4302330705
2000-05-17,4152369659
2000-05-18,3992066472
2000-05-19,3743855085
2000-05-22,3707657591
2000-05-23,3511156910
2000-05-24,3992066472
2000-05-25,3813664538
2000-05-26,3749026156
2000-05-30,4056704854
2000-05-31,4129099842
2000-06-01,4465219428
2000-06-02,4633279221
2000-06-05,4584154051
2000-06-06,4400581046
2000-06-07,4638450292
2000-06-08,4429021934
2000-06-09,4323014988
2000-06-12,4100658954
2000-06-13,4170468406
2000-06-14,4023092895
2000-06-15,4214422506
2000-06-16,4286817494
2000-06-19,4566055304
2000-06-20,4573811910
2000-06-21,4695332068
2000-06-22,4984912019
2000-06-23,4842707579
2000-06-26,4920273637
2000-06-27,4971984343
2000-06-28,5021109513
2000-06-29,5062478078
2000-06-30,4764993860
2000-07-03,4924436880
2000-07-05,4895684860
2000-07-06,5206729440
2000-07-07,5428904140
2000-07-10,5342648080
2000-07-11,5350489540
2000-07-12,5298213140
2000-07-13,5227640000
2000-07-14,5219798540
2000-07-17,5428904140
2000-07-18,5415835040
2000-07-19,5614485360
2000-07-20,5685058500
2000-07-21,5436745600
2000-07-24,5279916400
2000-07-25,5018534400
2000-07-26,5661534120
2000-07-27,6077131500
2000-07-28,5902005560
2000-07-31,5779156020
2000-08-01,5489022000
2000-08-02,5447200880
2000-08-03,5577891880
2000-08-04,5614485360
2000-08-07,5792225120
2000-08-08,5619713000
2000-08-09,5504704920
2000-08-10,5504704920
2000-08-11,5614485360
2000-08-14,5852342980
2000-08-15,5980420160
2000-08-16,5904619380
2000-08-17,6011786000
2000-08-18,5909847020
2000-08-21,5938599040
2000-08-22,6192139580
2000-08-23,6223505420
2000-08-24,6497956520
2000-08-25,6918781540
2000-08-28,6707062120
2000-08-29,6861277500
2000-08-30,7005037600
2000-08-31,7052086360
2000-09-01,7117431860
2000-09-05,7109590400
2000-09-06,7052086360
2000-09-07,7020720520
2000-09-08,6469204500
2000-09-11,6615578420
2000-09-12,6453521580
2000-09-13,6257485080
2000-09-14,6453521580
2000-09-15,6207822500
2000-09-18,5938599040
2000-09-19,6231346880
2000-09-20,6176456660
2000-09-21,6192139580
2000-09-22,6346354960
2000-09-25,6960602660
2000-09-26,6649558080
2000-09-27,5904619380
2000-09-28,6550232920
2000-09-29,6453521580
2000-10-02,6492551340
2000-10-03,6188171640
2000-10-04,6624890340
2000-10-05,6418441500
2000-10-06,6211992660
2000-10-09,6585188640
2000-10-10,6609009660
2000-10-11,6468730320
2000-10-12,6196111980
2000-10-13,6616950000
2000-10-16,6757229340
2000-10-17,7013967000
2000-10-18,6971618520
2000-10-19,6939857160
2000-10-20,7088076840
2000-10-23,7328933820
2000-10-24,6616950000
2000-10-25,6111415020
2000-10-26,6783697140
2000-10-27,6601069320
2000-10-30,6360212340
2000-10-31,6616950000
2000-11-01,6344331660
2000-11-02,6508432020
2000-11-03,6484611000
2000-11-06,6402560820
2000-11-07,6344331660
2000-11-08,6055832640
2000-11-09,5979076020
2000-11-10,5616467160
2000-11-13,5394137640
2000-11-14,5814975660
2000-11-15,5955255000
2000-11-16,5698517340
2000-11-17,5714398020
2000-11-20,5468247480
2000-11-21,5550297660
2000-11-22,5052703020
2000-11-24,5822916000
2000-11-27,5939374320
2000-11-28,5566178340
2000-11-29,5251211520
2000-11-30,4721855520
2000-12-01,5227390500
2000-12-04,4970652840
2000-12-05,4997120640
2000-12-06,4756263660
2000-12-07,4674213480
2000-12-08,5492068500
2000-12-11,5261798640
2000-12-12,5515889520
2000-12-13,5674696320
2000-12-14,5293560000
2000-12-15,5005060980
2000-12-18,5293560000
2000-12-19,4806552480
2000-12-20,4764204000
2000-12-21,4970652840
2000-12-22,5582059020
2000-12-26,5624407500
2000-12-27,5873204820
2000-12-28,5889085500
2000-12-29,5640288180
2001-01-02,5285326200
2001-01-03,5478062800
2001-01-04,5521496400
2001-01-05,4785839800
2001-01-08,4997578600
2001-01-09,5165883800
2001-01-10,5309757600
2001-01-11,4810271200
2001-01-12,4921569800
2001-01-16,5081731200
2001-01-17,5073587400
2001-01-18,5317901400
2001-01-19,5632795000
2001-01-22,5497065000
2001-01-23,5803814800
2001-01-24,5735949800
2001-01-25,5369478800
2001-01-26,5193029800
2001-01-29,5250036400
2001-01-30,5429200000
2001-01-31,6219148600
2001-02-01,6183858800
2001-02-02,6192002600
2001-02-05,6303301200
2001-02-06,6490608600
2001-02-07,6498752400
2001-02-08,6395597600
2001-02-09,6447175000
2001-02-12,6667057600
2001-02-13,6734922600
2001-02-14,6938517600
2001-02-15,6753924800
2001-02-16,6618194800
2001-02-20,6287013600
2001-02-21,6414599800
2001-02-22,7185546200
2001-02-23,7201833800
2001-02-26,7033528600
2001-02-27,6778356200
