,SNPS
2000-01-03,4640841562
2000-01-04,4309036875
2000-01-05,4346641406
2000-01-06,4030320937
2000-01-07,4070137500
2000-01-10,4269220312
2000-01-11,4101105937
2000-01-12,3782573437
2000-01-13,3897599062
2000-01-14,3990504375
2000-01-18,3906447187
2000-01-19,3840086250
2000-01-20,3862206562
2000-01-21,3866630625
2000-01-24,3742756875
2000-01-25,3397680000
2000-01-26,3371135625
2000-01-27,3101267812
2000-01-28,3068087343
2000-01-31,3194004187
2000-02-01,3219936562
2000-02-02,3168071812
2000-02-03,3237224812
2000-02-04,3129173250
2000-02-07,3008155500
2000-02-08,3124851187
2000-02-09,3332310187
2000-02-10,3513836812
2000-02-11,3496548562
2000-02-14,2934680437
2000-02-15,2947646625
2000-02-16,3081630562
2000-02-17,3215614500
2000-02-18,2597559562
2000-02-22,2692644937
2000-02-23,2766120000
2000-02-24,2770442062
2000-02-25,2783408250
2000-02-28,2766120000
2000-02-29,2761797937
2000-03-01,2770442062
2000-03-02,2748831750
2000-03-03,2757475875
2000-03-06,2714255250
2000-03-07,2688322875
2000-03-08,2731543500
2000-03-09,2900103937
2000-03-10,2995189312
2000-03-13,2977901062
2000-03-14,3016799625
2000-03-15,2977901062
2000-03-16,3353920500
2000-03-17,3423073500
2000-03-20,3336632250
2000-03-21,3470616187
2000-03-22,3401463187
2000-03-23,3388497000
2000-03-24,3405785250
2000-03-27,3397141125
2000-03-28,3215614500
2000-03-29,3116207062
2000-03-30,3042732000
2000-03-31,3371208750
2000-04-03,3150783562
2000-04-04,3042732000
2000-04-05,3055698187
2000-04-06,3025443750
2000-04-07,3194004187
2000-04-10,3060020250
2000-04-11,3051376125
2000-04-12,2921714250
2000-04-13,2904426000
2000-04-14,2727221437
2000-04-17,2679678750
2000-04-18,2973579000
2000-04-19,2843917125
2000-04-20,2822306812
2000-04-24,2731543500
2000-04-25,2934680437
2000-04-26,2766120000
2000-04-27,2921714250
2000-04-28,2904426000
2000-05-01,2893280250
2000-05-02,2773793750
2000-05-03,2765259000
2000-05-04,2807932750
2000-05-05,2756724250
2000-05-08,2726852625
2000-05-09,2701248375
2000-05-10,2679911500
2000-05-11,2705515750
2000-05-12,2718317875
2000-05-15,2850606500
2000-05-16,2982895125
2000-05-17,3004232000
2000-05-18,2918884500
2000-05-19,2978627750
2000-05-22,2884745500
2000-05-23,2914617125
2000-05-24,3055440500
2000-05-25,2931686625
2000-05-26,2871943375
2000-05-30,3170659625
2000-05-31,3230402875
2000-06-01,3362691500
2000-06-02,3541921250
2000-06-05,3546188625
2000-06-06,3379761000
2000-06-07,3354156750
2000-06-08,3110916375
2000-06-09,3281611375
2000-06-12,3004232000
2000-06-13,3051173125
2000-06-14,2893280250
2000-06-15,2970093000
2000-06-16,2978627750
2000-06-19,3068242625
2000-06-20,3140788000
2000-06-21,3166392250
2000-06-22,2991429875
2000-06-23,2850606500
2000-06-26,2910349750
2000-06-27,2381195250
2000-06-28,2449473250
2000-06-29,2406799500
2000-06-30,2359858375
2000-07-03,2496414375
2000-07-05,2283045625
2000-07-06,2321452000
2000-07-07,2423869000
2000-07-10,2389730000
2000-07-11,2223302375
2000-07-12,2287313000
2000-07-13,2223302375
2000-07-14,2210500250
2000-07-17,2142222250
2000-07-18,2120885375
2000-07-19,2120885375
2000-07-20,2236104500
2000-07-21,2184896000
2000-07-24,2180628625
2000-07-25,2189163375
2000-07-26,2146489625
2000-07-27,2137954875
2000-07-28,2112350625
2000-07-31,2223302375
2000-08-01,2150757000
2000-08-02,2201965500
2000-08-03,2351323625
2000-08-04,2274510875
2000-08-07,2329986750
2000-08-08,2287313000
2000-08-09,2065409500
2000-08-10,2061142125
2000-08-11,2099548500
2000-08-14,2005666250
2000-08-15,2005666250
2000-08-16,2035537875
2000-08-17,2201965500
2000-08-18,2355591000
2000-08-21,2223302375
2000-08-22,2193430750
2000-08-23,2253174000
2000-08-24,2364125750
2000-08-25,2376927875
2000-08-28,2440938500
2000-08-29,2475077500
2000-08-30,2522018625
2000-08-31,2530553375
2000-09-01,2654307250
2000-09-05,2594564000
2000-09-06,2510283412
2000-09-07,2547622875
2000-09-08,2509216500
2000-09-11,2530553375
2000-09-12,2539088125
2000-09-13,2534820750
2000-09-14,2547622875
2000-09-15,2543355500
2000-09-18,2534820750
2000-09-19,2526286000
2000-09-20,2530553375
2000-09-21,2526286000
2000-09-22,2475077500
2000-09-25,2509216500
2000-09-26,2500681750
