,USB
2000-01-03,38972076000
2000-01-04,37550018000
2000-01-05,36704470000
2000-01-06,39548586000
2000-01-07,41085946000
2000-01-10,40855342000
2000-01-11,39317982000
2000-01-12,41335767000
2000-01-13,44064581000
2000-01-14,44064581000
2000-01-18,44410487000
2000-01-19,43584156000
2000-01-20,42046796000
2000-01-21,41085946000
2000-01-24,40624738000
2000-01-25,41220465000
2000-01-26,43219033000
2000-01-27,43814760000
2000-01-28,42162098000
2000-01-31,45236818000
2000-02-01,46063149000
2000-02-02,46658876000
2000-02-03,45352120000
2000-02-04,42277400000
2000-02-07,43103731000
2000-02-08,44775610000
2000-02-09,43468854000
2000-02-10,42873127000
2000-02-11,42046796000
2000-02-14,41220465000
2000-02-15,41566371000
2000-02-16,39913709000
2000-02-17,37665320000
2000-02-18,36358564000
2000-02-22,37069593000
2000-02-23,35993441000
2000-02-24,35051808000
2000-02-25,34110175000
2000-02-28,34821204000
2000-02-29,33745051999
2000-03-01,34705902000
2000-03-02,35416931000
2000-03-03,35647535000
2000-03-06,34705902000
2000-03-07,33399145999
2000-03-08,32207692000
2000-03-09,32572815000
2000-03-10,33283844000
2000-03-13,33514448000
2000-03-14,33879570999
2000-03-15,37665320000
2000-03-16,43353552000
2000-03-17,42508004000
2000-03-20,42162098000
2000-03-21,44775610000
2000-03-22,44179883000
2000-03-23,44525789000
2000-03-24,44890912000
2000-03-27,43584156000
2000-03-28,43930062000
2000-03-29,43930062000
2000-03-30,42757825000
2000-03-31,43235868000
2000-04-03,46179424000
2000-04-04,45357522000
2000-04-05,44535620000
2000-04-06,44535620000
2000-04-07,44172454000
2000-04-10,44287138000
2000-04-11,47345378000
2000-04-12,49715514000
2000-04-13,47345378000
2000-04-14,45223724000
2000-04-17,46294108000
2000-04-18,48301078000
2000-04-19,49008296000
2000-04-20,49944882000
2000-04-24,52295904000
2000-04-25,50881468000
2000-04-26,50174250000
2000-04-27,48052596000
2000-04-28,46886642000
2000-05-01,48052596000
2000-05-02,48645130000
2000-05-03,46886642000
2000-05-04,44994356000
2000-05-05,45223724000
2000-05-08,47001326000
2000-05-09,46523476000
2000-05-10,45701574000
2000-05-11,46771958000
2000-05-12,47708544000
2000-05-15,47593860000
2000-05-16,46064740000
2000-05-17,43828402000
2000-05-18,43465236000
2000-05-19,44764988000
2000-05-22,46294108000
2000-05-23,47116010000
2000-05-24,48645130000
2000-05-25,47708544000
2000-05-26,48052596000
2000-05-30,48645130000
2000-05-31,48186394000
2000-06-01,50288934000
2000-06-02,51703370000
2000-06-05,49122980000
2000-06-06,48645130000
2000-06-07,48530446000
2000-06-08,47001326000
2000-06-09,46294108000
2000-06-12,47116010000
2000-06-13,47345378000
2000-06-14,46886642000
2000-06-15,44172454000
